"Nom de la Station","BANFF CS"
"Province","ALBERTA"
"Latitude","51,19"
"Longitude","-115,55"
"Altitude","1396,90"
"Identification Climat","3050519"
"Identification OMM","71122"
"Identification TC","WZG"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2006-09-01 00:00","2006","09","01","00:00"," ","0,10","","-0,60","","95,00","","0,00","","0,00","","","","86,78","","","","","","ND"
"2006-09-01 01:00","2006","09","01","01:00"," ","-0,30","","-0,70","","97,00","","0,00","","0,00","","","","86,79","","","","","","ND"
"2006-09-01 02:00","2006","09","01","02:00"," ","0,80","","-0,20","","93,00","","23,00","","7,00","","","","86,82","","","","","","ND"
"2006-09-01 03:00","2006","09","01","03:00"," ","-0,20","","-0,90","","95,00","","21,00","","7,00","","","","86,84","","","","-3,00","","ND"
"2006-09-01 04:00","2006","09","01","04:00"," ","-0,10","","-1,00","","94,00","","23,00","","6,00","","","","86,84","","","","-2,00","","ND"
"2006-09-01 05:00","2006","09","01","05:00"," ","-0,70","","-1,40","","95,00","","21,00","","6,00","","","","86,85","","","","-3,00","","ND"
"2006-09-01 06:00","2006","09","01","06:00"," ","-0,70","","-1,50","","94,00","","22,00","","9,00","","","","86,87","","","","-4,00","","ND"
"2006-09-01 07:00","2006","09","01","07:00"," ","0,60","","-1,10","","88,00","","24,00","","7,00","","","","86,90","","","","","","ND"
"2006-09-01 08:00","2006","09","01","08:00"," ","2,90","","-0,90","","76,00","","24,00","","9,00","","","","86,92","","","","","","ND"
"2006-09-01 09:00","2006","09","01","09:00"," ","6,80","","0,30","","63,00","","23,00","","11,00","","","","86,89","","","","","","ND"
"2006-09-01 10:00","2006","09","01","10:00"," ","10,00","","0,20","","50,00","","23,00","","11,00","","","","86,87","","","","","","ND"
"2006-09-01 11:00","2006","09","01","11:00"," ","13,90","","0,30","","39,00","","23,00","","9,00","","","","86,80","","","","","","ND"
"2006-09-01 12:00","2006","09","01","12:00"," ","15,60","","0,20","","35,00","","22,00","","15,00","","","","86,77","","","","","","ND"
"2006-09-01 13:00","2006","09","01","13:00"," ","18,00","","1,70","","33,00","","23,00","","15,00","","","","86,73","","","","","","ND"
"2006-09-01 14:00","2006","09","01","14:00"," ","18,80","","1,30","","31,00","","24,00","","9,00","","","","86,70","","","","","","ND"
"2006-09-01 15:00","2006","09","01","15:00"," ","20,00","","1,90","","30,00","","23,00","","11,00","","","","86,65","","","","","","ND"
"2006-09-01 16:00","2006","09","01","16:00"," ","20,10","","0,80","","28,00","","24,00","","9,00","","","","86,61","","","","","","ND"
"2006-09-01 17:00","2006","09","01","17:00"," ","20,40","","1,80","","29,00","","23,00","","9,00","","","","86,57","","","","","","ND"
"2006-09-01 18:00","2006","09","01","18:00"," ","19,60","","2,60","","32,00","","22,00","","9,00","","","","86,56","","","","","","ND"
"2006-09-01 19:00","2006","09","01","19:00"," ","13,90","","4,00","","51,00","","0,00","","0,00","","","","86,57","","","","","","ND"
"2006-09-01 20:00","2006","09","01","20:00"," ","10,60","","5,10","","69,00","","32,00","","4,00","","","","86,61","","","","","","ND"
"2006-09-01 21:00","2006","09","01","21:00"," ","9,20","","4,60","","73,00","","34,00","","4,00","","","","86,67","","","","","","ND"
"2006-09-01 22:00","2006","09","01","22:00"," ","8,50","","4,40","","75,00","","27,00","","2,00","","","","86,69","","","","","","ND"
"2006-09-01 23:00","2006","09","01","23:00"," ","7,40","","4,20","","80,00","","0,00","","0,00","","","","86,68","","","","","","ND"
"2006-09-02 00:00","2006","09","02","00:00"," ","7,40","","4,40","","81,00","","24,00","","6,00","","","","86,68","","","","","","ND"
"2006-09-02 01:00","2006","09","02","01:00"," ","6,60","","3,80","","82,00","","23,00","","7,00","","","","86,67","","","","","","ND"
"2006-09-02 02:00","2006","09","02","02:00"," ","5,70","","3,70","","87,00","","23,00","","4,00","","","","86,67","","","","","","ND"
"2006-09-02 03:00","2006","09","02","03:00"," ","5,10","","3,40","","89,00","","23,00","","7,00","","","","86,65","","","","","","ND"
"2006-09-02 04:00","2006","09","02","04:00"," ","4,80","","3,10","","89,00","","22,00","","7,00","","","","86,63","","","","","","ND"
"2006-09-02 05:00","2006","09","02","05:00"," ","3,90","","2,50","","91,00","","23,00","","4,00","","","","86,61","","","","","","ND"
"2006-09-02 06:00","2006","09","02","06:00"," ","3,60","","2,30","","91,00","","22,00","","6,00","","","","86,59","","","","","","ND"
"2006-09-02 07:00","2006","09","02","07:00"," ","4,10","","2,10","","87,00","","21,00","","6,00","","","","86,61","","","","","","ND"
"2006-09-02 08:00","2006","09","02","08:00"," ","6,50","","2,60","","76,00","","22,00","","11,00","","","","86,57","","","","","","ND"
"2006-09-02 09:00","2006","09","02","09:00"," ","9,80","","3,70","","66,00","","22,00","","11,00","","","","86,49","","","","","","ND"
"2006-09-02 10:00","2006","09","02","10:00"," ","13,90","","4,60","","53,00","","25,00","","9,00","","","","86,44","","","","","","ND"
"2006-09-02 11:00","2006","09","02","11:00"," ","17,70","","5,10","","43,00","","23,00","","15,00","","","","86,37","","","","","","ND"
"2006-09-02 12:00","2006","09","02","12:00"," ","20,80","","3,20","","31,00","","24,00","","9,00","","","","86,29","","","","","","ND"
"2006-09-02 13:00","2006","09","02","13:00"," ","23,80","","3,30","","26,00","","21,00","","9,00","","","","86,22","","","","","","ND"
"2006-09-02 14:00","2006","09","02","14:00"," ","24,90","","1,60","","22,00","","25,00","","11,00","","","","86,18","","","","","","ND"
"2006-09-02 15:00","2006","09","02","15:00"," ","25,70","","1,20","","20,00","","23,00","","11,00","","","","86,15","","","","","","ND"
"2006-09-02 16:00","2006","09","02","16:00"," ","25,80","","-0,30","","18,00","","22,00","","11,00","","","","86,11","","","","","","ND"
"2006-09-02 17:00","2006","09","02","17:00"," ","25,60","","0,10","","19,00","","24,00","","9,00","","","","86,09","","","","","","ND"
"2006-09-02 18:00","2006","09","02","18:00"," ","24,50","","0,00","","20,00","","25,00","","6,00","","","","86,06","","","","","","ND"
"2006-09-02 19:00","2006","09","02","19:00"," ","17,60","","3,30","","38,00","","0,00","","0,00","","","","86,07","","","","","","ND"
"2006-09-02 20:00","2006","09","02","20:00"," ","14,30","","4,30","","51,00","","29,00","","2,00","","","","86,11","","","","","","ND"
"2006-09-02 21:00","2006","09","02","21:00"," ","13,20","","4,30","","55,00","","32,00","","2,00","","","","86,17","","","","","","ND"
"2006-09-02 22:00","2006","09","02","22:00"," ","10,90","","4,50","","65,00","","0,00","","0,00","","","","86,20","","","","","","ND"
"2006-09-02 23:00","2006","09","02","23:00"," ","10,90","","4,40","","64,00","","27,00","","4,00","","","","86,24","","","","","","ND"
"2006-09-03 00:00","2006","09","03","00:00"," ","9,40","","4,20","","70,00","","27,00","","4,00","","","","86,28","","","","","","ND"
"2006-09-03 01:00","2006","09","03","01:00"," ","8,90","","4,20","","72,00","","23,00","","4,00","","","","86,28","","","","","","ND"
"2006-09-03 02:00","2006","09","03","02:00"," ","8,00","","3,70","","74,00","","22,00","","7,00","","","","86,28","","","","","","ND"
"2006-09-03 03:00","2006","09","03","03:00"," ","7,80","","3,80","","76,00","","22,00","","7,00","","","","86,31","","","","","","ND"
"2006-09-03 04:00","2006","09","03","04:00"," ","6,70","","3,30","","79,00","","21,00","","4,00","","","","86,32","","","","","","ND"
"2006-09-03 05:00","2006","09","03","05:00"," ","6,30","","3,30","","81,00","","22,00","","6,00","","","","86,36","","","","","","ND"
"2006-09-03 06:00","2006","09","03","06:00"," ","4,80","","2,20","","83,00","","27,00","","2,00","","","","86,39","","","","","","ND"
"2006-09-03 07:00","2006","09","03","07:00"," ","6,00","","2,50","","78,00","","22,00","","6,00","","","","86,42","","","","","","ND"
"2006-09-03 08:00","2006","09","03","08:00"," ","8,90","","3,30","","68,00","","22,00","","9,00","","","","86,41","","","","","","ND"
"2006-09-03 09:00","2006","09","03","09:00"," ","12,10","","3,30","","55,00","","23,00","","9,00","","","","86,39","","","","","","ND"
"2006-09-03 10:00","2006","09","03","10:00"," ","16,10","","4,00","","44,00","","23,00","","9,00","","","","86,36","","","","","","ND"
"2006-09-03 11:00","2006","09","03","11:00"," ","19,40","","3,00","","34,00","","23,00","","7,00","","","","86,32","","","","","","ND"
"2006-09-03 12:00","2006","09","03","12:00"," ","22,70","","1,50","","25,00","","24,00","","7,00","","","","86,25","","","","","","ND"
