"Nom de la Station","MOOSE JAW CS"
"Province","SASKATCHEWAN"
"Latitude","50,33"
"Longitude","-105,54"
"Altitude","577,00"
"Identification Climat","4015322"
"Identification OMM","71539"
"Identification TC","ZMJ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2004-07-01 00:00","2004","07","01","00:00"," ","13,30","","11,90","","91,00","","11,00","","11,00","","","M","95,20","","","","","","ND"
"2004-07-01 01:00","2004","07","01","01:00"," ","12,30","","11,80","","97,00","","10,00","","11,00","","","M","95,16","","","","","","ND"
"2004-07-01 02:00","2004","07","01","02:00"," ","11,90","","11,10","","95,00","","8,00","","11,00","","","M","95,13","","","","","","ND"
"2004-07-01 03:00","2004","07","01","03:00"," ","13,20","","11,20","","88,00","","11,00","","11,00","","","M","95,13","","","","","","ND"
"2004-07-01 04:00","2004","07","01","04:00"," ","13,20","","12,20","","94,00","","11,00","","9,00","","","M","95,14","","","","","","ND"
"2004-07-01 05:00","2004","07","01","05:00"," ","12,20","","12,20","","100,00","","8,00","","9,00","","","M","95,14","","","","","","ND"
"2004-07-01 06:00","2004","07","01","06:00"," ","14,00","","13,70","","98,00","","9,00","","7,00","","","M","95,15","","","","","","ND"
"2004-07-01 07:00","2004","07","01","07:00"," ","15,50","","14,90","","96,00","","11,00","","13,00","","","M","95,11","","","","","","ND"
"2004-07-01 08:00","2004","07","01","08:00"," ","17,30","","15,60","","90,00","","11,00","","22,00","","","M","95,10","","","","","","ND"
"2004-07-01 09:00","2004","07","01","09:00"," ","19,30","","16,90","","86,00","","12,00","","20,00","","","M","95,11","","","","","","ND"
