"Nom de la Station","CHETICAMP CS"
"Province","NOVA SCOTIA"
"Latitude","46,65"
"Longitude","-60,95"
"Altitude","43,90"
"Identification Climat","8200827"
"Identification OMM","71959"
"Identification TC","XCH"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2008-01-01 00:00","2008","01","01","00:00"," ","-0,90","","-1,70","","94,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 01:00","2008","01","01","01:00"," ","-0,80","","-2,50","","88,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 02:00","2008","01","01","02:00"," ","-0,90","","-3,50","","82,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 03:00","2008","01","01","03:00"," ","-1,10","","-4,40","","78,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 04:00","2008","01","01","04:00"," ","-1,30","","-4,60","","78,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 05:00","2008","01","01","05:00"," ","-1,30","","-4,50","","79,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 06:00","2008","01","01","06:00"," ","-2,00","","-2,80","","94,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 07:00","2008","01","01","07:00"," ","-1,90","","-2,50","","96,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 08:00","2008","01","01","08:00"," ","-2,00","","-3,30","","91,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 09:00","2008","01","01","09:00"," ","-2,00","","-4,10","","86,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 10:00","2008","01","01","10:00"," ","-1,70","","-4,30","","82,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 11:00","2008","01","01","11:00"," ","-1,90","","-4,30","","84,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 12:00","2008","01","01","12:00"," ","-2,10","","-4,40","","84,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 13:00","2008","01","01","13:00"," ","-2,40","","-5,10","","82,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 14:00","2008","01","01","14:00"," ","-1,80","","-5,50","","76,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 15:00","2008","01","01","15:00"," ","-3,00","","-5,70","","82,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 16:00","2008","01","01","16:00"," ","-3,70","","-6,20","","83,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 17:00","2008","01","01","17:00"," ","-4,20","","-6,90","","81,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 18:00","2008","01","01","18:00"," ","-5,90","","-7,80","","86,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 19:00","2008","01","01","19:00"," ","-6,40","","-8,50","","85,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 20:00","2008","01","01","20:00"," ","-7,10","","-9,10","","86,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 21:00","2008","01","01","21:00"," ","-7,10","","-8,90","","87,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 22:00","2008","01","01","22:00"," ","-6,20","","-8,50","","84,00","","","M","","M","","","","M","","","","","ND"
"2008-01-01 23:00","2008","01","01","23:00"," ","-5,70","","-8,60","","80,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 00:00","2008","01","02","00:00"," ","-5,30","","-8,80","","76,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 01:00","2008","01","02","01:00"," ","-3,60","","-10,10","","61,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 02:00","2008","01","02","02:00"," ","-3,10","","-9,80","","60,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 03:00","2008","01","02","03:00"," ","-2,60","","-5,90","","78,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 04:00","2008","01","02","04:00"," ","-1,40","","-4,80","","78,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 05:00","2008","01","02","05:00"," ","-1,00","","-4,50","","77,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 06:00","2008","01","02","06:00"," ","-1,10","","-3,50","","84,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 07:00","2008","01","02","07:00"," ","-1,50","","-2,00","","96,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 08:00","2008","01","02","08:00"," ","-0,90","","-1,30","","97,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 09:00","2008","01","02","09:00"," ","-0,80","","-1,10","","98,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 10:00","2008","01","02","10:00"," ","0,10","","-0,30","","97,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 11:00","2008","01","02","11:00"," ","1,30","","0,00","","91,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 12:00","2008","01","02","12:00"," ","2,20","","0,10","","86,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 13:00","2008","01","02","13:00"," ","1,40","","0,00","","90,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 14:00","2008","01","02","14:00"," ","0,60","","-0,40","","93,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 15:00","2008","01","02","15:00"," ","-1,00","","-2,10","","92,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 16:00","2008","01","02","16:00"," ","-1,90","","-3,60","","88,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 17:00","2008","01","02","17:00"," ","-2,50","","-3,70","","91,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 18:00","2008","01","02","18:00"," ","-3,50","","-6,10","","82,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 19:00","2008","01","02","19:00"," ","-3,80","","-6,30","","83,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 20:00","2008","01","02","20:00"," ","-4,10","","-6,60","","83,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 21:00","2008","01","02","21:00"," ","-4,40","","-7,00","","82,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 22:00","2008","01","02","22:00"," ","-5,00","","-8,20","","78,00","","","M","","M","","","","M","","","","","ND"
"2008-01-02 23:00","2008","01","02","23:00"," ","-5,40","","-8,10","","81,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 00:00","2008","01","03","00:00"," ","-5,70","","-8,70","","79,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 01:00","2008","01","03","01:00"," ","-5,90","","-9,30","","77,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 02:00","2008","01","03","02:00"," ","-6,30","","-10,20","","74,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 03:00","2008","01","03","03:00"," ","-6,40","","-10,30","","74,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 04:00","2008","01","03","04:00"," ","-6,60","","-9,80","","78,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 05:00","2008","01","03","05:00"," ","-6,90","","-8,80","","86,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 06:00","2008","01","03","06:00"," ","-6,90","","-9,90","","79,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 07:00","2008","01","03","07:00"," ","-7,10","","-10,90","","74,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 08:00","2008","01","03","08:00"," ","-7,20","","-10,50","","77,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 09:00","2008","01","03","09:00"," ","-7,30","","-10,40","","78,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 10:00","2008","01","03","10:00"," ","-6,80","","-12,50","","64,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 11:00","2008","01","03","11:00"," ","-7,30","","-10,10","","80,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 12:00","2008","01","03","12:00"," ","-6,90","","-9,70","","80,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 13:00","2008","01","03","13:00"," ","-6,50","","-11,50","","68,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 14:00","2008","01","03","14:00"," ","-6,70","","-9,50","","80,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 15:00","2008","01","03","15:00"," ","-6,60","","-11,80","","66,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 16:00","2008","01","03","16:00"," ","-7,10","","-10,20","","78,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 17:00","2008","01","03","17:00"," ","-7,40","","-12,80","","65,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 18:00","2008","01","03","18:00"," ","-7,70","","-10,70","","79,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 19:00","2008","01","03","19:00"," ","-7,90","","-11,70","","74,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 20:00","2008","01","03","20:00"," ","-8,10","","-12,10","","73,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 21:00","2008","01","03","21:00"," ","-7,90","","-12,50","","69,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 22:00","2008","01","03","22:00"," ","-8,10","","-12,90","","68,00","","","M","","M","","","","M","","","","","ND"
"2008-01-03 23:00","2008","01","03","23:00"," ","-8,40","","-11,60","","78,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 00:00","2008","01","04","00:00"," ","-8,50","","-12,50","","73,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 01:00","2008","01","04","01:00"," ","-8,30","","-12,70","","71,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 02:00","2008","01","04","02:00"," ","-8,20","","-12,30","","72,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 03:00","2008","01","04","03:00"," ","-8,00","","-13,60","","64,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 04:00","2008","01","04","04:00"," ","-7,90","","-13,40","","65,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 05:00","2008","01","04","05:00"," ","-7,80","","-13,80","","62,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 06:00","2008","01","04","06:00"," ","-7,80","","-13,50","","64,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 07:00","2008","01","04","07:00"," ","-8,10","","-12,30","","72,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 08:00","2008","01","04","08:00"," ","-8,40","","-11,70","","77,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 09:00","2008","01","04","09:00"," ","-7,90","","-11,30","","77,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 10:00","2008","01","04","10:00"," ","-6,90","","-9,50","","82,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 11:00","2008","01","04","11:00"," ","-6,00","","-10,00","","73,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 12:00","2008","01","04","12:00"," ","-6,70","","-10,10","","77,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 13:00","2008","01","04","13:00"," ","-6,20","","-10,60","","71,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 14:00","2008","01","04","14:00"," ","-6,00","","-13,30","","56,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 15:00","2008","01","04","15:00"," ","-6,10","","-12,80","","59,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 16:00","2008","01","04","16:00"," ","-5,70","","-11,10","","66,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 17:00","2008","01","04","17:00"," ","-5,30","","-9,30","","73,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 18:00","2008","01","04","18:00"," ","-4,70","","-8,60","","74,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 19:00","2008","01","04","19:00"," ","-4,20","","-8,20","","74,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 20:00","2008","01","04","20:00"," ","-3,90","","-7,60","","75,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 21:00","2008","01","04","21:00"," ","-4,30","","-7,80","","77,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 22:00","2008","01","04","22:00"," ","-4,80","","-8,30","","76,00","","","M","","M","","","","M","","","","","ND"
"2008-01-04 23:00","2008","01","04","23:00"," ","-5,00","","-8,60","","76,00","","","M","","M","","","","M","","","","","ND"
"2008-01-05 00:00","2008","01","05","00:00"," ","-5,20","","-8,50","","78,00","","","M","","M","","","","M","","","","","ND"
"2008-01-05 01:00","2008","01","05","01:00"," ","-5,00","","-8,20","","78,00","","","M","","M","","","","M","","","","","ND"
"2008-01-05 02:00","2008","01","05","02:00"," ","-4,30","","-7,40","","79,00","","","M","","M","","","","M","","","","","ND"
"2008-01-05 03:00","2008","01","05","03:00"," ","-4,60","","-7,50","","80,00","","","M","","M","","","","M","","","","","ND"
"2008-01-05 04:00","2008","01","05","04:00"," ","-5,00","","-7,50","","83,00","","","M","","M","","","","M","","","","","ND"
"2008-01-05 05:00","2008","01","05","05:00"," ","-4,70","","-6,90","","85,00","","","M","","M","","","","M","","","","","ND"
"2008-01-05 06:00","2008","01","05","06:00"," ","-4,30","","-6,30","","86,00","","","M","","M","","","","M","","","","","ND"
"2008-01-05 07:00","2008","01","05","07:00"," ","-3,10","","-5,50","","83,00","","","M","","M","","","","M","","","","","ND"
"2008-01-05 08:00","2008","01","05","08:00"," ","-2,10","","-5,10","","80,00","","","M","","M","","","","M","","","","","ND"
