"Nom de la Station","TOFINO A"
"Province","BRITISH COLUMBIA"
"Latitude","49,08"
"Longitude","-125,77"
"Altitude","24,50"
"Identification Climat","1038205"
"Identification OMM",""
"Identification TC","YAZ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1989-11-01 00:00","1989","11","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-01 01:00","1989","11","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-01 02:00","1989","11","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-01 03:00","1989","11","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-01 04:00","1989","11","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-01 05:00","1989","11","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-01 06:00","1989","11","01","06:00"," ","1,30","","0,50","","95,00","","0,00","","0,00","","25,00","","102,60","","","","","","Dégagé"
"1989-11-01 07:00","1989","11","01","07:00"," ","0,70","","0,00","","95,00","","5,00","","4,00","","25,00","","102,56","","","","","","Dégagé"
"1989-11-01 08:00","1989","11","01","08:00"," ","0,90","","0,50","","97,00","","0,00","","0,00","","25,00","","102,60","","","","","","Généralement dégagé"
"1989-11-01 09:00","1989","11","01","09:00"," ","3,60","","2,60","","93,00","","0,00","","0,00","","25,00","","102,56","","","","","","Généralement dégagé"
"1989-11-01 10:00","1989","11","01","10:00"," ","7,60","","6,30","","91,00","","18,00","","4,00","","25,00","","102,60","","","","","","Généralement dégagé"
"1989-11-01 11:00","1989","11","01","11:00"," ","9,00","","4,50","","73,00","","0,00","","0,00","","25,00","","102,63","","","","","","Généralement dégagé"
"1989-11-01 12:00","1989","11","01","12:00"," ","10,00","","2,40","","59,00","","22,00","","6,00","","25,00","","102,60","","","","","","Généralement dégagé"
"1989-11-01 13:00","1989","11","01","13:00"," ","10,00","","3,90","","66,00","","21,00","","6,00","","25,00","","102,56","","","","","","Généralement nuageux"
"1989-11-01 14:00","1989","11","01","14:00"," ","11,80","","3,00","","55,00","","21,00","","4,00","","25,00","","102,53","","","","","","Généralement dégagé"
"1989-11-01 15:00","1989","11","01","15:00"," ","10,80","","5,50","","70,00","","25,00","","11,00","","25,00","","102,50","","","","","","Généralement dégagé"
"1989-11-01 16:00","1989","11","01","16:00"," ","10,20","","5,70","","74,00","","28,00","","6,00","","25,00","","102,46","","","","","","Généralement dégagé"
"1989-11-01 17:00","1989","11","01","17:00"," ","7,00","","5,40","","89,00","","0,00","","0,00","","25,00","","102,46","","","","","","Généralement dégagé"
"1989-11-01 18:00","1989","11","01","18:00"," ","5,80","","4,30","","90,00","","0,00","","0,00","","25,00","","102,46","","","","","","Généralement dégagé"
"1989-11-01 19:00","1989","11","01","19:00"," ","4,80","","3,30","","90,00","","0,00","","0,00","","25,00","","102,46","","","","","","Généralement dégagé"
"1989-11-01 20:00","1989","11","01","20:00"," ","4,60","","3,20","","91,00","","0,00","","0,00","","25,00","","102,46","","","","","","Généralement dégagé"
"1989-11-01 21:00","1989","11","01","21:00"," ","5,50","","4,20","","91,00","","0,00","","0,00","","25,00","","102,43","","","","","","Généralement dégagé"
"1989-11-01 22:00","1989","11","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-01 23:00","1989","11","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-02 00:00","1989","11","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-02 01:00","1989","11","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-02 02:00","1989","11","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-02 03:00","1989","11","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-02 04:00","1989","11","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-02 05:00","1989","11","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-02 06:00","1989","11","02","06:00"," ","5,50","","4,70","","95,00","","0,00","","0,00","","25,00","","102,36","","","","","","Généralement nuageux"
"1989-11-02 07:00","1989","11","02","07:00"," ","5,60","","4,70","","94,00","","0,00","","0,00","","25,00","","102,36","","","","","","Généralement nuageux"
"1989-11-02 08:00","1989","11","02","08:00"," ","6,20","","5,60","","96,00","","0,00","","0,00","","25,00","","102,36","","","","","","Pluie"
"1989-11-02 09:00","1989","11","02","09:00"," ","7,00","","5,80","","92,00","","6,00","","7,00","","25,00","","102,33","","","","","","Généralement nuageux"
"1989-11-02 10:00","1989","11","02","10:00"," ","7,80","","6,40","","91,00","","0,00","","0,00","","25,00","","102,36","","","","","","Nuageux"
"1989-11-02 11:00","1989","11","02","11:00"," ","8,40","","7,40","","93,00","","0,00","","0,00","","25,00","","102,39","","","","","","Nuageux"
"1989-11-02 12:00","1989","11","02","12:00"," ","8,80","","7,90","","94,00","","0,00","","0,00","","4,80","","102,43","","","","","","Pluie,Bruine,Brouillard"
"1989-11-02 13:00","1989","11","02","13:00"," ","8,60","","7,40","","92,00","","7,00","","7,00","","4,80","","102,36","","","","","","Pluie,Brouillard"
"1989-11-02 14:00","1989","11","02","14:00"," ","8,30","","7,40","","94,00","","10,00","","11,00","","6,40","","102,33","","","","","","Pluie,Brouillard"
"1989-11-02 15:00","1989","11","02","15:00"," ","8,20","","7,20","","93,00","","10,00","","6,00","","4,80","","102,26","","","","","","Pluie,Brouillard"
"1989-11-02 16:00","1989","11","02","16:00"," ","8,30","","7,40","","94,00","","11,00","","6,00","","3,20","","102,19","","","","","","Pluie,Bruine,Brouillard"
"1989-11-02 17:00","1989","11","02","17:00"," ","8,30","","7,70","","96,00","","11,00","","9,00","","2,40","","102,12","","","","","","Pluie,Bruine,Brouillard"
"1989-11-02 18:00","1989","11","02","18:00"," ","8,80","","8,30","","97,00","","9,00","","7,00","","2,40","","102,09","","","","","","Pluie,Bruine,Brouillard"
"1989-11-02 19:00","1989","11","02","19:00"," ","8,80","","8,30","","97,00","","8,00","","6,00","","4,00","","102,02","","","","","","Pluie,Brouillard"
"1989-11-02 20:00","1989","11","02","20:00"," ","9,50","","8,80","","95,00","","11,00","","9,00","","4,80","","101,99","","","","","","Pluie,Brouillard"
"1989-11-02 21:00","1989","11","02","21:00"," ","9,70","","8,80","","94,00","","3,00","","4,00","","4,80","","101,96","","","","","","Pluie,Brouillard"
"1989-11-02 22:00","1989","11","02","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-02 23:00","1989","11","02","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-03 00:00","1989","11","03","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-03 01:00","1989","11","03","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-03 02:00","1989","11","03","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-03 03:00","1989","11","03","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-03 04:00","1989","11","03","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-03 05:00","1989","11","03","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1989-11-03 06:00","1989","11","03","06:00"," ","7,50","","6,30","","92,00","","26,00","","28,00","","1,60","","101,58","","","","","","Pluie,Brouillard"
"1989-11-03 07:00","1989","11","03","07:00"," ","8,00","","6,80","","92,00","","28,00","","11,00","","1,60","","101,55","","","","","","Pluie modérée,Brouillard"
"1989-11-03 08:00","1989","11","03","08:00"," ","7,50","","6,70","","95,00","","25,00","","24,00","","1,60","","101,55","","","","","","Pluie,Brouillard"
"1989-11-03 09:00","1989","11","03","09:00"," ","12,60","","11,50","","93,00","","24,00","","22,00","","1,60","","101,52","","","","","","Pluie,Brouillard"
"1989-11-03 10:00","1989","11","03","10:00"," ","12,60","","11,80","","95,00","","24,00","","19,00","","1,60","","101,52","","","","","","Pluie modérée,Brouillard"
"1989-11-03 11:00","1989","11","03","11:00"," ","11,60","","10,80","","95,00","","22,00","","19,00","","1,60","","101,48","","","","","","Pluie modérée,Brouillard"
"1989-11-03 12:00","1989","11","03","12:00"," ","12,20","","11,70","","97,00","","24,00","","15,00","","0,80","","101,38","","","","","","Pluie,Brouillard"
"1989-11-03 13:00","1989","11","03","13:00"," ","12,40","","11,80","","96,00","","24,00","","28,00","","0,80","","101,28","","","","","","Pluie,Bruine,Brouillard"
"1989-11-03 14:00","1989","11","03","14:00"," ","12,50","","11,80","","95,00","","25,00","","22,00","","1,00","","101,18","","","","","","Pluie,Bruine,Brouillard"
"1989-11-03 15:00","1989","11","03","15:00"," ","12,50","","11,80","","95,00","","26,00","","19,00","","0,80","","101,01","","","","","","Pluie,Bruine,Brouillard"
"1989-11-03 16:00","1989","11","03","16:00"," ","12,40","","11,80","","96,00","","28,00","","15,00","","1,20","","101,01","","","","","","Pluie,Bruine,Brouillard"
"1989-11-03 17:00","1989","11","03","17:00"," ","12,40","","11,80","","96,00","","28,00","","13,00","","1,00","","100,91","","","","","","Pluie modérée,Brouillard"
