"Nom de la Station","PEACE RIVER A"
"Province","ALBERTA"
"Latitude","56,23"
"Longitude","-117,45"
"Altitude","570,90"
"Identification Climat","3075040"
"Identification OMM","71068"
"Identification TC","YPE"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2006-03-01 00:00","2006","03","01","00:00"," ","-11,90","","-18,40","","58,00","","2,00","","15,00","","24,10","","94,95","","","","-19,00","","Nuageux"
"2006-03-01 01:00","2006","03","01","01:00"," ","-12,90","","-18,40","","63,00","","1,00","","13,00","","24,10","","94,99","","","","-20,00","","Généralement nuageux"
"2006-03-01 02:00","2006","03","01","02:00"," ","-13,00","","-18,50","","63,00","","1,00","","17,00","","24,10","","95,06","","","","-21,00","","Généralement nuageux"
"2006-03-01 03:00","2006","03","01","03:00"," ","-13,20","","-17,80","","68,00","","2,00","","15,00","","24,10","","95,11","","","","-21,00","","Neige"
"2006-03-01 04:00","2006","03","01","04:00"," ","-13,40","","-17,50","","71,00","","35,00","","15,00","","24,10","","95,14","","","","-21,00","","Neige"
"2006-03-01 05:00","2006","03","01","05:00"," ","-13,80","","-18,10","","70,00","","1,00","","19,00","","9,70","","95,22","","","","-22,00","","Neige"
"2006-03-01 06:00","2006","03","01","06:00"," ","-13,80","","-17,50","","74,00","","1,00","","15,00","","8,00","","95,30","","","","-21,00","","Neige"
"2006-03-01 07:00","2006","03","01","07:00"," ","-14,00","","-17,40","","75,00","","36,00","","15,00","","3,20","","95,39","","","","-22,00","","Neige"
"2006-03-01 08:00","2006","03","01","08:00"," ","-14,10","","-17,60","","75,00","","2,00","","11,00","","4,80","","95,44","","","","-21,00","","Neige"
"2006-03-01 09:00","2006","03","01","09:00"," ","-14,20","","-17,50","","76,00","","1,00","","13,00","","8,00","","95,51","","","","-21,00","","Neige"
"2006-03-01 10:00","2006","03","01","10:00"," ","-13,30","","-17,00","","74,00","","3,00","","15,00","","8,00","","95,60","","","","-21,00","","Neige"
"2006-03-01 11:00","2006","03","01","11:00"," ","-12,50","","-16,40","","73,00","","5,00","","20,00","","16,10","","95,66","","","","-21,00","","Neige"
"2006-03-01 12:00","2006","03","01","12:00"," ","-11,80","","-15,80","","72,00","","6,00","","19,00","","16,10","","95,69","","","","-20,00","","Neige"
"2006-03-01 13:00","2006","03","01","13:00"," ","-10,80","","-15,30","","69,00","","4,00","","15,00","","24,10","","95,72","","","","-18,00","","Généralement nuageux"
"2006-03-01 14:00","2006","03","01","14:00"," ","-9,10","","-14,40","","65,00","","5,00","","13,00","","24,10","","95,72","","","","-15,00","","Généralement nuageux"
"2006-03-01 15:00","2006","03","01","15:00"," ","-8,40","","-14,00","","64,00","","4,00","","19,00","","24,10","","95,68","","","","-16,00","","Généralement nuageux"
