"Nom de la Station","CARMACKS CS"
"Province","YUKON TERRITORY"
"Latitude","62,12"
"Longitude","-136,19"
"Altitude","542,90"
"Identification Climat","2100301"
"Identification OMM","71039"
"Identification TC","XCK"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2006-07-01 00:00","2006","07","01","00:00"," ","17,40","","","M","","M","32,00","","6,00","","","","","M","","","","","ND"
"2006-07-01 01:00","2006","07","01","01:00"," ","19,00","","","M","","M","33,00","","11,00","","","","","M","","","","","ND"
"2006-07-01 02:00","2006","07","01","02:00"," ","18,20","","","M","","M","33,00","","7,00","","","","","M","","","","","ND"
"2006-07-01 03:00","2006","07","01","03:00"," ","17,80","","","M","","M","32,00","","13,00","","","","","M","","","","","ND"
"2006-07-01 04:00","2006","07","01","04:00"," ","16,70","","","M","","M","31,00","","7,00","","","","","M","","","","","ND"
"2006-07-01 05:00","2006","07","01","05:00"," ","15,70","","","M","","M","31,00","","6,00","","","","","M","","","","","ND"
"2006-07-01 06:00","2006","07","01","06:00"," ","15,60","","","M","","M","32,00","","6,00","","","","","M","","","","","ND"
"2006-07-01 07:00","2006","07","01","07:00"," ","16,10","","","M","","M","31,00","","7,00","","","","","M","","","","","ND"
"2006-07-01 08:00","2006","07","01","08:00"," ","16,10","","","M","","M","31,00","","17,00","","","","","M","","","","","ND"
"2006-07-01 09:00","2006","07","01","09:00"," ","16,70","","","M","","M","32,00","","15,00","","","","","M","","","","","ND"
"2006-07-01 10:00","2006","07","01","10:00"," ","15,00","","","M","","M","30,00","","20,00","","","","","M","","","","","ND"
"2006-07-01 11:00","2006","07","01","11:00"," ","15,70","","","M","","M","31,00","","9,00","","","","","M","","","","","ND"
"2006-07-01 12:00","2006","07","01","12:00"," ","17,30","","","M","","M","33,00","","9,00","","","","","M","","","","","ND"
"2006-07-01 13:00","2006","07","01","13:00"," ","18,70","","","M","","M","31,00","","9,00","","","","","M","","","","","ND"
"2006-07-01 14:00","2006","07","01","14:00"," ","19,50","","","M","","M","29,00","","11,00","","","","","M","","","","","ND"
"2006-07-01 15:00","2006","07","01","15:00"," ","20,70","","","M","","M","30,00","","13,00","","","","","M","","","","","ND"
