"Nom de la Station","PRINCE RUPERT AWOS"
"Province","BRITISH COLUMBIA"
"Latitude","54,29"
"Longitude","-130,44"
"Altitude","35,40"
"Identification Climat","1066483"
"Identification OMM","71898"
"Identification TC","VPT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-10-01 00:00","2009","10","01","00:00"," ","7,90","","7,20","","95,00","","14,00","","13,00","","15,00","","101,05","","","","","",""
"2009-10-01 01:00","2009","10","01","01:00"," ","8,10","","7,30","","95,00","","17,00","","13,00","","15,00","","101,10","","","","","",""
"2009-10-01 02:00","2009","10","01","02:00"," ","7,60","","7,00","","96,00","","14,00","","13,00","","15,00","","101,13","","","","","",""
"2009-10-01 03:00","2009","10","01","03:00"," ","8,10","","7,40","","95,00","","15,00","","17,00","","6,40","","101,14","","","","","","Pluie"
"2009-10-01 04:00","2009","10","01","04:00"," ","8,40","","7,40","","93,00","","16,00","","11,00","","15,00","","101,16","","","","","","Pluie"
"2009-10-01 05:00","2009","10","01","05:00"," ","7,80","","7,10","","95,00","","15,00","","15,00","","15,00","","101,15","","","","","",""
"2009-10-01 06:00","2009","10","01","06:00"," ","8,40","","7,60","","95,00","","16,00","","17,00","","15,00","","101,16","","","","","","Pluie"
"2009-10-01 07:00","2009","10","01","07:00"," ","8,60","","7,60","","93,00","","16,00","","13,00","","15,00","","101,21","","","","","",""
"2009-10-01 08:00","2009","10","01","08:00"," ","8,80","","7,40","","91,00","","16,00","","11,00","","15,00","","101,24","","","","","",""
"2009-10-01 09:00","2009","10","01","09:00"," ","8,90","","7,80","","93,00","","16,00","","17,00","","15,00","","101,26","","","","","","Pluie"
"2009-10-01 10:00","2009","10","01","10:00"," ","9,50","","7,90","","90,00","","15,00","","19,00","","15,00","","101,29","","","","","",""
"2009-10-01 11:00","2009","10","01","11:00"," ","9,50","","7,50","","87,00","","16,00","","17,00","","15,00","","101,32","","","","","",""
