"Nom de la Station","REGINA RCS"
"Province","SASKATCHEWAN"
"Latitude","50,43"
"Longitude","-104,67"
"Altitude","577,30"
"Identification Climat","4016699"
"Identification OMM","71514"
"Identification TC","WDJ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2013-03-01 00:00","2013","03","01","00:00"," ","-5,10","","-6,90","","87,00","","14,00","","11,00","","","","95,51","","","","-10,00","","ND"
"2013-03-01 01:00","2013","03","01","01:00"," ","-5,10","","-6,80","","88,00","","15,00","","13,00","","","","95,52","","","","-10,00","","ND"
"2013-03-01 02:00","2013","03","01","02:00"," ","-5,20","","-6,80","","88,00","","15,00","","13,00","","","","95,52","","","","-10,00","","ND"
"2013-03-01 03:00","2013","03","01","03:00"," ","-5,20","","-6,80","","88,00","","14,00","","11,00","","","","95,51","","","","-10,00","","ND"
"2013-03-01 04:00","2013","03","01","04:00"," ","-5,30","","-6,90","","88,00","","16,00","","11,00","","","","95,51","","","","-10,00","","ND"
"2013-03-01 05:00","2013","03","01","05:00"," ","-5,40","","-7,00","","88,00","","15,00","","11,00","","","","95,53","","","","-10,00","","ND"
"2013-03-01 06:00","2013","03","01","06:00"," ","-5,50","","-7,10","","88,00","","15,00","","15,00","","","","95,54","","","","-11,00","","ND"
"2013-03-01 07:00","2013","03","01","07:00"," ","-5,60","","-7,20","","88,00","","15,00","","17,00","","","","95,53","","","","-12,00","","ND"
"2013-03-01 08:00","2013","03","01","08:00"," ","-7,10","","-8,60","","89,00","","17,00","","19,00","","","","95,54","","","","-14,00","","ND"
"2013-03-01 09:00","2013","03","01","09:00"," ","-6,70","","-8,20","","89,00","","16,00","","19,00","","","","95,47","","","","-14,00","","ND"
"2013-03-01 10:00","2013","03","01","10:00"," ","-5,70","","-7,20","","89,00","","14,00","","28,00","","","","95,43","","","","-14,00","","ND"
"2013-03-01 11:00","2013","03","01","11:00"," ","-5,30","","-7,00","","88,00","","14,00","","26,00","","","","95,34","","","","-13,00","","ND"
"2013-03-01 12:00","2013","03","01","12:00"," ","-4,20","","-6,00","","87,00","","15,00","","28,00","","","","95,33","","","","-12,00","","ND"
"2013-03-01 13:00","2013","03","01","13:00"," ","-2,80","","-4,80","","86,00","","14,00","","30,00","","","","95,25","","","","-10,00","","ND"
