"Nom de la Station","ESTEVAN A"
"Province","SASKATCHEWAN"
"Latitude","49,22"
"Longitude","-102,97"
"Altitude","580,60"
"Identification Climat","4012400"
"Identification OMM","71862"
"Identification TC","YEN"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1995-03-01 00:00","1995","03","01","00:00"," ","-23,80","","-27,30","","73,00","","30,00","","9,00","","24,10","","96,65","","","","-31,00","","Dégagé"
"1995-03-01 01:00","1995","03","01","01:00"," ","-24,50","","-28,60","","69,00","","29,00","","9,00","","24,10","","96,65","","","","-32,00","","Dégagé"
"1995-03-01 02:00","1995","03","01","02:00"," ","-25,80","","-29,60","","70,00","","29,00","","7,00","","24,10","","96,68","","","","-32,00","","Dégagé"
"1995-03-01 03:00","1995","03","01","03:00"," ","-25,60","","-29,50","","70,00","","28,00","","11,00","","24,10","","96,65","","","","-34,00","","Dégagé"
"1995-03-01 04:00","1995","03","01","04:00"," ","-24,80","","-28,50","","71,00","","29,00","","9,00","","24,10","","96,65","","","","-32,00","","Dégagé"
"1995-03-01 05:00","1995","03","01","05:00"," ","-25,90","","-29,70","","70,00","","29,00","","11,00","","24,10","","96,59","","","","-35,00","","Dégagé"
"1995-03-01 06:00","1995","03","01","06:00"," ","-26,40","","-30,10","","71,00","","29,00","","9,00","","24,10","","96,59","","","","-34,00","","Dégagé"
"1995-03-01 07:00","1995","03","01","07:00"," ","-26,00","","-29,40","","73,00","","28,00","","7,00","","24,10","","96,62","","","","-33,00","","Dégagé"
"1995-03-01 08:00","1995","03","01","08:00"," ","-26,20","","-30,00","","70,00","","27,00","","9,00","","24,10","","96,65","","","","-34,00","","Dégagé"
"1995-03-01 09:00","1995","03","01","09:00"," ","-21,70","","-25,20","","73,00","","26,00","","6,00","","24,10","","96,65","","","","-27,00","","Dégagé"
