"Nom de la Station","PETERBOROUGH AWOS"
"Province","ONTARIO"
"Latitude","44,23"
"Longitude","-78,37"
"Altitude","191,40"
"Identification Climat","6166420"
"Identification OMM",""
"Identification TC",""
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2006-07-01 00:00","2006","07","01","00:00"," ","12,90","","12,80","","99,00","","25,00","","6,00","","9,70","","99,37","","","","","",""
"2006-07-01 01:00","2006","07","01","01:00"," ","11,90","","11,90","","100,00","","0,00","","0,00","","4,00","","99,39","","","","","",""
"2006-07-01 02:00","2006","07","01","02:00"," ","12,10","","11,80","","98,00","","0,00","","0,00","","11,30","","99,39","","","","","",""
"2006-07-01 03:00","2006","07","01","03:00"," ","11,40","","11,30","","99,00","","0,00","","0,00","","3,10","","99,37","","","","","",""
"2006-07-01 04:00","2006","07","01","04:00"," ","11,60","","11,60","","100,00","","0,00","","0,00","","12,90","","99,35","","","","","",""
"2006-07-01 05:00","2006","07","01","05:00"," ","10,20","","10,20","","100,00","","21,00","","4,00","","4,80","","99,38","","","","","",""
"2006-07-01 06:00","2006","07","01","06:00"," ","13,90","","13,10","","95,00","","29,00","","4,00","","12,90","","99,40","","","","","",""
"2006-07-01 07:00","2006","07","01","07:00"," ","17,80","","14,80","","83,00","","22,00","","6,00","","15,00","","99,42","","","","","",""
"2006-07-01 08:00","2006","07","01","08:00"," ","21,60","","16,10","","71,00","","25,00","","11,00","","15,00","","99,45","","26,00","","","",""
"2006-07-01 09:00","2006","07","01","09:00"," ","23,60","","15,90","","62,00","","26,00","","15,00","","15,00","","99,46","","28,00","","","",""
"2006-07-01 10:00","2006","07","01","10:00"," ","25,60","","15,30","","53,00","","26,00","","20,00","","15,00","","99,41","","30,00","","","",""
"2006-07-01 11:00","2006","07","01","11:00"," ","26,70","","13,80","","45,00","","26,00","","19,00","","15,00","","99,39","","30,00","","","",""
"2006-07-01 12:00","2006","07","01","12:00"," ","27,00","","14,40","","46,00","","25,00","","32,00","","15,00","","99,34","","31,00","","","",""
"2006-07-01 13:00","2006","07","01","13:00"," ","26,50","","16,20","","53,00","","21,00","","20,00","","15,00","","99,28","","31,00","","","",""
"2006-07-01 14:00","2006","07","01","14:00"," ","26,20","","15,00","","50,00","","23,00","","24,00","","15,00","","99,22","","30,00","","","",""
"2006-07-01 15:00","2006","07","01","15:00"," ","24,70","","14,50","","53,00","","22,00","","28,00","","15,00","","99,19","","28,00","","","",""
"2006-07-01 16:00","2006","07","01","16:00"," ","25,30","","15,10","","53,00","","22,00","","19,00","","15,00","","99,12","","29,00","","","",""
"2006-07-01 17:00","2006","07","01","17:00"," ","24,20","","14,90","","56,00","","21,00","","19,00","","15,00","","98,99","","28,00","","","",""
"2006-07-01 18:00","2006","07","01","18:00"," ","24,60","","15,10","","55,00","","23,00","","20,00","","15,00","","99,05","","29,00","","","",""
"2006-07-01 19:00","2006","07","01","19:00"," ","21,70","","17,20","","76,00","","21,00","","15,00","","11,30","","98,97","","27,00","","","","Pluie"
