"Nom de la Station","SHERBROOKE A"
"Province","QUEBEC"
"Latitude","45,43"
"Longitude","-71,68"
"Altitude","241,40"
"Identification Climat","7028126"
"Identification OMM",""
"Identification TC","GSC"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2008-01-01 00:00","2008","01","01","00:00"," ","-5,10","","-7,00","","86,00","","20,00","","7,00","","15,00","","98,83","","","","-8,00","","Neige"
"2008-01-01 01:00","2008","01","01","01:00"," ","-5,40","","-6,90","","89,00","","0,00","","0,00","","15,00","","98,76","","","","","",""
"2008-01-01 02:00","2008","01","01","02:00"," ","-5,80","","-7,40","","88,00","","24,00","","6,00","","15,00","","98,88","","","","-9,00","",""
"2008-01-01 03:00","2008","01","01","03:00"," ","-5,40","","-7,20","","87,00","","21,00","","6,00","","15,00","","98,90","","","","-8,00","",""
"2008-01-01 04:00","2008","01","01","04:00"," ","-5,00","","-7,10","","85,00","","23,00","","6,00","","15,00","","98,90","","","","-8,00","",""
"2008-01-01 05:00","2008","01","01","05:00"," ","-5,20","","-7,40","","84,00","","23,00","","4,00","","15,00","","98,88","","","","-7,00","",""
"2008-01-01 06:00","2008","01","01","06:00"," ","-6,00","","-7,40","","90,00","","0,00","","0,00","","15,00","","98,89","","","","","",""
"2008-01-01 07:00","2008","01","01","07:00"," ","-6,10","","-7,60","","89,00","","1,00","","6,00","","14,50","","98,87","","","","-9,00","",""
"2008-01-01 08:00","2008","01","01","08:00"," ","-5,50","","-7,60","","85,00","","8,00","","9,00","","15,00","","98,79","","","","-10,00","",""
"2008-01-01 09:00","2008","01","01","09:00"," ","-4,90","","-7,40","","83,00","","8,00","","7,00","","15,00","","98,72","","","","-8,00","",""
"2008-01-01 10:00","2008","01","01","10:00"," ","-4,00","","-6,80","","81,00","","9,00","","6,00","","15,00","","98,63","","","","-7,00","",""
"2008-01-01 11:00","2008","01","01","11:00"," ","-3,30","","-6,40","","79,00","","9,00","","9,00","","15,00","","98,52","","","","-7,00","",""
"2008-01-01 12:00","2008","01","01","12:00"," ","-2,60","","-6,20","","76,00","","12,00","","17,00","","8,00","","98,38","","","","-8,00","","Neige"
"2008-01-01 13:00","2008","01","01","13:00"," ","-3,10","","-4,70","","89,00","","9,00","","11,00","","1,80","","98,24","","","","-7,00","","Neige"
"2008-01-01 14:00","2008","01","01","14:00"," ","-3,40","","-4,60","","91,00","","8,00","","13,00","","1,30","","98,13","","","","-8,00","","Neige"
"2008-01-01 15:00","2008","01","01","15:00"," ","-3,30","","-4,40","","92,00","","7,00","","11,00","","0,80","","98,03","","","","-8,00","","Neige"
"2008-01-01 16:00","2008","01","01","16:00"," ","-3,40","","-4,40","","93,00","","4,00","","11,00","","0,60","","97,96","","","","-8,00","","Neige"
"2008-01-01 17:00","2008","01","01","17:00"," ","-3,30","","-4,30","","93,00","","5,00","","13,00","","1,00","","97,86","","","","-8,00","","Neige"
"2008-01-01 18:00","2008","01","01","18:00"," ","-3,50","","-4,50","","93,00","","6,00","","11,00","","1,40","","97,77","","","","-8,00","","Neige"
"2008-01-01 19:00","2008","01","01","19:00"," ","-3,60","","-4,60","","93,00","","4,00","","15,00","","1,30","","97,72","","","","-9,00","","Neige"
"2008-01-01 20:00","2008","01","01","20:00"," ","-3,80","","-4,90","","92,00","","4,00","","15,00","","0,60","","97,64","","","","-9,00","","Neige"
"2008-01-01 21:00","2008","01","01","21:00"," ","-4,00","","-5,10","","92,00","","4,00","","15,00","","1,30","","97,55","","","","-9,00","","Neige"
"2008-01-01 22:00","2008","01","01","22:00"," ","-4,40","","-5,40","","93,00","","4,00","","17,00","","0,80","","97,47","","","","-10,00","","Neige"
"2008-01-01 23:00","2008","01","01","23:00"," ","-4,40","","-5,50","","92,00","","4,00","","15,00","","0,80","","97,42","","","","-10,00","","Neige"
"2008-01-02 00:00","2008","01","02","00:00"," ","-4,50","","-5,60","","92,00","","4,00","","20,00","","0,60","","97,37","","","","-11,00","","Neige"
"2008-01-02 01:00","2008","01","02","01:00"," ","-4,40","","-5,50","","92,00","","5,00","","11,00","","1,10","","97,35","","","","-9,00","","Neige"
"2008-01-02 02:00","2008","01","02","02:00"," ","-4,80","","-6,10","","91,00","","4,00","","15,00","","6,40","","97,37","","","","-10,00","","Neige"
"2008-01-02 03:00","2008","01","02","03:00"," ","-5,60","","-7,10","","89,00","","4,00","","15,00","","15,00","","97,43","","","","-11,00","","Neige"
"2008-01-02 04:00","2008","01","02","04:00"," ","-6,40","","-8,20","","87,00","","2,00","","13,00","","9,70","","97,54","","","","-12,00","","Neige"
"2008-01-02 05:00","2008","01","02","05:00"," ","-8,20","","-9,40","","91,00","","33,00","","11,00","","1,60","","97,70","","","","-13,00","","Neige"
"2008-01-02 06:00","2008","01","02","06:00"," ","-9,30","","-10,90","","88,00","","35,00","","11,00","","4,00","","97,85","","","","-15,00","","Neige"
"2008-01-02 07:00","2008","01","02","07:00"," ","-10,20","","-12,00","","87,00","","33,00","","7,00","","6,40","","97,97","","","","-14,00","","Neige"
"2008-01-02 08:00","2008","01","02","08:00"," ","-14,00","","-15,80","","86,00","","33,00","","15,00","","15,00","","98,09","","","","-22,00","",""
"2008-01-02 09:00","2008","01","02","09:00"," ","-15,30","","-16,90","","88,00","","30,00","","20,00","","14,50","","98,23","","","","-25,00","",""
"2008-01-02 10:00","2008","01","02","10:00"," ","-16,60","","-18,30","","87,00","","30,00","","24,00","","15,00","","98,36","","","","-27,00","",""
"2008-01-02 11:00","2008","01","02","11:00"," ","-17,80","","-19,20","","89,00","","28,00","","26,00","","15,00","","98,42","","","","-29,00","",""
"2008-01-02 12:00","2008","01","02","12:00"," ","-18,00","","-20,60","","80,00","","30,00","","20,00","","15,00","","98,47","","","","-28,00","",""
"2008-01-02 13:00","2008","01","02","13:00"," ","-17,60","","-20,10","","81,00","","28,00","","20,00","","15,00","","98,56","","","","-27,00","",""
"2008-01-02 14:00","2008","01","02","14:00"," ","-17,80","","-21,30","","74,00","","30,00","","17,00","","15,00","","98,67","","","","-27,00","",""
"2008-01-02 15:00","2008","01","02","15:00"," ","-18,40","","-22,00","","73,00","","30,00","","17,00","","15,00","","98,81","","","","-28,00","",""
"2008-01-02 16:00","2008","01","02","16:00"," ","-18,60","","-22,40","","72,00","","30,00","","15,00","","15,00","","98,93","","","","-27,00","",""
"2008-01-02 17:00","2008","01","02","17:00"," ","-20,70","","-23,80","","76,00","","28,00","","9,00","","15,00","","99,04","","","","-28,00","",""
"2008-01-02 18:00","2008","01","02","18:00"," ","-19,80","","-23,70","","71,00","","25,00","","9,00","","15,00","","99,15","","","","-27,00","",""
"2008-01-02 19:00","2008","01","02","19:00"," ","-20,40","","-24,00","","73,00","","25,00","","6,00","","15,00","","99,25","","","","-25,00","",""
"2008-01-02 20:00","2008","01","02","20:00"," ","-19,60","","-23,30","","72,00","","22,00","","6,00","","15,00","","99,32","","","","-25,00","",""
"2008-01-02 21:00","2008","01","02","21:00"," ","-20,00","","-23,50","","74,00","","25,00","","9,00","","15,00","","99,40","","","","-27,00","",""
"2008-01-02 22:00","2008","01","02","22:00"," ","-20,40","","-24,50","","70,00","","29,00","","17,00","","15,00","","99,46","","","","-30,00","",""
"2008-01-02 23:00","2008","01","02","23:00"," ","-21,80","","-25,90","","69,00","","29,00","","15,00","","15,00","","99,53","","","","-31,00","",""
"2008-01-03 00:00","2008","01","03","00:00"," ","-21,30","","-25,20","","71,00","","27,00","","15,00","","15,00","","99,58","","","","-31,00","",""
"2008-01-03 01:00","2008","01","03","01:00"," ","-22,60","","-26,60","","70,00","","28,00","","13,00","","15,00","","99,62","","","","-32,00","",""
"2008-01-03 02:00","2008","01","03","02:00"," ","-22,90","","-27,20","","68,00","","27,00","","9,00","","15,00","","99,71","","","","-30,00","",""
"2008-01-03 03:00","2008","01","03","03:00"," ","-22,70","","-26,90","","69,00","","27,00","","17,00","","15,00","","99,79","","","","-33,00","",""
"2008-01-03 04:00","2008","01","03","04:00"," ","-24,50","","-28,80","","67,00","","28,00","","11,00","","15,00","","99,91","","","","-33,00","",""
"2008-01-03 05:00","2008","01","03","05:00"," ","-24,90","","-28,90","","69,00","","27,00","","11,00","","15,00","","100,03","","","","-34,00","",""
"2008-01-03 06:00","2008","01","03","06:00"," ","-23,90","","-28,00","","69,00","","24,00","","9,00","","15,00","","100,05","","","","-31,00","",""
"2008-01-03 07:00","2008","01","03","07:00"," ","-25,10","","-29,20","","69,00","","27,00","","13,00","","15,00","","100,16","","","","-35,00","",""
"2008-01-03 08:00","2008","01","03","08:00"," ","-25,50","","-29,50","","69,00","","29,00","","9,00","","15,00","","100,32","","","","-33,00","",""
"2008-01-03 09:00","2008","01","03","09:00"," ","-23,90","","-28,10","","68,00","","29,00","","15,00","","15,00","","100,40","","","","-34,00","",""
"2008-01-03 10:00","2008","01","03","10:00"," ","-22,40","","-26,50","","69,00","","30,00","","11,00","","15,00","","100,50","","","","-31,00","",""
"2008-01-03 11:00","2008","01","03","11:00"," ","-21,90","","-25,90","","70,00","","28,00","","7,00","","14,50","","100,48","","","","-28,00","",""
"2008-01-03 12:00","2008","01","03","12:00"," ","-21,30","","-25,00","","72,00","","28,00","","19,00","","15,00","","100,47","","","","-32,00","",""
"2008-01-03 13:00","2008","01","03","13:00"," ","-20,60","","-24,50","","71,00","","28,00","","11,00","","15,00","","100,45","","","","-28,00","",""
"2008-01-03 14:00","2008","01","03","14:00"," ","-20,00","","-24,00","","70,00","","28,00","","13,00","","15,00","","100,50","","","","-28,00","",""
"2008-01-03 15:00","2008","01","03","15:00"," ","-19,70","","-24,20","","67,00","","29,00","","6,00","","15,00","","100,52","","","","-25,00","",""
"2008-01-03 16:00","2008","01","03","16:00"," ","-19,80","","-24,70","","65,00","","27,00","","6,00","","15,00","","100,52","","","","-25,00","",""
"2008-01-03 17:00","2008","01","03","17:00"," ","-23,90","","-28,40","","66,00","","24,00","","4,00","","15,00","","100,52","","","","-28,00","",""
"2008-01-03 18:00","2008","01","03","18:00"," ","-24,30","","-29,00","","65,00","","0,00","","0,00","","15,00","","100,60","","","","","",""
"2008-01-03 19:00","2008","01","03","19:00"," ","-27,00","","-31,80","","64,00","","11,00","","6,00","","15,00","","100,59","","","","-33,00","",""
"2008-01-03 20:00","2008","01","03","20:00"," ","-28,80","","-33,80","","62,00","","0,00","","0,00","","15,00","","100,57","","","","","",""
"2008-01-03 21:00","2008","01","03","21:00"," ","-27,70","","-32,30","","65,00","","9,00","","6,00","","15,00","","100,53","","","","-34,00","",""
"2008-01-03 22:00","2008","01","03","22:00"," ","-27,40","","-32,00","","65,00","","8,00","","6,00","","15,00","","100,37","","","","-34,00","",""
"2008-01-03 23:00","2008","01","03","23:00"," ","-26,70","","-31,20","","66,00","","10,00","","4,00","","15,00","","100,31","","","","-31,00","",""
"2008-01-04 00:00","2008","01","04","00:00"," ","-27,40","","-32,00","","65,00","","0,00","","0,00","","15,00","","100,24","","","","","",""
"2008-01-04 01:00","2008","01","04","01:00"," ","-25,00","","-29,50","","66,00","","10,00","","7,00","","15,00","","100,06","","","","-31,00","",""
"2008-01-04 02:00","2008","01","04","02:00"," ","-23,50","","-27,80","","68,00","","0,00","","0,00","","15,00","","99,99","","","","","",""
"2008-01-04 03:00","2008","01","04","03:00"," ","-21,50","","-25,80","","68,00","","0,00","","0,00","","15,00","","99,89","","","","","",""
"2008-01-04 04:00","2008","01","04","04:00"," ","-20,30","","-24,20","","71,00","","0,00","","0,00","","15,00","","99,77","","","","","",""
"2008-01-04 05:00","2008","01","04","05:00"," ","-19,10","","-23,20","","70,00","","0,00","","0,00","","3,40","","99,64","","","","","","Neige"
"2008-01-04 06:00","2008","01","04","06:00"," ","-18,40","","-22,00","","73,00","","35,00","","4,00","","2,10","","99,59","","","","-22,00","","Neige"
"2008-01-04 07:00","2008","01","04","07:00"," ","-17,00","","-20,60","","74,00","","0,00","","0,00","","11,30","","99,56","","","","","","Neige"
"2008-01-04 08:00","2008","01","04","08:00"," ","-15,90","","-19,30","","75,00","","0,00","","0,00","","8,00","","99,55","","","","","","Neige"
"2008-01-04 09:00","2008","01","04","09:00"," ","-13,70","","-15,50","","86,00","","30,00","","4,00","","4,80","","99,59","","","","-16,00","","Neige"
"2008-01-04 10:00","2008","01","04","10:00"," ","-10,20","","-12,30","","85,00","","23,00","","15,00","","5,60","","99,60","","","","-17,00","","Neige"
"2008-01-04 11:00","2008","01","04","11:00"," ","-8,80","","-10,90","","85,00","","23,00","","7,00","","8,00","","99,53","","","","-13,00","","Neige"
"2008-01-04 12:00","2008","01","04","12:00"," ","-8,10","","-10,20","","85,00","","23,00","","13,00","","6,40","","99,49","","","","-14,00","","Neige"
"2008-01-04 13:00","2008","01","04","13:00"," ","-7,30","","-9,30","","86,00","","23,00","","11,00","","3,50","","99,47","","","","-12,00","","Neige"
"2008-01-04 14:00","2008","01","04","14:00"," ","-6,80","","-8,90","","85,00","","23,00","","13,00","","8,00","","99,47","","","","-12,00","",""
"2008-01-04 15:00","2008","01","04","15:00"," ","-6,40","","-8,40","","86,00","","22,00","","9,00","","9,70","","99,46","","","","-11,00","","Neige"
"2008-01-04 16:00","2008","01","04","16:00"," ","-6,00","","-8,10","","85,00","","21,00","","11,00","","15,00","","99,47","","","","-11,00","","Neige"
"2008-01-04 17:00","2008","01","04","17:00"," ","-6,00","","-7,90","","86,00","","22,00","","11,00","","14,50","","99,52","","","","-11,00","",""
"2008-01-04 18:00","2008","01","04","18:00"," ","-5,80","","-7,60","","87,00","","23,00","","9,00","","15,00","","99,54","","","","-10,00","",""
"2008-01-04 19:00","2008","01","04","19:00"," ","-5,70","","-7,60","","86,00","","23,00","","11,00","","14,50","","99,53","","","","-10,00","",""
"2008-01-04 20:00","2008","01","04","20:00"," ","-5,50","","-7,50","","86,00","","23,00","","11,00","","15,00","","99,53","","","","-10,00","",""
"2008-01-04 21:00","2008","01","04","21:00"," ","-5,30","","-7,40","","85,00","","23,00","","7,00","","15,00","","99,53","","","","-9,00","",""
"2008-01-04 22:00","2008","01","04","22:00"," ","-5,20","","-7,20","","86,00","","23,00","","9,00","","15,00","","99,50","","","","-9,00","",""
"2008-01-04 23:00","2008","01","04","23:00"," ","-5,00","","-7,10","","85,00","","24,00","","9,00","","15,00","","99,50","","","","-9,00","",""
"2008-01-05 00:00","2008","01","05","00:00"," ","-5,20","","-7,10","","86,00","","27,00","","6,00","","15,00","","99,51","","","","-8,00","",""
"2008-01-05 01:00","2008","01","05","01:00"," ","-4,80","","-6,90","","85,00","","25,00","","6,00","","15,00","","99,51","","","","-8,00","",""
"2008-01-05 02:00","2008","01","05","02:00"," ","-4,60","","-6,90","","84,00","","22,00","","9,00","","15,00","","99,56","","","","-8,00","",""
"2008-01-05 03:00","2008","01","05","03:00"," ","-4,40","","-6,80","","83,00","","22,00","","7,00","","15,00","","99,57","","","","-8,00","",""
"2008-01-05 04:00","2008","01","05","04:00"," ","-4,40","","-6,80","","83,00","","23,00","","7,00","","14,50","","99,53","","","","-8,00","",""
"2008-01-05 05:00","2008","01","05","05:00"," ","-4,80","","-6,80","","86,00","","26,00","","4,00","","15,00","","99,51","","","","-7,00","",""
"2008-01-05 06:00","2008","01","05","06:00"," ","-4,10","","-6,50","","83,00","","22,00","","4,00","","15,00","","99,53","","","","-6,00","",""
"2008-01-05 07:00","2008","01","05","07:00"," ","-3,80","","-6,50","","81,00","","21,00","","4,00","","15,00","","99,52","","","","-5,00","",""
"2008-01-05 08:00","2008","01","05","08:00"," ","-3,80","","-6,50","","81,00","","21,00","","6,00","","15,00","","99,52","","","","-6,00","",""
"2008-01-05 09:00","2008","01","05","09:00"," ","-3,80","","-6,20","","83,00","","0,00","","0,00","","12,90","","99,53","","","","","",""
"2008-01-05 10:00","2008","01","05","10:00"," ","-3,20","","-5,90","","82,00","","22,00","","6,00","","15,00","","99,51","","","","-6,00","",""
"2008-01-05 11:00","2008","01","05","11:00"," ","-2,40","","-5,90","","77,00","","20,00","","11,00","","15,00","","99,44","","","","-6,00","",""
"2008-01-05 12:00","2008","01","05","12:00"," ","-1,70","","-5,80","","74,00","","20,00","","11,00","","15,00","","99,34","","","","-6,00","",""
"2008-01-05 13:00","2008","01","05","13:00"," ","-1,20","","-5,20","","74,00","","20,00","","9,00","","15,00","","99,30","","","","-4,00","",""
"2008-01-05 14:00","2008","01","05","14:00"," ","-1,10","","-5,20","","74,00","","21,00","","9,00","","15,00","","99,29","","","","-4,00","",""
"2008-01-05 15:00","2008","01","05","15:00"," ","-1,30","","-5,00","","76,00","","17,00","","7,00","","15,00","","99,23","","","","-4,00","",""
"2008-01-05 16:00","2008","01","05","16:00"," ","-1,30","","-5,30","","74,00","","19,00","","6,00","","15,00","","99,21","","","","-4,00","",""
"2008-01-05 17:00","2008","01","05","17:00"," ","-1,40","","-4,80","","78,00","","16,00","","6,00","","15,00","","99,15","","","","-4,00","",""
"2008-01-05 18:00","2008","01","05","18:00"," ","-2,10","","-4,60","","83,00","","0,00","","0,00","","15,00","","99,13","","","","","",""
"2008-01-05 19:00","2008","01","05","19:00"," ","-1,60","","-5,00","","78,00","","17,00","","6,00","","15,00","","99,10","","","","-4,00","",""
"2008-01-05 20:00","2008","01","05","20:00"," ","-1,90","","-5,70","","75,00","","0,00","","0,00","","15,00","","99,10","","","","","",""
"2008-01-05 21:00","2008","01","05","21:00"," ","-2,40","","-5,20","","81,00","","13,00","","6,00","","12,90","","99,06","","","","-5,00","",""
"2008-01-05 22:00","2008","01","05","22:00"," ","-2,20","","-5,40","","79,00","","0,00","","0,00","","15,00","","99,04","","","","","","Neige"
"2008-01-05 23:00","2008","01","05","23:00"," ","-2,30","","-5,30","","80,00","","14,00","","4,00","","9,70","","99,00","","","","-4,00","","Neige"
"2008-01-06 00:00","2008","01","06","00:00"," ","-2,10","","-4,80","","82,00","","16,00","","4,00","","15,00","","98,96","","","","-4,00","","Neige"
"2008-01-06 01:00","2008","01","06","01:00"," ","-2,30","","-4,30","","86,00","","0,00","","0,00","","14,50","","98,90","","","","","","Neige"
"2008-01-06 02:00","2008","01","06","02:00"," ","-2,40","","-4,20","","87,00","","0,00","","0,00","","11,30","","98,91","","","","","",""
"2008-01-06 03:00","2008","01","06","03:00"," ","-2,40","","-3,80","","90,00","","0,00","","0,00","","9,70","","98,94","","","","","",""
"2008-01-06 04:00","2008","01","06","04:00"," ","-2,10","","-3,90","","87,00","","0,00","","0,00","","11,30","","98,87","","","","","",""
"2008-01-06 05:00","2008","01","06","05:00"," ","-1,60","","-3,60","","86,00","","0,00","","0,00","","15,00","","98,87","","","","","",""
"2008-01-06 06:00","2008","01","06","06:00"," ","-1,30","","-3,50","","85,00","","0,00","","0,00","","15,00","","98,95","","","","","",""
"2008-01-06 07:00","2008","01","06","07:00"," ","-1,20","","-2,80","","89,00","","0,00","","0,00","","15,00","","98,98","","","","","",""
"2008-01-06 08:00","2008","01","06","08:00"," ","-0,40","","-2,30","","87,00","","24,00","","4,00","","15,00","","99,03","","","","-2,00","",""
"2008-01-06 09:00","2008","01","06","09:00"," ","0,20","","-1,70","","87,00","","27,00","","4,00","","12,90","","99,06","","","","","",""
"2008-01-06 10:00","2008","01","06","10:00"," ","0,60","","-1,50","","86,00","","25,00","","4,00","","12,90","","99,07","","","","","",""
"2008-01-06 11:00","2008","01","06","11:00"," ","1,00","","-1,20","","85,00","","25,00","","4,00","","15,00","","99,07","","","","","",""
"2008-01-06 12:00","2008","01","06","12:00"," ","1,50","","-1,30","","82,00","","0,00","","0,00","","15,00","","99,01","","","","","",""
"2008-01-06 13:00","2008","01","06","13:00"," ","1,60","","-1,10","","82,00","","0,00","","0,00","","15,00","","99,00","","","","","",""
"2008-01-06 14:00","2008","01","06","14:00"," ","1,90","","-0,90","","82,00","","22,00","","4,00","","15,00","","99,01","","","","","",""
"2008-01-06 15:00","2008","01","06","15:00"," ","2,30","","-0,40","","82,00","","0,00","","0,00","","15,00","","99,03","","","","","",""
"2008-01-06 16:00","2008","01","06","16:00"," ","1,00","","-0,30","","91,00","","0,00","","0,00","","11,30","","99,04","","","","","",""
"2008-01-06 17:00","2008","01","06","17:00"," ","0,90","","-0,30","","92,00","","0,00","","0,00","","9,70","","99,05","","","","","",""
"2008-01-06 18:00","2008","01","06","18:00"," ","1,30","","-0,30","","89,00","","0,00","","0,00","","12,90","","99,11","","","","","",""
"2008-01-06 19:00","2008","01","06","19:00"," ","0,60","","-0,40","","93,00","","17,00","","4,00","","8,00","","99,17","","","","","",""
"2008-01-06 20:00","2008","01","06","20:00"," ","2,00","","0,20","","88,00","","18,00","","6,00","","11,30","","99,14","","","","","",""
"2008-01-06 21:00","2008","01","06","21:00"," ","2,30","","0,40","","87,00","","12,00","","7,00","","11,30","","99,07","","","","","",""
"2008-01-06 22:00","2008","01","06","22:00"," ","0,90","","0,00","","94,00","","5,00","","4,00","","5,60","","99,09","","","","","",""
"2008-01-06 23:00","2008","01","06","23:00"," ","1,80","","0,50","","91,00","","0,00","","0,00","","11,30","","99,05","","","","","",""
"2008-01-07 00:00","2008","01","07","00:00"," ","1,60","","0,40","","92,00","","0,00","","0,00","","11,30","","99,04","","","","","",""
"2008-01-07 01:00","2008","01","07","01:00"," ","1,40","","0,30","","92,00","","9,00","","4,00","","8,00","","99,01","","","","","",""
"2008-01-07 02:00","2008","01","07","02:00"," ","2,50","","0,90","","89,00","","9,00","","9,00","","11,30","","98,98","","","","","",""
"2008-01-07 03:00","2008","01","07","03:00"," ","2,50","","1,00","","90,00","","6,00","","6,00","","12,90","","98,91","","","","","",""
"2008-01-07 04:00","2008","01","07","04:00"," ","1,60","","0,40","","92,00","","8,00","","4,00","","8,00","","98,88","","","","","",""
"2008-01-07 05:00","2008","01","07","05:00"," ","1,10","","0,50","","96,00","","0,00","","0,00","","4,80","","98,86","","","","","",""
"2008-01-07 06:00","2008","01","07","06:00"," ","1,90","","0,80","","92,00","","9,00","","6,00","","6,40","","98,83","","","","","",""
"2008-01-07 07:00","2008","01","07","07:00"," ","1,90","","1,00","","94,00","","0,00","","0,00","","8,00","","98,83","","","","","","Pluie"
"2008-01-07 08:00","2008","01","07","08:00"," ","1,60","","0,60","","93,00","","0,00","","0,00","","4,00","","98,84","","","","","",""
"2008-01-07 09:00","2008","01","07","09:00"," ","3,30","","2,70","","96,00","","5,00","","6,00","","5,60","","98,83","","","","","",""
"2008-01-07 10:00","2008","01","07","10:00"," ","2,60","","1,90","","95,00","","0,00","","0,00","","1,00","","98,84","","","","","","Bruine"
"2008-01-07 11:00","2008","01","07","11:00"," ","3,80","","3,20","","96,00","","0,00","","0,00","","0,30","","98,79","","","","","",""
"2008-01-07 12:00","2008","01","07","12:00"," ","4,80","","4,60","","99,00","","23,00","","6,00","","0,30","","98,74","","","","","",""
"2008-01-07 13:00","2008","01","07","13:00"," ","4,40","","4,30","","99,00","","28,00","","4,00","","0,30","","98,73","","","","","","Bruine"
"2008-01-07 14:00","2008","01","07","14:00"," ","3,30","","2,70","","96,00","","0,00","","0,00","","0,30","","98,73","","","","","",""
"2008-01-07 15:00","2008","01","07","15:00"," ","4,00","","3,50","","97,00","","0,00","","0,00","","0,30","","98,75","","","","","",""
"2008-01-07 16:00","2008","01","07","16:00"," ","4,50","","4,20","","98,00","","0,00","","0,00","","0,50","","98,81","","","","","",""
"2008-01-07 17:00","2008","01","07","17:00"," ","6,00","","5,60","","97,00","","31,00","","4,00","","0,30","","98,85","","","","","","Pluie"
"2008-01-07 18:00","2008","01","07","18:00"," ","6,70","","6,40","","98,00","","21,00","","6,00","","0,20","","98,84","","","","","",""
"2008-01-07 19:00","2008","01","07","19:00"," ","6,50","","6,40","","99,00","","20,00","","6,00","","0,30","","98,84","","","","","","Bruine"
"2008-01-07 20:00","2008","01","07","20:00"," ","6,90","","6,80","","99,00","","22,00","","4,00","","0,20","","98,84","","","","","",""
"2008-01-07 21:00","2008","01","07","21:00"," ","4,40","","3,90","","97,00","","0,00","","0,00","","0,20","","98,82","","","","","",""
"2008-01-07 22:00","2008","01","07","22:00"," ","3,70","","2,90","","94,00","","0,00","","0,00","","0,20","","98,77","","","","","",""
"2008-01-07 23:00","2008","01","07","23:00"," ","4,80","","4,30","","97,00","","36,00","","11,00","","0,30","","98,72","","","","","","Pluie"
"2008-01-08 00:00","2008","01","08","00:00"," ","5,20","","5,10","","99,00","","3,00","","6,00","","0,30","","98,67","","","","","","Pluie modérée"
"2008-01-08 01:00","2008","01","08","01:00"," ","4,50","","4,20","","98,00","","13,00","","7,00","","0,20","","98,61","","","","","","Pluie"
"2008-01-08 02:00","2008","01","08","02:00"," ","4,50","","4,00","","97,00","","8,00","","4,00","","0,30","","98,56","","","","","",""
"2008-01-08 03:00","2008","01","08","03:00"," ","3,80","","3,70","","99,00","","0,00","","0,00","","0,30","","98,52","","","","","",""
"2008-01-08 04:00","2008","01","08","04:00"," ","7,20","","6,80","","97,00","","29,00","","4,00","","2,60","","98,47","","","","","",""
"2008-01-08 05:00","2008","01","08","05:00"," ","6,30","","6,20","","99,00","","26,00","","4,00","","1,80","","98,45","","","","","",""
