"Nom de la Station","VAL-D'OR A"
"Province","QUEBEC"
"Latitude","48,06"
"Longitude","-77,79"
"Altitude","336,10"
"Identification Climat","7098603"
"Identification OMM","71725"
"Identification TC","GVO"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-06-01 00:00","2009","06","01","00:00"," ","2,30","","0,50","","88,00","","28,00","","7,00","","","","97,31","","","","","",""
"2009-06-01 01:00","2009","06","01","01:00"," ","1,00","","-0,10","","92,00","","27,00","","7,00","","","","97,33","","","","","",""
"2009-06-01 02:00","2009","06","01","02:00"," ","1,60","","0,50","","92,00","","27,00","","6,00","","","","97,34","","","","","",""
"2009-06-01 03:00","2009","06","01","03:00"," ","-1,30","","-2,00","","95,00","","23,00","","6,00","","","","97,32","","","","-4,00","",""
"2009-06-01 04:00","2009","06","01","04:00"," ","-1,20","","-2,10","","94,00","","0,00","","0,00","","","","97,32","","","","","",""
"2009-06-01 05:00","2009","06","01","05:00"," ","0,50","","-0,10","","96,00","","24,00","","9,00","","","","97,33","","","","","",""
"2009-06-01 06:00","2009","06","01","06:00"," ","3,10","","1,60","","90,00","","22,00","","6,00","","","","97,36","","","","","",""
"2009-06-01 07:00","2009","06","01","07:00"," ","5,30","","2,60","","83,00","","17,00","","9,00","","","","97,34","","","","","",""
"2009-06-01 08:00","2009","06","01","08:00"," ","6,60","","2,50","","75,00","","17,00","","13,00","","","","97,39","","","","","",""
"2009-06-01 09:00","2009","06","01","09:00"," ","7,40","","2,40","","71,00","","18,00","","17,00","","","","97,34","","","","","",""
"2009-06-01 10:00","2009","06","01","10:00"," ","8,30","","2,60","","67,00","","18,00","","17,00","","","","97,33","","","","","",""
"2009-06-01 11:00","2009","06","01","11:00"," ","9,40","","2,90","","64,00","","18,00","","15,00","","","","97,30","","","","","","Pluie"
"2009-06-01 12:00","2009","06","01","12:00"," ","8,40","","4,50","","76,00","","24,00","","11,00","","","","97,25","","","","","","Pluie"
"2009-06-01 13:00","2009","06","01","13:00"," ","6,80","","4,70","","86,00","","22,00","","17,00","","","","97,26","","","","","","Pluie"
"2009-06-01 14:00","2009","06","01","14:00"," ","7,60","","6,00","","90,00","","20,00","","9,00","","","","97,22","","","","","","Pluie"
"2009-06-01 15:00","2009","06","01","15:00"," ","7,10","","5,70","","91,00","","20,00","","13,00","","","","97,21","","","","","","Pluie"
"2009-06-01 16:00","2009","06","01","16:00"," ","6,80","","5,70","","93,00","","20,00","","9,00","","","","97,16","","","","","","Pluie"
"2009-06-01 17:00","2009","06","01","17:00"," ","7,20","","5,60","","90,00","","20,00","","13,00","","","","97,13","","","","","",""
"2009-06-01 18:00","2009","06","01","18:00"," ","7,40","","6,00","","91,00","","20,00","","6,00","","","","97,10","","","","","",""
"2009-06-01 19:00","2009","06","01","19:00"," ","7,10","","6,10","","93,00","","25,00","","4,00","","","","97,23","","","","","",""
"2009-06-01 20:00","2009","06","01","20:00"," ","6,60","","6,00","","96,00","","0,00","","0,00","","","","97,24","","","","","",""
"2009-06-01 21:00","2009","06","01","21:00"," ","6,30","","6,20","","99,00","","32,00","","4,00","","","","97,27","","","","","","Bruine"
"2009-06-01 22:00","2009","06","01","22:00"," ","5,80","","5,50","","98,00","","0,00","","0,00","","","","97,27","","","","","",""
"2009-06-01 23:00","2009","06","01","23:00"," ","5,50","","5,20","","98,00","","31,00","","7,00","","","","97,27","","","","","",""
"2009-06-02 00:00","2009","06","02","00:00"," ","5,80","","5,50","","98,00","","30,00","","7,00","","","","97,29","","","","","",""
"2009-06-02 01:00","2009","06","02","01:00"," ","5,80","","5,50","","98,00","","30,00","","11,00","","","","97,31","","","","","",""
"2009-06-02 02:00","2009","06","02","02:00"," ","6,10","","5,50","","96,00","","34,00","","11,00","","","","97,41","","","","","","Bruine"
"2009-06-02 03:00","2009","06","02","03:00"," ","4,80","","4,30","","97,00","","35,00","","20,00","","","","97,52","","","","","","Bruine"
"2009-06-02 04:00","2009","06","02","04:00"," ","4,30","","3,40","","94,00","","35,00","","19,00","","","","97,58","","","","","","Bruine"
"2009-06-02 05:00","2009","06","02","05:00"," ","3,80","","2,50","","91,00","","35,00","","19,00","","","","97,67","","","","","",""
"2009-06-02 06:00","2009","06","02","06:00"," ","2,70","","1,20","","90,00","","35,00","","22,00","","","","97,73","","","","","",""
"2009-06-02 07:00","2009","06","02","07:00"," ","3,70","","2,00","","89,00","","34,00","","20,00","","","","97,77","","","","","",""
