"Nom de la Station","BAIE-COMEAU A"
"Province","QUEBEC"
"Latitude","49,13"
"Longitude","-68,20"
"Altitude","21,60"
"Identification Climat","7040442"
"Identification OMM","71890"
"Identification TC","GBC"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2013-01-01 00:00","2013","01","01","00:00"," ","-14,80","","-18,40","","74,00","","27,00","","17,00","","","","99,69","","","","-23,00","","ND"
"2013-01-01 01:00","2013","01","01","01:00"," ","-14,90","","-18,40","","75,00","","27,00","","11,00","","","","99,63","","","","-21,00","","ND"
"2013-01-01 02:00","2013","01","01","02:00"," ","-15,10","","-18,30","","76,00","","29,00","","11,00","","","","99,57","","","","-22,00","","ND"
"2013-01-01 03:00","2013","01","01","03:00"," ","-13,90","","-15,70","","86,00","","33,00","","7,00","","","","99,52","","","","-19,00","","ND"
"2013-01-01 04:00","2013","01","01","04:00"," ","-13,30","","-15,40","","84,00","","32,00","","9,00","","","","99,47","","","","-19,00","","ND"
"2013-01-01 05:00","2013","01","01","05:00"," ","-13,40","","-15,50","","84,00","","31,00","","7,00","","","","99,44","","","","-18,00","","ND"
"2013-01-01 06:00","2013","01","01","06:00"," ","-12,70","","-15,40","","80,00","","31,00","","13,00","","","","99,44","","","","-20,00","","ND"
"2013-01-01 07:00","2013","01","01","07:00"," ","-13,40","","-15,50","","84,00","","27,00","","13,00","","","","99,52","","","","-20,00","","ND"
"2013-01-01 08:00","2013","01","01","08:00"," ","-13,30","","-15,10","","86,00","","29,00","","11,00","","","","99,56","","","","-20,00","","ND"
"2013-01-01 09:00","2013","01","01","09:00"," ","-12,70","","-15,30","","81,00","","29,00","","15,00","","","","99,56","","","","-20,00","","ND"
"2013-01-01 10:00","2013","01","01","10:00"," ","-12,20","","-16,40","","71,00","","28,00","","15,00","","","","99,60","","","","-19,00","","ND"
"2013-01-01 11:00","2013","01","01","11:00"," ","-11,60","","-17,20","","63,00","","29,00","","20,00","","","","99,59","","","","-20,00","","ND"
"2013-01-01 12:00","2013","01","01","12:00"," ","-11,80","","-17,50","","63,00","","29,00","","24,00","","","","99,56","","","","-21,00","","ND"
