"Nom de la Station","MALAY FALLS"
"Province","NOVA SCOTIA"
"Latitude","44,98"
"Longitude","-62,48"
"Altitude","39,60"
"Identification Climat","8203405"
"Identification OMM",""
"Identification TC","XMY"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2011-08-01 00:00","2011","08","01","00:00"," ","11,70","","11,00","","95,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 01:00","2011","08","01","01:00"," ","10,70","","10,10","","96,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 02:00","2011","08","01","02:00"," ","11,30","","10,80","","97,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 03:00","2011","08","01","03:00"," ","11,90","","11,40","","97,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 04:00","2011","08","01","04:00"," ","12,10","","11,60","","97,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 05:00","2011","08","01","05:00"," ","11,60","","11,10","","97,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 06:00","2011","08","01","06:00"," ","11,50","","11,00","","97,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 07:00","2011","08","01","07:00"," ","13,00","","12,50","","97,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 08:00","2011","08","01","08:00"," ","14,20","","13,80","","97,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 09:00","2011","08","01","09:00"," ","16,20","","15,70","","97,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 10:00","2011","08","01","10:00"," ","20,00","","16,30","","79,00","","","M","","M","","","","M","25,00","","","","ND"
"2011-08-01 11:00","2011","08","01","11:00"," ","22,50","","15,80","","66,00","","","M","","M","","","","M","27,00","","","","ND"
"2011-08-01 12:00","2011","08","01","12:00"," ","23,30","","14,80","","59,00","","","M","","M","","","","M","27,00","","","","ND"
"2011-08-01 13:00","2011","08","01","13:00"," ","23,00","","14,80","","60,00","","","M","","M","","","","M","27,00","","","","ND"
"2011-08-01 14:00","2011","08","01","14:00"," ","23,00","","14,90","","60,00","","","M","","M","","","","M","27,00","","","","ND"
"2011-08-01 15:00","2011","08","01","15:00"," ","22,30","","15,30","","65,00","","","M","","M","","","","M","26,00","","","","ND"
"2011-08-01 16:00","2011","08","01","16:00"," ","20,40","","15,40","","73,00","","","M","","M","","","","M","25,00","","","","ND"
"2011-08-01 17:00","2011","08","01","17:00"," ","19,60","","15,10","","75,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 18:00","2011","08","01","18:00"," ","18,40","","14,30","","77,00","","","M","","M","","","","M","","","","","ND"
"2011-08-01 19:00","2011","08","01","19:00"," ","17,10","","15,00","","87,00","","","M","","M","","","","M","","","","","ND"
