"Nom de la Station","KELOWNA AWOS"
"Province","BRITISH COLUMBIA"
"Latitude","49,96"
"Longitude","-119,38"
"Altitude","429,50"
"Identification Climat","1123965"
"Identification OMM",""
"Identification TC","VLW"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2005-03-01 00:00","2005","03","01","00:00"," ","-1,40","","-4,60","","79,00","","21,00","","6,00","","","","96,58","","","","-4,00","",""
"2005-03-01 01:00","2005","03","01","01:00"," ","-2,60","","-5,80","","79,00","","0,00","","0,00","","","","96,60","","","","","",""
"2005-03-01 02:00","2005","03","01","02:00"," ","-1,60","","-4,60","","80,00","","3,00","","4,00","","","","96,61","","","","-3,00","",""
"2005-03-01 03:00","2005","03","01","03:00"," ","-1,50","","-4,50","","80,00","","0,00","","0,00","","","","96,58","","","","","",""
"2005-03-01 04:00","2005","03","01","04:00"," ","-1,30","","-4,10","","81,00","","0,00","","0,00","","","","96,59","","","","","",""
"2005-03-01 05:00","2005","03","01","05:00"," ","-0,20","","-2,90","","82,00","","0,00","","0,00","","","","96,57","","","","","",""
"2005-03-01 06:00","2005","03","01","06:00"," ","-0,20","","-3,00","","81,00","","0,00","","0,00","","","","96,59","","","","","",""
"2005-03-01 07:00","2005","03","01","07:00"," ","0,20","","-2,70","","81,00","","3,00","","7,00","","","","96,63","","","","","",""
"2005-03-01 08:00","2005","03","01","08:00"," ","1,60","","-1,40","","80,00","","2,00","","7,00","","","","96,63","","","","","",""
"2005-03-01 09:00","2005","03","01","09:00"," ","5,60","","0,80","","71,00","","1,00","","4,00","","","","96,62","","","","","",""
"2005-03-01 10:00","2005","03","01","10:00"," ","7,50","","1,30","","65,00","","20,00","","7,00","","","","96,60","","","","","",""
"2005-03-01 11:00","2005","03","01","11:00"," ","8,70","","1,30","","60,00","","20,00","","9,00","","","","96,57","","","","","",""
"2005-03-01 12:00","2005","03","01","12:00"," ","9,00","","1,00","","57,00","","22,00","","11,00","","","","96,52","","","","","",""
"2005-03-01 13:00","2005","03","01","13:00"," ","10,00","","1,30","","55,00","","19,00","","9,00","","","","96,43","","","","","",""
"2005-03-01 14:00","2005","03","01","14:00"," ","10,70","","0,80","","50,00","","24,00","","15,00","","","","96,39","","","","","",""
"2005-03-01 15:00","2005","03","01","15:00"," ","10,50","","0,80","","51,00","","16,00","","7,00","","","","96,34","","","","","",""
"2005-03-01 16:00","2005","03","01","16:00"," ","9,60","","0,30","","52,00","","12,00","","4,00","","","","96,29","","","","","",""
"2005-03-01 17:00","2005","03","01","17:00"," ","8,30","","0,30","","57,00","","12,00","","6,00","","","","96,27","","","","","",""
"2005-03-01 18:00","2005","03","01","18:00"," ","3,90","","-2,60","","63,00","","0,00","","0,00","","","","96,26","","","","","",""
"2005-03-01 19:00","2005","03","01","19:00"," ","0,80","","-4,40","","68,00","","1,00","","4,00","","","","96,26","","","","","",""
"2005-03-01 20:00","2005","03","01","20:00"," ","1,80","","-3,00","","70,00","","3,00","","7,00","","","","96,27","","","","","",""
"2005-03-01 21:00","2005","03","01","21:00"," ","2,60","","-2,20","","71,00","","34,00","","4,00","","","","96,28","","","","","",""
"2005-03-01 22:00","2005","03","01","22:00"," ","2,40","","-2,30","","71,00","","28,00","","4,00","","","","96,28","","","","","",""
"2005-03-01 23:00","2005","03","01","23:00"," ","3,40","","-1,70","","69,00","","12,00","","6,00","","","","96,27","","","","","",""
"2005-03-02 00:00","2005","03","02","00:00"," ","1,80","","-2,70","","72,00","","1,00","","4,00","","","","96,30","","","","","",""
"2005-03-02 01:00","2005","03","02","01:00"," ","0,80","","-3,20","","75,00","","1,00","","6,00","","","","96,31","","","","","",""
"2005-03-02 02:00","2005","03","02","02:00"," ","0,60","","-3,20","","76,00","","1,00","","7,00","","","","96,31","","","","","",""
"2005-03-02 03:00","2005","03","02","03:00"," ","-2,30","","-5,40","","79,00","","28,00","","7,00","","","","96,34","","","","-5,00","",""
"2005-03-02 04:00","2005","03","02","04:00"," ","-1,70","","-4,80","","79,00","","0,00","","0,00","","","","96,36","","","","","",""
"2005-03-02 05:00","2005","03","02","05:00"," ","-3,80","","-7,00","","78,00","","0,00","","0,00","","","","96,41","","","","","",""
"2005-03-02 06:00","2005","03","02","06:00"," ","-3,70","","-6,70","","80,00","","0,00","","0,00","","","","96,45","","","","","",""
"2005-03-02 07:00","2005","03","02","07:00"," ","-1,60","","-4,60","","80,00","","0,00","","0,00","","","","96,47","","","","","",""
"2005-03-02 08:00","2005","03","02","08:00"," ","1,10","","-2,10","","79,00","","24,00","","4,00","","","","96,53","","","","","",""
