"Nom de la Station","SANDSPIT AWOS"
"Province","BRITISH COLUMBIA"
"Latitude","53,25"
"Longitude","-131,81"
"Altitude","6,40"
"Identification Climat","1057055"
"Identification OMM",""
"Identification TC","CZP"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2012-01-01 00:00","2012","01","01","00:00"," ","","M","","M","","M","14,00","","72,00","","","M","100,76","","","","","","ND"
"2012-01-01 01:00","2012","01","01","01:00"," ","","M","","M","","M","14,00","","63,00","","","M","100,72","","","","","","ND"
"2012-01-01 02:00","2012","01","01","02:00"," ","","M","","M","","M","14,00","","67,00","","","M","100,61","","","","","","ND"
"2012-01-01 03:00","2012","01","01","03:00"," ","","M","","M","","M","14,00","","65,00","","","M","100,64","","","","","","ND"
"2012-01-01 04:00","2012","01","01","04:00"," ","","M","","M","","M","15,00","","63,00","","","M","100,60","","","","","","ND"
"2012-01-01 05:00","2012","01","01","05:00"," ","","M","","M","","M","15,00","","72,00","","","M","100,46","","","","","","ND"
"2012-01-01 06:00","2012","01","01","06:00"," ","","M","","M","","M","14,00","","72,00","","","M","100,33","","","","","","ND"
"2012-01-01 07:00","2012","01","01","07:00"," ","","M","","M","","M","14,00","","72,00","","","M","100,24","","","","","","ND"
"2012-01-01 08:00","2012","01","01","08:00"," ","","M","","M","","M","14,00","","74,00","","","M","100,11","","","","","","ND"
"2012-01-01 09:00","2012","01","01","09:00"," ","","M","","M","","M","14,00","","76,00","","","M","99,97","","","","","","ND"
"2012-01-01 10:00","2012","01","01","10:00"," ","","M","","M","","M","14,00","","72,00","","","M","99,87","","","","","","ND"
"2012-01-01 11:00","2012","01","01","11:00"," ","","M","","M","","M","14,00","","80,00","","","M","99,65","","","","","","ND"
"2012-01-01 12:00","2012","01","01","12:00"," ","","M","","M","","M","14,00","","74,00","","","M","99,46","","","","","","ND"
"2012-01-01 13:00","2012","01","01","13:00"," ","","M","","M","","M","15,00","","74,00","","","M","99,30","","","","","","ND"
"2012-01-01 14:00","2012","01","01","14:00"," ","","M","","M","","M","15,00","","61,00","","","M","99,30","","","","","","ND"
"2012-01-01 15:00","2012","01","01","15:00"," ","","M","","M","","M","15,00","","59,00","","","M","99,29","","","","","","ND"
"2012-01-01 16:00","2012","01","01","16:00"," ","","M","","M","","M","15,00","","56,00","","","M","99,25","","","","","","ND"
"2012-01-01 17:00","2012","01","01","17:00"," ","","M","","M","","M","15,00","","50,00","","","M","99,29","","","","","","ND"
"2012-01-01 18:00","2012","01","01","18:00"," ","","M","","M","","M","15,00","","24,00","","","M","99,36","","","","","","ND"
"2012-01-01 19:00","2012","01","01","19:00"," ","","M","","M","","M","18,00","","9,00","","","M","99,46","","","","","","ND"
"2012-01-01 20:00","2012","01","01","20:00"," ","","M","","M","","M","16,00","","11,00","","","M","99,54","","","","","","ND"
"2012-01-01 21:00","2012","01","01","21:00"," ","","M","","M","","M","17,00","","9,00","","","M","99,64","","","","","","ND"
"2012-01-01 22:00","2012","01","01","22:00"," ","","M","","M","","M","23,00","","11,00","","","M","99,72","","","","","","ND"
"2012-01-01 23:00","2012","01","01","23:00"," ","","M","","M","","M","23,00","","19,00","","","M","99,80","","","","","","ND"
"2012-01-02 00:00","2012","01","02","00:00"," ","","M","","M","","M","24,00","","11,00","","","M","99,87","","","","","","ND"
"2012-01-02 01:00","2012","01","02","01:00"," ","","M","","M","","M","21,00","","19,00","","","M","99,91","","","","","","ND"
"2012-01-02 02:00","2012","01","02","02:00"," ","","M","","M","","M","21,00","","13,00","","","M","99,95","","","","","","ND"
"2012-01-02 03:00","2012","01","02","03:00"," ","","M","","M","","M","15,00","","13,00","","","M","99,99","","","","","","ND"
"2012-01-02 04:00","2012","01","02","04:00"," ","","M","","M","","M","17,00","","11,00","","","M","100,02","","","","","","ND"
"2012-01-02 05:00","2012","01","02","05:00"," ","","M","","M","","M","24,00","","6,00","","","M","100,10","","","","","","ND"
