"Nom de la Station","QUESNEL AWOS"
"Province","BRITISH COLUMBIA"
"Latitude","53,03"
"Longitude","-122,51"
"Altitude","545,00"
"Identification Climat","1096625"
"Identification OMM","71103"
"Identification TC","CQZ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2008-04-01 00:00","2008","04","01","00:00"," ","-5,50","","-9,90","","71,00","","0,00","","0,00","","15,00","","95,83","","","","","",""
"2008-04-01 01:00","2008","04","01","01:00"," ","-6,80","","-10,10","","77,00","","0,00","","0,00","","15,00","","95,84","","","","","",""
"2008-04-01 02:00","2008","04","01","02:00"," ","-8,10","","-11,20","","78,00","","0,00","","0,00","","15,00","","95,84","","","","","",""
"2008-04-01 03:00","2008","04","01","03:00"," ","-8,20","","-11,20","","79,00","","0,00","","0,00","","15,00","","95,82","","","","","",""
"2008-04-01 04:00","2008","04","01","04:00"," ","-8,10","","-10,70","","82,00","","0,00","","0,00","","15,00","","95,84","","","","","",""
"2008-04-01 05:00","2008","04","01","05:00"," ","-7,30","","-9,60","","84,00","","0,00","","0,00","","15,00","","95,83","","","","","",""
"2008-04-01 06:00","2008","04","01","06:00"," ","-6,90","","-10,60","","75,00","","0,00","","0,00","","15,00","","95,81","","","","","",""
"2008-04-01 07:00","2008","04","01","07:00"," ","-6,10","","-9,20","","79,00","","0,00","","0,00","","15,00","","95,82","","","","","",""
"2008-04-01 08:00","2008","04","01","08:00"," ","-5,10","","-8,90","","75,00","","0,00","","0,00","","15,00","","95,83","","","","","",""
"2008-04-01 09:00","2008","04","01","09:00"," ","-2,80","","-10,10","","57,00","","14,00","","6,00","","15,00","","95,81","","","","-5,00","",""
"2008-04-01 10:00","2008","04","01","10:00"," ","-2,40","","-6,60","","73,00","","13,00","","6,00","","5,60","","95,80","","","","-5,00","","Neige"
"2008-04-01 11:00","2008","04","01","11:00"," ","-2,40","","-4,00","","89,00","","14,00","","7,00","","2,40","","95,78","","","","-5,00","","Neige"
"2008-04-01 12:00","2008","04","01","12:00"," ","-1,00","","-3,60","","82,00","","16,00","","7,00","","8,00","","95,75","","","","-4,00","","Neige"
"2008-04-01 13:00","2008","04","01","13:00"," ","0,50","","-3,00","","77,00","","0,00","","0,00","","8,00","","95,74","","","","","",""
"2008-04-01 14:00","2008","04","01","14:00"," ","1,60","","-3,20","","70,00","","15,00","","7,00","","15,00","","95,72","","","","","",""
"2008-04-01 15:00","2008","04","01","15:00"," ","3,10","","-4,20","","59,00","","18,00","","6,00","","15,00","","95,67","","","","","",""
"2008-04-01 16:00","2008","04","01","16:00"," ","2,60","","-4,80","","58,00","","2,00","","6,00","","15,00","","95,64","","","","","",""
"2008-04-01 17:00","2008","04","01","17:00"," ","2,80","","-5,20","","56,00","","0,00","","0,00","","15,00","","95,60","","","","","",""
"2008-04-01 18:00","2008","04","01","18:00"," ","2,90","","-5,20","","55,00","","0,00","","0,00","","15,00","","95,58","","","","","",""
"2008-04-01 19:00","2008","04","01","19:00"," ","-0,10","","-5,20","","68,00","","0,00","","0,00","","15,00","","95,57","","","","","",""
"2008-04-01 20:00","2008","04","01","20:00"," ","-0,80","","-4,60","","75,00","","16,00","","4,00","","15,00","","95,57","","","","-2,00","",""
"2008-04-01 21:00","2008","04","01","21:00"," ","1,10","","-4,70","","65,00","","14,00","","9,00","","15,00","","95,57","","","","","",""
"2008-04-01 22:00","2008","04","01","22:00"," ","1,10","","-5,40","","62,00","","14,00","","7,00","","15,00","","95,55","","","","","",""
"2008-04-01 23:00","2008","04","01","23:00"," ","1,30","","-5,00","","63,00","","14,00","","9,00","","15,00","","95,54","","","","","",""
"2008-04-02 00:00","2008","04","02","00:00"," ","1,10","","-4,70","","65,00","","14,00","","7,00","","15,00","","95,53","","","","","",""
"2008-04-02 01:00","2008","04","02","01:00"," ","0,80","","-4,50","","68,00","","13,00","","4,00","","15,00","","95,53","","","","","",""
"2008-04-02 02:00","2008","04","02","02:00"," ","0,50","","-4,50","","69,00","","0,00","","0,00","","15,00","","95,53","","","","","",""
"2008-04-02 03:00","2008","04","02","03:00"," ","-0,20","","-4,10","","75,00","","0,00","","0,00","","15,00","","95,55","","","","","",""
"2008-04-02 04:00","2008","04","02","04:00"," ","-0,80","","-3,70","","81,00","","0,00","","0,00","","15,00","","95,57","","","","","",""
"2008-04-02 05:00","2008","04","02","05:00"," ","-0,80","","-3,90","","79,00","","0,00","","0,00","","15,00","","95,58","","","","","",""
"2008-04-02 06:00","2008","04","02","06:00"," ","-1,00","","-4,00","","80,00","","0,00","","0,00","","15,00","","95,60","","","","","",""
