"Nom de la Station","MAPLE PLAINS"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46,30"
"Longitude","-63,58"
"Altitude","45,70"
"Identification Climat","8305500"
"Identification OMM",""
"Identification TC","XMP"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2008-06-01 00:00","2008","06","01","00:00"," ","10,30","","9,30","","94,00","","13,00","","35,00","","","","","M","","","","","ND"
"2008-06-01 01:00","2008","06","01","01:00"," ","11,00","","10,10","","94,00","","14,00","","33,00","","","","","M","","","","","ND"
"2008-06-01 02:00","2008","06","01","02:00"," ","11,40","","10,40","","94,00","","14,00","","22,00","","","","","M","","","","","ND"
"2008-06-01 03:00","2008","06","01","03:00"," ","12,00","","10,90","","93,00","","16,00","","13,00","","","","","M","","","","","ND"
"2008-06-01 04:00","2008","06","01","04:00"," ","12,20","","11,20","","94,00","","18,00","","13,00","","","","","M","","","","","ND"
"2008-06-01 05:00","2008","06","01","05:00"," ","12,20","","11,40","","95,00","","19,00","","11,00","","","","","M","","","","","ND"
"2008-06-01 06:00","2008","06","01","06:00"," ","12,50","","11,70","","95,00","","20,00","","11,00","","","","","M","","","","","ND"
"2008-06-01 07:00","2008","06","01","07:00"," ","12,60","","11,80","","95,00","","21,00","","9,00","","","","","M","","","","","ND"
"2008-06-01 08:00","2008","06","01","08:00"," ","13,10","","12,20","","94,00","","21,00","","9,00","","","","","M","","","","","ND"
"2008-06-01 09:00","2008","06","01","09:00"," ","12,90","","12,10","","95,00","","21,00","","9,00","","","","","M","","","","","ND"
"2008-06-01 10:00","2008","06","01","10:00"," ","12,80","","11,80","","94,00","","21,00","","11,00","","","","","M","","","","","ND"
"2008-06-01 11:00","2008","06","01","11:00"," ","13,90","","12,10","","89,00","","20,00","","13,00","","","","","M","","","","","ND"
"2008-06-01 12:00","2008","06","01","12:00"," ","14,90","","12,90","","88,00","","21,00","","11,00","","","","","M","","","","","ND"
"2008-06-01 13:00","2008","06","01","13:00"," ","17,20","","13,70","","80,00","","19,00","","15,00","","","","","M","","","","","ND"
"2008-06-01 14:00","2008","06","01","14:00"," ","17,90","","13,70","","76,00","","22,00","","11,00","","","","","M","","","","","ND"
"2008-06-01 15:00","2008","06","01","15:00"," ","18,30","","14,10","","76,00","","25,00","","13,00","","","","","M","","","","","ND"
"2008-06-01 16:00","2008","06","01","16:00"," ","19,40","","14,40","","73,00","","24,00","","9,00","","","","","M","","","","","ND"
"2008-06-01 17:00","2008","06","01","17:00"," ","19,90","","14,20","","70,00","","17,00","","13,00","","","","","M","","","","","ND"
"2008-06-01 18:00","2008","06","01","18:00"," ","19,80","","13,90","","69,00","","21,00","","11,00","","","","","M","","","","","ND"
"2008-06-01 19:00","2008","06","01","19:00"," ","17,10","","13,40","","79,00","","16,00","","7,00","","","","","M","","","","","ND"
"2008-06-01 20:00","2008","06","01","20:00"," ","15,80","","13,60","","87,00","","2,00","","4,00","","","","","M","","","","","ND"
"2008-06-01 21:00","2008","06","01","21:00"," ","13,50","","11,70","","89,00","","13,00","","4,00","","","","","M","","","","","ND"
"2008-06-01 22:00","2008","06","01","22:00"," ","12,10","","10,90","","92,00","","9,00","","4,00","","","","","M","","","","","ND"
"2008-06-01 23:00","2008","06","01","23:00"," ","10,20","","9,40","","95,00","","29,00","","2,00","","","","","M","","","","","ND"
"2008-06-02 00:00","2008","06","02","00:00"," ","9,30","","8,70","","96,00","","6,00","","4,00","","","","","M","","","","","ND"
"2008-06-02 01:00","2008","06","02","01:00"," ","11,50","","11,00","","97,00","","5,00","","6,00","","","","","M","","","","","ND"
"2008-06-02 02:00","2008","06","02","02:00"," ","10,70","","10,20","","97,00","","18,00","","2,00","","","","","M","","","","","ND"
"2008-06-02 03:00","2008","06","02","03:00"," ","11,60","","11,00","","96,00","","9,00","","2,00","","","","","M","","","","","ND"
"2008-06-02 04:00","2008","06","02","04:00"," ","10,80","","10,30","","97,00","","19,00","","4,00","","","","","M","","","","","ND"
"2008-06-02 05:00","2008","06","02","05:00"," ","11,40","","10,90","","97,00","","16,00","","2,00","","","","","M","","","","","ND"
"2008-06-02 06:00","2008","06","02","06:00"," ","12,00","","11,50","","97,00","","22,00","","4,00","","","","","M","","","","","ND"
"2008-06-02 07:00","2008","06","02","07:00"," ","12,30","","11,80","","97,00","","20,00","","7,00","","","","","M","","","","","ND"
"2008-06-02 08:00","2008","06","02","08:00"," ","12,10","","11,60","","97,00","","20,00","","7,00","","","","","M","","","","","ND"
"2008-06-02 09:00","2008","06","02","09:00"," ","12,20","","11,70","","97,00","","18,00","","7,00","","","","","M","","","","","ND"
"2008-06-02 10:00","2008","06","02","10:00"," ","12,20","","11,70","","97,00","","19,00","","7,00","","","","","M","","","","","ND"
"2008-06-02 11:00","2008","06","02","11:00"," ","12,10","","11,70","","97,00","","23,00","","9,00","","","","","M","","","","","ND"
"2008-06-02 12:00","2008","06","02","12:00"," ","11,30","","10,80","","97,00","","25,00","","17,00","","","","","M","","","","","ND"
"2008-06-02 13:00","2008","06","02","13:00"," ","12,00","","11,50","","97,00","","30,00","","7,00","","","","","M","","","","","ND"
"2008-06-02 14:00","2008","06","02","14:00"," ","12,20","","11,50","","95,00","","30,00","","11,00","","","","","M","","","","","ND"
"2008-06-02 15:00","2008","06","02","15:00"," ","12,10","","11,00","","93,00","","35,00","","11,00","","","","","M","","","","","ND"
"2008-06-02 16:00","2008","06","02","16:00"," ","12,70","","10,80","","88,00","","2,00","","7,00","","","","","M","","","","","ND"
"2008-06-02 17:00","2008","06","02","17:00"," ","13,10","","10,60","","85,00","","5,00","","6,00","","","","","M","","","","","ND"
"2008-06-02 18:00","2008","06","02","18:00"," ","13,80","","10,80","","82,00","","7,00","","2,00","","","","","M","","","","","ND"
"2008-06-02 19:00","2008","06","02","19:00"," ","13,70","","10,90","","83,00","","12,00","","2,00","","","","","M","","","","","ND"
"2008-06-02 20:00","2008","06","02","20:00"," ","11,20","","9,60","","90,00","","10,00","","4,00","","","","","M","","","","","ND"
"2008-06-02 21:00","2008","06","02","21:00"," ","8,60","","7,70","","94,00","","12,00","","2,00","","","","","M","","","","","ND"
"2008-06-02 22:00","2008","06","02","22:00"," ","10,70","","10,20","","97,00","","15,00","","9,00","","","","","M","","","","","ND"
"2008-06-02 23:00","2008","06","02","23:00"," ","10,80","","9,70","","93,00","","16,00","","6,00","","","","","M","","","","","ND"
"2008-06-03 00:00","2008","06","03","00:00"," ","10,40","","9,50","","94,00","","17,00","","4,00","","","","","M","","","","","ND"
"2008-06-03 01:00","2008","06","03","01:00"," ","8,20","","7,50","","95,00","","16,00","","6,00","","","","","M","","","","","ND"
"2008-06-03 02:00","2008","06","03","02:00"," ","8,00","","7,40","","96,00","","14,00","","7,00","","","","","M","","","","","ND"
"2008-06-03 03:00","2008","06","03","03:00"," ","6,90","","6,40","","97,00","","13,00","","4,00","","","","","M","","","","","ND"
"2008-06-03 04:00","2008","06","03","04:00"," ","5,00","","4,50","","97,00","","15,00","","4,00","","","","","M","","","","","ND"
"2008-06-03 05:00","2008","06","03","05:00"," ","6,50","","6,00","","97,00","","13,00","","4,00","","","","","M","","","","","ND"
"2008-06-03 06:00","2008","06","03","06:00"," ","10,30","","9,90","","97,00","","16,00","","6,00","","","","","M","","","","","ND"
"2008-06-03 07:00","2008","06","03","07:00"," ","12,90","","10,50","","85,00","","19,00","","6,00","","","","","M","","","","","ND"
"2008-06-03 08:00","2008","06","03","08:00"," ","15,80","","9,50","","66,00","","21,00","","9,00","","","","","M","","","","","ND"
"2008-06-03 09:00","2008","06","03","09:00"," ","16,80","","10,10","","65,00","","21,00","","13,00","","","","","M","","","","","ND"
"2008-06-03 10:00","2008","06","03","10:00"," ","17,90","","9,40","","58,00","","21,00","","13,00","","","","","M","","","","","ND"
"2008-06-03 11:00","2008","06","03","11:00"," ","19,20","","11,00","","59,00","","20,00","","11,00","","","","","M","","","","","ND"
"2008-06-03 12:00","2008","06","03","12:00"," ","20,00","","10,80","","55,00","","19,00","","17,00","","","","","M","","","","","ND"
"2008-06-03 13:00","2008","06","03","13:00"," ","20,90","","11,10","","53,00","","20,00","","19,00","","","","","M","","","","","ND"
"2008-06-03 14:00","2008","06","03","14:00"," ","20,80","","10,30","","51,00","","16,00","","17,00","","","","","M","","","","","ND"
"2008-06-03 15:00","2008","06","03","15:00"," ","20,50","","10,10","","51,00","","17,00","","15,00","","","","","M","","","","","ND"
"2008-06-03 16:00","2008","06","03","16:00"," ","20,00","","10,20","","53,00","","22,00","","13,00","","","","","M","","","","","ND"
"2008-06-03 17:00","2008","06","03","17:00"," ","17,00","","12,20","","73,00","","26,00","","11,00","","","","","M","","","","","ND"
"2008-06-03 18:00","2008","06","03","18:00"," ","14,20","","12,60","","90,00","","29,00","","9,00","","","","","M","","","","","ND"
"2008-06-03 19:00","2008","06","03","19:00"," ","14,10","","12,30","","89,00","","32,00","","7,00","","","","","M","","","","","ND"
"2008-06-03 20:00","2008","06","03","20:00"," ","12,30","","11,00","","92,00","","1,00","","11,00","","","","","M","","","","","ND"
"2008-06-03 21:00","2008","06","03","21:00"," ","11,10","","9,70","","91,00","","2,00","","6,00","","","","","M","","","","","ND"
"2008-06-03 22:00","2008","06","03","22:00"," ","11,20","","10,10","","93,00","","11,00","","4,00","","","","","M","","","","","ND"
"2008-06-03 23:00","2008","06","03","23:00"," ","10,80","","9,90","","94,00","","16,00","","7,00","","","","","M","","","","","ND"
"2008-06-04 00:00","2008","06","04","00:00"," ","10,10","","9,30","","95,00","","16,00","","7,00","","","","","M","","","","","ND"
"2008-06-04 01:00","2008","06","04","01:00"," ","10,10","","9,50","","96,00","","16,00","","7,00","","","","","M","","","","","ND"
"2008-06-04 02:00","2008","06","04","02:00"," ","11,00","","10,20","","95,00","","16,00","","6,00","","","","","M","","","","","ND"
"2008-06-04 03:00","2008","06","04","03:00"," ","10,50","","9,70","","95,00","","17,00","","4,00","","","","","M","","","","","ND"
"2008-06-04 04:00","2008","06","04","04:00"," ","11,00","","10,30","","95,00","","19,00","","6,00","","","","","M","","","","","ND"
"2008-06-04 05:00","2008","06","04","05:00"," ","11,20","","10,60","","96,00","","17,00","","4,00","","","","","M","","","","","ND"
"2008-06-04 06:00","2008","06","04","06:00"," ","11,20","","10,60","","96,00","","21,00","","6,00","","","","","M","","","","","ND"
"2008-06-04 07:00","2008","06","04","07:00"," ","11,10","","10,60","","97,00","","18,00","","6,00","","","","","M","","","","","ND"
"2008-06-04 08:00","2008","06","04","08:00"," ","11,60","","11,00","","96,00","","25,00","","6,00","","","","","M","","","","","ND"
"2008-06-04 09:00","2008","06","04","09:00"," ","12,60","","10,40","","86,00","","31,00","","7,00","","","","","M","","","","","ND"
"2008-06-04 10:00","2008","06","04","10:00"," ","12,00","","10,00","","88,00","","33,00","","4,00","","","","","M","","","","","ND"
"2008-06-04 11:00","2008","06","04","11:00"," ","12,10","","10,00","","87,00","","33,00","","2,00","","","","","M","","","","","ND"
"2008-06-04 12:00","2008","06","04","12:00"," ","12,00","","10,30","","89,00","","29,00","","4,00","","","","","M","","","","","ND"
"2008-06-04 13:00","2008","06","04","13:00"," ","11,90","","10,20","","89,00","","36,00","","6,00","","","","","M","","","","","ND"
"2008-06-04 14:00","2008","06","04","14:00"," ","10,20","","8,40","","89,00","","1,00","","9,00","","","","","M","","","","","ND"
