"Nom de la Station","FORT MCMURRAY AWOS A"
"Province","ALBERTA"
"Latitude","56,65"
"Longitude","-111,22"
"Altitude","369,10"
"Identification Climat","3062700"
"Identification OMM",""
"Identification TC",""
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-04-01 00:00","2009","04","01","00:00"," ","-2,40","","-10,60","","53,00","","0,00","","0,00","","15,00","","96,39","","","","","",""
"2009-04-01 01:00","2009","04","01","01:00"," ","-3,00","","-10,80","","55,00","","21,00","","7,00","","15,00","","96,43","","","","-6,00","",""
"2009-04-01 02:00","2009","04","01","02:00"," ","-3,40","","-12,10","","51,00","","20,00","","4,00","","15,00","","96,48","","","","-5,00","",""
"2009-04-01 03:00","2009","04","01","03:00"," ","-5,60","","-12,50","","58,00","","0,00","","0,00","","15,00","","96,50","","","","","",""
"2009-04-01 04:00","2009","04","01","04:00"," ","-6,40","","-12,00","","64,00","","21,00","","9,00","","15,00","","96,53","","","","-11,00","",""
"2009-04-01 05:00","2009","04","01","05:00"," ","-7,70","","-12,00","","71,00","","19,00","","4,00","","15,00","","96,57","","","","-10,00","",""
"2009-04-01 06:00","2009","04","01","06:00"," ","-7,50","","-12,60","","67,00","","22,00","","4,00","","15,00","","96,60","","","","-10,00","",""
"2009-04-01 07:00","2009","04","01","07:00"," ","-7,00","","-11,80","","69,00","","24,00","","4,00","","15,00","","96,62","","","","-9,00","",""
"2009-04-01 08:00","2009","04","01","08:00"," ","-4,70","","-10,90","","62,00","","26,00","","11,00","","15,00","","96,64","","","","-9,00","",""
"2009-04-01 09:00","2009","04","01","09:00"," ","-2,40","","-9,10","","60,00","","31,00","","11,00","","15,00","","96,64","","","","-6,00","",""
