"Nom de la Station","LETHBRIDGE AWOS A"
"Province","ALBERTA"
"Latitude","49,63"
"Longitude","-112,80"
"Altitude","929,00"
"Identification Climat","3033884"
"Identification OMM",""
"Identification TC","YQL"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-06-01 00:00","2009","06","01","00:00"," ","12,60","","-2,00","","36,00","","36,00","","33,00","","15,00","","91,30","","","","","",""
"2009-06-01 01:00","2009","06","01","01:00"," ","11,80","","-2,70","","36,00","","36,00","","30,00","","15,00","","91,41","","","","","",""
"2009-06-01 02:00","2009","06","01","02:00"," ","11,00","","-1,30","","42,00","","36,00","","28,00","","15,00","","91,47","","","","","",""
"2009-06-01 03:00","2009","06","01","03:00"," ","10,60","","-0,50","","46,00","","36,00","","24,00","","15,00","","91,55","","","","","",""
"2009-06-01 04:00","2009","06","01","04:00"," ","9,70","","0,50","","53,00","","36,00","","28,00","","15,00","","91,62","","","","","",""
"2009-06-01 05:00","2009","06","01","05:00"," ","7,90","","2,10","","67,00","","35,00","","20,00","","15,00","","91,72","","","","","","Pluie"
"2009-06-01 06:00","2009","06","01","06:00"," ","7,50","","3,20","","74,00","","34,00","","17,00","","15,00","","91,79","","","","","","Pluie"
"2009-06-01 07:00","2009","06","01","07:00"," ","8,70","","1,20","","59,00","","36,00","","17,00","","15,00","","91,84","","","","","",""
"2009-06-01 08:00","2009","06","01","08:00"," ","9,40","","1,40","","57,00","","1,00","","17,00","","15,00","","91,87","","","","","",""
"2009-06-01 09:00","2009","06","01","09:00"," ","9,80","","1,20","","55,00","","36,00","","17,00","","15,00","","91,88","","","","","",""
"2009-06-01 10:00","2009","06","01","10:00"," ","10,20","","-0,10","","49,00","","34,00","","20,00","","15,00","","91,88","","","","","",""
"2009-06-01 11:00","2009","06","01","11:00"," ","11,50","","-0,20","","44,00","","34,00","","19,00","","15,00","","91,91","","","","","",""
"2009-06-01 12:00","2009","06","01","12:00"," ","12,00","","-0,10","","43,00","","1,00","","22,00","","15,00","","91,94","","","","","",""
"2009-06-01 13:00","2009","06","01","13:00"," ","12,60","","-0,70","","40,00","","1,00","","19,00","","15,00","","91,91","","","","","",""
"2009-06-01 14:00","2009","06","01","14:00"," ","12,50","","-0,70","","40,00","","34,00","","7,00","","15,00","","91,89","","","","","",""
"2009-06-01 15:00","2009","06","01","15:00"," ","13,50","","-1,20","","36,00","","5,00","","17,00","","15,00","","91,87","","","","","",""
"2009-06-01 16:00","2009","06","01","16:00"," ","13,30","","-1,50","","36,00","","2,00","","15,00","","15,00","","91,86","","","","","",""
"2009-06-01 17:00","2009","06","01","17:00"," ","14,90","","-2,10","","31,00","","5,00","","11,00","","15,00","","91,84","","","","","",""
"2009-06-01 18:00","2009","06","01","18:00"," ","14,30","","-2,90","","30,00","","5,00","","20,00","","15,00","","91,81","","","","","",""
"2009-06-01 19:00","2009","06","01","19:00"," ","13,80","","-1,30","","35,00","","8,00","","11,00","","15,00","","91,83","","","","","",""
"2009-06-01 20:00","2009","06","01","20:00"," ","11,30","","-1,10","","42,00","","5,00","","11,00","","15,00","","91,86","","","","","",""
"2009-06-01 21:00","2009","06","01","21:00"," ","7,50","","-1,50","","53,00","","5,00","","9,00","","15,00","","91,92","","","","","",""
"2009-06-01 22:00","2009","06","01","22:00"," ","6,70","","-1,60","","55,00","","10,00","","9,00","","15,00","","91,97","","","","","",""
"2009-06-01 23:00","2009","06","01","23:00"," ","4,00","","-2,80","","61,00","","14,00","","6,00","","15,00","","91,99","","","","","",""
"2009-06-02 00:00","2009","06","02","00:00"," ","1,20","","-4,30","","67,00","","16,00","","7,00","","15,00","","92,01","","","","","",""
"2009-06-02 01:00","2009","06","02","01:00"," ","-0,70","","-4,60","","75,00","","25,00","","9,00","","15,00","","92,01","","","","-4,00","",""
"2009-06-02 02:00","2009","06","02","02:00"," ","0,20","","-3,80","","74,00","","27,00","","7,00","","15,00","","92,04","","","","","",""
"2009-06-02 03:00","2009","06","02","03:00"," ","-1,20","","-4,00","","81,00","","29,00","","6,00","","15,00","","92,06","","","","-3,00","",""
"2009-06-02 04:00","2009","06","02","04:00"," ","-2,00","","-4,50","","83,00","","25,00","","7,00","","15,00","","92,05","","","","-5,00","",""
"2009-06-02 05:00","2009","06","02","05:00"," ","-1,70","","-4,00","","84,00","","23,00","","11,00","","15,00","","92,05","","","","-6,00","",""
"2009-06-02 06:00","2009","06","02","06:00"," ","3,10","","-0,50","","77,00","","25,00","","7,00","","15,00","","92,09","","","","","",""
"2009-06-02 07:00","2009","06","02","07:00"," ","6,90","","-0,80","","58,00","","26,00","","7,00","","15,00","","92,07","","","","","",""
"2009-06-02 08:00","2009","06","02","08:00"," ","11,00","","-1,10","","43,00","","21,00","","4,00","","15,00","","92,05","","","","","",""
"2009-06-02 09:00","2009","06","02","09:00"," ","13,30","","-0,90","","37,00","","16,00","","6,00","","15,00","","92,04","","","","","",""
"2009-06-02 10:00","2009","06","02","10:00"," ","15,00","","-1,60","","32,00","","16,00","","17,00","","15,00","","92,00","","","","","",""
"2009-06-02 11:00","2009","06","02","11:00"," ","16,70","","-2,70","","26,00","","12,00","","13,00","","15,00","","91,95","","","","","",""
"2009-06-02 12:00","2009","06","02","12:00"," ","17,00","","-5,00","","22,00","","10,00","","17,00","","15,00","","91,89","","","","","",""
"2009-06-02 13:00","2009","06","02","13:00"," ","19,40","","-3,90","","20,00","","12,00","","19,00","","15,00","","91,83","","","","","",""
"2009-06-02 14:00","2009","06","02","14:00"," ","18,50","","-4,80","","20,00","","10,00","","19,00","","15,00","","91,76","","","","","",""
"2009-06-02 15:00","2009","06","02","15:00"," ","19,50","","-2,80","","22,00","","10,00","","13,00","","15,00","","91,70","","","","","",""
"2009-06-02 16:00","2009","06","02","16:00"," ","19,80","","-2,90","","21,00","","12,00","","13,00","","15,00","","91,66","","","","","",""
"2009-06-02 17:00","2009","06","02","17:00"," ","19,60","","-3,90","","20,00","","16,00","","11,00","","15,00","","91,59","","","","","",""
