"Nom de la Station","INUVIK AWOS A"
"Province","NORTHWEST TERRITORIES"
"Latitude","68,30"
"Longitude","-133,48"
"Altitude","67,70"
"Identification Climat","2202575"
"Identification OMM","71957"
"Identification TC","YEV"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-04-01 00:00","2009","04","01","00:00"," ","-23,40","","-28,50","","63,00","","8,00","","11,00","","15,00","","100,45","","","","-32,00","",""
"2009-04-01 01:00","2009","04","01","01:00"," ","-23,20","","-28,30","","63,00","","9,00","","13,00","","15,00","","100,44","","","","-32,00","",""
"2009-04-01 02:00","2009","04","01","02:00"," ","-22,50","","-27,80","","62,00","","9,00","","11,00","","15,00","","100,44","","","","-31,00","",""
"2009-04-01 03:00","2009","04","01","03:00"," ","-22,30","","-27,80","","61,00","","8,00","","13,00","","15,00","","100,42","","","","-31,00","",""
"2009-04-01 04:00","2009","04","01","04:00"," ","-21,90","","-27,40","","61,00","","7,00","","11,00","","15,00","","100,41","","","","-30,00","",""
"2009-04-01 05:00","2009","04","01","05:00"," ","-22,20","","-27,60","","61,00","","9,00","","11,00","","15,00","","100,41","","","","-30,00","",""
"2009-04-01 06:00","2009","04","01","06:00"," ","-21,10","","-26,70","","61,00","","8,00","","11,00","","15,00","","100,40","","","","-29,00","",""
"2009-04-01 07:00","2009","04","01","07:00"," ","-21,10","","-26,60","","61,00","","10,00","","15,00","","15,00","","100,40","","","","-30,00","",""
"2009-04-01 08:00","2009","04","01","08:00"," ","-20,20","","-25,90","","60,00","","8,00","","9,00","","15,00","","100,41","","","","-27,00","",""
"2009-04-01 09:00","2009","04","01","09:00"," ","-18,30","","-24,80","","57,00","","9,00","","11,00","","15,00","","100,42","","","","-26,00","",""
"2009-04-01 10:00","2009","04","01","10:00"," ","-17,30","","-24,50","","53,00","","9,00","","11,00","","15,00","","100,41","","","","-24,00","",""
"2009-04-01 11:00","2009","04","01","11:00"," ","-15,50","","-23,70","","49,00","","10,00","","7,00","","15,00","","100,39","","","","-20,00","",""
"2009-04-01 12:00","2009","04","01","12:00"," ","-14,10","","-23,10","","46,00","","11,00","","7,00","","15,00","","100,37","","","","-19,00","",""
"2009-04-01 13:00","2009","04","01","13:00"," ","-12,70","","-22,40","","44,00","","8,00","","6,00","","15,00","","100,37","","","","-17,00","",""
"2009-04-01 14:00","2009","04","01","14:00"," ","-11,20","","-21,30","","43,00","","10,00","","9,00","","15,00","","100,37","","","","-16,00","",""
"2009-04-01 15:00","2009","04","01","15:00"," ","-9,00","","-20,20","","40,00","","21,00","","4,00","","15,00","","100,41","","","","-11,00","",""
"2009-04-01 16:00","2009","04","01","16:00"," ","-8,30","","-19,40","","40,00","","24,00","","4,00","","15,00","","100,43","","","","-10,00","",""
"2009-04-01 17:00","2009","04","01","17:00"," ","-9,50","","-19,80","","43,00","","11,00","","6,00","","15,00","","100,45","","","","-13,00","",""
"2009-04-01 18:00","2009","04","01","18:00"," ","-10,50","","-20,50","","44,00","","10,00","","11,00","","15,00","","100,45","","","","-16,00","",""
"2009-04-01 19:00","2009","04","01","19:00"," ","-11,10","","-21,30","","43,00","","10,00","","9,00","","15,00","","100,49","","","","-16,00","",""
"2009-04-01 20:00","2009","04","01","20:00"," ","-11,70","","-21,70","","43,00","","8,00","","7,00","","15,00","","100,51","","","","-16,00","",""
"2009-04-01 21:00","2009","04","01","21:00"," ","-13,90","","-22,40","","49,00","","6,00","","11,00","","15,00","","100,53","","","","-20,00","",""
"2009-04-01 22:00","2009","04","01","22:00"," ","-21,50","","-27,70","","57,00","","8,00","","7,00","","15,00","","100,55","","","","-27,00","",""
"2009-04-01 23:00","2009","04","01","23:00"," ","-17,20","","-23,70","","57,00","","8,00","","7,00","","15,00","","100,56","","","","-22,00","",""
"2009-04-02 00:00","2009","04","02","00:00"," ","-17,70","","-23,70","","59,00","","9,00","","9,00","","15,00","","100,59","","","","-24,00","",""
"2009-04-02 01:00","2009","04","02","01:00"," ","-20,10","","-25,20","","64,00","","30,00","","7,00","","15,00","","100,65","","","","-26,00","",""
"2009-04-02 02:00","2009","04","02","02:00"," ","-24,50","","-30,30","","59,00","","10,00","","6,00","","15,00","","100,72","","","","-30,00","",""
"2009-04-02 03:00","2009","04","02","03:00"," ","-21,10","","-25,70","","66,00","","9,00","","11,00","","15,00","","100,73","","","","-29,00","",""
"2009-04-02 04:00","2009","04","02","04:00"," ","-21,10","","-26,20","","63,00","","0,00","","0,00","","15,00","","100,77","","","","","",""
"2009-04-02 05:00","2009","04","02","05:00"," ","-21,60","","-26,50","","65,00","","11,00","","7,00","","15,00","","100,81","","","","-28,00","",""
"2009-04-02 06:00","2009","04","02","06:00"," ","-21,90","","-26,60","","66,00","","5,00","","4,00","","15,00","","100,87","","","","-26,00","",""
"2009-04-02 07:00","2009","04","02","07:00"," ","-23,90","","-28,60","","65,00","","9,00","","4,00","","15,00","","100,90","","","","-28,00","",""
"2009-04-02 08:00","2009","04","02","08:00"," ","-23,60","","-28,40","","65,00","","11,00","","6,00","","15,00","","100,96","","","","-29,00","",""
"2009-04-02 09:00","2009","04","02","09:00"," ","-20,70","","-25,20","","67,00","","7,00","","11,00","","15,00","","101,00","","","","-28,00","",""
"2009-04-02 10:00","2009","04","02","10:00"," ","-19,30","","-24,50","","63,00","","13,00","","6,00","","15,00","","101,04","","","","-24,00","",""
"2009-04-02 11:00","2009","04","02","11:00"," ","-16,50","","-22,80","","58,00","","15,00","","4,00","","15,00","","101,07","","","","-20,00","",""
"2009-04-02 12:00","2009","04","02","12:00"," ","-15,30","","-22,30","","55,00","","14,00","","4,00","","15,00","","101,10","","","","-18,00","",""
"2009-04-02 13:00","2009","04","02","13:00"," ","-14,40","","-21,80","","53,00","","13,00","","7,00","","15,00","","101,16","","","","-19,00","",""
"2009-04-02 14:00","2009","04","02","14:00"," ","-13,40","","-21,10","","52,00","","13,00","","7,00","","15,00","","101,18","","","","-18,00","",""
"2009-04-02 15:00","2009","04","02","15:00"," ","-11,60","","-19,90","","50,00","","15,00","","6,00","","15,00","","101,20","","","","-15,00","",""
"2009-04-02 16:00","2009","04","02","16:00"," ","-11,70","","-19,40","","53,00","","12,00","","7,00","","15,00","","101,22","","","","-16,00","",""
"2009-04-02 17:00","2009","04","02","17:00"," ","-11,90","","-20,80","","48,00","","11,00","","13,00","","15,00","","101,26","","","","-19,00","",""
"2009-04-02 18:00","2009","04","02","18:00"," ","-12,70","","-21,50","","48,00","","8,00","","9,00","","15,00","","101,27","","","","-18,00","",""
"2009-04-02 19:00","2009","04","02","19:00"," ","-14,10","","-22,20","","50,00","","8,00","","11,00","","15,00","","101,28","","","","-21,00","",""
"2009-04-02 20:00","2009","04","02","20:00"," ","-15,00","","-22,20","","54,00","","8,00","","11,00","","15,00","","101,30","","","","-22,00","",""
"2009-04-02 21:00","2009","04","02","21:00"," ","-15,90","","-21,90","","60,00","","10,00","","7,00","","15,00","","101,32","","","","-21,00","",""
"2009-04-02 22:00","2009","04","02","22:00"," ","-17,20","","-22,90","","61,00","","10,00","","9,00","","15,00","","101,34","","","","-23,00","",""
"2009-04-02 23:00","2009","04","02","23:00"," ","-18,20","","-23,80","","61,00","","9,00","","13,00","","15,00","","101,34","","","","-26,00","",""
"2009-04-03 00:00","2009","04","03","00:00"," ","-20,00","","-25,10","","64,00","","11,00","","11,00","","15,00","","101,32","","","","-28,00","",""
"2009-04-03 01:00","2009","04","03","01:00"," ","-17,10","","-22,70","","62,00","","8,00","","9,00","","15,00","","101,29","","","","-23,00","",""
"2009-04-03 02:00","2009","04","03","02:00"," ","-17,90","","-22,80","","65,00","","11,00","","9,00","","15,00","","101,28","","","","-24,00","",""
"2009-04-03 03:00","2009","04","03","03:00"," ","-16,80","","-21,50","","67,00","","9,00","","13,00","","15,00","","101,27","","","","-25,00","",""
"2009-04-03 04:00","2009","04","03","04:00"," ","-18,70","","-23,00","","69,00","","8,00","","11,00","","15,00","","101,29","","","","-26,00","",""
"2009-04-03 05:00","2009","04","03","05:00"," ","-19,50","","-23,60","","70,00","","8,00","","9,00","","15,00","","101,29","","","","-26,00","",""
"2009-04-03 06:00","2009","04","03","06:00"," ","-20,70","","-25,20","","67,00","","8,00","","7,00","","15,00","","101,29","","","","-26,00","",""
"2009-04-03 07:00","2009","04","03","07:00"," ","-20,00","","-23,90","","71,00","","0,00","","0,00","","15,00","","101,29","","","","","",""
"2009-04-03 08:00","2009","04","03","08:00"," ","-21,50","","-26,00","","67,00","","0,00","","0,00","","15,00","","101,31","","","","","",""
"2009-04-03 08:59","2009","04","03","08:59"," ","-19,70","","-24,20","","67,00","","0,00","","0,00","","15,00","","101,31","","","","","",""
"2009-04-03 09:00","2009","04","03","09:00"," ","-19,70","","-24,00","","69,00","","0,00","","0,00","","15,00","","101,31","","","","","",""
"2009-04-03 09:10","2009","04","03","09:10"," ","-19,70","","-23,70","","70,00","","0,00","","0,00","","11,30","","101,31","","","","","",""
"2009-04-03 09:20","2009","04","03","09:20"," ","-19,30","","-23,40","","70,00","","0,00","","0,00","","15,00","","101,32","","","","","",""
"2009-04-03 09:29","2009","04","03","09:29"," ","-18,80","","-23,10","","69,00","","0,00","","0,00","","15,00","","101,31","","","","","",""
"2009-04-03 09:46","2009","04","03","09:46"," ","-18,20","","-22,30","","70,00","","0,00","","0,00","","15,00","","101,32","","","","","",""
"2009-04-03 10:00","2009","04","03","10:00"," ","-17,70","","-21,70","","71,00","","0,00","","0,00","","5,60","","101,32","","","","","","Neige"
"2009-04-03 10:18","2009","04","03","10:18"," ","-17,20","","-21,30","","70,00","","0,00","","0,00","","4,00","","101,31","","","","","","Neige"
"2009-04-03 10:31","2009","04","03","10:31"," ","-16,60","","-21,10","","68,00","","0,00","","0,00","","2,40","","101,31","","","","","","Neige"
"2009-04-03 10:45","2009","04","03","10:45"," ","-15,90","","-21,10","","64,00","","0,00","","0,00","","4,00","","101,30","","","","","","Neige"
"2009-04-03 10:51","2009","04","03","10:51"," ","-15,60","","-20,80","","64,00","","0,00","","0,00","","6,40","","101,30","","","","","","Neige"
"2009-04-03 10:58","2009","04","03","10:58"," ","-15,80","","-21,20","","63,00","","0,00","","0,00","","4,00","","101,30","","","","","","Neige"
"2009-04-03 11:00","2009","04","03","11:00"," ","-15,70","","-21,10","","63,00","","0,00","","0,00","","3,90","","101,30","","","","","","Neige"
"2009-04-03 11:03","2009","04","03","11:03"," ","-15,00","","-20,50","","63,00","","0,00","","0,00","","3,90","","101,30","","","","","","Neige"
"2009-04-03 11:04","2009","04","03","11:04"," ","-15,00","","-20,50","","63,00","","0,00","","0,00","","4,00","","101,30","","","","","","Neige"
