"Nom de la Station","SLAVE LAKE AWOS A"
"Province","ALBERTA"
"Latitude","55,29"
"Longitude","-114,78"
"Altitude","582,80"
"Identification Climat","3066002"
"Identification OMM","71069"
"Identification TC","PLV"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2010-02-01 00:00","2010","02","01","00:00"," ","-13,30","","-15,90","","81,00","","8,00","","9,00","","15,00","","94,48","","","","-19,00","",""
"2010-02-01 01:00","2010","02","01","01:00"," ","-13,20","","-15,70","","81,00","","8,00","","7,00","","15,00","","94,47","","","","-18,00","",""
"2010-02-01 02:00","2010","02","01","02:00"," ","-13,10","","-15,60","","81,00","","8,00","","9,00","","15,00","","94,46","","","","-19,00","",""
"2010-02-01 03:00","2010","02","01","03:00"," ","-13,00","","-15,10","","84,00","","9,00","","9,00","","15,00","","94,47","","","","-18,00","",""
"2010-02-01 04:00","2010","02","01","04:00"," ","-13,00","","-15,00","","85,00","","10,00","","6,00","","15,00","","94,45","","","","-17,00","","Neige"
"2010-02-01 05:00","2010","02","01","05:00"," ","-13,00","","-15,00","","85,00","","11,00","","6,00","","15,00","","94,41","","","","-17,00","","Neige"
"2010-02-01 06:00","2010","02","01","06:00"," ","-13,00","","-15,00","","85,00","","10,00","","4,00","","15,00","","94,42","","","","-16,00","","Neige"
"2010-02-01 07:00","2010","02","01","07:00"," ","-13,00","","-15,00","","85,00","","11,00","","4,00","","12,90","","94,41","","","","-16,00","","Neige"
"2010-02-01 08:00","2010","02","01","08:00"," ","-13,00","","-15,00","","85,00","","10,00","","4,00","","5,60","","94,42","","","","-16,00","","Neige"
"2010-02-01 09:00","2010","02","01","09:00"," ","-12,90","","-14,90","","85,00","","0,00","","0,00","","15,00","","94,42","","","","","","Neige"
"2010-02-01 10:00","2010","02","01","10:00"," ","-12,50","","-14,80","","83,00","","0,00","","0,00","","12,90","","94,43","","","","","","Neige"
"2010-02-01 11:00","2010","02","01","11:00"," ","-12,30","","-14,70","","82,00","","0,00","","0,00","","14,50","","94,44","","","","","","Neige"
"2010-02-01 12:00","2010","02","01","12:00"," ","-11,90","","-14,50","","81,00","","0,00","","0,00","","15,00","","94,44","","","","","",""
"2010-02-01 13:00","2010","02","01","13:00"," ","-11,80","","-14,40","","81,00","","32,00","","6,00","","12,90","","94,42","","","","-16,00","","Neige"
"2010-02-01 14:00","2010","02","01","14:00"," ","-13,20","","-15,50","","83,00","","30,00","","7,00","","14,50","","94,40","","","","-18,00","","Neige"
"2010-02-01 15:00","2010","02","01","15:00"," ","-13,90","","-16,10","","83,00","","30,00","","9,00","","15,00","","94,40","","","","-20,00","",""
"2010-02-01 16:00","2010","02","01","16:00"," ","-13,70","","-15,80","","84,00","","31,00","","7,00","","15,00","","94,44","","","","-18,00","",""
"2010-02-01 17:00","2010","02","01","17:00"," ","-14,30","","-16,70","","82,00","","0,00","","0,00","","15,00","","94,45","","","","","",""
"2010-02-01 18:00","2010","02","01","18:00"," ","-12,60","","-14,60","","85,00","","30,00","","4,00","","15,00","","94,45","","","","-15,00","",""
"2010-02-01 19:00","2010","02","01","19:00"," ","-11,80","","-14,70","","79,00","","32,00","","6,00","","15,00","","94,44","","","","-16,00","",""
"2010-02-01 20:00","2010","02","01","20:00"," ","-12,00","","-14,70","","80,00","","31,00","","4,00","","15,00","","94,44","","","","-15,00","",""
"2010-02-01 21:00","2010","02","01","21:00"," ","-12,30","","-14,70","","82,00","","0,00","","0,00","","15,00","","94,46","","","","","",""
"2010-02-01 22:00","2010","02","01","22:00"," ","-12,20","","-14,60","","82,00","","32,00","","6,00","","15,00","","94,47","","","","-16,00","","Neige"
"2010-02-01 23:00","2010","02","01","23:00"," ","-14,00","","-16,30","","83,00","","28,00","","6,00","","15,00","","94,44","","","","-18,00","",""
"2010-02-02 00:00","2010","02","02","00:00"," ","-14,40","","-16,40","","85,00","","0,00","","0,00","","15,00","","94,46","","","","","",""
