"Nom de la Station","SWIFT CURRENT A"
"Province","SASKATCHEWAN"
"Latitude","50,30"
"Longitude","-107,68"
"Altitude","816,90"
"Identification Climat","4028040"
"Identification OMM","71870"
"Identification TC","YYN"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1967-12-01 00:00","1967","12","01","00:00"," ","-13,30","","-15,60","","83,00","","23,00","","16,00","","24,10","","91,31","","","","-21,00","","Dégagé"
"1967-12-01 01:00","1967","12","01","01:00"," ","-14,40","","-16,70","","83,00","","20,00","","19,00","","24,10","","91,30","","","","-23,00","","Dégagé"
"1967-12-01 02:00","1967","12","01","02:00"," ","-13,30","","-15,60","","83,00","","18,00","","19,00","","24,10","","91,30","","","","-22,00","","Dégagé"
"1967-12-01 03:00","1967","12","01","03:00"," ","-16,10","","-18,30","","81,00","","18,00","","13,00","","24,10","","91,32","","","","-24,00","","Dégagé"
"1967-12-01 04:00","1967","12","01","04:00"," ","-12,80","","-15,60","","78,00","","18,00","","19,00","","24,10","","91,29","","","","-21,00","","Dégagé"
"1967-12-01 05:00","1967","12","01","05:00"," ","-10,00","","-13,30","","77,00","","20,00","","23,00","","24,10","","91,32","","","","-18,00","","Dégagé"
"1967-12-01 06:00","1967","12","01","06:00"," ","-10,60","","-13,30","","79,00","","20,00","","26,00","","24,10","","91,35","","","","-20,00","","Généralement dégagé"
"1967-12-01 07:00","1967","12","01","07:00"," ","-8,90","","-11,70","","81,00","","18,00","","32,00","","24,10","","91,38","","","","-18,00","","Généralement dégagé"
"1967-12-01 08:00","1967","12","01","08:00"," ","-9,40","","-12,80","","77,00","","18,00","","32,00","","24,10","","91,38","","","","-19,00","","Généralement dégagé"
"1967-12-01 09:00","1967","12","01","09:00"," ","-7,20","","-11,70","","71,00","","20,00","","32,00","","24,10","","91,42","","","","-16,00","","Généralement dégagé"
"1967-12-01 10:00","1967","12","01","10:00"," ","-6,10","","-10,00","","73,00","","23,00","","27,00","","24,10","","91,46","","","","-14,00","","Dégagé"
"1967-12-01 11:00","1967","12","01","11:00"," ","-4,40","","-8,90","","70,00","","23,00","","24,00","","24,10","","91,52","","","","-11,00","","Dégagé"
