"Nom de la Station","EDSON AWOS A"
"Province","ALBERTA"
"Latitude","53,58"
"Longitude","-116,47"
"Altitude","926,90"
"Identification Climat","3062245"
"Identification OMM","71881"
"Identification TC","PDS"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2011-04-01 00:00","2011","04","01","00:00"," ","2,30","","-10,80","","37,00","","","M","","M","","M","90,33","","","","","","ND"
"2011-04-01 01:00","2011","04","01","01:00"," ","0,60","","-11,00","","41,00","","","M","","M","","M","90,33","","","","","","ND"
"2011-04-01 02:00","2011","04","01","02:00"," ","0,80","","-11,60","","39,00","","","M","","M","","M","90,34","","","","","","ND"
"2011-04-01 03:00","2011","04","01","03:00"," ","0,60","","-11,80","","39,00","","","M","","M","","M","90,33","","","","","","ND"
"2011-04-01 04:00","2011","04","01","04:00"," ","-0,10","","-12,00","","40,00","","","M","","M","","M","90,37","","","","","","ND"
"2011-04-01 05:00","2011","04","01","05:00"," ","-1,80","","-12,30","","45,00","","","M","","M","","M","90,38","","","","","","ND"
"2011-04-01 06:00","2011","04","01","06:00"," ","-3,10","","-12,60","","48,00","","","M","","M","","M","90,40","","","","","","ND"
"2011-04-01 07:00","2011","04","01","07:00"," ","-3,20","","-12,50","","49,00","","","M","","M","","M","90,41","","","","","","ND"
"2011-04-01 08:00","2011","04","01","08:00"," ","-1,30","","-11,20","","47,00","","","M","","M","","M","90,40","","","","","","ND"
"2011-04-01 09:00","2011","04","01","09:00"," ","1,10","","-10,70","","41,00","","","M","","M","","M","90,38","","","","","","ND"
"2011-04-01 10:00","2011","04","01","10:00"," ","4,50","","-11,80","","29,00","","","M","","M","","M","90,34","","","","","","ND"
"2011-04-01 11:00","2011","04","01","11:00"," ","5,20","","-12,70","","26,00","","","M","","M","","M","90,30","","","","","","ND"
"2011-04-01 12:00","2011","04","01","12:00"," ","6,20","","-12,50","","25,00","","","M","","M","","M","90,26","","","","","","ND"
"2011-04-01 13:00","2011","04","01","13:00"," ","6,50","","-13,50","","22,00","","","M","","M","","M","90,20","","","","","","ND"
"2011-04-01 14:00","2011","04","01","14:00"," ","7,10","","-13,00","","22,00","","","M","","M","","M","90,14","","","","","","ND"
"2011-04-01 15:00","2011","04","01","15:00"," ","7,10","","-12,70","","23,00","","","M","","M","","M","90,11","","","","","","ND"
"2011-04-01 16:00","2011","04","01","16:00"," ","6,90","","-12,90","","23,00","","","M","","M","","M","90,06","","","","","","ND"
"2011-04-01 17:00","2011","04","01","17:00"," ","6,90","","-13,50","","22,00","","","M","","M","","M","90,03","","","","","","ND"
"2011-04-01 18:00","2011","04","01","18:00"," ","6,10","","-12,40","","25,00","","","M","","M","","M","90,00","","","","","","ND"
"2011-04-01 19:00","2011","04","01","19:00"," ","4,80","","-10,50","","32,00","","","M","","M","","M","89,99","","","","","","ND"
"2011-04-01 20:00","2011","04","01","20:00"," ","4,40","","-11,80","","30,00","","","M","","M","","M","90,01","","","","","","ND"
"2011-04-01 21:00","2011","04","01","21:00"," ","2,70","","-11,70","","34,00","","","M","","M","","M","90,02","","","","","","ND"
"2011-04-01 22:00","2011","04","01","22:00"," ","2,00","","-11,20","","37,00","","","M","","M","","M","90,01","","","","","","ND"
"2011-04-01 23:00","2011","04","01","23:00"," ","0,70","","-11,30","","40,00","","","M","","M","","M","89,99","","","","","","ND"
"2011-04-02 00:00","2011","04","02","00:00"," ","-2,00","","-11,60","","48,00","","","M","","M","","M","89,94","","","","","","ND"
