"Nom de la Station","LUNENBURG"
"Province","NOVA SCOTIA"
"Latitude","44,36"
"Longitude","-64,30"
"Altitude","3,80"
"Identification Climat","8203210"
"Identification OMM",""
"Identification TC","XLB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2004-12-01 00:00","2004","12","01","00:00"," ","0,40","","-0,90","","91,00","","24,00","","6,00","","","M","102,33","","","","","","ND"
"2004-12-01 01:00","2004","12","01","01:00"," ","0,40","","-0,90","","91,00","","29,00","","4,00","","","M","102,25","","","","","","ND"
"2004-12-01 02:00","2004","12","01","02:00"," ","0,40","","-1,00","","90,00","","27,00","","4,00","","","M","102,26","","","","","","ND"
"2004-12-01 03:00","2004","12","01","03:00"," ","-0,20","","-1,30","","92,00","","33,00","","6,00","","","M","102,22","","","","-2,00","","ND"
"2004-12-01 04:00","2004","12","01","04:00"," ","-0,30","","-1,20","","94,00","","34,00","","6,00","","","M","102,19","","","","-2,00","","ND"
"2004-12-01 05:00","2004","12","01","05:00"," ","-0,10","","-1,00","","94,00","","33,00","","4,00","","","M","102,08","","","","-1,00","","ND"
"2004-12-01 06:00","2004","12","01","06:00"," ","0,30","","-0,60","","94,00","","0,00","","0,00","","","M","102,04","","","","","","ND"
"2004-12-01 07:00","2004","12","01","07:00"," ","0,40","","-0,60","","93,00","","27,00","","2,00","","","M","101,98","","","","","","ND"
"2004-12-01 08:00","2004","12","01","08:00"," ","0,60","","-0,50","","92,00","","6,00","","4,00","","","M","101,92","","","","","","ND"
"2004-12-01 09:00","2004","12","01","09:00"," ","0,90","","-0,10","","93,00","","35,00","","4,00","","","M","101,91","","","","","","ND"
"2004-12-01 10:00","2004","12","01","10:00"," ","1,70","","0,50","","92,00","","0,00","","0,00","","","M","101,82","","","","","","ND"
"2004-12-01 11:00","2004","12","01","11:00"," ","5,00","","4,00","","93,00","","14,00","","7,00","","","M","101,65","","","","","","ND"
"2004-12-01 12:00","2004","12","01","12:00"," ","5,80","","4,00","","88,00","","17,00","","15,00","","","M","101,59","","","","","","ND"
"2004-12-01 13:00","2004","12","01","13:00"," ","6,10","","3,80","","85,00","","16,00","","17,00","","","M","101,44","","","","","","ND"
"2004-12-01 14:00","2004","12","01","14:00"," ","6,30","","4,00","","85,00","","13,00","","30,00","","","M","101,22","","","","","","ND"
"2004-12-01 15:00","2004","12","01","15:00"," ","6,60","","4,50","","86,00","","14,00","","35,00","","","M","101,12","","","","","","ND"
"2004-12-01 16:00","2004","12","01","16:00"," ","6,60","","4,70","","88,00","","15,00","","32,00","","","M","101,00","","","","","","ND"
"2004-12-01 17:00","2004","12","01","17:00"," ","7,00","","4,90","","86,00","","13,00","","43,00","","","M","100,66","","","","","","ND"
"2004-12-01 18:00","2004","12","01","18:00"," ","7,20","","5,50","","89,00","","13,00","","61,00","","","M","100,34","","","","","","ND"
"2004-12-01 19:00","2004","12","01","19:00"," ","7,30","","5,70","","90,00","","13,00","","61,00","","","M","100,05","","","","","","ND"
