"Nom de la Station","PARRY SOUND CCG"
"Province","ONTARIO"
"Latitude","45,34"
"Longitude","-80,04"
"Altitude","176,30"
"Identification Climat","6116257"
"Identification OMM","71172"
"Identification TC","XPC"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2005-03-01 00:00","2005","03","01","00:00"," ","-4,30","","-5,20","","93,00","","3,00","","","M","","","97,97","","","","","","ND"
"2005-03-01 01:00","2005","03","01","01:00"," ","-5,10","","-6,00","","93,00","","4,00","","","M","","","97,94","","","","","","ND"
"2005-03-01 02:00","2005","03","01","02:00"," ","-5,40","","-6,30","","93,00","","4,00","","","M","","","97,89","","","","","","ND"
"2005-03-01 03:00","2005","03","01","03:00"," ","-5,40","","-6,60","","91,00","","5,00","","","M","","","97,80","","","","","","ND"
"2005-03-01 04:00","2005","03","01","04:00"," ","-5,60","","-6,40","","94,00","","4,00","","","M","","","97,73","","","","","","ND"
"2005-03-01 05:00","2005","03","01","05:00"," ","-6,30","","-7,30","","93,00","","4,00","","","M","","","97,71","","","","","","ND"
"2005-03-01 06:00","2005","03","01","06:00"," ","-6,70","","-7,60","","93,00","","4,00","","","M","","","97,71","","","","","","ND"
"2005-03-01 07:00","2005","03","01","07:00"," ","-6,80","","-7,80","","93,00","","5,00","","","M","","","97,70","","","","","","ND"
"2005-03-01 08:00","2005","03","01","08:00"," ","-6,60","","-7,60","","93,00","","4,00","","","M","","","97,71","","","","","","ND"
"2005-03-01 09:00","2005","03","01","09:00"," ","-6,20","","-7,70","","89,00","","3,00","","","M","","","97,71","","","","","","ND"
"2005-03-01 10:00","2005","03","01","10:00"," ","-5,30","","-7,20","","86,00","","4,00","","","M","","","97,70","","","","","","ND"
"2005-03-01 11:00","2005","03","01","11:00"," ","-4,40","","-6,80","","83,00","","2,00","","","M","","","97,70","","","","","","ND"
"2005-03-01 12:00","2005","03","01","12:00"," ","-3,80","","-6,20","","83,00","","3,00","","","M","","","97,68","","","","","","ND"
"2005-03-01 13:00","2005","03","01","13:00"," ","-2,50","","-5,70","","79,00","","2,00","","","M","","","97,64","","","","","","ND"
"2005-03-01 14:00","2005","03","01","14:00"," ","-2,40","","-6,00","","76,00","","2,00","","","M","","","97,61","","","","","","ND"
"2005-03-01 15:00","2005","03","01","15:00"," ","-4,10","","-6,40","","84,00","","35,00","","","M","","","97,68","","","","","","ND"
"2005-03-01 16:00","2005","03","01","16:00"," ","-5,00","","-7,00","","86,00","","36,00","","","M","","","97,73","","","","","","ND"
"2005-03-01 17:00","2005","03","01","17:00"," ","-5,60","","-7,70","","85,00","","33,00","","","M","","","97,81","","","","","","ND"
"2005-03-01 18:00","2005","03","01","18:00"," ","-6,30","","-8,00","","88,00","","32,00","","","M","","","97,89","","","","","","ND"
"2005-03-01 19:00","2005","03","01","19:00"," ","-6,90","","-8,90","","86,00","","30,00","","","M","","","98,00","","","","","","ND"
"2005-03-01 20:00","2005","03","01","20:00"," ","-7,40","","-8,90","","89,00","","30,00","","","M","","","98,05","","","","","","ND"
"2005-03-01 21:00","2005","03","01","21:00"," ","-7,40","","-9,30","","86,00","","29,00","","","M","","","98,08","","","","","","ND"
"2005-03-01 22:00","2005","03","01","22:00"," ","-7,60","","-9,30","","88,00","","29,00","","","M","","","98,12","","","","","","ND"
"2005-03-01 23:00","2005","03","01","23:00"," ","-7,70","","-9,80","","85,00","","29,00","","","M","","","98,15","","","","","","ND"
"2005-03-02 00:00","2005","03","02","00:00"," ","-8,30","","-10,40","","85,00","","31,00","","","M","","","98,18","","","","","","ND"
"2005-03-02 01:00","2005","03","02","01:00"," ","-9,10","","-11,30","","84,00","","30,00","","","M","","","98,24","","","","","","ND"
"2005-03-02 02:00","2005","03","02","02:00"," ","-10,20","","-12,40","","84,00","","29,00","","","M","","","98,30","","","","","","ND"
"2005-03-02 03:00","2005","03","02","03:00"," ","-10,90","","-13,00","","84,00","","32,00","","","M","","","98,33","","","","","","ND"
"2005-03-02 04:00","2005","03","02","04:00"," ","-11,40","","-13,30","","86,00","","28,00","","","M","","","98,39","","","","","","ND"
"2005-03-02 05:00","2005","03","02","05:00"," ","-11,90","","-13,90","","85,00","","28,00","","","M","","","98,48","","","","","","ND"
"2005-03-02 06:00","2005","03","02","06:00"," ","-12,30","","-14,70","","82,00","","29,00","","","M","","","98,56","","","","","","ND"
"2005-03-02 07:00","2005","03","02","07:00"," ","-12,80","","-15,70","","79,00","","29,00","","","M","","","98,65","","","","","","ND"
"2005-03-02 08:00","2005","03","02","08:00"," ","-12,60","","-15,80","","77,00","","30,00","","","M","","","98,70","","","","","","ND"
"2005-03-02 09:00","2005","03","02","09:00"," ","-11,80","","-16,90","","66,00","","35,00","","","M","","","98,71","","","","","","ND"
"2005-03-02 10:00","2005","03","02","10:00"," ","-10,80","","-16,80","","61,00","","34,00","","","M","","","98,72","","","","","","ND"
