"Nom de la Station","KINDERSLEY A"
"Province","SASKATCHEWAN"
"Latitude","51,52"
"Longitude","-109,18"
"Altitude","693,70"
"Identification Climat","4043900"
"Identification OMM","71129"
"Identification TC","YKY"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1988-12-01 00:00","1988","12","01","00:00"," ","0,10","","-4,90","","69,00","","21,00","","13,00","","24,10","","93,27","","","","","","Dégagé"
"1988-12-01 01:00","1988","12","01","01:00"," ","-0,30","","-5,50","","68,00","","20,00","","17,00","","24,10","","93,24","","","","-5,00","","Dégagé"
"1988-12-01 02:00","1988","12","01","02:00"," ","-0,30","","-5,50","","68,00","","18,00","","13,00","","24,10","","93,21","","","","-4,00","","Dégagé"
"1988-12-01 03:00","1988","12","01","03:00"," ","-2,50","","-4,70","","85,00","","19,00","","15,00","","24,10","","93,21","","","","-7,00","","Généralement dégagé"
"1988-12-01 04:00","1988","12","01","04:00"," ","-3,40","","-6,30","","80,00","","18,00","","15,00","","24,10","","93,14","","","","-9,00","","Généralement dégagé"
"1988-12-01 05:00","1988","12","01","05:00"," ","-1,80","","-5,00","","79,00","","18,00","","17,00","","24,10","","93,08","","","","-7,00","","Généralement nuageux"
"1988-12-01 06:00","1988","12","01","06:00"," ","-2,80","","-5,60","","81,00","","19,00","","15,00","","24,10","","93,05","","","","-8,00","","Généralement nuageux"
"1988-12-01 07:00","1988","12","01","07:00"," ","-4,00","","-6,30","","84,00","","18,00","","4,00","","24,10","","93,08","","","","-6,00","","Généralement nuageux"
"1988-12-01 08:00","1988","12","01","08:00"," ","-3,60","","-6,60","","80,00","","18,00","","11,00","","24,10","","93,08","","","","-8,00","","Généralement dégagé"
"1988-12-01 09:00","1988","12","01","09:00"," ","-3,00","","-7,50","","71,00","","20,00","","13,00","","24,10","","93,08","","","","-8,00","","Généralement nuageux"
"1988-12-01 10:00","1988","12","01","10:00"," ","-1,00","","-4,90","","75,00","","21,00","","15,00","","24,10","","93,08","","","","-6,00","","Généralement nuageux"
"1988-12-01 11:00","1988","12","01","11:00"," ","1,20","","-4,00","","68,00","","20,00","","11,00","","24,10","","93,11","","","","","","Généralement nuageux"
"1988-12-01 12:00","1988","12","01","12:00"," ","5,30","","-5,90","","44,00","","23,00","","15,00","","24,10","","93,11","","","","","","Généralement nuageux"
"1988-12-01 13:00","1988","12","01","13:00"," ","6,00","","-4,50","","47,00","","25,00","","7,00","","24,10","","93,08","","","","","","Généralement nuageux"
"1988-12-01 14:00","1988","12","01","14:00"," ","6,50","","-5,10","","43,00","","24,00","","22,00","","24,10","","93,05","","","","","","Généralement nuageux"
"1988-12-01 15:00","1988","12","01","15:00"," ","7,20","","-3,60","","46,00","","22,00","","17,00","","24,10","","93,02","","","","","","Généralement nuageux"
"1988-12-01 16:00","1988","12","01","16:00"," ","4,50","","-4,00","","54,00","","23,00","","9,00","","24,10","","93,05","","","","","","Nuageux"
"1988-12-01 17:00","1988","12","01","17:00"," ","3,10","","-4,20","","58,00","","18,00","","11,00","","24,10","","93,02","","","","","","Généralement nuageux"
"1988-12-01 18:00","1988","12","01","18:00"," ","4,50","","-4,00","","54,00","","21,00","","13,00","","24,10","","92,98","","","","","","Généralement nuageux"
"1988-12-01 19:00","1988","12","01","19:00"," ","3,10","","-4,20","","58,00","","19,00","","15,00","","24,10","","92,95","","","","","","Généralement nuageux"
"1988-12-01 20:00","1988","12","01","20:00"," ","3,90","","-4,10","","56,00","","19,00","","15,00","","24,10","","92,86","","","","","","Nuageux"
"1988-12-01 21:00","1988","12","01","21:00"," ","4,10","","-1,70","","66,00","","21,00","","11,00","","24,10","","92,86","","","","","","Nuageux"
"1988-12-01 22:00","1988","12","01","22:00"," ","4,10","","-4,70","","52,00","","21,00","","17,00","","24,10","","92,76","","","","","","Généralement dégagé"
"1988-12-01 23:00","1988","12","01","23:00"," ","2,90","","-3,60","","62,00","","23,00","","13,00","","24,10","","92,73","","","","","","Généralement dégagé"
"1988-12-02 00:00","1988","12","02","00:00"," ","4,80","","-4,60","","50,00","","22,00","","22,00","","24,10","","92,70","","","","","","Nuageux"
"1988-12-02 01:00","1988","12","02","01:00"," ","5,30","","-5,20","","47,00","","22,00","","19,00","","24,10","","92,67","","","","","","Nuageux"
"1988-12-02 02:00","1988","12","02","02:00"," ","5,60","","-5,90","","43,00","","24,00","","22,00","","24,10","","92,57","","","","","","Nuageux"
"1988-12-02 03:00","1988","12","02","03:00"," ","5,30","","-4,50","","49,00","","23,00","","41,00","","24,10","","92,54","","","","","","Nuageux"
"1988-12-02 04:00","1988","12","02","04:00"," ","5,10","","-5,30","","47,00","","23,00","","33,00","","24,10","","92,54","","","","","","Nuageux"
"1988-12-02 05:00","1988","12","02","05:00"," ","5,70","","-5,20","","45,00","","23,00","","28,00","","24,10","","92,51","","","","","","Nuageux"
"1988-12-02 06:00","1988","12","02","06:00"," ","6,00","","-5,90","","42,00","","23,00","","37,00","","24,10","","92,45","","","","","","Nuageux"
"1988-12-02 07:00","1988","12","02","07:00"," ","5,30","","-4,50","","49,00","","23,00","","30,00","","24,10","","92,48","","","","","","Nuageux"
"1988-12-02 08:00","1988","12","02","08:00"," ","5,80","","-5,20","","45,00","","25,00","","28,00","","24,10","","92,48","","","","","","Généralement nuageux"
"1988-12-02 09:00","1988","12","02","09:00"," ","5,40","","-5,20","","46,00","","25,00","","30,00","","24,10","","92,54","","","","","","Généralement nuageux"
"1988-12-02 10:00","1988","12","02","10:00"," ","4,00","","-4,70","","53,00","","28,00","","31,00","","24,10","","92,70","","","","","","Généralement nuageux"
"1988-12-02 11:00","1988","12","02","11:00"," ","3,90","","-4,10","","56,00","","28,00","","33,00","","24,10","","92,86","","","","","","Généralement dégagé"
"1988-12-02 12:00","1988","12","02","12:00"," ","3,90","","-4,70","","53,00","","29,00","","26,00","","24,10","","93,02","","","","","","Généralement dégagé"
"1988-12-02 13:00","1988","12","02","13:00"," ","4,80","","-3,30","","56,00","","31,00","","15,00","","24,10","","93,11","","","","","","Généralement dégagé"
"1988-12-02 14:00","1988","12","02","14:00"," ","5,00","","-2,70","","57,00","","31,00","","22,00","","24,10","","93,24","","","","","","Généralement dégagé"
"1988-12-02 15:00","1988","12","02","15:00"," ","4,60","","-3,40","","56,00","","32,00","","33,00","","24,10","","93,40","","","","","","Généralement nuageux"
"1988-12-02 16:00","1988","12","02","16:00"," ","3,10","","-3,00","","64,00","","31,00","","19,00","","24,10","","93,55","","","","","","Généralement nuageux"
