"Nom de la Station","PRINCE ALBERT A"
"Province","SASKATCHEWAN"
"Latitude","53,22"
"Longitude","-105,67"
"Altitude","428,20"
"Identification Climat","4056240"
"Identification OMM","71869"
"Identification TC","YPA"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2013-05-01 00:00","2013","05","01","00:00"," ","-1,20","","-7,90","","60,00","","0,00","","0,00","","24,10","","97,21","","","","","","Nuageux"
"2013-05-01 01:00","2013","05","01","01:00"," ","-1,50","","-7,80","","62,00","","0,00","","0,00","","24,10","","97,29","","","","","","Nuageux"
"2013-05-01 02:00","2013","05","01","02:00"," ","-1,90","","-8,40","","61,00","","0,00","","0,00","","24,10","","97,34","","","","","","Nuageux"
"2013-05-01 03:00","2013","05","01","03:00"," ","-2,80","","-8,80","","63,00","","0,00","","0,00","","24,10","","97,38","","","","","","Nuageux"
"2013-05-01 04:00","2013","05","01","04:00"," ","-2,80","","-7,90","","68,00","","0,00","","0,00","","24,10","","97,47","","","","","","Nuageux"
"2013-05-01 05:00","2013","05","01","05:00"," ","-2,90","","-7,70","","69,00","","0,00","","0,00","","24,10","","97,55","","","","","","Nuageux"
"2013-05-01 06:00","2013","05","01","06:00"," ","-3,10","","-7,80","","70,00","","0,00","","0,00","","24,10","","97,63","","","","","","Généralement nuageux"
"2013-05-01 07:00","2013","05","01","07:00"," ","-3,20","","-8,50","","67,00","","36,00","","6,00","","24,10","","97,73","","","","-6,00","","Généralement nuageux"
"2013-05-01 08:00","2013","05","01","08:00"," ","-1,40","","-7,00","","66,00","","1,00","","6,00","","24,10","","97,82","","","","-4,00","","Généralement nuageux"
"2013-05-01 09:00","2013","05","01","09:00"," ","0,00","","-7,70","","56,00","","0,00","","0,00","","24,10","","97,88","","","","","","Généralement dégagé"
"2013-05-01 10:00","2013","05","01","10:00"," ","1,30","","-8,90","","47,00","","33,00","","11,00","","24,10","","97,94","","","","","","Généralement dégagé"
"2013-05-01 11:00","2013","05","01","11:00"," ","2,30","","-9,40","","42,00","","1,00","","13,00","","24,10","","98,01","","","","","","Généralement dégagé"
