"Nom de la Station","LA RONGE A"
"Province","SASKATCHEWAN"
"Latitude","55,15"
"Longitude","-105,27"
"Altitude","379,20"
"Identification Climat","4064150"
"Identification OMM","71922"
"Identification TC","YVC"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1988-12-01 00:00","1988","12","01","00:00"," ","0,40","","-3,60","","74,00","","26,00","","7,00","","24,10","","95,79","","","","","","Généralement dégagé"
"1988-12-01 01:00","1988","12","01","01:00"," ","2,40","","-3,50","","65,00","","26,00","","15,00","","24,10","","95,79","","","","","","Généralement dégagé"
"1988-12-01 02:00","1988","12","01","02:00"," ","3,40","","-3,50","","61,00","","28,00","","19,00","","24,10","","95,82","","","","","","Généralement dégagé"
"1988-12-01 03:00","1988","12","01","03:00"," ","3,00","","-3,50","","62,00","","27,00","","19,00","","24,10","","95,82","","","","","","Généralement dégagé"
"1988-12-01 04:00","1988","12","01","04:00"," ","3,10","","-3,90","","60,00","","25,00","","26,00","","24,10","","95,89","","","","","","Généralement nuageux"
"1988-12-01 05:00","1988","12","01","05:00"," ","4,20","","-3,90","","55,00","","24,00","","20,00","","24,10","","95,85","","","","","","Généralement dégagé"
"1988-12-01 06:00","1988","12","01","06:00"," ","4,10","","-4,30","","54,00","","26,00","","28,00","","24,10","","95,79","","","","","","Généralement dégagé"
"1988-12-01 07:00","1988","12","01","07:00"," ","4,40","","-5,00","","50,00","","25,00","","24,00","","24,10","","95,79","","","","","","Généralement dégagé"
"1988-12-01 08:00","1988","12","01","08:00"," ","4,30","","-5,10","","50,00","","26,00","","19,00","","24,10","","95,85","","","","","","Généralement nuageux"
"1988-12-01 09:00","1988","12","01","09:00"," ","4,50","","-5,80","","47,00","","27,00","","19,00","","24,10","","95,89","","","","","","Généralement nuageux"
"1988-12-01 10:00","1988","12","01","10:00"," ","5,00","","-5,70","","46,00","","25,00","","22,00","","24,10","","95,92","","","","","","Nuageux"
"1988-12-01 11:00","1988","12","01","11:00"," ","6,80","","-5,30","","42,00","","27,00","","13,00","","24,10","","95,95","","","","","","Nuageux"
"1988-12-01 12:00","1988","12","01","12:00"," ","6,80","","-5,30","","42,00","","27,00","","15,00","","24,10","","95,99","","","","","","Nuageux"
"1988-12-01 13:00","1988","12","01","13:00"," ","7,70","","-5,10","","40,00","","28,00","","22,00","","24,10","","95,99","","","","","","Généralement nuageux"
"1988-12-01 14:00","1988","12","01","14:00"," ","7,70","","-4,50","","42,00","","27,00","","22,00","","24,10","","96,02","","","","","","Nuageux"
"1988-12-01 15:00","1988","12","01","15:00"," ","6,90","","-4,40","","44,00","","26,00","","13,00","","24,10","","96,08","","","","","","Nuageux"
"1988-12-01 16:00","1988","12","01","16:00"," ","6,80","","-4,60","","44,00","","25,00","","11,00","","24,10","","96,15","","","","","","Nuageux"
"1988-12-01 17:00","1988","12","01","17:00"," ","4,40","","-4,90","","51,00","","25,00","","11,00","","24,10","","96,15","","","","","","Généralement nuageux"
"1988-12-01 18:00","1988","12","01","18:00"," ","2,70","","-4,90","","57,00","","24,00","","11,00","","24,10","","96,18","","","","","","Généralement nuageux"
"1988-12-01 19:00","1988","12","01","19:00"," ","2,50","","-5,10","","57,00","","25,00","","13,00","","24,10","","96,21","","","","","","Généralement nuageux"
"1988-12-01 20:00","1988","12","01","20:00"," ","1,30","","-5,60","","60,00","","23,00","","6,00","","24,10","","96,18","","","","","","Généralement nuageux"
"1988-12-01 21:00","1988","12","01","21:00"," ","-1,10","","-6,20","","68,00","","21,00","","4,00","","24,10","","96,15","","","","-2,00","","Généralement nuageux"
"1988-12-01 22:00","1988","12","01","22:00"," ","0,00","","-6,20","","63,00","","0,00","","0,00","","24,10","","96,08","","","","","","Généralement nuageux"
"1988-12-01 23:00","1988","12","01","23:00"," ","-0,70","","-6,50","","65,00","","22,00","","7,00","","24,10","","96,15","","","","-3,00","","Généralement nuageux"
"1988-12-02 00:00","1988","12","02","00:00"," ","-2,00","","-6,70","","70,00","","26,00","","4,00","","24,10","","96,15","","","","-3,00","","Généralement nuageux"
"1988-12-02 01:00","1988","12","02","01:00"," ","-5,20","","-7,80","","82,00","","0,00","","0,00","","24,10","","96,15","","","","","","Généralement nuageux"
"1988-12-02 02:00","1988","12","02","02:00"," ","-5,50","","-8,00","","82,00","","0,00","","0,00","","24,10","","96,08","","","","","","Généralement nuageux"
