"Nom de la Station","BRANDON A"
"Province","MANITOBA"
"Latitude","49,91"
"Longitude","-99,95"
"Altitude","409,40"
"Identification Climat","5010480"
"Identification OMM","71140"
"Identification TC","YBR"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2003-03-01 00:00","2003","03","01","00:00"," ","-9,50","","-10,70","","91,00","","0,00","","0,00","","24,10","","96,15","","","","","","Neige"
"2003-03-01 01:00","2003","03","01","01:00"," ","-9,30","","-10,50","","91,00","","30,00","","6,00","","4,80","","96,13","","","","-13,00","","Neige"
"2003-03-01 02:00","2003","03","01","02:00"," ","-8,80","","-10,20","","90,00","","3,00","","9,00","","4,80","","96,19","","","","-13,00","","Neige"
"2003-03-01 03:00","2003","03","01","03:00"," ","-11,10","","-13,60","","82,00","","3,00","","22,00","","8,00","","96,29","","","","-20,00","","Neige"
"2003-03-01 04:00","2003","03","01","04:00"," ","-12,80","","-15,00","","84,00","","3,00","","24,00","","4,80","","96,37","","","","-22,00","","Neige"
"2003-03-01 05:00","2003","03","01","05:00"," ","-14,90","","-17,40","","81,00","","3,00","","28,00","","8,00","","96,54","","","","-26,00","","Neige,Poudrerie élevée"
"2003-03-01 06:00","2003","03","01","06:00"," ","-16,50","","-19,10","","80,00","","2,00","","24,00","","8,00","","96,75","","","","-27,00","","Neige"
"2003-03-01 07:00","2003","03","01","07:00"," ","-18,10","","-21,00","","78,00","","2,00","","26,00","","16,10","","96,92","","","","-29,00","","Neige"
"2003-03-01 08:00","2003","03","01","08:00"," ","-19,00","","-22,10","","76,00","","2,00","","24,00","","24,10","","97,10","","","","-30,00","","Généralement nuageux"
"2003-03-01 09:00","2003","03","01","09:00"," ","-20,40","","-24,60","","69,00","","3,00","","26,00","","24,10","","97,29","","","","-32,00","","Généralement nuageux"
"2003-03-01 10:00","2003","03","01","10:00"," ","-22,10","","-29,70","","50,00","","2,00","","26,00","","24,10","","97,44","","","","-35,00","","Généralement dégagé"
"2003-03-01 11:00","2003","03","01","11:00"," ","-22,60","","-32,20","","41,00","","5,00","","19,00","","24,10","","97,55","","","","-33,00","","Dégagé"
"2003-03-01 12:00","2003","03","01","12:00"," ","-22,90","","-31,00","","48,00","","8,00","","11,00","","24,10","","97,63","","","","-31,00","","Dégagé"
"2003-03-01 13:00","2003","03","01","13:00"," ","-20,70","","-29,50","","45,00","","1,00","","17,00","","24,10","","97,66","","","","-31,00","","Dégagé"
"2003-03-01 14:00","2003","03","01","14:00"," ","-20,70","","-29,40","","46,00","","34,00","","19,00","","24,10","","97,68","","","","-31,00","","Dégagé"
"2003-03-01 15:00","2003","03","01","15:00"," ","-20,80","","-29,20","","47,00","","32,00","","20,00","","24,10","","97,73","","","","-31,00","","Dégagé"
"2003-03-01 16:00","2003","03","01","16:00"," ","-21,30","","-30,20","","45,00","","33,00","","19,00","","24,10","","97,80","","","","-32,00","","Dégagé"
"2003-03-01 17:00","2003","03","01","17:00"," ","-21,60","","-29,10","","51,00","","31,00","","17,00","","24,10","","97,83","","","","-32,00","","Dégagé"
"2003-03-01 18:00","2003","03","01","18:00"," ","-23,40","","-30,00","","55,00","","30,00","","17,00","","24,10","","97,88","","","","-34,00","","Dégagé"
"2003-03-01 19:00","2003","03","01","19:00"," ","-25,00","","-31,60","","54,00","","30,00","","22,00","","24,10","","97,91","","","","-37,00","","Dégagé"
"2003-03-01 20:00","2003","03","01","20:00"," ","-28,60","","-34,00","","60,00","","30,00","","17,00","","24,10","","97,93","","","","-40,00","","Dégagé"
"2003-03-01 21:00","2003","03","01","21:00"," ","-28,50","","-34,70","","55,00","","33,00","","6,00","","24,10","","97,94","","","","-35,00","","Dégagé"
"2003-03-01 22:00","2003","03","01","22:00"," ","-29,70","","-35,10","","59,00","","24,00","","6,00","","24,10","","97,96","","","","-36,00","","Dégagé"
"2003-03-01 23:00","2003","03","01","23:00"," ","-32,40","","-37,20","","62,00","","29,00","","11,00","","24,10","","97,91","","","","-43,00","","Dégagé"
"2003-03-02 00:00","2003","03","02","00:00"," ","-33,20","","-38,30","","60,00","","30,00","","7,00","","24,10","","97,91","","","","-41,00","","Dégagé"
"2003-03-02 01:00","2003","03","02","01:00"," ","-35,10","","-39,60","","63,00","","35,00","","6,00","","24,10","","97,86","","","","-42,00","","Dégagé"
"2003-03-02 02:00","2003","03","02","02:00"," ","-36,20","","-40,50","","64,00","","33,00","","6,00","","24,10","","97,84","","","","-44,00","","Dégagé"
"2003-03-02 03:00","2003","03","02","03:00"," ","-36,80","","-41,60","","61,00","","25,00","","4,00","","24,10","","97,78","","","","-42,00","","Dégagé"
"2003-03-02 04:00","2003","03","02","04:00"," ","-37,00","","-41,30","","64,00","","0,00","","0,00","","24,10","","97,73","","","","","","Dégagé"
"2003-03-02 05:00","2003","03","02","05:00"," ","-36,50","","-41,10","","62,00","","0,00","","0,00","","24,10","","97,69","","","","","","Dégagé"
"2003-03-02 06:00","2003","03","02","06:00"," ","-36,70","","-40,30","","69,00","","0,00","","0,00","","24,10","","97,62","","","","","","Cristaux de glace"
"2003-03-02 07:00","2003","03","02","07:00"," ","-36,30","","-40,30","","66,00","","0,00","","0,00","","24,10","","97,56","","","","","","Dégagé"
"2003-03-02 08:00","2003","03","02","08:00"," ","-37,00","","-41,50","","63,00","","0,00","","0,00","","24,10","","97,49","","","","","","Généralement dégagé"
"2003-03-02 09:00","2003","03","02","09:00"," ","-34,30","","-38,60","","65,00","","3,00","","6,00","","24,10","","97,40","","","","-41,00","","Généralement nuageux"
"2003-03-02 10:00","2003","03","02","10:00"," ","-32,30","","-35,90","","70,00","","3,00","","4,00","","24,10","","97,33","","","","-37,00","","Généralement nuageux"
"2003-03-02 11:00","2003","03","02","11:00"," ","-30,60","","-34,80","","67,00","","4,00","","6,00","","24,10","","97,28","","","","-37,00","","Nuageux"
"2003-03-02 12:00","2003","03","02","12:00"," ","-28,80","","-33,20","","66,00","","11,00","","6,00","","24,10","","97,18","","","","-35,00","","Généralement nuageux"
"2003-03-02 13:00","2003","03","02","13:00"," ","-26,10","","-31,10","","63,00","","8,00","","7,00","","24,10","","97,07","","","","-33,00","","Nuageux"
"2003-03-02 14:00","2003","03","02","14:00"," ","-22,60","","-28,70","","58,00","","11,00","","7,00","","24,10","","96,84","","","","-29,00","","Généralement nuageux"
"2003-03-02 15:00","2003","03","02","15:00"," ","-20,50","","-27,30","","54,00","","13,00","","20,00","","24,10","","96,69","","","","-31,00","","Nuageux"
"2003-03-02 16:00","2003","03","02","16:00"," ","-19,90","","-26,40","","56,00","","14,00","","19,00","","24,10","","96,57","","","","-30,00","","Nuageux"
