"Nom de la Station","WHISTLER"
"Province","BRITISH COLUMBIA"
"Latitude","50,13"
"Longitude","-122,95"
"Altitude","657,80"
"Identification Climat","1048898"
"Identification OMM",""
"Identification TC","WAE"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2000-05-01 00:00","2000","05","01","00:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-01 01:00","2000","05","01","01:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-01 02:00","2000","05","01","02:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-01 03:00","2000","05","01","03:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-01 04:00","2000","05","01","04:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-01 05:00","2000","05","01","05:00"," ","1,50","","1,30","","99,00","","0,00","","0,00","","16,10","","94,11","","","","","","Pluie"
"2000-05-01 06:00","2000","05","01","06:00"," ","2,20","","1,80","","97,00","","0,00","","0,00","","16,10","","94,14","","","","","","Pluie"
"2000-05-01 07:00","2000","05","01","07:00"," ","2,60","","2,20","","97,00","","0,00","","0,00","","19,30","","94,14","","","","","","Pluie"
"2000-05-01 08:00","2000","05","01","08:00"," ","3,70","","3,30","","97,00","","0,00","","0,00","","25,00","","94,17","","","","","","Nuageux"
"2000-05-01 09:00","2000","05","01","09:00"," ","4,70","","3,20","","90,00","","0,00","","0,00","","25,00","","94,20","","","","","","Généralement nuageux"
"2000-05-01 10:00","2000","05","01","10:00"," ","7,40","","5,50","","88,00","","0,00","","0,00","","25,00","","94,20","","","","","","Généralement nuageux"
"2000-05-01 11:00","2000","05","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2000-05-01 12:00","2000","05","01","12:00"," ","10,20","","6,50","","78,00","","18,00","","7,00","","25,00","","94,17","","","","","","Généralement nuageux"
"2000-05-01 13:00","2000","05","01","13:00"," ","12,40","","6,10","","65,00","","18,00","","11,00","","25,00","","94,11","","","","","","Nuageux"
"2000-05-01 14:00","2000","05","01","14:00"," ","12,60","","6,30","","65,00","","18,00","","11,00","","25,00","","94,08","","","","","","Nuageux"
"2000-05-01 15:00","2000","05","01","15:00"," ","12,50","","5,10","","61,00","","18,00","","11,00","","25,00","","94,01","","","","","","Nuageux"
"2000-05-01 16:00","2000","05","01","16:00"," ","12,20","","4,70","","60,00","","21,00","","4,00","","25,00","","93,89","","","","","","Nuageux"
"2000-05-01 17:00","2000","05","01","17:00"," ","11,30","","5,60","","68,00","","18,00","","4,00","","25,00","","93,85","","","","","","Nuageux"
"2000-05-01 18:00","2000","05","01","18:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-01 19:00","2000","05","01","19:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-01 20:00","2000","05","01","20:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-01 21:00","2000","05","01","21:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-01 22:00","2000","05","01","22:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-01 23:00","2000","05","01","23:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-02 00:00","2000","05","02","00:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-02 01:00","2000","05","02","01:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-02 02:00","2000","05","02","02:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-02 03:00","2000","05","02","03:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-02 04:00","2000","05","02","04:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-02 05:00","2000","05","02","05:00"," ","2,00","","1,60","","97,00","","0,00","","0,00","","25,00","","93,66","","","","","","Généralement nuageux"
"2000-05-02 06:00","2000","05","02","06:00"," ","2,60","","2,20","","97,00","","0,00","","0,00","","25,00","","93,73","","","","","","Généralement dégagé"
"2000-05-02 07:00","2000","05","02","07:00"," ","5,50","","3,20","","85,00","","0,00","","0,00","","25,00","","93,73","","","","","","Généralement nuageux"
"2000-05-02 08:00","2000","05","02","08:00"," ","7,20","","4,60","","84,00","","0,00","","0,00","","25,00","","93,70","","","","","","Généralement nuageux"
"2000-05-02 09:00","2000","05","02","09:00"," ","9,10","","4,60","","73,00","","0,00","","0,00","","25,00","","93,66","","","","","","Nuageux"
"2000-05-02 10:00","2000","05","02","10:00"," ","11,50","","5,00","","64,00","","18,00","","13,00","","25,00","","93,60","","","","","","Nuageux"
"2000-05-02 11:00","2000","05","02","11:00"," ","12,50","","4,70","","59,00","","19,00","","11,00","","25,00","","93,57","","","","","","Nuageux"
"2000-05-02 12:00","2000","05","02","12:00"," ","9,00","","6,00","","81,00","","22,00","","7,00","","24,10","","93,60","","","","","","Averses de pluie"
"2000-05-02 13:00","2000","05","02","13:00"," ","11,20","","5,10","","66,00","","20,00","","9,00","","25,00","","93,57","","","","","","Nuageux"
"2000-05-02 14:00","2000","05","02","14:00"," ","11,00","","4,20","","63,00","","23,00","","6,00","","25,00","","93,54","","","","","","Pluie"
"2000-05-02 15:00","2000","05","02","15:00"," ","9,20","","4,90","","74,00","","19,00","","7,00","","19,30","","93,54","","","","","","Pluie"
"2000-05-02 16:00","2000","05","02","16:00"," ","8,80","","6,30","","84,00","","17,00","","9,00","","24,10","","93,47","","","","","","Pluie"
"2000-05-02 17:00","2000","05","02","17:00"," ","8,10","","6,80","","91,00","","18,00","","9,00","","19,30","","93,47","","","","","","Pluie"
"2000-05-02 18:00","2000","05","02","18:00"," ","","M","","M","","M","18,00","","7,00","","","M","","M","","","","","ND"
"2000-05-02 19:00","2000","05","02","19:00"," ","","M","","M","","M","18,00","","11,00","","","M","","M","","","","","ND"
"2000-05-02 20:00","2000","05","02","20:00"," ","","M","","M","","M","15,00","","4,00","","","M","","M","","","","","ND"
"2000-05-02 21:00","2000","05","02","21:00"," ","","M","","M","","M","18,00","","4,00","","","M","","M","","","","","ND"
"2000-05-02 22:00","2000","05","02","22:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-02 23:00","2000","05","02","23:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-03 00:00","2000","05","03","00:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-03 01:00","2000","05","03","01:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-03 02:00","2000","05","03","02:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-03 03:00","2000","05","03","03:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-03 04:00","2000","05","03","04:00"," ","","M","","M","","M","0,00","","0,00","","","M","","M","","","","","ND"
"2000-05-03 05:00","2000","05","03","05:00"," ","5,00","","4,60","","97,00","","0,00","","0,00","","19,30","","92,93","","","","","","Nuageux"
"2000-05-03 06:00","2000","05","03","06:00"," ","5,20","","4,80","","97,00","","0,00","","0,00","","24,10","","92,93","","","","","","Averses de pluie"
"2000-05-03 07:00","2000","05","03","07:00"," ","5,80","","5,40","","97,00","","18,00","","11,00","","16,10","","92,93","","","","","","Averses de pluie modérées"
"2000-05-03 08:00","2000","05","03","08:00"," ","5,30","","4,70","","96,00","","18,00","","11,00","","24,10","","92,93","","","","","","Averses de pluie"
