"Nom de la Station","THE PAS A"
"Province","MANITOBA"
"Latitude","53,97"
"Longitude","-101,10"
"Altitude","270,40"
"Identification Climat","5052880"
"Identification OMM","71867"
"Identification TC","YQD"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-01-01 00:00","2007","01","01","00:00"," ","-7,60","","-11,20","","75,00","","27,00","","7,00","","24,10","","98,19","","","","-11,00","","Généralement nuageux"
"2007-01-01 01:00","2007","01","01","01:00"," ","-6,60","","-10,70","","73,00","","26,00","","15,00","","24,10","","98,15","","","","-13,00","","Généralement nuageux"
"2007-01-01 02:00","2007","01","01","02:00"," ","-6,90","","-11,20","","71,00","","26,00","","15,00","","24,10","","98,13","","","","-13,00","","Généralement dégagé"
"2007-01-01 03:00","2007","01","01","03:00"," ","-7,10","","-11,70","","70,00","","27,00","","13,00","","24,10","","98,13","","","","-13,00","","Généralement dégagé"
"2007-01-01 04:00","2007","01","01","04:00"," ","-6,90","","-11,80","","68,00","","25,00","","15,00","","24,10","","98,10","","","","-13,00","","Généralement dégagé"
"2007-01-01 05:00","2007","01","01","05:00"," ","-6,80","","-11,90","","67,00","","26,00","","22,00","","24,10","","98,09","","","","-14,00","","Généralement dégagé"
"2007-01-01 06:00","2007","01","01","06:00"," ","-6,70","","-12,60","","63,00","","25,00","","22,00","","24,10","","98,06","","","","-14,00","","Généralement dégagé"
"2007-01-01 07:00","2007","01","01","07:00"," ","-6,20","","-12,70","","60,00","","24,00","","17,00","","24,10","","98,01","","","","-12,00","","Dégagé"
"2007-01-01 08:00","2007","01","01","08:00"," ","-6,80","","-13,30","","60,00","","25,00","","15,00","","24,10","","97,98","","","","-13,00","","Dégagé"
"2007-01-01 09:00","2007","01","01","09:00"," ","-5,40","","-12,70","","56,00","","24,00","","17,00","","24,10","","97,94","","","","-11,00","","Dégagé"
"2007-01-01 10:00","2007","01","01","10:00"," ","-7,10","","-13,10","","62,00","","20,00","","11,00","","24,10","","97,95","","","","-12,00","","Dégagé"
"2007-01-01 11:00","2007","01","01","11:00"," ","-3,30","","-11,60","","53,00","","24,00","","19,00","","24,10","","97,88","","","","-9,00","","Dégagé"
"2007-01-01 12:00","2007","01","01","12:00"," ","-1,60","","-10,90","","49,00","","25,00","","28,00","","24,10","","97,79","","","","-8,00","","Dégagé"
"2007-01-01 13:00","2007","01","01","13:00"," ","-0,70","","-9,60","","51,00","","25,00","","22,00","","24,10","","97,70","","","","-6,00","","Dégagé"
"2007-01-01 14:00","2007","01","01","14:00"," ","-2,00","","-10,80","","51,00","","19,00","","17,00","","24,10","","97,62","","","","-7,00","","Généralement dégagé"
"2007-01-01 15:00","2007","01","01","15:00"," ","-2,00","","-10,50","","52,00","","20,00","","11,00","","24,10","","97,59","","","","-6,00","","Dégagé"
"2007-01-01 16:00","2007","01","01","16:00"," ","-2,40","","-10,40","","54,00","","21,00","","13,00","","24,10","","97,54","","","","-7,00","","Dégagé"
"2007-01-01 17:00","2007","01","01","17:00"," ","-3,30","","-10,60","","57,00","","22,00","","13,00","","24,10","","97,61","","","","-8,00","","Dégagé"
"2007-01-01 18:00","2007","01","01","18:00"," ","-4,20","","-10,70","","60,00","","20,00","","11,00","","24,10","","97,52","","","","-9,00","","Généralement dégagé"
"2007-01-01 19:00","2007","01","01","19:00"," ","-5,90","","-10,90","","68,00","","19,00","","11,00","","24,10","","97,48","","","","-11,00","","Généralement dégagé"
"2007-01-01 20:00","2007","01","01","20:00"," ","-6,60","","-11,30","","69,00","","20,00","","15,00","","24,10","","97,39","","","","-13,00","","Généralement dégagé"
"2007-01-01 21:00","2007","01","01","21:00"," ","-7,20","","-11,90","","69,00","","21,00","","9,00","","24,10","","97,35","","","","-12,00","","Généralement dégagé"
"2007-01-01 22:00","2007","01","01","22:00"," ","-7,30","","-12,50","","66,00","","20,00","","11,00","","24,10","","97,22","","","","-12,00","","Généralement nuageux"
"2007-01-01 23:00","2007","01","01","23:00"," ","-7,40","","-12,30","","68,00","","20,00","","15,00","","24,10","","97,16","","","","-14,00","","Nuageux"
"2007-01-02 00:00","2007","01","02","00:00"," ","-7,10","","-11,80","","69,00","","20,00","","7,00","","24,10","","97,04","","","","-11,00","","Nuageux"
"2007-01-02 01:00","2007","01","02","01:00"," ","-7,90","","-11,60","","75,00","","17,00","","6,00","","24,10","","96,91","","","","-11,00","","Nuageux"
"2007-01-02 02:00","2007","01","02","02:00"," ","-7,30","","-11,70","","71,00","","17,00","","7,00","","24,10","","96,81","","","","-11,00","","Nuageux"
"2007-01-02 03:00","2007","01","02","03:00"," ","-6,10","","-10,50","","71,00","","15,00","","11,00","","24,10","","96,66","","","","-11,00","","Nuageux"
"2007-01-02 04:00","2007","01","02","04:00"," ","-5,00","","-10,60","","65,00","","20,00","","7,00","","24,10","","96,59","","","","-8,00","","Nuageux"
"2007-01-02 05:00","2007","01","02","05:00"," ","-5,40","","-10,70","","66,00","","21,00","","13,00","","24,10","","96,54","","","","-11,00","","Nuageux"
