"Nom de la Station","THOMPSON A"
"Province","MANITOBA"
"Latitude","55,80"
"Longitude","-97,86"
"Altitude","223,10"
"Identification Climat","5062922"
"Identification OMM","71079"
"Identification TC","YTH"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1991-01-01 00:00","1991","01","01","00:00"," ","-29,20","","-34,30","","61,00","","27,00","","11,00","","8,00","","98,59","","","","-39,00","","Neige"
"1991-01-01 01:00","1991","01","01","01:00"," ","-29,10","","-34,10","","62,00","","26,00","","11,00","","8,00","","98,56","","","","-39,00","","Neige"
"1991-01-01 02:00","1991","01","01","02:00"," ","-29,00","","-33,80","","63,00","","27,00","","9,00","","8,00","","98,59","","","","-37,00","","Neige"
"1991-01-01 03:00","1991","01","01","03:00"," ","-29,30","","-34,30","","62,00","","27,00","","11,00","","12,90","","98,59","","","","-39,00","","Neige"
"1991-01-01 04:00","1991","01","01","04:00"," ","-29,80","","-34,70","","62,00","","27,00","","17,00","","12,90","","98,59","","","","-42,00","","Neige"
"1991-01-01 05:00","1991","01","01","05:00"," ","-30,60","","-35,40","","63,00","","27,00","","15,00","","12,90","","98,62","","","","-42,00","","Neige"
"1991-01-01 06:00","1991","01","01","06:00"," ","-30,30","","-35,20","","62,00","","28,00","","13,00","","16,10","","98,62","","","","-41,00","","Neige"
"1991-01-01 07:00","1991","01","01","07:00"," ","-31,00","","-35,60","","64,00","","27,00","","15,00","","19,30","","98,69","","","","-43,00","","Cristaux de glace"
"1991-01-01 08:00","1991","01","01","08:00"," ","-32,50","","-37,10","","63,00","","27,00","","13,00","","19,30","","98,72","","","","-44,00","","Cristaux de glace"
"1991-01-01 09:00","1991","01","01","09:00"," ","-33,60","","-37,80","","66,00","","26,00","","9,00","","19,30","","98,76","","","","-43,00","","Cristaux de glace"
"1991-01-01 10:00","1991","01","01","10:00"," ","-31,60","","-36,40","","62,00","","28,00","","20,00","","19,30","","98,79","","","","-45,00","","Cristaux de glace"
"1991-01-01 11:00","1991","01","01","11:00"," ","-31,00","","-36,20","","60,00","","28,00","","22,00","","16,10","","98,82","","","","-45,00","","Cristaux de glace"
"1991-01-01 12:00","1991","01","01","12:00"," ","-30,80","","-36,30","","58,00","","28,00","","26,00","","19,30","","98,86","","","","-46,00","","Cristaux de glace"
"1991-01-01 13:00","1991","01","01","13:00"," ","-30,50","","-36,20","","57,00","","28,00","","22,00","","19,30","","98,92","","","","-44,00","","Cristaux de glace"
"1991-01-01 14:00","1991","01","01","14:00"," ","-30,30","","-36,20","","56,00","","27,00","","20,00","","19,30","","98,92","","","","-43,00","","Cristaux de glace"
"1991-01-01 15:00","1991","01","01","15:00"," ","-30,60","","-36,50","","56,00","","27,00","","22,00","","19,30","","98,96","","","","-44,00","","Cristaux de glace"
"1991-01-01 16:00","1991","01","01","16:00"," ","-30,70","","-36,40","","57,00","","27,00","","20,00","","19,30","","98,96","","","","-44,00","","Cristaux de glace"
"1991-01-01 17:00","1991","01","01","17:00"," ","-31,30","","-36,50","","60,00","","26,00","","20,00","","19,30","","98,96","","","","-45,00","","Cristaux de glace"
"1991-01-01 18:00","1991","01","01","18:00"," ","-31,50","","-36,50","","61,00","","26,00","","20,00","","19,30","","98,96","","","","-45,00","","Cristaux de glace"
"1991-01-01 19:00","1991","01","01","19:00"," ","-31,50","","-36,50","","61,00","","25,00","","13,00","","19,30","","98,96","","","","-42,00","","Cristaux de glace"
"1991-01-01 20:00","1991","01","01","20:00"," ","-31,00","","-35,70","","63,00","","25,00","","13,00","","24,10","","98,92","","","","-42,00","","Cristaux de glace"
"1991-01-01 21:00","1991","01","01","21:00"," ","-29,90","","-34,80","","62,00","","26,00","","17,00","","24,10","","98,86","","","","-42,00","","Cristaux de glace"
"1991-01-01 22:00","1991","01","01","22:00"," ","-29,40","","-34,20","","63,00","","26,00","","15,00","","24,10","","98,82","","","","-41,00","","Cristaux de glace"
"1991-01-01 23:00","1991","01","01","23:00"," ","-28,60","","-33,40","","63,00","","26,00","","19,00","","24,10","","98,76","","","","-41,00","","Cristaux de glace"
"1991-01-02 00:00","1991","01","02","00:00"," ","-27,80","","-32,70","","62,00","","26,00","","22,00","","24,10","","98,76","","","","-41,00","","Cristaux de glace"
"1991-01-02 01:00","1991","01","02","01:00"," ","-27,00","","-32,00","","62,00","","26,00","","22,00","","16,10","","98,76","","","","-40,00","","Cristaux de glace"
"1991-01-02 02:00","1991","01","02","02:00"," ","-26,20","","-31,20","","63,00","","26,00","","24,00","","16,10","","98,76","","","","-39,00","","Cristaux de glace"
"1991-01-02 03:00","1991","01","02","03:00"," ","-26,20","","-31,10","","63,00","","26,00","","17,00","","16,10","","98,76","","","","-37,00","","Cristaux de glace"
"1991-01-02 04:00","1991","01","02","04:00"," ","-26,30","","-31,10","","64,00","","26,00","","19,00","","16,10","","98,76","","","","-38,00","","Cristaux de glace"
"1991-01-02 05:00","1991","01","02","05:00"," ","-26,00","","-30,80","","64,00","","26,00","","15,00","","12,90","","98,72","","","","-36,00","","Neige"
"1991-01-02 06:00","1991","01","02","06:00"," ","-26,20","","-30,70","","66,00","","25,00","","17,00","","12,90","","98,72","","","","-37,00","","Neige"
"1991-01-02 07:00","1991","01","02","07:00"," ","-26,00","","-30,60","","65,00","","26,00","","19,00","","24,10","","98,76","","","","-38,00","","Neige"
"1991-01-02 08:00","1991","01","02","08:00"," ","-25,80","","-30,20","","66,00","","26,00","","15,00","","24,10","","98,76","","","","-36,00","","Généralement dégagé"
"1991-01-02 09:00","1991","01","02","09:00"," ","-24,80","","-29,40","","66,00","","27,00","","17,00","","24,10","","98,79","","","","-36,00","","Généralement nuageux"
"1991-01-02 10:00","1991","01","02","10:00"," ","-24,40","","-28,80","","67,00","","26,00","","17,00","","24,10","","98,82","","","","-35,00","","Généralement nuageux"
"1991-01-02 11:00","1991","01","02","11:00"," ","-23,70","","-28,50","","65,00","","26,00","","17,00","","24,10","","98,86","","","","-34,00","","Nuageux"
"1991-01-02 12:00","1991","01","02","12:00"," ","-23,00","","-27,90","","65,00","","27,00","","19,00","","24,10","","98,86","","","","-34,00","","Généralement nuageux"
"1991-01-02 13:00","1991","01","02","13:00"," ","-22,30","","-27,50","","63,00","","25,00","","19,00","","19,30","","98,92","","","","-33,00","","Cristaux de glace"
"1991-01-02 14:00","1991","01","02","14:00"," ","-21,60","","-26,60","","64,00","","26,00","","20,00","","24,10","","98,92","","","","-32,00","","Nuageux"
"1991-01-02 15:00","1991","01","02","15:00"," ","-21,30","","-26,40","","64,00","","27,00","","17,00","","24,10","","98,96","","","","-31,00","","Généralement nuageux"
"1991-01-02 16:00","1991","01","02","16:00"," ","-22,40","","-27,30","","65,00","","26,00","","13,00","","24,10","","98,96","","","","-31,00","","Généralement dégagé"
"1991-01-02 17:00","1991","01","02","17:00"," ","-23,50","","-27,70","","69,00","","26,00","","9,00","","24,10","","98,99","","","","-31,00","","Dégagé"
"1991-01-02 18:00","1991","01","02","18:00"," ","-24,20","","-28,50","","68,00","","27,00","","11,00","","24,10","","99,02","","","","-33,00","","Dégagé"
"1991-01-02 19:00","1991","01","02","19:00"," ","-25,10","","-29,00","","70,00","","26,00","","9,00","","24,10","","99,06","","","","-33,00","","Cristaux de glace"
"1991-01-02 20:00","1991","01","02","20:00"," ","-26,20","","-29,80","","72,00","","27,00","","7,00","","24,10","","99,09","","","","-33,00","","Cristaux de glace"
"1991-01-02 21:00","1991","01","02","21:00"," ","-25,50","","-29,50","","69,00","","28,00","","6,00","","12,90","","99,12","","","","-31,00","","Cristaux de glace"
"1991-01-02 22:00","1991","01","02","22:00"," ","-25,40","","-29,30","","70,00","","28,00","","7,00","","12,90","","99,12","","","","-32,00","","Cristaux de glace"
"1991-01-02 23:00","1991","01","02","23:00"," ","-25,90","","-30,10","","68,00","","28,00","","9,00","","16,10","","99,16","","","","-34,00","","Cristaux de glace"
"1991-01-03 00:00","1991","01","03","00:00"," ","-26,30","","-30,60","","67,00","","26,00","","11,00","","19,30","","99,16","","","","-35,00","","Cristaux de glace"
"1991-01-03 01:00","1991","01","03","01:00"," ","-26,80","","-31,20","","66,00","","26,00","","9,00","","19,30","","99,19","","","","-35,00","","Cristaux de glace"
"1991-01-03 02:00","1991","01","03","02:00"," ","-26,80","","-31,20","","66,00","","28,00","","11,00","","19,30","","99,19","","","","-36,00","","Cristaux de glace"
"1991-01-03 03:00","1991","01","03","03:00"," ","-26,60","","-31,20","","65,00","","26,00","","9,00","","19,30","","99,19","","","","-35,00","","Cristaux de glace"
"1991-01-03 04:00","1991","01","03","04:00"," ","-26,10","","-30,60","","66,00","","26,00","","13,00","","19,30","","99,16","","","","-36,00","","Cristaux de glace"
