"Nom de la Station","KENORA A"
"Province","ONTARIO"
"Latitude","49,79"
"Longitude","-94,37"
"Altitude","409,70"
"Identification Climat","6034075"
"Identification OMM","71850"
"Identification TC","YQK"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-07-01 00:00","2007","07","01","00:00"," ","15,50","","10,00","","70,00","","13,00","","13,00","","24,10","","97,51","","","","","","Averses de pluie"
"2007-07-01 01:00","2007","07","01","01:00"," ","15,70","","9,50","","67,00","","13,00","","13,00","","24,10","","97,53","","","","","","Averses de pluie"
"2007-07-01 02:00","2007","07","01","02:00"," ","15,30","","8,70","","65,00","","10,00","","15,00","","24,10","","97,53","","","","","","Nuageux"
"2007-07-01 03:00","2007","07","01","03:00"," ","15,60","","8,10","","61,00","","12,00","","15,00","","24,10","","97,47","","","","","","Généralement nuageux"
"2007-07-01 04:00","2007","07","01","04:00"," ","15,70","","8,60","","63,00","","13,00","","17,00","","24,10","","97,49","","","","","","Généralement nuageux"
"2007-07-01 05:00","2007","07","01","05:00"," ","15,80","","9,70","","67,00","","14,00","","19,00","","24,10","","97,49","","","","","","Généralement nuageux"
"2007-07-01 06:00","2007","07","01","06:00"," ","15,80","","10,30","","70,00","","13,00","","19,00","","24,10","","97,49","","","","","","Nuageux"
"2007-07-01 07:00","2007","07","01","07:00"," ","12,60","","9,70","","82,00","","15,00","","11,00","","12,90","","97,55","","","","","","Averses de pluie"
"2007-07-01 08:00","2007","07","01","08:00"," ","12,10","","10,10","","88,00","","13,00","","19,00","","16,10","","97,53","","","","","","Averses de pluie"
"2007-07-01 09:00","2007","07","01","09:00"," ","12,70","","10,40","","86,00","","15,00","","17,00","","24,10","","97,54","","","","","","Averses de pluie"
"2007-07-01 10:00","2007","07","01","10:00"," ","12,70","","10,20","","85,00","","13,00","","15,00","","24,10","","97,49","","","","","","Averses de pluie"
"2007-07-01 11:00","2007","07","01","11:00"," ","12,80","","10,70","","87,00","","12,00","","22,00","","12,90","","97,47","","","","","","Averses de pluie"
"2007-07-01 12:00","2007","07","01","12:00"," ","13,40","","10,80","","84,00","","14,00","","19,00","","24,10","","97,40","","","","","","Nuageux"
"2007-07-01 13:00","2007","07","01","13:00"," ","14,30","","10,90","","80,00","","14,00","","19,00","","24,10","","97,36","","","","","","Nuageux"
"2007-07-01 14:00","2007","07","01","14:00"," ","14,60","","11,10","","80,00","","14,00","","19,00","","24,10","","97,36","","","","","","Nuageux"
"2007-07-01 15:00","2007","07","01","15:00"," ","15,70","","11,30","","75,00","","12,00","","17,00","","24,10","","97,27","","","","","","Nuageux"
"2007-07-01 16:00","2007","07","01","16:00"," ","16,60","","11,40","","71,00","","16,00","","17,00","","24,10","","97,29","","","","","","Nuageux"
"2007-07-01 17:00","2007","07","01","17:00"," ","15,70","","11,70","","77,00","","15,00","","13,00","","24,10","","97,31","","","","","","Nuageux"
"2007-07-01 18:00","2007","07","01","18:00"," ","15,60","","11,80","","78,00","","13,00","","17,00","","24,10","","97,18","","","","","","Averses de pluie"
"2007-07-01 19:00","2007","07","01","19:00"," ","15,90","","11,20","","74,00","","14,00","","11,00","","24,10","","97,19","","","","","","Nuageux"
"2007-07-01 20:00","2007","07","01","20:00"," ","16,10","","10,60","","70,00","","13,00","","17,00","","24,10","","97,14","","","","","","Nuageux"
"2007-07-01 21:00","2007","07","01","21:00"," ","15,80","","10,50","","71,00","","14,00","","19,00","","24,10","","97,12","","","","","","Généralement nuageux"
"2007-07-01 22:00","2007","07","01","22:00"," ","15,90","","10,60","","71,00","","14,00","","19,00","","24,10","","97,12","","","","","","Généralement nuageux"
"2007-07-01 23:00","2007","07","01","23:00"," ","16,00","","10,60","","70,00","","14,00","","11,00","","24,10","","97,11","","","","","","Généralement nuageux"
"2007-07-02 00:00","2007","07","02","00:00"," ","16,10","","10,70","","70,00","","15,00","","19,00","","24,10","","97,06","","","","","","Nuageux"
"2007-07-02 01:00","2007","07","02","01:00"," ","16,00","","11,00","","72,00","","15,00","","13,00","","24,10","","96,99","","","","","","Généralement nuageux"
