"Nom de la Station","GERALDTON A"
"Province","ONTARIO"
"Latitude","49,78"
"Longitude","-86,93"
"Altitude","348,40"
"Identification Climat","6042716"
"Identification OMM","71834"
"Identification TC","YGQ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1985-01-01 00:00","1985","01","01","00:00"," ","-34,40","","-38,80","","64,00","","0,00","","0,00","","24,10","","99,01","","","","","","Généralement nuageux"
"1985-01-01 01:00","1985","01","01","01:00"," ","-34,30","","-39,10","","61,00","","23,00","","4,00","","24,10","","99,01","","","","-39,00","","Généralement nuageux"
"1985-01-01 02:00","1985","01","01","02:00"," ","-34,40","","-38,40","","67,00","","0,00","","0,00","","24,10","","98,98","","","","","","Généralement nuageux"
"1985-01-01 03:00","1985","01","01","03:00"," ","-33,70","","-37,80","","67,00","","0,00","","0,00","","24,10","","98,91","","","","","","Généralement nuageux"
"1985-01-01 04:00","1985","01","01","04:00"," ","-33,90","","-38,00","","66,00","","0,00","","0,00","","24,10","","98,81","","","","","","Cristaux de glace"
"1985-01-01 05:00","1985","01","01","05:00"," ","-33,20","","-37,60","","65,00","","0,00","","0,00","","24,10","","98,71","","","","","","Cristaux de glace"
"1985-01-01 06:00","1985","01","01","06:00"," ","-31,70","","-36,20","","64,00","","0,00","","0,00","","24,10","","98,68","","","","","","Cristaux de glace"
"1985-01-01 07:00","1985","01","01","07:00"," ","-30,50","","-34,90","","65,00","","0,00","","0,00","","24,10","","98,68","","","","","","Cristaux de glace"
"1985-01-01 08:00","1985","01","01","08:00"," ","-28,10","","-32,20","","68,00","","7,00","","7,00","","24,10","","98,68","","","","-35,00","","Cristaux de glace"
"1985-01-01 09:00","1985","01","01","09:00"," ","-27,70","","-31,80","","68,00","","0,00","","0,00","","24,10","","98,65","","","","","","Cristaux de glace"
"1985-01-01 10:00","1985","01","01","10:00"," ","-27,20","","-31,60","","66,00","","0,00","","0,00","","24,10","","98,62","","","","","","Cristaux de glace"
"1985-01-01 11:00","1985","01","01","11:00"," ","-26,30","","-30,60","","67,00","","0,00","","0,00","","24,10","","98,55","","","","","","Généralement nuageux"
"1985-01-01 12:00","1985","01","01","12:00"," ","-24,80","","-29,00","","68,00","","6,00","","7,00","","24,10","","98,42","","","","-31,00","","Généralement nuageux"
"1985-01-01 13:00","1985","01","01","13:00"," ","-22,90","","-27,20","","68,00","","3,00","","6,00","","24,10","","98,32","","","","-28,00","","Nuageux"
"1985-01-01 14:00","1985","01","01","14:00"," ","-21,40","","-26,20","","65,00","","5,00","","7,00","","24,10","","98,26","","","","-27,00","","Généralement nuageux"
"1985-01-01 15:00","1985","01","01","15:00"," ","-20,90","","-25,40","","67,00","","3,00","","7,00","","24,10","","98,22","","","","-27,00","","Généralement nuageux"
