"Nom de la Station","THUNDER BAY A"
"Province","ONTARIO"
"Latitude","48,37"
"Longitude","-89,33"
"Altitude","199,00"
"Identification Climat","6048261"
"Identification OMM",""
"Identification TC","YQT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-10-01 00:00","2007","10","01","00:00"," ","15,80","","13,70","","87,00","","29,00","","7,00","","24,10","","98,93","","","","","","Nuageux"
"2007-10-01 01:00","2007","10","01","01:00"," ","15,30","","13,30","","88,00","","32,00","","11,00","","24,10","","99,02","","","","","","Nuageux"
"2007-10-01 02:00","2007","10","01","02:00"," ","14,80","","12,10","","84,00","","35,00","","20,00","","24,10","","99,05","","","","","","Nuageux"
"2007-10-01 03:00","2007","10","01","03:00"," ","14,30","","11,80","","85,00","","32,00","","15,00","","24,10","","99,11","","","","","","Nuageux"
"2007-10-01 04:00","2007","10","01","04:00"," ","13,90","","11,50","","85,00","","32,00","","15,00","","24,10","","99,19","","","","","","Nuageux"
"2007-10-01 05:00","2007","10","01","05:00"," ","13,70","","10,90","","83,00","","34,00","","15,00","","24,10","","99,24","","","","","","Nuageux"
"2007-10-01 06:00","2007","10","01","06:00"," ","13,40","","10,50","","83,00","","2,00","","9,00","","24,10","","99,34","","","","","","Nuageux"
"2007-10-01 07:00","2007","10","01","07:00"," ","13,10","","10,50","","84,00","","35,00","","6,00","","32,20","","99,39","","","","","","Nuageux"
"2007-10-01 08:00","2007","10","01","08:00"," ","13,40","","10,50","","83,00","","36,00","","7,00","","32,20","","99,42","","","","","","Nuageux"
"2007-10-01 09:00","2007","10","01","09:00"," ","13,40","","10,80","","84,00","","3,00","","7,00","","32,20","","99,50","","","","","","Nuageux"
"2007-10-01 10:00","2007","10","01","10:00"," ","13,90","","10,00","","77,00","","8,00","","6,00","","32,20","","99,55","","","","","","Nuageux"
"2007-10-01 11:00","2007","10","01","11:00"," ","14,30","","10,40","","77,00","","0,00","","0,00","","32,20","","99,56","","","","","","Nuageux"
"2007-10-01 12:00","2007","10","01","12:00"," ","14,10","","10,30","","78,00","","9,00","","4,00","","32,20","","99,58","","","","","","Nuageux"
"2007-10-01 13:00","2007","10","01","13:00"," ","14,40","","10,40","","77,00","","0,00","","0,00","","32,20","","99,61","","","","","","Nuageux"
"2007-10-01 14:00","2007","10","01","14:00"," ","14,40","","10,60","","78,00","","0,00","","0,00","","32,20","","99,56","","","","","","Nuageux"
"2007-10-01 15:00","2007","10","01","15:00"," ","14,50","","10,90","","79,00","","18,00","","6,00","","32,20","","99,55","","","","","","Nuageux"
"2007-10-01 16:00","2007","10","01","16:00"," ","14,60","","10,90","","78,00","","25,00","","4,00","","32,20","","99,53","","","","","","Nuageux"
"2007-10-01 17:00","2007","10","01","17:00"," ","14,00","","11,30","","84,00","","13,00","","6,00","","32,20","","99,50","","","","","","Nuageux"
"2007-10-01 18:00","2007","10","01","18:00"," ","13,50","","10,80","","84,00","","12,00","","9,00","","32,20","","99,51","","","","","","Nuageux"
"2007-10-01 19:00","2007","10","01","19:00"," ","13,20","","10,70","","85,00","","11,00","","6,00","","24,10","","99,49","","","","","","Nuageux"
"2007-10-01 20:00","2007","10","01","20:00"," ","12,90","","11,10","","89,00","","18,00","","11,00","","24,10","","99,45","","","","","","Nuageux"
"2007-10-01 21:00","2007","10","01","21:00"," ","12,80","","11,40","","91,00","","18,00","","9,00","","24,10","","99,41","","","","","","Nuageux"
"2007-10-01 22:00","2007","10","01","22:00"," ","12,80","","11,20","","90,00","","18,00","","7,00","","24,10","","99,42","","","","","","Nuageux"
"2007-10-01 23:00","2007","10","01","23:00"," ","12,70","","11,30","","91,00","","0,00","","0,00","","24,10","","99,37","","","","","","Nuageux"
"2007-10-02 00:00","2007","10","02","00:00"," ","12,00","","11,50","","97,00","","0,00","","0,00","","24,10","","99,35","","","","","","Nuageux"
"2007-10-02 01:00","2007","10","02","01:00"," ","12,40","","11,40","","94,00","","13,00","","4,00","","24,10","","99,30","","","","","","Nuageux"
"2007-10-02 02:00","2007","10","02","02:00"," ","12,60","","11,10","","91,00","","13,00","","4,00","","24,10","","99,23","","","","","","Nuageux"
