"Nom de la Station","SAULT STE MARIE A"
"Province","ONTARIO"
"Latitude","46,48"
"Longitude","-84,51"
"Altitude","192,00"
"Identification Climat","6057592"
"Identification OMM","71260"
"Identification TC","YAM"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2004-08-01 00:00","2004","08","01","00:00"," ","12,00","","11,30","","95,00","","0,00","","0,00","","19,30","","99,20","","","","","","Généralement nuageux"
"2004-08-01 01:00","2004","08","01","01:00"," ","12,70","","12,30","","97,00","","0,00","","0,00","","24,10","","99,22","","","","","","Généralement nuageux"
"2004-08-01 02:00","2004","08","01","02:00"," ","13,10","","12,80","","98,00","","11,00","","4,00","","24,10","","99,22","","","","","","Généralement nuageux"
"2004-08-01 03:00","2004","08","01","03:00"," ","13,30","","13,00","","98,00","","4,00","","6,00","","19,30","","99,23","","","","","","Généralement nuageux"
"2004-08-01 04:00","2004","08","01","04:00"," ","13,60","","13,20","","97,00","","3,00","","4,00","","19,30","","99,24","","","","","","Généralement nuageux"
"2004-08-01 05:00","2004","08","01","05:00"," ","13,80","","13,30","","97,00","","7,00","","4,00","","9,70","","99,24","","","","","","Brouillard"
"2004-08-01 06:00","2004","08","01","06:00"," ","13,70","","13,00","","96,00","","3,00","","7,00","","11,30","","99,26","","","","","","Nuageux"
"2004-08-01 07:00","2004","08","01","07:00"," ","14,70","","13,80","","94,00","","6,00","","7,00","","11,30","","99,27","","","","","","Nuageux"
"2004-08-01 08:00","2004","08","01","08:00"," ","15,90","","14,90","","94,00","","15,00","","2,00","","4,80","","99,30","","","","","","Brouillard"
"2004-08-01 09:00","2004","08","01","09:00"," ","16,50","","15,90","","96,00","","0,00","","0,00","","1,60","","99,31","","","","","","Brouillard"
"2004-08-01 10:00","2004","08","01","10:00"," ","18,80","","16,70","","88,00","","7,00","","6,00","","11,30","","99,30","","","","","","Généralement nuageux"
"2004-08-01 11:00","2004","08","01","11:00"," ","20,90","","17,20","","79,00","","6,00","","11,00","","19,30","","99,27","","26,00","","","","Généralement dégagé"
"2004-08-01 12:00","2004","08","01","12:00"," ","23,00","","18,20","","74,00","","10,00","","7,00","","24,10","","99,23","","29,00","","","","Généralement dégagé"
"2004-08-01 13:00","2004","08","01","13:00"," ","26,10","","17,90","","61,00","","18,00","","15,00","","24,10","","99,17","","32,00","","","","Généralement dégagé"
"2004-08-01 14:00","2004","08","01","14:00"," ","26,50","","16,70","","55,00","","21,00","","19,00","","24,10","","99,12","","32,00","","","","Généralement dégagé"
"2004-08-01 15:00","2004","08","01","15:00"," ","26,20","","17,40","","58,00","","21,00","","20,00","","24,10","","99,10","","32,00","","","","Généralement dégagé"
"2004-08-01 16:00","2004","08","01","16:00"," ","26,30","","17,70","","59,00","","19,00","","17,00","","24,10","","99,07","","32,00","","","","Généralement dégagé"
"2004-08-01 17:00","2004","08","01","17:00"," ","25,40","","17,70","","62,00","","22,00","","15,00","","24,10","","99,07","","31,00","","","","Généralement dégagé"
"2004-08-01 18:00","2004","08","01","18:00"," ","24,20","","17,20","","65,00","","23,00","","15,00","","24,10","","99,06","","30,00","","","","Généralement nuageux"
"2004-08-01 19:00","2004","08","01","19:00"," ","23,50","","16,90","","66,00","","24,00","","13,00","","24,10","","99,05","","29,00","","","","Nuageux"
"2004-08-01 20:00","2004","08","01","20:00"," ","21,40","","16,70","","75,00","","19,00","","7,00","","24,10","","99,06","","26,00","","","","Généralement nuageux"
"2004-08-01 21:00","2004","08","01","21:00"," ","20,00","","16,60","","81,00","","20,00","","6,00","","19,30","","99,10","","25,00","","","","Généralement nuageux"
"2004-08-01 22:00","2004","08","01","22:00"," ","17,50","","15,80","","90,00","","0,00","","0,00","","19,30","","99,11","","","","","","Généralement nuageux"
"2004-08-01 23:00","2004","08","01","23:00"," ","17,50","","16,40","","93,00","","0,00","","0,00","","12,90","","99,10","","","","","","Généralement nuageux"
"2004-08-02 00:00","2004","08","02","00:00"," ","16,50","","15,80","","96,00","","12,00","","4,00","","9,70","","99,12","","","","","","Brouillard"
"2004-08-02 01:00","2004","08","02","01:00"," ","17,40","","16,60","","95,00","","9,00","","4,00","","11,30","","99,08","","","","","","Généralement nuageux"
"2004-08-02 02:00","2004","08","02","02:00"," ","16,40","","15,90","","97,00","","10,00","","6,00","","11,30","","99,06","","","","","","Généralement nuageux"
"2004-08-02 03:00","2004","08","02","03:00"," ","15,70","","15,40","","98,00","","11,00","","4,00","","8,00","","99,05","","","","","","Brouillard"
"2004-08-02 04:00","2004","08","02","04:00"," ","16,50","","16,20","","98,00","","5,00","","6,00","","4,80","","99,02","","","","","","Brouillard"
"2004-08-02 05:00","2004","08","02","05:00"," ","16,60","","16,40","","99,00","","0,00","","0,00","","4,00","","99,02","","","","","","Brouillard"
"2004-08-02 06:00","2004","08","02","06:00"," ","17,20","","16,80","","97,00","","5,00","","6,00","","4,00","","99,01","","","","","","Brouillard"
"2004-08-02 07:00","2004","08","02","07:00"," ","18,30","","17,10","","93,00","","10,00","","6,00","","4,00","","99,02","","","","","","Brouillard"
"2004-08-02 08:00","2004","08","02","08:00"," ","20,50","","18,10","","86,00","","11,00","","6,00","","9,70","","98,98","","27,00","","","","Brume sèche"
"2004-08-02 09:00","2004","08","02","09:00"," ","21,30","","18,40","","84,00","","8,00","","6,00","","12,90","","98,90","","28,00","","","","Généralement dégagé"
"2004-08-02 10:00","2004","08","02","10:00"," ","24,20","","20,00","","77,00","","17,00","","7,00","","19,30","","98,91","","32,00","","","","Généralement dégagé"
"2004-08-02 11:00","2004","08","02","11:00"," ","24,90","","18,60","","68,00","","18,00","","15,00","","24,10","","98,85","","31,00","","","","Généralement dégagé"
"2004-08-02 12:00","2004","08","02","12:00"," ","25,80","","18,30","","63,00","","19,00","","11,00","","24,10","","98,87","","32,00","","","","Généralement nuageux"
"2004-08-02 13:00","2004","08","02","13:00"," ","27,60","","19,80","","63,00","","24,00","","9,00","","24,10","","98,77","","35,00","","","","Généralement nuageux"
"2004-08-02 14:00","2004","08","02","14:00"," ","26,20","","19,20","","65,00","","28,00","","9,00","","16,10","","98,81","","33,00","","","","Nuageux"
"2004-08-02 15:00","2004","08","02","15:00"," ","24,40","","19,00","","72,00","","27,00","","19,00","","12,90","","98,82","","31,00","","","","Averses de pluie"
"2004-08-02 16:00","2004","08","02","16:00"," ","21,50","","18,40","","83,00","","33,00","","9,00","","12,90","","98,74","","28,00","","","","Averses de pluie"
"2004-08-02 17:00","2004","08","02","17:00"," ","22,90","","18,90","","78,00","","30,00","","9,00","","16,10","","98,73","","30,00","","","","Nuageux"
"2004-08-02 18:00","2004","08","02","18:00"," ","21,70","","18,00","","79,00","","30,00","","9,00","","24,10","","98,76","","28,00","","","","Généralement nuageux"
"2004-08-02 19:00","2004","08","02","19:00"," ","20,00","","16,10","","78,00","","31,00","","7,00","","24,10","","98,78","","25,00","","","","Généralement nuageux"
"2004-08-02 20:00","2004","08","02","20:00"," ","17,30","","15,90","","91,00","","29,00","","9,00","","24,10","","98,81","","","","","","Généralement dégagé"
"2004-08-02 21:00","2004","08","02","21:00"," ","16,60","","15,20","","91,00","","29,00","","6,00","","12,90","","98,88","","","","","","Généralement dégagé"
"2004-08-02 22:00","2004","08","02","22:00"," ","15,90","","14,70","","93,00","","32,00","","7,00","","16,10","","98,87","","","","","","Généralement dégagé"
"2004-08-02 23:00","2004","08","02","23:00"," ","16,10","","14,80","","92,00","","30,00","","13,00","","11,30","","98,94","","","","","","Généralement dégagé"
"2004-08-03 00:00","2004","08","03","00:00"," ","15,80","","14,30","","91,00","","31,00","","11,00","","12,90","","98,95","","","","","","Généralement dégagé"
"2004-08-03 01:00","2004","08","03","01:00"," ","16,00","","14,10","","88,00","","29,00","","15,00","","16,10","","98,94","","","","","","Généralement dégagé"
"2004-08-03 02:00","2004","08","03","02:00"," ","15,40","","13,80","","90,00","","32,00","","6,00","","19,30","","98,96","","","","","","Généralement dégagé"
"2004-08-03 03:00","2004","08","03","03:00"," ","15,20","","13,80","","91,00","","32,00","","6,00","","24,10","","98,94","","","","","","Généralement dégagé"
"2004-08-03 04:00","2004","08","03","04:00"," ","15,20","","13,90","","92,00","","31,00","","11,00","","24,10","","98,97","","","","","","Généralement dégagé"
"2004-08-03 05:00","2004","08","03","05:00"," ","15,30","","14,50","","95,00","","32,00","","15,00","","24,10","","99,00","","","","","","Généralement dégagé"
"2004-08-03 06:00","2004","08","03","06:00"," ","15,20","","14,70","","97,00","","30,00","","15,00","","16,10","","99,00","","","","","","Généralement dégagé"
"2004-08-03 07:00","2004","08","03","07:00"," ","15,20","","14,70","","97,00","","29,00","","15,00","","16,10","","99,03","","","","","","Généralement nuageux"
"2004-08-03 08:00","2004","08","03","08:00"," ","17,10","","15,00","","87,00","","28,00","","13,00","","24,10","","99,05","","","","","","Généralement dégagé"
"2004-08-03 09:00","2004","08","03","09:00"," ","18,00","","14,50","","80,00","","29,00","","13,00","","24,10","","99,10","","","","","","Généralement dégagé"
"2004-08-03 10:00","2004","08","03","10:00"," ","19,00","","14,80","","77,00","","29,00","","19,00","","24,10","","99,10","","","","","","Dégagé"
"2004-08-03 11:00","2004","08","03","11:00"," ","19,00","","14,10","","73,00","","28,00","","22,00","","24,10","","99,13","","","","","","Généralement dégagé"
"2004-08-03 12:00","2004","08","03","12:00"," ","19,80","","14,00","","69,00","","29,00","","19,00","","24,10","","99,13","","","","","","Généralement dégagé"
"2004-08-03 13:00","2004","08","03","13:00"," ","20,50","","14,00","","66,00","","27,00","","19,00","","24,10","","99,12","","","","","","Généralement dégagé"
"2004-08-03 14:00","2004","08","03","14:00"," ","21,50","","14,20","","63,00","","30,00","","19,00","","24,10","","99,09","","25,00","","","","Généralement dégagé"
"2004-08-03 15:00","2004","08","03","15:00"," ","23,40","","11,70","","48,00","","30,00","","19,00","","24,10","","99,07","","26,00","","","","Généralement dégagé"
"2004-08-03 16:00","2004","08","03","16:00"," ","23,70","","10,80","","44,00","","31,00","","22,00","","24,10","","99,06","","25,00","","","","Généralement dégagé"
"2004-08-03 17:00","2004","08","03","17:00"," ","22,60","","10,70","","47,00","","31,00","","19,00","","24,10","","99,06","","","","","","Généralement dégagé"
"2004-08-03 18:00","2004","08","03","18:00"," ","21,70","","11,00","","51,00","","33,00","","19,00","","24,10","","99,04","","","","","","Généralement dégagé"
"2004-08-03 19:00","2004","08","03","19:00"," ","19,90","","10,70","","55,00","","34,00","","15,00","","24,10","","99,01","","","","","","Généralement nuageux"
"2004-08-03 20:00","2004","08","03","20:00"," ","18,90","","9,40","","54,00","","33,00","","15,00","","24,10","","98,97","","","","","","Généralement nuageux"
"2004-08-03 21:00","2004","08","03","21:00"," ","17,60","","9,60","","59,00","","35,00","","9,00","","24,10","","99,01","","","","","","Généralement dégagé"
"2004-08-03 22:00","2004","08","03","22:00"," ","11,90","","9,40","","85,00","","24,00","","4,00","","24,10","","99,02","","","","","","Généralement dégagé"
"2004-08-03 23:00","2004","08","03","23:00"," ","12,30","","10,60","","89,00","","0,00","","0,00","","24,10","","99,00","","","","","","Généralement dégagé"
