"Nom de la Station","WAWA A"
"Province","ONTARIO"
"Latitude","47,97"
"Longitude","-84,78"
"Altitude","287,10"
"Identification Climat","6059D09"
"Identification OMM","71738"
"Identification TC","YXZ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1980-03-01 00:00","1980","03","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-01 01:00","1980","03","01","01:00"," ","-26,50","","-30,60","","68,00","","2,00","","2,00","","24,10","","100,26","","","","-29,00","","Dégagé"
"1980-03-01 02:00","1980","03","01","02:00"," ","-27,10","","-29,80","","78,00","","0,00","","0,00","","24,10","","100,26","","","","","","Dégagé"
"1980-03-01 03:00","1980","03","01","03:00"," ","-30,40","","-33,60","","73,00","","0,00","","0,00","","24,10","","100,26","","","","","","Dégagé"
"1980-03-01 04:00","1980","03","01","04:00"," ","","","","","","","0,00","","0,00","","","","","","","","","","ND"
"1980-03-01 05:00","1980","03","01","05:00"," ","","","","","","","0,00","","0,00","","","","","","","","","","ND"
"1980-03-01 06:00","1980","03","01","06:00"," ","-33,00","","-38,70","","56,00","","0,00","","0,00","","24,10","","100,26","","","","","","Dégagé"
"1980-03-01 07:00","1980","03","01","07:00"," ","-33,40","","-36,80","","71,00","","0,00","","0,00","","24,10","","100,26","","","","","","Dégagé"
"1980-03-01 08:00","1980","03","01","08:00"," ","-33,00","","-36,30","","72,00","","0,00","","0,00","","24,10","","100,26","","","","","","Dégagé"
"1980-03-01 09:00","1980","03","01","09:00"," ","-31,00","","-34,10","","74,00","","0,00","","0,00","","24,10","","100,26","","","","","","Généralement dégagé"
"1980-03-01 10:00","1980","03","01","10:00"," ","-24,00","","-30,10","","57,00","","0,00","","0,00","","24,10","","100,26","","","","","","Dégagé"
"1980-03-01 11:00","1980","03","01","11:00"," ","-19,40","","-26,90","","52,00","","28,00","","6,00","","24,10","","100,20","","","","-24,00","","Dégagé"
"1980-03-01 12:00","1980","03","01","12:00"," ","-17,40","","-21,50","","70,00","","36,00","","4,00","","24,10","","100,10","","","","-21,00","","Dégagé"
"1980-03-01 13:00","1980","03","01","13:00"," ","-15,40","","-19,00","","74,00","","28,00","","7,00","","24,10","","100,00","","","","-20,00","","Dégagé"
"1980-03-01 14:00","1980","03","01","14:00"," ","-15,40","","-18,40","","78,00","","20,00","","41,00","","24,10","","99,87","","","","-28,00","","Dégagé"
"1980-03-01 15:00","1980","03","01","15:00"," ","-14,80","","-17,30","","81,00","","27,00","","9,00","","24,10","","99,80","","","","-21,00","","Dégagé"
"1980-03-01 16:00","1980","03","01","16:00"," ","-14,40","","-16,70","","82,00","","23,00","","15,00","","24,10","","99,70","","","","-22,00","","Dégagé"
"1980-03-01 17:00","1980","03","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-01 18:00","1980","03","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-01 19:00","1980","03","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-01 20:00","1980","03","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-01 21:00","1980","03","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-01 22:00","1980","03","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-01 23:00","1980","03","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 00:00","1980","03","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 01:00","1980","03","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 02:00","1980","03","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 03:00","1980","03","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 04:00","1980","03","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 05:00","1980","03","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 06:00","1980","03","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 07:00","1980","03","02","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 08:00","1980","03","02","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 09:00","1980","03","02","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 10:00","1980","03","02","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 11:00","1980","03","02","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 12:00","1980","03","02","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 13:00","1980","03","02","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 14:00","1980","03","02","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 15:00","1980","03","02","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 16:00","1980","03","02","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 17:00","1980","03","02","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 18:00","1980","03","02","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 19:00","1980","03","02","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 20:00","1980","03","02","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 21:00","1980","03","02","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 22:00","1980","03","02","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-02 23:00","1980","03","02","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-03 00:00","1980","03","03","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-03 01:00","1980","03","03","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-03 02:00","1980","03","03","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-03 03:00","1980","03","03","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-03 04:00","1980","03","03","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-03 05:00","1980","03","03","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-03 06:00","1980","03","03","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-03 07:00","1980","03","03","07:00"," ","-4,60","","-5,70","","92,00","","24,00","","15,00","","24,10","","97,49","","","","-10,00","","Nuageux"
"1980-03-03 08:00","1980","03","03","08:00"," ","-4,60","","-5,70","","92,00","","23,00","","11,00","","24,10","","97,56","","","","-9,00","","Neige"
"1980-03-03 09:00","1980","03","03","09:00"," ","-4,60","","-6,90","","84,00","","23,00","","19,00","","16,10","","97,46","","","","-11,00","","Neige"
"1980-03-03 10:00","1980","03","03","10:00"," ","-6,20","","-7,70","","89,00","","18,00","","11,00","","12,90","","97,49","","","","-11,00","","Neige"
"1980-03-03 11:00","1980","03","03","11:00"," ","-5,60","","-8,20","","82,00","","19,00","","11,00","","24,10","","97,46","","","","-10,00","","Neige"
"1980-03-03 12:00","1980","03","03","12:00"," ","-4,70","","-7,60","","80,00","","20,00","","11,00","","24,10","","97,43","","","","-9,00","","Averses de neige"
"1980-03-03 13:00","1980","03","03","13:00"," ","-4,70","","-9,40","","70,00","","20,00","","22,00","","25,00","","97,39","","","","-12,00","","Nuageux"
"1980-03-03 14:00","1980","03","03","14:00"," ","-5,70","","-9,60","","74,00","","21,00","","22,00","","24,10","","97,33","","","","-13,00","","Averses de neige"
"1980-03-03 15:00","1980","03","03","15:00"," ","-5,40","","-8,20","","80,00","","18,00","","13,00","","3,20","","97,23","","","","-11,00","","Averses de neige"
"1980-03-03 16:00","1980","03","03","16:00"," ","-6,00","","-7,70","","88,00","","22,00","","11,00","","16,10","","97,20","","","","-11,00","","Averses de neige"
"1980-03-03 17:00","1980","03","03","17:00"," ","","","","","","","22,00","","11,00","","","","","","","","","","ND"
"1980-03-03 18:00","1980","03","03","18:00"," ","","","","","","","22,00","","11,00","","","","","","","","","","ND"
"1980-03-03 19:00","1980","03","03","19:00"," ","-5,00","","-7,20","","84,00","","22,00","","11,00","","4,00","","97,16","","","","-10,00","","Neige"
"1980-03-03 20:00","1980","03","03","20:00"," ","-5,20","","-6,60","","90,00","","22,00","","11,00","","4,00","","97,16","","","","-10,00","","Neige"
"1980-03-03 21:00","1980","03","03","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-03 22:00","1980","03","03","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-03 23:00","1980","03","03","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-04 00:00","1980","03","04","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-04 01:00","1980","03","04","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-04 02:00","1980","03","04","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-04 03:00","1980","03","04","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-04 04:00","1980","03","04","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-04 05:00","1980","03","04","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-04 06:00","1980","03","04","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-04 07:00","1980","03","04","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1980-03-04 08:00","1980","03","04","08:00"," ","-14,40","","-16,70","","82,00","","36,00","","11,00","","3,20","","97,36","","","","-21,00","","Neige"
"1980-03-04 09:00","1980","03","04","09:00"," ","-14,00","","-17,20","","76,00","","2,00","","7,00","","24,10","","97,46","","","","-19,00","","Neige"
"1980-03-04 10:00","1980","03","04","10:00"," ","-12,80","","-17,10","","70,00","","4,00","","7,00","","24,10","","97,56","","","","-17,00","","Généralement dégagé"
"1980-03-04 11:00","1980","03","04","11:00"," ","-12,10","","-15,80","","74,00","","36,00","","15,00","","24,10","","97,66","","","","-19,00","","Dégagé"
"1980-03-04 12:00","1980","03","04","12:00"," ","-10,80","","-15,50","","68,00","","36,00","","9,00","","24,10","","97,62","","","","-16,00","","Dégagé"
"1980-03-04 13:00","1980","03","04","13:00"," ","-9,30","","-14,50","","66,00","","4,00","","7,00","","25,00","","97,62","","","","-13,00","","Dégagé"
"1980-03-04 14:00","1980","03","04","14:00"," ","-7,40","","-14,60","","56,00","","4,00","","11,00","","25,00","","97,59","","","","-12,00","","Dégagé"
"1980-03-04 15:00","1980","03","04","15:00"," ","-6,00","","-12,30","","61,00","","23,00","","11,00","","25,00","","97,56","","","","-11,00","","Dégagé"
"1980-03-04 16:00","1980","03","04","16:00"," ","-6,80","","-13,40","","59,00","","24,00","","13,00","","25,00","","97,56","","","","-12,00","","Généralement dégagé"
"1980-03-04 17:00","1980","03","04","17:00"," ","","","","","","","22,00","","15,00","","","","","","","","","","ND"
"1980-03-04 18:00","1980","03","04","18:00"," ","","","","","","","21,00","","7,00","","","","","","","","","","ND"
"1980-03-04 19:00","1980","03","04","19:00"," ","-10,00","","-12,40","","83,00","","18,00","","4,00","","25,00","","97,62","","","","-12,00","","Nuageux"
"1980-03-04 20:00","1980","03","04","20:00"," ","-9,70","","-12,30","","81,00","","16,00","","7,00","","25,00","","97,59","","","","-14,00","","Généralement dégagé"
"1980-03-04 21:00","1980","03","04","21:00"," ","","","","","","","14,00","","2,00","","","","","","","","","","ND"
"1980-03-04 22:00","1980","03","04","22:00"," ","","","","","","","0,00","","0,00","","","","","","","","","","ND"
"1980-03-04 23:00","1980","03","04","23:00"," ","","","","","","","1,00","","6,00","","","","","","","","","","ND"
"1980-03-05 00:00","1980","03","05","00:00"," ","","","","","","","3,00","","4,00","","","","","","","","","","ND"
"1980-03-05 01:00","1980","03","05","01:00"," ","-12,20","","-14,30","","85,00","","36,00","","2,00","","24,10","","97,59","","","","-13,00","","Généralement dégagé"
"1980-03-05 02:00","1980","03","05","02:00"," ","-12,60","","-14,90","","83,00","","2,00","","9,00","","24,10","","97,59","","","","-18,00","","Nuageux"
"1980-03-05 03:00","1980","03","05","03:00"," ","-13,50","","-18,90","","64,00","","4,00","","7,00","","24,10","","97,56","","","","-18,00","","Nuageux"
"1980-03-05 04:00","1980","03","05","04:00"," ","-13,70","","-19,60","","61,00","","4,00","","7,00","","24,10","","97,49","","","","-18,00","","Nuageux"
"1980-03-05 05:00","1980","03","05","05:00"," ","-13,70","","-19,60","","61,00","","0,00","","0,00","","24,10","","97,46","","","","","","Généralement nuageux"
"1980-03-05 06:00","1980","03","05","06:00"," ","-17,50","","-22,30","","66,00","","7,00","","6,00","","24,10","","97,43","","","","-22,00","","Généralement dégagé"
"1980-03-05 07:00","1980","03","05","07:00"," ","-18,40","","-22,80","","68,00","","0,00","","0,00","","24,10","","97,39","","","","","","Généralement dégagé"
"1980-03-05 08:00","1980","03","05","08:00"," ","-18,40","","-23,60","","64,00","","0,00","","0,00","","24,10","","97,39","","","","","","Généralement nuageux"
"1980-03-05 09:00","1980","03","05","09:00"," ","-16,20","","-19,70","","74,00","","0,00","","0,00","","25,00","","97,39","","","","","","Généralement nuageux"
"1980-03-05 10:00","1980","03","05","10:00"," ","-14,00","","-21,70","","52,00","","0,00","","0,00","","25,00","","97,39","","","","","","Généralement dégagé"
"1980-03-05 11:00","1980","03","05","11:00"," ","-11,60","","-17,90","","60,00","","24,00","","7,00","","25,00","","97,39","","","","-16,00","","Généralement dégagé"
"1980-03-05 12:00","1980","03","05","12:00"," ","-10,50","","-16,40","","62,00","","25,00","","19,00","","25,00","","97,33","","","","-18,00","","Généralement dégagé"
"1980-03-05 13:00","1980","03","05","13:00"," ","-10,20","","-14,70","","69,00","","22,00","","19,00","","25,00","","97,26","","","","-18,00","","Généralement dégagé"
"1980-03-05 14:00","1980","03","05","14:00"," ","-10,30","","-15,90","","63,00","","24,00","","24,00","","25,00","","97,20","","","","-19,00","","Généralement dégagé"
"1980-03-05 15:00","1980","03","05","15:00"," ","-10,30","","-15,90","","63,00","","24,00","","22,00","","25,00","","97,20","","","","-19,00","","Généralement dégagé"
"1980-03-05 16:00","1980","03","05","16:00"," ","-11,30","","-16,20","","67,00","","23,00","","22,00","","25,00","","97,23","","","","-20,00","","Généralement dégagé"
"1980-03-05 17:00","1980","03","05","17:00"," ","","","","","","","24,00","","11,00","","","","","","","","","","ND"
"1980-03-05 18:00","1980","03","05","18:00"," ","","","","","","","27,00","","4,00","","","","","","","","","","ND"
"1980-03-05 19:00","1980","03","05","19:00"," ","-15,40","","-18,40","","78,00","","29,00","","7,00","","24,10","","97,46","","","","-20,00","","Généralement dégagé"
"1980-03-05 20:00","1980","03","05","20:00"," ","-14,80","","-17,80","","78,00","","24,00","","7,00","","24,10","","97,56","","","","-20,00","","Généralement nuageux"
"1980-03-05 21:00","1980","03","05","21:00"," ","","","","","","","25,00","","4,00","","","","","","","","","","ND"
"1980-03-05 22:00","1980","03","05","22:00"," ","","","","","","","0,00","","0,00","","","","","","","","","","ND"
"1980-03-05 23:00","1980","03","05","23:00"," ","","","","","","","23,00","","7,00","","","","","","","","","","ND"
"1980-03-06 00:00","1980","03","06","00:00"," ","","","","","","","0,00","","0,00","","","","","","","","","","ND"
"1980-03-06 01:00","1980","03","06","01:00"," ","-15,40","","-22,50","","55,00","","27,00","","2,00","","24,10","","97,69","","","","-17,00","","Généralement nuageux"
"1980-03-06 02:00","1980","03","06","02:00"," ","-17,20","","-20,20","","77,00","","24,00","","2,00","","24,10","","97,76","","","","-19,00","","Généralement dégagé"
"1980-03-06 03:00","1980","03","06","03:00"," ","-17,10","","-20,20","","77,00","","25,00","","2,00","","24,10","","97,82","","","","-19,00","","Généralement dégagé"
"1980-03-06 04:00","1980","03","06","04:00"," ","-18,20","","-21,40","","76,00","","25,00","","2,00","","24,10","","97,82","","","","-20,00","","Généralement dégagé"
"1980-03-06 05:00","1980","03","06","05:00"," ","-14,60","","-17,30","","80,00","","27,00","","4,00","","24,10","","97,82","","","","-17,00","","Généralement nuageux"
"1980-03-06 06:00","1980","03","06","06:00"," ","-13,40","","-16,10","","80,00","","0,00","","0,00","","24,10","","97,82","","","","","","Généralement nuageux"
"1980-03-06 07:00","1980","03","06","07:00"," ","-12,60","","-14,90","","83,00","","23,00","","6,00","","24,10","","97,82","","","","-17,00","","Nuageux"
"1980-03-06 08:00","1980","03","06","08:00"," ","-9,60","","-11,40","","87,00","","23,00","","17,00","","1,60","","97,82","","","","-17,00","","Neige"
"1980-03-06 09:00","1980","03","06","09:00"," ","-9,30","","-11,40","","85,00","","24,00","","19,00","","24,10","","97,82","","","","-17,00","","Neige"
"1980-03-06 10:00","1980","03","06","10:00"," ","-8,90","","-10,90","","85,00","","25,00","","22,00","","24,10","","97,86","","","","-17,00","","Neige"
