"Nom de la Station","SUDBURY A"
"Province","ONTARIO"
"Latitude","46,63"
"Longitude","-80,80"
"Altitude","348,40"
"Identification Climat","6068150"
"Identification OMM","71730"
"Identification TC","YSB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1954-02-01 00:00","1954","02","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-01 01:00","1954","02","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-01 02:00","1954","02","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-01 03:00","1954","02","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-01 04:00","1954","02","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-01 05:00","1954","02","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-01 06:00","1954","02","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-01 07:00","1954","02","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-01 08:00","1954","02","01","08:00"," ","-13,90","","-15,60","","87,00","","14,00","","23,00","","3,20","","97,03","","","","-23,00","","Neige,Brouillard"
"1954-02-01 09:00","1954","02","01","09:00"," ","-11,10","","-12,20","","91,00","","16,00","","23,00","","2,40","","97,03","","","","-20,00","","Neige,Brouillard"
"1954-02-01 10:00","1954","02","01","10:00"," ","-8,90","","-10,00","","92,00","","16,00","","26,00","","3,20","","96,74","","","","-18,00","","Neige,Brouillard"
"1954-02-01 11:00","1954","02","01","11:00"," ","-6,70","","-7,80","","92,00","","16,00","","26,00","","3,60","","96,81","","","","-15,00","","Neige,Brouillard"
"1954-02-01 12:00","1954","02","01","12:00"," ","-5,60","","-6,70","","92,00","","16,00","","29,00","","2,40","","96,65","","","","-14,00","","Neige,Brouillard"
"1954-02-01 13:00","1954","02","01","13:00"," ","-5,60","","-6,70","","92,00","","16,00","","23,00","","3,20","","96,61","","","","-13,00","","Neige,Brouillard"
"1954-02-01 14:00","1954","02","01","14:00"," ","-5,00","","-5,60","","96,00","","18,00","","23,00","","3,20","","96,82","","","","-12,00","","Neige"
"1954-02-01 15:00","1954","02","01","15:00"," ","-5,00","","-6,10","","88,00","","18,00","","32,00","","3,20","","96,44","","","","-13,00","","Bruine verglaçante"
"1954-02-01 16:00","1954","02","01","16:00"," ","-4,40","","-6,10","","88,00","","18,00","","29,00","","4,00","","96,37","","","","-12,00","","Neige"
"1954-02-01 17:00","1954","02","01","17:00"," ","-4,40","","-5,00","","96,00","","16,00","","26,00","","1,20","","96,32","","","","-12,00","","Neige,Brouillard"
"1954-02-01 18:00","1954","02","01","18:00"," ","-4,40","","-5,60","","96,00","","14,00","","19,00","","3,20","","96,28","","","","-11,00","","Neige"
"1954-02-01 19:00","1954","02","01","19:00"," ","-5,00","","-6,10","","92,00","","16,00","","23,00","","3,20","","96,34","","","","-12,00","","Neige"
"1954-02-01 20:00","1954","02","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-01 21:00","1954","02","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-01 22:00","1954","02","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-01 23:00","1954","02","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 00:00","1954","02","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 01:00","1954","02","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 02:00","1954","02","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 03:00","1954","02","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 04:00","1954","02","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 05:00","1954","02","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 06:00","1954","02","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 07:00","1954","02","02","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 08:00","1954","02","02","08:00"," ","-3,30","","-3,90","","96,00","","23,00","","13,00","","2,40","","95,90","","","","-8,00","","Brouillard"
"1954-02-02 09:00","1954","02","02","09:00"," ","-2,80","","-3,90","","96,00","","23,00","","19,00","","2,40","","95,85","","","","-9,00","","Brouillard"
"1954-02-02 10:00","1954","02","02","10:00"," ","-2,20","","-2,80","","96,00","","23,00","","13,00","","3,20","","95,84","","","","-7,00","","Brouillard"
"1954-02-02 11:00","1954","02","02","11:00"," ","-1,60","","-1,70","","100,00","","18,00","","16,00","","9,70","","95,81","","","","-7,00","","Brouillard"
"1954-02-02 12:00","1954","02","02","12:00"," ","-0,60","","-1,10","","96,00","","18,00","","19,00","","2,40","","95,73","","","","-6,00","","Averses de neige,Brouillard"
"1954-02-02 13:00","1954","02","02","13:00"," ","0,00","","-0,60","","96,00","","20,00","","19,00","","2,40","","95,73","","","","-5,00","","Averses de neige modérées,Brouillard"
"1954-02-02 14:00","1954","02","02","14:00"," ","-0,60","","-0,60","","100,00","","20,00","","19,00","","2,40","","95,81","","","","-6,00","","Nuageux"
"1954-02-02 15:00","1954","02","02","15:00"," ","-0,60","","-0,60","","100,00","","23,00","","19,00","","2,40","","95,76","","","","-6,00","","Neige,Brouillard"
"1954-02-02 16:00","1954","02","02","16:00"," ","-0,60","","-1,10","","96,00","","23,00","","23,00","","3,20","","95,77","","","","-6,00","","Neige"
"1954-02-02 17:00","1954","02","02","17:00"," ","-1,10","","-1,10","","100,00","","25,00","","19,00","","4,80","","95,80","","","","-6,00","","Neige"
"1954-02-02 18:00","1954","02","02","18:00"," ","-1,70","","-3,30","","88,00","","27,00","","16,00","","4,80","","95,88","","","","-7,00","","Généralement nuageux"
"1954-02-02 19:00","1954","02","02","19:00"," ","-3,30","","-5,00","","88,00","","27,00","","13,00","","9,70","","95,93","","","","-8,00","","Dégagé"
"1954-02-02 20:00","1954","02","02","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 21:00","1954","02","02","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 22:00","1954","02","02","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-02 23:00","1954","02","02","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-03 00:00","1954","02","03","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1954-02-03 01:00","1954","02","03","01:00"," ","","","","","","","","","","","","","","","","","","",""
