"Nom de la Station","TRACADIE"
"Province","NOVA SCOTIA"
"Latitude","45,61"
"Longitude","-61,68"
"Altitude","66,70"
"Identification Climat","8205895"
"Identification OMM","71308"
"Identification TC","XTD"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-01-01 00:00","2007","01","01","00:00"," ","-4,10","","-9,50","","66,00","","35,00","","33,00","","","","101,63","","","","-12,00","","ND"
"2007-01-01 01:00","2007","01","01","01:00"," ","-4,30","","-9,50","","67,00","","36,00","","32,00","","","","101,59","","","","-12,00","","ND"
"2007-01-01 02:00","2007","01","01","02:00"," ","-4,10","","-8,80","","70,00","","35,00","","22,00","","","","101,67","","","","-11,00","","ND"
"2007-01-01 03:00","2007","01","01","03:00"," ","-4,40","","-9,80","","66,00","","36,00","","24,00","","","","101,73","","","","-11,00","","ND"
"2007-01-01 04:00","2007","01","01","04:00"," ","-4,40","","-9,40","","68,00","","36,00","","22,00","","","","101,70","","","","-11,00","","ND"
"2007-01-01 05:00","2007","01","01","05:00"," ","-4,30","","-9,00","","70,00","","35,00","","19,00","","","","101,82","","","","-10,00","","ND"
"2007-01-01 06:00","2007","01","01","06:00"," ","-4,40","","-9,10","","70,00","","35,00","","19,00","","","","101,86","","","","-11,00","","ND"
"2007-01-01 07:00","2007","01","01","07:00"," ","-4,20","","-9,00","","69,00","","36,00","","19,00","","","","101,87","","","","-10,00","","ND"
"2007-01-01 08:00","2007","01","01","08:00"," ","-4,40","","-8,70","","72,00","","3,00","","13,00","","","","101,82","","","","-9,00","","ND"
"2007-01-01 09:00","2007","01","01","09:00"," ","-4,00","","-8,40","","71,00","","34,00","","9,00","","","","101,90","","","","-8,00","","ND"
