"Nom de la Station","TIMMINS VICTOR POWER A"
"Province","ONTARIO"
"Latitude","48,57"
"Longitude","-81,38"
"Altitude","294,70"
"Identification Climat","6078285"
"Identification OMM","71739"
"Identification TC","YTS"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2001-04-01 00:00","2001","04","01","00:00"," ","-1,20","","-9,10","","55,00","","10,00","","7,00","","24,10","","97,35","","","","-4,00","","Généralement nuageux"
"2001-04-01 01:00","2001","04","01","01:00"," ","-1,80","","-9,20","","57,00","","10,00","","7,00","","24,10","","97,31","","","","-4,00","","Généralement nuageux"
"2001-04-01 02:00","2001","04","01","02:00"," ","-2,30","","-9,40","","58,00","","9,00","","9,00","","24,10","","97,28","","","","-6,00","","Généralement dégagé"
"2001-04-01 03:00","2001","04","01","03:00"," ","-2,70","","-9,90","","58,00","","10,00","","6,00","","24,10","","97,25","","","","-5,00","","Généralement dégagé"
"2001-04-01 04:00","2001","04","01","04:00"," ","-3,60","","-9,70","","63,00","","8,00","","4,00","","24,10","","97,21","","","","-5,00","","Généralement dégagé"
"2001-04-01 05:00","2001","04","01","05:00"," ","-2,90","","-9,70","","59,00","","8,00","","6,00","","24,10","","97,21","","","","-5,00","","Généralement dégagé"
"2001-04-01 06:00","2001","04","01","06:00"," ","-3,30","","-9,00","","65,00","","0,00","","0,00","","24,10","","97,24","","","","","","Généralement nuageux"
"2001-04-01 07:00","2001","04","01","07:00"," ","-2,80","","-9,00","","62,00","","9,00","","4,00","","24,10","","97,27","","","","-4,00","","Généralement nuageux"
"2001-04-01 08:00","2001","04","01","08:00"," ","-1,10","","-8,50","","57,00","","0,00","","0,00","","24,10","","97,30","","","","","","Nuageux"
"2001-04-01 09:00","2001","04","01","09:00"," ","0,60","","-8,10","","52,00","","12,00","","4,00","","24,10","","97,30","","","","","","Nuageux"
"2001-04-01 10:00","2001","04","01","10:00"," ","3,30","","-7,70","","44,00","","0,00","","0,00","","24,10","","97,31","","","","","","Généralement nuageux"
"2001-04-01 11:00","2001","04","01","11:00"," ","6,00","","-8,00","","36,00","","12,00","","7,00","","24,10","","97,29","","","","","","Nuageux"
"2001-04-01 12:00","2001","04","01","12:00"," ","6,90","","-7,60","","35,00","","13,00","","7,00","","24,10","","97,28","","","","","","Généralement nuageux"
"2001-04-01 13:00","2001","04","01","13:00"," ","7,10","","-7,30","","35,00","","15,00","","7,00","","24,10","","97,27","","","","","","Nuageux"
"2001-04-01 14:00","2001","04","01","14:00"," ","7,70","","-6,70","","35,00","","0,00","","0,00","","24,10","","97,26","","","","","","Nuageux"
"2001-04-01 15:00","2001","04","01","15:00"," ","7,90","","-7,70","","32,00","","0,00","","0,00","","24,10","","97,25","","","","","","Nuageux"
"2001-04-01 16:00","2001","04","01","16:00"," ","8,00","","-7,30","","33,00","","0,00","","0,00","","24,10","","97,28","","","","","","Nuageux"
"2001-04-01 17:00","2001","04","01","17:00"," ","7,50","","-6,80","","35,00","","7,00","","6,00","","24,10","","97,31","","","","","","Généralement nuageux"
"2001-04-01 18:00","2001","04","01","18:00"," ","7,00","","-6,80","","37,00","","11,00","","9,00","","24,10","","97,37","","","","","","Nuageux"
"2001-04-01 19:00","2001","04","01","19:00"," ","5,30","","-7,00","","41,00","","14,00","","4,00","","24,10","","97,43","","","","","","Généralement nuageux"
"2001-04-01 20:00","2001","04","01","20:00"," ","4,20","","-5,70","","48,00","","10,00","","9,00","","24,10","","97,50","","","","","","Généralement nuageux"
"2001-04-01 21:00","2001","04","01","21:00"," ","3,50","","-4,40","","56,00","","14,00","","9,00","","24,10","","97,57","","","","","","Nuageux"
"2001-04-01 22:00","2001","04","01","22:00"," ","3,20","","-3,20","","63,00","","18,00","","11,00","","24,10","","97,59","","","","","","Généralement nuageux"
"2001-04-01 23:00","2001","04","01","23:00"," ","2,40","","-3,20","","66,00","","18,00","","9,00","","24,10","","97,62","","","","","","Nuageux"
"2001-04-02 00:00","2001","04","02","00:00"," ","2,20","","-3,00","","68,00","","14,00","","11,00","","24,10","","97,65","","","","","","Nuageux"
"2001-04-02 01:00","2001","04","02","01:00"," ","1,80","","-2,70","","72,00","","14,00","","7,00","","24,10","","97,67","","","","","","Averses de neige"
"2001-04-02 02:00","2001","04","02","02:00"," ","0,40","","-3,60","","74,00","","12,00","","7,00","","24,10","","97,68","","","","","","Nuageux"
"2001-04-02 03:00","2001","04","02","03:00"," ","0,20","","-4,20","","72,00","","15,00","","7,00","","24,10","","97,68","","","","","","Nuageux"
"2001-04-02 04:00","2001","04","02","04:00"," ","-0,60","","-4,30","","76,00","","15,00","","6,00","","24,10","","97,69","","","","-3,00","","Nuageux"
"2001-04-02 05:00","2001","04","02","05:00"," ","-1,00","","-4,40","","78,00","","11,00","","4,00","","24,10","","97,71","","","","-2,00","","Nuageux"
"2001-04-02 06:00","2001","04","02","06:00"," ","-1,30","","-4,10","","81,00","","12,00","","6,00","","24,10","","97,75","","","","-4,00","","Nuageux"
"2001-04-02 07:00","2001","04","02","07:00"," ","-0,40","","-3,60","","79,00","","13,00","","6,00","","24,10","","97,80","","","","-2,00","","Nuageux"
"2001-04-02 08:00","2001","04","02","08:00"," ","0,80","","-2,80","","77,00","","15,00","","7,00","","24,10","","97,85","","","","","","Nuageux"
"2001-04-02 09:00","2001","04","02","09:00"," ","2,30","","-2,10","","73,00","","17,00","","4,00","","24,10","","97,85","","","","","","Nuageux"
"2001-04-02 10:00","2001","04","02","10:00"," ","4,40","","-1,60","","65,00","","15,00","","6,00","","24,10","","97,85","","","","","","Nuageux"
"2001-04-02 11:00","2001","04","02","11:00"," ","5,30","","-1,60","","61,00","","12,00","","7,00","","24,10","","97,88","","","","","","Nuageux"
"2001-04-02 12:00","2001","04","02","12:00"," ","4,60","","-1,50","","65,00","","15,00","","6,00","","19,30","","97,88","","","","","","Averses de pluie"
"2001-04-02 13:00","2001","04","02","13:00"," ","5,50","","-1,70","","60,00","","17,00","","6,00","","19,30","","97,89","","","","","","Averses de pluie"
"2001-04-02 14:00","2001","04","02","14:00"," ","4,70","","-1,50","","64,00","","18,00","","7,00","","19,30","","97,90","","","","","","Averses de pluie"
"2001-04-02 15:00","2001","04","02","15:00"," ","6,20","","-1,60","","57,00","","0,00","","0,00","","24,10","","97,88","","","","","","Averses de pluie"
"2001-04-02 16:00","2001","04","02","16:00"," ","6,00","","-1,80","","57,00","","0,00","","0,00","","24,10","","97,89","","","","","","Averses de pluie"
"2001-04-02 17:00","2001","04","02","17:00"," ","5,10","","-1,60","","62,00","","16,00","","11,00","","24,10","","97,94","","","","","","Averses de pluie"
"2001-04-02 18:00","2001","04","02","18:00"," ","5,10","","-1,80","","61,00","","0,00","","0,00","","24,10","","97,98","","","","","","Généralement nuageux"
"2001-04-02 19:00","2001","04","02","19:00"," ","4,10","","-2,50","","62,00","","0,00","","0,00","","24,10","","98,02","","","","","","Généralement nuageux"
"2001-04-02 20:00","2001","04","02","20:00"," ","3,00","","-2,20","","69,00","","0,00","","0,00","","24,10","","98,07","","","","","","Généralement nuageux"
"2001-04-02 21:00","2001","04","02","21:00"," ","2,70","","-2,80","","67,00","","0,00","","0,00","","24,10","","98,12","","","","","","Nuageux"
"2001-04-02 22:00","2001","04","02","22:00"," ","2,40","","-1,60","","75,00","","30,00","","6,00","","24,10","","98,15","","","","","","Nuageux"
"2001-04-02 23:00","2001","04","02","23:00"," ","1,90","","-1,50","","78,00","","30,00","","6,00","","24,10","","98,16","","","","","","Généralement nuageux"
