"Nom de la Station","ST. PETERS"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46,45"
"Longitude","-62,58"
"Altitude","29,70"
"Identification Climat","8300562"
"Identification OMM","71310"
"Identification TC","ZSP"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-12-01 00:00","2009","12","01","00:00"," ","5,20","","4,40","","95,00","","29,00","","15,00","","","","99,41","","","","","","ND"
"2009-12-01 01:00","2009","12","01","01:00"," ","4,30","","3,50","","95,00","","32,00","","13,00","","","","99,42","","","","","","ND"
"2009-12-01 02:00","2009","12","01","02:00"," ","3,80","","3,00","","95,00","","32,00","","13,00","","","","99,48","","","","","","ND"
"2009-12-01 03:00","2009","12","01","03:00"," ","3,40","","2,50","","94,00","","33,00","","13,00","","","","99,53","","","","","","ND"
"2009-12-01 04:00","2009","12","01","04:00"," ","3,20","","2,10","","92,00","","33,00","","13,00","","","","99,56","","","","","","ND"
"2009-12-01 05:00","2009","12","01","05:00"," ","2,90","","1,60","","91,00","","34,00","","17,00","","","","99,59","","","","","","ND"
"2009-12-01 06:00","2009","12","01","06:00"," ","2,70","","1,20","","90,00","","35,00","","19,00","","","","99,59","","","","","","ND"
"2009-12-01 07:00","2009","12","01","07:00"," ","2,80","","0,80","","87,00","","35,00","","17,00","","","","99,60","","","","","","ND"
"2009-12-01 08:00","2009","12","01","08:00"," ","2,60","","0,10","","84,00","","35,00","","17,00","","","","99,64","","","","","","ND"
"2009-12-01 09:00","2009","12","01","09:00"," ","2,80","","-0,30","","80,00","","35,00","","20,00","","","","99,63","","","","","","ND"
"2009-12-01 10:00","2009","12","01","10:00"," ","2,80","","-0,80","","77,00","","35,00","","20,00","","","","99,72","","","","","","ND"
"2009-12-01 11:00","2009","12","01","11:00"," ","2,80","","-0,90","","77,00","","35,00","","19,00","","","","99,63","","","","","","ND"
"2009-12-01 12:00","2009","12","01","12:00"," ","2,60","","-1,30","","75,00","","33,00","","20,00","","","","99,64","","","","","","ND"
"2009-12-01 13:00","2009","12","01","13:00"," ","1,80","","-0,90","","82,00","","33,00","","20,00","","","","99,59","","","","","","ND"
"2009-12-01 14:00","2009","12","01","14:00"," ","0,60","","-0,50","","92,00","","33,00","","24,00","","","","99,60","","","","","","ND"
"2009-12-01 15:00","2009","12","01","15:00"," ","1,50","","-1,20","","82,00","","34,00","","24,00","","","","99,63","","","","","","ND"
