"Nom de la Station","GJOA HAVEN CLIMATE"
"Province","NUNAVUT"
"Latitude","68,64"
"Longitude","-95,85"
"Altitude","42,30"
"Identification Climat","2302340"
"Identification OMM","71363"
"Identification TC","ZHK"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2005-01-01 00:00","2005","01","01","00:00"," ","-30,00","","-33,00","","75,00","","","M","","M","","","101,20","","","","","","ND"
"2005-01-01 01:00","2005","01","01","01:00"," ","-30,20","","-33,20","","75,00","","","M","","M","","","101,22","","","","","","ND"
"2005-01-01 02:00","2005","01","01","02:00"," ","-29,60","","-32,50","","76,00","","","M","","M","","","101,22","","","","","","ND"
"2005-01-01 03:00","2005","01","01","03:00"," ","-28,70","","-31,50","","77,00","","","M","","M","","","101,18","","","","","","ND"
"2005-01-01 04:00","2005","01","01","04:00"," ","-29,10","","-32,00","","76,00","","","M","","M","","","101,16","","","","","","ND"
"2005-01-01 05:00","2005","01","01","05:00"," ","-29,70","","-32,70","","75,00","","","M","","M","","","101,18","","","","","","ND"
"2005-01-01 06:00","2005","01","01","06:00"," ","-30,40","","-33,40","","75,00","","","M","","M","","","101,17","","","","","","ND"
"2005-01-01 07:00","2005","01","01","07:00"," ","-30,30","","-33,40","","74,00","","","M","","M","","","101,21","","","","","","ND"
"2005-01-01 08:00","2005","01","01","08:00"," ","-30,90","","-34,10","","73,00","","","M","","M","","","101,16","","","","","","ND"
"2005-01-01 09:00","2005","01","01","09:00"," ","-31,60","","-34,80","","73,00","","","M","","M","","","101,16","","","","","","ND"
