"Nom de la Station","NORTH BAY A"
"Province","ONTARIO"
"Latitude","46,36"
"Longitude","-79,42"
"Altitude","370,30"
"Identification Climat","6085700"
"Identification OMM","71731"
"Identification TC","YYB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1989-10-01 00:00","1989","10","01","00:00"," ","8,60","","0,60","","57,00","","18,00","","6,00","","24,10","","97,58","","","","","","Dégagé"
"1989-10-01 01:00","1989","10","01","01:00"," ","9,50","","2,10","","60,00","","18,00","","15,00","","24,10","","97,55","","","","","","Dégagé"
"1989-10-01 02:00","1989","10","01","02:00"," ","8,20","","3,60","","73,00","","17,00","","9,00","","24,10","","97,51","","","","","","Dégagé"
"1989-10-01 03:00","1989","10","01","03:00"," ","8,20","","4,90","","79,00","","17,00","","11,00","","24,10","","97,48","","","","","","Dégagé"
"1989-10-01 04:00","1989","10","01","04:00"," ","8,30","","5,50","","83,00","","18,00","","9,00","","24,10","","97,51","","","","","","Dégagé"
"1989-10-01 05:00","1989","10","01","05:00"," ","7,60","","5,20","","85,00","","18,00","","13,00","","24,10","","97,51","","","","","","Dégagé"
"1989-10-01 06:00","1989","10","01","06:00"," ","7,20","","5,60","","89,00","","16,00","","7,00","","24,10","","97,51","","","","","","Dégagé"
"1989-10-01 07:00","1989","10","01","07:00"," ","7,60","","5,90","","89,00","","16,00","","11,00","","24,10","","97,48","","","","","","Dégagé"
"1989-10-01 08:00","1989","10","01","08:00"," ","9,80","","6,90","","82,00","","18,00","","13,00","","24,10","","97,45","","","","","","Généralement dégagé"
"1989-10-01 09:00","1989","10","01","09:00"," ","12,20","","6,20","","67,00","","18,00","","9,00","","24,10","","97,42","","","","","","Généralement dégagé"
"1989-10-01 10:00","1989","10","01","10:00"," ","14,00","","6,10","","59,00","","21,00","","19,00","","24,10","","97,38","","","","","","Généralement dégagé"
"1989-10-01 11:00","1989","10","01","11:00"," ","16,00","","6,90","","55,00","","21,00","","19,00","","24,10","","97,35","","","","","","Généralement dégagé"
"1989-10-01 12:00","1989","10","01","12:00"," ","17,50","","7,90","","53,00","","21,00","","19,00","","24,10","","97,32","","","","","","Généralement dégagé"
"1989-10-01 13:00","1989","10","01","13:00"," ","18,40","","7,60","","49,00","","23,00","","20,00","","24,10","","97,29","","","","","","Généralement dégagé"
"1989-10-01 14:00","1989","10","01","14:00"," ","20,20","","7,30","","43,00","","23,00","","15,00","","24,10","","97,15","","","","","","Généralement dégagé"
"1989-10-01 15:00","1989","10","01","15:00"," ","20,20","","5,70","","39,00","","22,00","","20,00","","24,10","","97,09","","","","","","Généralement dégagé"
"1989-10-01 16:00","1989","10","01","16:00"," ","21,00","","4,30","","33,00","","22,00","","15,00","","24,10","","97,02","","","","","","Généralement dégagé"
"1989-10-01 17:00","1989","10","01","17:00"," ","19,80","","4,00","","35,00","","21,00","","11,00","","24,10","","96,99","","","","","","Généralement dégagé"
"1989-10-01 18:00","1989","10","01","18:00"," ","18,20","","5,20","","42,00","","18,00","","11,00","","24,10","","96,96","","","","","","Dégagé"
"1989-10-01 19:00","1989","10","01","19:00"," ","16,50","","5,60","","49,00","","17,00","","15,00","","24,10","","96,99","","","","","","Dégagé"
"1989-10-01 20:00","1989","10","01","20:00"," ","15,80","","10,70","","72,00","","18,00","","15,00","","19,30","","96,99","","","","","","Dégagé"
"1989-10-01 21:00","1989","10","01","21:00"," ","15,30","","11,30","","77,00","","17,00","","22,00","","8,00","","96,96","","","","","","Brume sèche"
"1989-10-01 22:00","1989","10","01","22:00"," ","14,40","","11,30","","82,00","","17,00","","19,00","","6,40","","96,93","","","","","","Brume sèche"
"1989-10-01 23:00","1989","10","01","23:00"," ","14,10","","11,10","","82,00","","17,00","","11,00","","8,00","","96,89","","","","","","Brume sèche"
"1989-10-02 00:00","1989","10","02","00:00"," ","14,10","","11,00","","82,00","","19,00","","13,00","","8,00","","96,86","","","","","","Brume sèche"
"1989-10-02 01:00","1989","10","02","01:00"," ","14,30","","11,30","","82,00","","18,00","","15,00","","8,00","","96,80","","","","","","Brume sèche"
"1989-10-02 02:00","1989","10","02","02:00"," ","14,00","","11,50","","85,00","","14,00","","11,00","","8,00","","96,73","","","","","","Brouillard"
"1989-10-02 03:00","1989","10","02","03:00"," ","14,30","","11,70","","85,00","","15,00","","11,00","","12,90","","96,63","","","","","","Nuageux"
"1989-10-02 04:00","1989","10","02","04:00"," ","14,40","","12,00","","86,00","","16,00","","15,00","","16,10","","96,53","","","","","","Nuageux"
"1989-10-02 05:00","1989","10","02","05:00"," ","14,70","","12,00","","84,00","","17,00","","19,00","","16,10","","96,44","","","","","","Nuageux"
"1989-10-02 06:00","1989","10","02","06:00"," ","14,90","","12,60","","86,00","","17,00","","13,00","","24,10","","96,40","","","","","","Nuageux"
"1989-10-02 07:00","1989","10","02","07:00"," ","14,30","","13,30","","94,00","","17,00","","17,00","","16,10","","96,34","","","","","","Nuageux"
"1989-10-02 08:00","1989","10","02","08:00"," ","14,50","","13,70","","95,00","","16,00","","11,00","","11,30","","96,27","","","","","","Nuageux"
"1989-10-02 09:00","1989","10","02","09:00"," ","14,60","","13,70","","94,00","","17,00","","17,00","","16,10","","96,21","","","","","","Nuageux"
"1989-10-02 10:00","1989","10","02","10:00"," ","14,60","","14,10","","97,00","","17,00","","19,00","","16,10","","96,14","","","","","","Nuageux"
"1989-10-02 11:00","1989","10","02","11:00"," ","14,60","","14,10","","97,00","","17,00","","13,00","","3,20","","96,04","","","","","","Pluie,Bruine,Brouillard"
"1989-10-02 12:00","1989","10","02","12:00"," ","14,80","","14,40","","98,00","","18,00","","19,00","","1,20","","95,98","","","","","","Bruine,Brouillard"
"1989-10-02 13:00","1989","10","02","13:00"," ","15,00","","14,70","","98,00","","20,00","","22,00","","0,80","","95,95","","","","","","Bruine,Brouillard"
"1989-10-02 14:00","1989","10","02","14:00"," ","15,30","","14,90","","98,00","","22,00","","17,00","","8,00","","95,91","","","","","","Brouillard"
"1989-10-02 15:00","1989","10","02","15:00"," ","15,40","","14,90","","97,00","","22,00","","22,00","","2,40","","95,85","","","","","","Pluie,Brouillard"
"1989-10-02 16:00","1989","10","02","16:00"," ","15,00","","14,90","","99,00","","25,00","","26,00","","2,40","","95,88","","","","","","Brouillard"
"1989-10-02 17:00","1989","10","02","17:00"," ","14,60","","13,90","","95,00","","25,00","","24,00","","8,00","","95,91","","","","","","Brouillard"
"1989-10-02 18:00","1989","10","02","18:00"," ","13,90","","12,90","","94,00","","24,00","","22,00","","8,00","","95,98","","","","","","Brouillard"
"1989-10-02 19:00","1989","10","02","19:00"," ","11,40","","10,30","","93,00","","25,00","","24,00","","8,00","","96,14","","","","","","Brouillard"
"1989-10-02 20:00","1989","10","02","20:00"," ","9,60","","7,10","","84,00","","30,00","","31,00","","19,30","","96,34","","","","","","Nuageux"
"1989-10-02 21:00","1989","10","02","21:00"," ","7,80","","5,00","","83,00","","29,00","","26,00","","12,90","","96,44","","","","","","Bruine"
"1989-10-02 22:00","1989","10","02","22:00"," ","5,40","","2,30","","80,00","","31,00","","26,00","","16,10","","96,60","","","","","","Bruine"
"1989-10-02 23:00","1989","10","02","23:00"," ","3,80","","-0,40","","74,00","","31,00","","26,00","","24,10","","96,70","","","","","","Généralement dégagé"
"1989-10-03 00:00","1989","10","03","00:00"," ","1,90","","-1,80","","77,00","","30,00","","15,00","","24,10","","96,76","","","","","","Dégagé"
"1989-10-03 01:00","1989","10","03","01:00"," ","1,10","","-2,20","","78,00","","29,00","","11,00","","24,10","","96,80","","","","","","Dégagé"
"1989-10-03 02:00","1989","10","03","02:00"," ","0,30","","-2,70","","80,00","","29,00","","11,00","","24,10","","96,86","","","","","","Dégagé"
"1989-10-03 03:00","1989","10","03","03:00"," ","-0,30","","-2,90","","82,00","","28,00","","11,00","","24,10","","96,86","","","","-4,00","","Dégagé"
"1989-10-03 04:00","1989","10","03","04:00"," ","0,20","","-2,60","","81,00","","28,00","","11,00","","24,10","","96,89","","","","","","Généralement dégagé"
"1989-10-03 05:00","1989","10","03","05:00"," ","-0,10","","-2,90","","81,00","","27,00","","11,00","","24,10","","96,93","","","","-4,00","","Généralement dégagé"
"1989-10-03 06:00","1989","10","03","06:00"," ","-0,50","","-3,10","","82,00","","27,00","","17,00","","24,10","","96,96","","","","-5,00","","Généralement dégagé"
"1989-10-03 07:00","1989","10","03","07:00"," ","-0,90","","-3,80","","81,00","","28,00","","15,00","","24,10","","96,93","","","","-6,00","","Dégagé"
"1989-10-03 08:00","1989","10","03","08:00"," ","-0,20","","-4,30","","74,00","","28,00","","19,00","","25,00","","96,96","","","","-5,00","","Généralement dégagé"
"1989-10-03 09:00","1989","10","03","09:00"," ","1,20","","-4,90","","64,00","","29,00","","22,00","","25,00","","96,96","","","","","","Généralement dégagé"
"1989-10-03 10:00","1989","10","03","10:00"," ","2,20","","-7,50","","48,00","","29,00","","26,00","","25,00","","96,96","","","","","","Généralement dégagé"
"1989-10-03 11:00","1989","10","03","11:00"," ","2,80","","-8,50","","43,00","","28,00","","30,00","","25,00","","96,89","","","","","","Généralement dégagé"
"1989-10-03 12:00","1989","10","03","12:00"," ","3,70","","-8,40","","41,00","","27,00","","33,00","","25,00","","96,86","","","","","","Généralement dégagé"
"1989-10-03 13:00","1989","10","03","13:00"," ","4,60","","-8,90","","37,00","","27,00","","30,00","","25,00","","96,80","","","","","","Généralement dégagé"
"1989-10-03 14:00","1989","10","03","14:00"," ","5,00","","-9,40","","34,00","","27,00","","24,00","","25,00","","96,70","","","","","","Généralement dégagé"
"1989-10-03 15:00","1989","10","03","15:00"," ","4,50","","-10,20","","33,00","","29,00","","30,00","","25,00","","96,70","","","","","","Généralement nuageux"
"1989-10-03 16:00","1989","10","03","16:00"," ","4,20","","-9,90","","35,00","","28,00","","26,00","","25,00","","96,66","","","","","","Généralement nuageux"
"1989-10-03 17:00","1989","10","03","17:00"," ","3,60","","-8,80","","40,00","","28,00","","28,00","","25,00","","96,70","","","","","","Généralement nuageux"
"1989-10-03 18:00","1989","10","03","18:00"," ","3,00","","-7,40","","46,00","","27,00","","30,00","","25,00","","96,70","","","","","","Généralement nuageux"
"1989-10-03 19:00","1989","10","03","19:00"," ","2,00","","-6,90","","52,00","","27,00","","22,00","","24,10","","96,73","","","","","","Généralement nuageux"
"1989-10-03 20:00","1989","10","03","20:00"," ","2,00","","-6,70","","52,00","","27,00","","26,00","","24,10","","96,76","","","","","","Généralement nuageux"
"1989-10-03 21:00","1989","10","03","21:00"," ","1,40","","-6,60","","55,00","","28,00","","20,00","","24,10","","96,76","","","","","","Averses de neige"
"1989-10-03 22:00","1989","10","03","22:00"," ","0,70","","-6,00","","61,00","","27,00","","19,00","","24,10","","96,76","","","","","","Nuageux"
"1989-10-03 23:00","1989","10","03","23:00"," ","1,00","","-6,60","","57,00","","27,00","","19,00","","24,10","","96,73","","","","","","Nuageux"
"1989-10-04 00:00","1989","10","04","00:00"," ","1,00","","-6,50","","57,00","","28,00","","22,00","","24,10","","96,73","","","","","","Nuageux"
"1989-10-04 01:00","1989","10","04","01:00"," ","-0,60","","-5,90","","67,00","","27,00","","15,00","","24,10","","96,73","","","","-5,00","","Dégagé"
"1989-10-04 02:00","1989","10","04","02:00"," ","-1,00","","-6,40","","67,00","","28,00","","17,00","","24,10","","96,76","","","","-6,00","","Dégagé"
"1989-10-04 03:00","1989","10","04","03:00"," ","-1,00","","-6,60","","66,00","","27,00","","9,00","","24,10","","96,80","","","","-4,00","","Généralement dégagé"
"1989-10-04 04:00","1989","10","04","04:00"," ","-1,80","","-6,70","","69,00","","27,00","","11,00","","24,10","","96,76","","","","-6,00","","Généralement dégagé"
