"Nom de la Station","NAPPAN AUTO"
"Province","NOVA SCOTIA"
"Latitude","45,76"
"Longitude","-64,24"
"Altitude","19,80"
"Identification Climat","8203702"
"Identification OMM","71311"
"Identification TC","XNP"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2013-02-01 00:00","2013","02","01","00:00"," ","2,30","","-2,90","","68,00","","23,00","","30,00","","","","98,41","","","","","","ND"
"2013-02-01 01:00","2013","02","01","01:00"," ","2,00","","-5,70","","57,00","","24,00","","41,00","","","","98,50","","","","","","ND"
"2013-02-01 02:00","2013","02","01","02:00"," ","1,20","","-6,30","","57,00","","24,00","","39,00","","","","98,63","","","","","","ND"
"2013-02-01 03:00","2013","02","01","03:00"," ","0,70","","-6,80","","57,00","","23,00","","39,00","","","","98,70","","","","","","ND"
"2013-02-01 04:00","2013","02","01","04:00"," ","-0,20","","-8,70","","53,00","","23,00","","39,00","","","","98,81","","","","-8,00","","ND"
"2013-02-01 05:00","2013","02","01","05:00"," ","-1,50","","-9,30","","55,00","","25,00","","32,00","","","","98,92","","","","-9,00","","ND"
"2013-02-01 06:00","2013","02","01","06:00"," ","-2,20","","-10,90","","51,00","","25,00","","33,00","","","","99,05","","","","-10,00","","ND"
"2013-02-01 07:00","2013","02","01","07:00"," ","-2,80","","-12,30","","48,00","","24,00","","44,00","","","","99,14","","","","-11,00","","ND"
"2013-02-01 08:00","2013","02","01","08:00"," ","-3,10","","-12,80","","47,00","","24,00","","46,00","","","","99,26","","","","-12,00","","ND"
"2013-02-01 09:00","2013","02","01","09:00"," ","-3,30","","-12,30","","50,00","","24,00","","44,00","","","","99,37","","","","-12,00","","ND"
"2013-02-01 10:00","2013","02","01","10:00"," ","-2,90","","-12,20","","49,00","","24,00","","41,00","","","","99,45","","","","-11,00","","ND"
"2013-02-01 11:00","2013","02","01","11:00"," ","-2,80","","-12,20","","48,00","","24,00","","44,00","","","","99,52","","","","-11,00","","ND"
"2013-02-01 12:00","2013","02","01","12:00"," ","-2,70","","-13,20","","44,00","","24,00","","35,00","","","","99,59","","","","-11,00","","ND"
"2013-02-01 13:00","2013","02","01","13:00"," ","-2,20","","-12,70","","44,00","","23,00","","37,00","","","","99,59","","","","-10,00","","ND"
"2013-02-01 14:00","2013","02","01","14:00"," ","-2,10","","-13,10","","43,00","","23,00","","35,00","","","","99,66","","","","-10,00","","ND"
"2013-02-01 15:00","2013","02","01","15:00"," ","-2,10","","-12,40","","45,00","","23,00","","33,00","","","","99,76","","","","-10,00","","ND"
"2013-02-01 16:00","2013","02","01","16:00"," ","-2,60","","-13,10","","44,00","","25,00","","28,00","","","","99,91","","","","-10,00","","ND"
"2013-02-01 17:00","2013","02","01","17:00"," ","-4,00","","-12,40","","52,00","","28,00","","24,00","","","","100,05","","","","-11,00","","ND"
"2013-02-01 18:00","2013","02","01","18:00"," ","-5,10","","-12,80","","55,00","","28,00","","22,00","","","","100,21","","","","-12,00","","ND"
"2013-02-01 19:00","2013","02","01","19:00"," ","-7,30","","-13,20","","63,00","","31,00","","13,00","","","","100,29","","","","-13,00","","ND"
"2013-02-01 20:00","2013","02","01","20:00"," ","-7,50","","-14,40","","58,00","","30,00","","19,00","","","","100,45","","","","-15,00","","ND"
"2013-02-01 21:00","2013","02","01","21:00"," ","-8,20","","-14,10","","62,00","","30,00","","20,00","","","","100,59","","","","-16,00","","ND"
"2013-02-01 22:00","2013","02","01","22:00"," ","-8,40","","-14,90","","59,00","","29,00","","19,00","","","","100,69","","","","-16,00","","ND"
"2013-02-01 23:00","2013","02","01","23:00"," ","-8,80","","-15,50","","58,00","","30,00","","19,00","","","","100,73","","","","-16,00","","ND"
"2013-02-02 00:00","2013","02","02","00:00"," ","-10,10","","-16,10","","61,00","","31,00","","20,00","","","","100,74","","","","-18,00","","ND"
"2013-02-02 01:00","2013","02","02","01:00"," ","-10,70","","-17,00","","60,00","","32,00","","20,00","","","","100,70","","","","-19,00","","ND"
"2013-02-02 02:00","2013","02","02","02:00"," ","-11,60","","-16,90","","65,00","","32,00","","13,00","","","","100,85","","","","-18,00","","ND"
"2013-02-02 03:00","2013","02","02","03:00"," ","-11,90","","-17,50","","63,00","","31,00","","26,00","","","","100,94","","","","-21,00","","ND"
"2013-02-02 04:00","2013","02","02","04:00"," ","-12,20","","-17,30","","66,00","","30,00","","20,00","","","","101,01","","","","-21,00","","ND"
"2013-02-02 05:00","2013","02","02","05:00"," ","-12,50","","-17,70","","65,00","","30,00","","24,00","","","","101,13","","","","-22,00","","ND"
"2013-02-02 06:00","2013","02","02","06:00"," ","-13,00","","-18,50","","63,00","","30,00","","22,00","","","","101,25","","","","-22,00","","ND"
"2013-02-02 07:00","2013","02","02","07:00"," ","-13,50","","-18,70","","65,00","","30,00","","17,00","","","","101,34","","","","-22,00","","ND"
"2013-02-02 08:00","2013","02","02","08:00"," ","-13,60","","-18,90","","64,00","","30,00","","22,00","","","","101,40","","","","-23,00","","ND"
"2013-02-02 09:00","2013","02","02","09:00"," ","-13,20","","-19,10","","61,00","","30,00","","22,00","","","","101,51","","","","-22,00","","ND"
"2013-02-02 10:00","2013","02","02","10:00"," ","-12,10","","-18,90","","57,00","","29,00","","19,00","","","","101,53","","","","-20,00","","ND"
"2013-02-02 11:00","2013","02","02","11:00"," ","-11,50","","-19,50","","52,00","","27,00","","17,00","","","","101,57","","","","-19,00","","ND"
"2013-02-02 12:00","2013","02","02","12:00"," ","-11,00","","-19,30","","50,00","","26,00","","19,00","","","","101,55","","","","-19,00","","ND"
"2013-02-02 13:00","2013","02","02","13:00"," ","-9,90","","-19,30","","46,00","","23,00","","20,00","","","","101,51","","","","-18,00","","ND"
"2013-02-02 14:00","2013","02","02","14:00"," ","-9,30","","-18,00","","49,00","","25,00","","20,00","","","","101,49","","","","-17,00","","ND"
"2013-02-02 15:00","2013","02","02","15:00"," ","-8,30","","-16,30","","52,00","","24,00","","19,00","","","","101,49","","","","-16,00","","ND"
