"Nom de la Station","CHARLO AUTO"
"Province","NEW BRUNSWICK"
"Latitude","47,99"
"Longitude","-66,33"
"Altitude","42,00"
"Identification Climat","8100885"
"Identification OMM","71315"
"Identification TC","ZCR"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2004-12-01 00:00","2004","12","01","00:00"," ","-2,30","","-5,80","","77,00","","27,00","","9,00","","","M","101,51","","","","-6,00","","ND"
"2004-12-01 01:00","2004","12","01","01:00"," ","-4,70","","-6,80","","85,00","","29,00","","13,00","","","M","101,42","","","","-10,00","","ND"
"2004-12-01 02:00","2004","12","01","02:00"," ","-5,30","","-6,70","","90,00","","21,00","","2,00","","","M","101,41","","","","-6,00","","ND"
"2004-12-01 03:00","2004","12","01","03:00"," ","-6,60","","-7,40","","94,00","","20,00","","6,00","","","M","101,39","","","","-10,00","","ND"
"2004-12-01 04:00","2004","12","01","04:00"," ","-7,90","","-8,90","","93,00","","19,00","","4,00","","","M","101,32","","","","-10,00","","ND"
"2004-12-01 05:00","2004","12","01","05:00"," ","-7,70","","-8,70","","93,00","","20,00","","6,00","","","M","101,28","","","","-11,00","","ND"
"2004-12-01 06:00","2004","12","01","06:00"," ","-8,90","","-9,80","","93,00","","25,00","","4,00","","","M","101,23","","","","-11,00","","ND"
"2004-12-01 07:00","2004","12","01","07:00"," ","-8,50","","-9,30","","94,00","","21,00","","11,00","","","M","101,19","","","","-14,00","","ND"
"2004-12-01 08:00","2004","12","01","08:00"," ","-6,80","","-7,60","","94,00","","17,00","","2,00","","","M","101,11","","","","-8,00","","ND"
"2004-12-01 09:00","2004","12","01","09:00"," ","-5,60","","-6,40","","94,00","","0,00","","0,00","","","M","101,04","","","","","","ND"
