"Nom de la Station","DEBERT"
"Province","NOVA SCOTIA"
"Latitude","45,42"
"Longitude","-63,47"
"Altitude","37,50"
"Identification Climat","8201390"
"Identification OMM","71317"
"Identification TC","ZDB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2013-01-01 00:00","2013","01","01","00:00"," ","-9,10","","-11,90","","80,00","","26,00","","17,00","","","","99,68","","","","-16,00","","ND"
"2013-01-01 01:00","2013","01","01","01:00"," ","-8,90","","-11,90","","79,00","","28,00","","19,00","","","","99,58","","","","-16,00","","ND"
"2013-01-01 02:00","2013","01","01","02:00"," ","-8,40","","-11,90","","76,00","","28,00","","24,00","","","","99,56","","","","-17,00","","ND"
"2013-01-01 03:00","2013","01","01","03:00"," ","-8,60","","-12,40","","74,00","","28,00","","19,00","","","","99,56","","","","-16,00","","ND"
"2013-01-01 04:00","2013","01","01","04:00"," ","-9,80","","-12,80","","79,00","","30,00","","7,00","","","","99,53","","","","-14,00","","ND"
"2013-01-01 05:00","2013","01","01","05:00"," ","-10,60","","-12,60","","85,00","","33,00","","2,00","","","","99,48","","","","-12,00","","ND"
"2013-01-01 06:00","2013","01","01","06:00"," ","-8,40","","-10,60","","84,00","","17,00","","7,00","","","","99,43","","","","-12,00","","ND"
"2013-01-01 07:00","2013","01","01","07:00"," ","-8,00","","-9,40","","90,00","","36,00","","2,00","","","","99,39","","","","-9,00","","ND"
"2013-01-01 08:00","2013","01","01","08:00"," ","-8,10","","-9,20","","92,00","","5,00","","6,00","","","","99,32","","","","-11,00","","ND"
"2013-01-01 09:00","2013","01","01","09:00"," ","-7,40","","-8,50","","92,00","","6,00","","2,00","","","","99,31","","","","-8,00","","ND"
"2013-01-01 10:00","2013","01","01","10:00"," ","-6,60","","-7,80","","91,00","","6,00","","4,00","","","","99,29","","","","-9,00","","ND"
"2013-01-01 11:00","2013","01","01","11:00"," ","-5,70","","-7,30","","88,00","","28,00","","2,00","","","","99,26","","","","-7,00","","ND"
"2013-01-01 12:00","2013","01","01","12:00"," ","-4,40","","-6,50","","85,00","","0,00","","0,00","","","","99,18","","","","","","ND"
"2013-01-01 13:00","2013","01","01","13:00"," ","-1,90","","-4,70","","81,00","","26,00","","19,00","","","","99,10","","","","-7,00","","ND"
"2013-01-01 14:00","2013","01","01","14:00"," ","-2,10","","-6,80","","70,00","","29,00","","20,00","","","","99,11","","","","-8,00","","ND"
"2013-01-01 15:00","2013","01","01","15:00"," ","-3,00","","-7,80","","69,00","","29,00","","20,00","","","","99,13","","","","-9,00","","ND"
"2013-01-01 16:00","2013","01","01","16:00"," ","-3,50","","-6,70","","78,00","","29,00","","19,00","","","","99,14","","","","-9,00","","ND"
"2013-01-01 17:00","2013","01","01","17:00"," ","-3,90","","-8,30","","71,00","","28,00","","20,00","","","","99,15","","","","-10,00","","ND"
"2013-01-01 18:00","2013","01","01","18:00"," ","-5,10","","-7,60","","83,00","","31,00","","20,00","","","","99,22","","","","-12,00","","ND"
"2013-01-01 19:00","2013","01","01","19:00"," ","-6,20","","-11,30","","67,00","","31,00","","24,00","","","","99,26","","","","-14,00","","ND"
"2013-01-01 20:00","2013","01","01","20:00"," ","-7,60","","-12,00","","71,00","","31,00","","17,00","","","","99,32","","","","-14,00","","ND"
"2013-01-01 21:00","2013","01","01","21:00"," ","-8,50","","-14,00","","64,00","","31,00","","24,00","","","","99,36","","","","-17,00","","ND"
"2013-01-01 22:00","2013","01","01","22:00"," ","-9,60","","-14,50","","67,00","","32,00","","17,00","","","","99,40","","","","-17,00","","ND"
"2013-01-01 23:00","2013","01","01","23:00"," ","-10,50","","-14,30","","74,00","","31,00","","11,00","","","","99,44","","","","-16,00","","ND"
"2013-01-02 00:00","2013","01","02","00:00"," ","-11,30","","-15,40","","72,00","","28,00","","19,00","","","","99,43","","","","-19,00","","ND"
"2013-01-02 01:00","2013","01","02","01:00"," ","-12,30","","-16,90","","69,00","","30,00","","22,00","","","","99,39","","","","-21,00","","ND"
"2013-01-02 02:00","2013","01","02","02:00"," ","-13,20","","-16,40","","77,00","","27,00","","22,00","","","","99,39","","","","-22,00","","ND"
"2013-01-02 03:00","2013","01","02","03:00"," ","-14,00","","-16,60","","81,00","","29,00","","17,00","","","","99,46","","","","-22,00","","ND"
"2013-01-02 04:00","2013","01","02","04:00"," ","-14,80","","-17,70","","79,00","","27,00","","19,00","","","","99,48","","","","-24,00","","ND"
"2013-01-02 05:00","2013","01","02","05:00"," ","-15,30","","-18,60","","76,00","","27,00","","19,00","","","","99,49","","","","-24,00","","ND"
"2013-01-02 06:00","2013","01","02","06:00"," ","-15,50","","-19,10","","74,00","","27,00","","19,00","","","","99,47","","","","-25,00","","ND"
"2013-01-02 07:00","2013","01","02","07:00"," ","-16,40","","-19,60","","76,00","","28,00","","9,00","","","","99,50","","","","-22,00","","ND"
"2013-01-02 08:00","2013","01","02","08:00"," ","-16,60","","-20,20","","74,00","","27,00","","17,00","","","","99,49","","","","-25,00","","ND"
"2013-01-02 09:00","2013","01","02","09:00"," ","-15,80","","-20,40","","68,00","","27,00","","15,00","","","","99,48","","","","-24,00","","ND"
"2013-01-02 10:00","2013","01","02","10:00"," ","-14,80","","-20,10","","64,00","","28,00","","17,00","","","","99,50","","","","-23,00","","ND"
"2013-01-02 11:00","2013","01","02","11:00"," ","-13,90","","-19,70","","61,00","","27,00","","24,00","","","","99,44","","","","-24,00","","ND"
"2013-01-02 12:00","2013","01","02","12:00"," ","-13,00","","-19,20","","60,00","","27,00","","28,00","","","","99,32","","","","-23,00","","ND"
"2013-01-02 13:00","2013","01","02","13:00"," ","-12,10","","-19,00","","56,00","","28,00","","26,00","","","","99,21","","","","-22,00","","ND"
"2013-01-02 14:00","2013","01","02","14:00"," ","-11,80","","-18,10","","59,00","","27,00","","30,00","","","","99,21","","","","-22,00","","ND"
"2013-01-02 15:00","2013","01","02","15:00"," ","-11,70","","-17,90","","60,00","","27,00","","24,00","","","","99,20","","","","-21,00","","ND"
"2013-01-02 16:00","2013","01","02","16:00"," ","-11,90","","-17,80","","61,00","","28,00","","24,00","","","","99,27","","","","-21,00","","ND"
"2013-01-02 17:00","2013","01","02","17:00"," ","-12,70","","-18,00","","64,00","","29,00","","20,00","","","","99,40","","","","-21,00","","ND"
"2013-01-02 18:00","2013","01","02","18:00"," ","-13,30","","-18,40","","65,00","","28,00","","20,00","","","","99,51","","","","-22,00","","ND"
"2013-01-02 19:00","2013","01","02","19:00"," ","-13,50","","-18,50","","66,00","","29,00","","20,00","","","","99,58","","","","-22,00","","ND"
"2013-01-02 20:00","2013","01","02","20:00"," ","-13,40","","-18,00","","68,00","","29,00","","15,00","","","","99,70","","","","-21,00","","ND"
"2013-01-02 21:00","2013","01","02","21:00"," ","-13,40","","-17,80","","69,00","","29,00","","17,00","","","","99,76","","","","-21,00","","ND"
"2013-01-02 22:00","2013","01","02","22:00"," ","-13,60","","-17,70","","71,00","","28,00","","15,00","","","","99,81","","","","-21,00","","ND"
"2013-01-02 23:00","2013","01","02","23:00"," ","-13,80","","-17,70","","72,00","","29,00","","15,00","","","","99,86","","","","-21,00","","ND"
"2013-01-03 00:00","2013","01","03","00:00"," ","-13,70","","-17,40","","74,00","","28,00","","13,00","","","","99,95","","","","-21,00","","ND"
"2013-01-03 01:00","2013","01","03","01:00"," ","-13,80","","-17,60","","73,00","","29,00","","13,00","","","","100,01","","","","-21,00","","ND"
"2013-01-03 02:00","2013","01","03","02:00"," ","-13,60","","-17,50","","72,00","","28,00","","9,00","","","","100,07","","","","-19,00","","ND"
"2013-01-03 03:00","2013","01","03","03:00"," ","-13,50","","-17,70","","71,00","","30,00","","11,00","","","","100,15","","","","-20,00","","ND"
"2013-01-03 04:00","2013","01","03","04:00"," ","-13,90","","-17,70","","73,00","","28,00","","9,00","","","","100,23","","","","-20,00","","ND"
"2013-01-03 05:00","2013","01","03","05:00"," ","-14,00","","-18,40","","69,00","","32,00","","11,00","","","","100,30","","","","-20,00","","ND"
"2013-01-03 06:00","2013","01","03","06:00"," ","-14,40","","-18,80","","69,00","","32,00","","13,00","","","","100,38","","","","-22,00","","ND"
"2013-01-03 07:00","2013","01","03","07:00"," ","-14,90","","-19,00","","71,00","","29,00","","9,00","","","","100,48","","","","-21,00","","ND"
"2013-01-03 08:00","2013","01","03","08:00"," ","-15,80","","-19,70","","72,00","","32,00","","9,00","","","","100,48","","","","-22,00","","ND"
"2013-01-03 09:00","2013","01","03","09:00"," ","-15,00","","-19,40","","69,00","","29,00","","13,00","","","","100,59","","","","-22,00","","ND"
"2013-01-03 10:00","2013","01","03","10:00"," ","-13,80","","-19,10","","64,00","","30,00","","17,00","","","","100,64","","","","-22,00","","ND"
"2013-01-03 11:00","2013","01","03","11:00"," ","-12,70","","-18,70","","61,00","","33,00","","15,00","","","","100,60","","","","-20,00","","ND"
"2013-01-03 12:00","2013","01","03","12:00"," ","-11,90","","-18,10","","60,00","","33,00","","15,00","","","","100,52","","","","-19,00","","ND"
"2013-01-03 13:00","2013","01","03","13:00"," ","-10,70","","-17,30","","58,00","","30,00","","9,00","","","","100,45","","","","-16,00","","ND"
"2013-01-03 14:00","2013","01","03","14:00"," ","-9,80","","-16,70","","57,00","","29,00","","11,00","","","","100,40","","","","-15,00","","ND"
"2013-01-03 15:00","2013","01","03","15:00"," ","-9,60","","-16,50","","57,00","","29,00","","9,00","","","","100,42","","","","-14,00","","ND"
"2013-01-03 16:00","2013","01","03","16:00"," ","-10,00","","-15,20","","66,00","","26,00","","13,00","","","","100,45","","","","-16,00","","ND"
"2013-01-03 17:00","2013","01","03","17:00"," ","-10,20","","-15,40","","66,00","","31,00","","9,00","","","","100,44","","","","-15,00","","ND"
"2013-01-03 18:00","2013","01","03","18:00"," ","-11,90","","-16,40","","69,00","","1,00","","11,00","","","","100,44","","","","-18,00","","ND"
"2013-01-03 19:00","2013","01","03","19:00"," ","-12,80","","-16,80","","72,00","","35,00","","6,00","","","","100,46","","","","-17,00","","ND"
"2013-01-03 20:00","2013","01","03","20:00"," ","-13,00","","-17,50","","69,00","","35,00","","6,00","","","","100,50","","","","-17,00","","ND"
"2013-01-03 21:00","2013","01","03","21:00"," ","-13,70","","-17,70","","72,00","","31,00","","6,00","","","","100,50","","","","-18,00","","ND"
"2013-01-03 22:00","2013","01","03","22:00"," ","-14,10","","-18,40","","70,00","","32,00","","9,00","","","","100,46","","","","-20,00","","ND"
"2013-01-03 23:00","2013","01","03","23:00"," ","-14,70","","-18,60","","72,00","","30,00","","7,00","","","","100,48","","","","-19,00","","ND"
"2013-01-04 00:00","2013","01","04","00:00"," ","-15,40","","-18,90","","75,00","","26,00","","7,00","","","","100,44","","","","-20,00","","ND"
"2013-01-04 01:00","2013","01","04","01:00"," ","-16,30","","-19,50","","76,00","","22,00","","6,00","","","","100,39","","","","-21,00","","ND"
"2013-01-04 02:00","2013","01","04","02:00"," ","-15,00","","-18,60","","74,00","","34,00","","6,00","","","","100,40","","","","-19,00","","ND"
"2013-01-04 03:00","2013","01","04","03:00"," ","-14,40","","-18,30","","72,00","","29,00","","7,00","","","","100,44","","","","-19,00","","ND"
"2013-01-04 04:00","2013","01","04","04:00"," ","-14,80","","-18,30","","75,00","","31,00","","7,00","","","","100,49","","","","-20,00","","ND"
"2013-01-04 05:00","2013","01","04","05:00"," ","-16,90","","-19,80","","78,00","","28,00","","4,00","","","","100,48","","","","-20,00","","ND"
"2013-01-04 06:00","2013","01","04","06:00"," ","-19,20","","-21,20","","84,00","","1,00","","2,00","","","","100,46","","","","-21,00","","ND"
"2013-01-04 07:00","2013","01","04","07:00"," ","-20,60","","-22,50","","85,00","","35,00","","2,00","","","","100,55","","","","-22,00","","ND"
"2013-01-04 08:00","2013","01","04","08:00"," ","-21,40","","-23,40","","84,00","","5,00","","6,00","","","","100,59","","","","-27,00","","ND"
"2013-01-04 09:00","2013","01","04","09:00"," ","-18,30","","-20,50","","83,00","","2,00","","6,00","","","","100,58","","","","-23,00","","ND"
"2013-01-04 10:00","2013","01","04","10:00"," ","-15,30","","-18,40","","77,00","","8,00","","2,00","","","","100,63","","","","-17,00","","ND"
"2013-01-04 11:00","2013","01","04","11:00"," ","-12,20","","-16,40","","71,00","","0,00","","0,00","","","","100,58","","","","","","ND"
"2013-01-04 12:00","2013","01","04","12:00"," ","-9,20","","-12,50","","77,00","","15,00","","6,00","","","","100,41","","","","-13,00","","ND"
"2013-01-04 13:00","2013","01","04","13:00"," ","-7,40","","-11,20","","74,00","","7,00","","4,00","","","","100,24","","","","-9,00","","ND"
"2013-01-04 14:00","2013","01","04","14:00"," ","-5,50","","-9,90","","71,00","","0,00","","0,00","","","","100,15","","","","","","ND"
"2013-01-04 15:00","2013","01","04","15:00"," ","-5,10","","-7,70","","82,00","","21,00","","4,00","","","","100,09","","","","-7,00","","ND"
"2013-01-04 16:00","2013","01","04","16:00"," ","-5,40","","-7,00","","88,00","","8,00","","2,00","","","","100,04","","","","-6,00","","ND"
"2013-01-04 17:00","2013","01","04","17:00"," ","-5,50","","-6,70","","91,00","","3,00","","4,00","","","","100,01","","","","-7,00","","ND"
"2013-01-04 18:00","2013","01","04","18:00"," ","-5,70","","-6,70","","93,00","","10,00","","6,00","","","","100,01","","","","-9,00","","ND"
"2013-01-04 19:00","2013","01","04","19:00"," ","-5,50","","-6,40","","93,00","","12,00","","4,00","","","","99,97","","","","-7,00","","ND"
"2013-01-04 20:00","2013","01","04","20:00"," ","-5,10","","-5,90","","94,00","","2,00","","2,00","","","","99,92","","","","-6,00","","ND"
"2013-01-04 21:00","2013","01","04","21:00"," ","-4,60","","-5,40","","94,00","","7,00","","2,00","","","","99,86","","","","-5,00","","ND"
"2013-01-04 22:00","2013","01","04","22:00"," ","-4,70","","-5,50","","94,00","","32,00","","2,00","","","","99,82","","","","-6,00","","ND"
"2013-01-04 23:00","2013","01","04","23:00"," ","-5,70","","-6,50","","94,00","","2,00","","6,00","","","","99,82","","","","-9,00","","ND"
"2013-01-05 00:00","2013","01","05","00:00"," ","-7,00","","-7,80","","94,00","","0,00","","0,00","","","","99,80","","","","","","ND"
"2013-01-05 01:00","2013","01","05","01:00"," ","-7,10","","-7,90","","94,00","","35,00","","2,00","","","","99,76","","","","-8,00","","ND"
"2013-01-05 02:00","2013","01","05","02:00"," ","-9,60","","-10,50","","93,00","","28,00","","6,00","","","","99,80","","","","-13,00","","ND"
"2013-01-05 03:00","2013","01","05","03:00"," ","-10,20","","-11,50","","90,00","","31,00","","6,00","","","","99,84","","","","-14,00","","ND"
"2013-01-05 04:00","2013","01","05","04:00"," ","-11,60","","-12,80","","91,00","","1,00","","4,00","","","","99,83","","","","-14,00","","ND"
"2013-01-05 05:00","2013","01","05","05:00"," ","-12,10","","-13,40","","90,00","","16,00","","2,00","","","","99,83","","","","-13,00","","ND"
"2013-01-05 06:00","2013","01","05","06:00"," ","-11,90","","-13,10","","91,00","","30,00","","2,00","","","","99,85","","","","-13,00","","ND"
"2013-01-05 07:00","2013","01","05","07:00"," ","-9,60","","-10,60","","92,00","","2,00","","2,00","","","","99,89","","","","-11,00","","ND"
"2013-01-05 08:00","2013","01","05","08:00"," ","-8,70","","-9,70","","92,00","","0,00","","0,00","","","","99,92","","","","","","ND"
"2013-01-05 09:00","2013","01","05","09:00"," ","-7,80","","-8,70","","93,00","","6,00","","2,00","","","","99,90","","","","-9,00","","ND"
"2013-01-05 10:00","2013","01","05","10:00"," ","-5,50","","-6,20","","95,00","","19,00","","4,00","","","","99,91","","","","-7,00","","ND"
"2013-01-05 11:00","2013","01","05","11:00"," ","-3,60","","-4,30","","95,00","","30,00","","2,00","","","","99,97","","","","-4,00","","ND"
"2013-01-05 12:00","2013","01","05","12:00"," ","-3,70","","-6,00","","84,00","","35,00","","24,00","","","","100,16","","","","-11,00","","ND"
"2013-01-05 13:00","2013","01","05","13:00"," ","-4,60","","-6,70","","85,00","","35,00","","19,00","","","","100,33","","","","-11,00","","ND"
"2013-01-05 14:00","2013","01","05","14:00"," ","-5,30","","-6,90","","88,00","","34,00","","24,00","","","","100,51","","","","-13,00","","ND"
"2013-01-05 15:00","2013","01","05","15:00"," ","-6,10","","-9,00","","80,00","","35,00","","22,00","","","","100,71","","","","-13,00","","ND"
"2013-01-05 16:00","2013","01","05","16:00"," ","-6,50","","-10,70","","72,00","","33,00","","19,00","","","","100,90","","","","-13,00","","ND"
"2013-01-05 17:00","2013","01","05","17:00"," ","-6,80","","-12,20","","65,00","","31,00","","19,00","","","","101,11","","","","-14,00","","ND"
"2013-01-05 18:00","2013","01","05","18:00"," ","-8,30","","-14,50","","61,00","","31,00","","15,00","","","","101,26","","","","-15,00","","ND"
"2013-01-05 19:00","2013","01","05","19:00"," ","-9,40","","-14,60","","66,00","","31,00","","13,00","","","","101,39","","","","-15,00","","ND"
"2013-01-05 20:00","2013","01","05","20:00"," ","-10,50","","-15,90","","64,00","","31,00","","15,00","","","","101,49","","","","-17,00","","ND"
