"Nom de la Station","QIKIQTARJUAQ CLIMATE"
"Province","NUNAVUT"
"Latitude","67,55"
"Longitude","-64,03"
"Altitude","6,40"
"Identification Climat","2400573"
"Identification OMM","71357"
"Identification TC","ZVM"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2011-11-01 00:00","2011","11","01","00:00"," ","-2,60","","-3,60","","93,00","","18,00","","4,00","","","","101,73","","","","-4,00","","ND"
"2011-11-01 01:00","2011","11","01","01:00"," ","-2,70","","-3,80","","92,00","","17,00","","2,00","","","","101,73","","","","-3,00","","ND"
"2011-11-01 02:00","2011","11","01","02:00"," ","-3,20","","-4,90","","88,00","","13,00","","4,00","","","","101,72","","","","-5,00","","ND"
"2011-11-01 03:00","2011","11","01","03:00"," ","-3,20","","-5,10","","87,00","","2,00","","2,00","","","","101,71","","","","-4,00","","ND"
"2011-11-01 04:00","2011","11","01","04:00"," ","-3,70","","-5,40","","88,00","","16,00","","4,00","","","","101,71","","","","-5,00","","ND"
"2011-11-01 05:00","2011","11","01","05:00"," ","-3,60","","-5,10","","89,00","","16,00","","2,00","","","","101,70","","","","-4,00","","ND"
"2011-11-01 06:00","2011","11","01","06:00"," ","-4,30","","-6,00","","88,00","","14,00","","4,00","","","","101,68","","","","-6,00","","ND"
"2011-11-01 07:00","2011","11","01","07:00"," ","-3,90","","-5,40","","89,00","","16,00","","2,00","","","","101,67","","","","-5,00","","ND"
"2011-11-01 08:00","2011","11","01","08:00"," ","-3,20","","-4,90","","88,00","","20,00","","2,00","","","","101,65","","","","-4,00","","ND"
"2011-11-01 09:00","2011","11","01","09:00"," ","-2,80","","-5,90","","79,00","","0,00","","0,00","","","","101,63","","","","","","ND"
"2011-11-01 10:00","2011","11","01","10:00"," ","-4,40","","-7,80","","77,00","","17,00","","4,00","","","","101,60","","","","-6,00","","ND"
"2011-11-01 11:00","2011","11","01","11:00"," ","-3,60","","-6,40","","81,00","","14,00","","2,00","","","","101,57","","","","-4,00","","ND"
"2011-11-01 12:00","2011","11","01","12:00"," ","-4,20","","-8,00","","75,00","","0,00","","0,00","","","","101,56","","","","","","ND"
"2011-11-01 13:00","2011","11","01","13:00"," ","-3,70","","-8,70","","68,00","","18,00","","20,00","","","","101,55","","","","-10,00","","ND"
"2011-11-01 14:00","2011","11","01","14:00"," ","-5,30","","-10,20","","68,00","","19,00","","11,00","","","","101,56","","","","-10,00","","ND"
"2011-11-01 15:00","2011","11","01","15:00"," ","-5,60","","-10,40","","69,00","","17,00","","4,00","","","","101,55","","","","-7,00","","ND"
"2011-11-01 16:00","2011","11","01","16:00"," ","-4,40","","-10,10","","64,00","","19,00","","20,00","","","","101,53","","","","-11,00","","ND"
"2011-11-01 17:00","2011","11","01","17:00"," ","-3,70","","-9,60","","64,00","","18,00","","19,00","","","","101,52","","","","-10,00","","ND"
"2011-11-01 18:00","2011","11","01","18:00"," ","-3,90","","-9,50","","65,00","","16,00","","15,00","","","","101,51","","","","-9,00","","ND"
"2011-11-01 19:00","2011","11","01","19:00"," ","-4,00","","-10,10","","62,00","","8,00","","4,00","","","","101,50","","","","-6,00","","ND"
"2011-11-01 20:00","2011","11","01","20:00"," ","-4,60","","-9,80","","67,00","","11,00","","4,00","","","","101,48","","","","-6,00","","ND"
"2011-11-01 21:00","2011","11","01","21:00"," ","-4,60","","-9,40","","69,00","","15,00","","2,00","","","","101,46","","","","-5,00","","ND"
"2011-11-01 22:00","2011","11","01","22:00"," ","-4,50","","-9,30","","69,00","","16,00","","4,00","","","","101,44","","","","-6,00","","ND"
"2011-11-01 23:00","2011","11","01","23:00"," ","-4,70","","-8,80","","73,00","","18,00","","6,00","","","","101,43","","","","-7,00","","ND"
"2011-11-02 00:00","2011","11","02","00:00"," ","-4,50","","-9,10","","70,00","","14,00","","6,00","","","","101,41","","","","-7,00","","ND"
"2011-11-02 01:00","2011","11","02","01:00"," ","-4,60","","-8,70","","73,00","","13,00","","4,00","","","","101,40","","","","-6,00","","ND"
"2011-11-02 02:00","2011","11","02","02:00"," ","-4,80","","-8,20","","77,00","","14,00","","6,00","","","","101,40","","","","-8,00","","ND"
"2011-11-02 03:00","2011","11","02","03:00"," ","-3,60","","-6,90","","78,00","","22,00","","2,00","","","","101,41","","","","-4,00","","ND"
"2011-11-02 04:00","2011","11","02","04:00"," ","-4,00","","-6,90","","80,00","","14,00","","6,00","","","","101,40","","","","-7,00","","ND"
"2011-11-02 05:00","2011","11","02","05:00"," ","-3,90","","-7,20","","78,00","","17,00","","17,00","","","","101,40","","","","-10,00","","ND"
"2011-11-02 06:00","2011","11","02","06:00"," ","-4,20","","-7,20","","80,00","","18,00","","19,00","","","","101,42","","","","-10,00","","ND"
"2011-11-02 07:00","2011","11","02","07:00"," ","-5,50","","-8,20","","81,00","","14,00","","6,00","","","","101,41","","","","-8,00","","ND"
"2011-11-02 08:00","2011","11","02","08:00"," ","-6,70","","-9,90","","78,00","","14,00","","9,00","","","","101,40","","","","-11,00","","ND"
"2011-11-02 09:00","2011","11","02","09:00"," ","-5,40","","-8,90","","76,00","","19,00","","13,00","","","","101,38","","","","-11,00","","ND"
"2011-11-02 10:00","2011","11","02","10:00"," ","-4,70","","-8,60","","74,00","","18,00","","6,00","","","","101,38","","","","-7,00","","ND"
"2011-11-02 11:00","2011","11","02","11:00"," ","-4,30","","-8,50","","72,00","","8,00","","2,00","","","","101,37","","","","-5,00","","ND"
"2011-11-02 12:00","2011","11","02","12:00"," ","-6,90","","-9,90","","79,00","","17,00","","7,00","","","","101,36","","","","-10,00","","ND"
"2011-11-02 13:00","2011","11","02","13:00"," ","-6,30","","-10,30","","73,00","","16,00","","9,00","","","","101,36","","","","-11,00","","ND"
"2011-11-02 14:00","2011","11","02","14:00"," ","-7,20","","-10,30","","78,00","","13,00","","7,00","","","","101,36","","","","-11,00","","ND"
"2011-11-02 15:00","2011","11","02","15:00"," ","-7,80","","-11,00","","78,00","","14,00","","6,00","","","","101,37","","","","-11,00","","ND"
"2011-11-02 16:00","2011","11","02","16:00"," ","-6,30","","-9,40","","79,00","","16,00","","4,00","","","","101,39","","","","-8,00","","ND"
"2011-11-02 17:00","2011","11","02","17:00"," ","-5,80","","-8,90","","79,00","","13,00","","2,00","","","","101,40","","","","-7,00","","ND"
"2011-11-02 18:00","2011","11","02","18:00"," ","-5,70","","-8,30","","82,00","","16,00","","4,00","","","","101,38","","","","-8,00","","ND"
"2011-11-02 19:00","2011","11","02","19:00"," ","-5,20","","-7,70","","83,00","","13,00","","4,00","","","","101,38","","","","-7,00","","ND"
"2011-11-02 20:00","2011","11","02","20:00"," ","-5,20","","-8,10","","80,00","","15,00","","4,00","","","","101,36","","","","-7,00","","ND"
"2011-11-02 21:00","2011","11","02","21:00"," ","-5,40","","-7,70","","84,00","","12,00","","6,00","","","","101,34","","","","-8,00","","ND"
"2011-11-02 22:00","2011","11","02","22:00"," ","-5,20","","-7,40","","84,00","","13,00","","7,00","","","","101,33","","","","-8,00","","ND"
"2011-11-02 23:00","2011","11","02","23:00"," ","-5,60","","-7,60","","86,00","","15,00","","4,00","","","","101,32","","","","-7,00","","ND"
