"Nom de la Station","KINGSTON A"
"Province","ONTARIO"
"Latitude","44,22"
"Longitude","-76,60"
"Altitude","92,40"
"Identification Climat","6104146"
"Identification OMM",""
"Identification TC","YGK"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1981-02-01 00:00","1981","02","01","00:00"," ","","","","","","","16,00","","15,00","","","","","","","","","","ND"
"1981-02-01 01:00","1981","02","01","01:00"," ","","","","","","","14,00","","11,00","","","","","","","","","","ND"
"1981-02-01 02:00","1981","02","01","02:00"," ","","","","","","","14,00","","13,00","","","","","","","","","","ND"
"1981-02-01 03:00","1981","02","01","03:00"," ","","","","","","","12,00","","13,00","","","","","","","","","","ND"
"1981-02-01 04:00","1981","02","01","04:00"," ","","","","","","","11,00","","11,00","","","","","","","","","","ND"
"1981-02-01 05:00","1981","02","01","05:00"," ","","","","","","","10,00","","15,00","","","","","","","","","","ND"
"1981-02-01 06:00","1981","02","01","06:00"," ","-8,00","","-10,50","","82,00","","12,00","","17,00","","24,10","","100,71","","","","-15,00","","Généralement dégagé"
"1981-02-01 07:00","1981","02","01","07:00"," ","-8,00","","-12,10","","72,00","","10,00","","17,00","","24,10","","100,51","","","","-15,00","","Généralement nuageux"
"1981-02-01 08:00","1981","02","01","08:00"," ","-7,50","","-11,00","","76,00","","12,00","","15,00","","24,10","","100,41","","","","-14,00","","Généralement nuageux"
"1981-02-01 09:00","1981","02","01","09:00"," ","-4,40","","-8,30","","74,00","","17,00","","28,00","","24,10","","100,41","","","","-12,00","","Nuageux"
"1981-02-01 10:00","1981","02","01","10:00"," ","-3,40","","-7,00","","76,00","","17,00","","28,00","","24,10","","100,24","","","","-11,00","","Nuageux"
"1981-02-01 11:00","1981","02","01","11:00"," ","-2,70","","-6,70","","74,00","","16,00","","33,00","","24,10","","100,04","","","","-10,00","","Nuageux"
"1981-02-01 12:00","1981","02","01","12:00"," ","-2,30","","-6,70","","71,00","","17,00","","31,00","","24,10","","99,91","","","","-10,00","","Nuageux"
"1981-02-01 13:00","1981","02","01","13:00"," ","-0,80","","-4,40","","76,00","","19,00","","28,00","","9,70","","99,81","","","","-7,00","","Pluie verglaçante,Granules de glace ou grésil"
"1981-02-01 14:00","1981","02","01","14:00"," ","-0,30","","-3,50","","79,00","","18,00","","37,00","","9,70","","99,57","","","","-8,00","","Pluie verglaçante,Granules de glace ou grésil"
"1981-02-01 15:00","1981","02","01","15:00"," ","-0,30","","-2,70","","83,00","","18,00","","41,00","","9,70","","99,50","","","","-8,00","","Neige,Granules de glace ou grésil"
"1981-02-01 16:00","1981","02","01","16:00"," ","0,00","","-2,60","","83,00","","18,00","","37,00","","8,00","","99,44","","","","-7,00","","Pluie verglaçante,Granules de glace ou grésil,Brouillard"
"1981-02-01 17:00","1981","02","01","17:00"," ","0,00","","-1,30","","91,00","","18,00","","37,00","","2,40","","99,47","","","","-7,00","","Granules de glace ou grésil,Neige roulée,Brouillard"
"1981-02-01 18:00","1981","02","01","18:00"," ","0,50","","-1,40","","87,00","","18,00","","37,00","","11,30","","99,37","","","","","","Pluie verglaçante,Granules de glace ou grésil"
"1981-02-01 19:00","1981","02","01","19:00"," ","0,70","","-0,90","","89,00","","18,00","","33,00","","16,10","","99,34","","","","","","Pluie"
"1981-02-01 20:00","1981","02","01","20:00"," ","1,20","","-0,50","","88,00","","19,00","","37,00","","9,70","","99,34","","","","","","Pluie,Granules de glace ou grésil,Brouillard"
"1981-02-01 21:00","1981","02","01","21:00"," ","1,80","","0,60","","92,00","","19,00","","37,00","","9,70","","99,20","","","","","","Pluie,Brouillard"
"1981-02-01 22:00","1981","02","01","22:00"," ","2,00","","0,60","","90,00","","19,00","","28,00","","9,70","","99,20","","","","","","Pluie,Brouillard"
"1981-02-01 23:00","1981","02","01","23:00"," ","","","","","","","19,00","","26,00","","","","","","","","","","ND"
"1981-02-02 00:00","1981","02","02","00:00"," ","","","","","","","18,00","","31,00","","","","","","","","","","ND"
"1981-02-02 01:00","1981","02","02","01:00"," ","","","","","","","18,00","","26,00","","","","","","","","","","ND"
"1981-02-02 02:00","1981","02","02","02:00"," ","","","","","","","18,00","","28,00","","","","","","","","","","ND"
"1981-02-02 03:00","1981","02","02","03:00"," ","","","","","","","18,00","","30,00","","","","","","","","","","ND"
"1981-02-02 04:00","1981","02","02","04:00"," ","","","","","","","18,00","","28,00","","","","","","","","","","ND"
"1981-02-02 05:00","1981","02","02","05:00"," ","","","","","","","19,00","","22,00","","","","","","","","","","ND"
"1981-02-02 06:00","1981","02","02","06:00"," ","2,40","","2,00","","97,00","","25,00","","19,00","","8,00","","98,60","","","","","","Pluie,Brouillard"
"1981-02-02 07:00","1981","02","02","07:00"," ","2,20","","1,50","","95,00","","24,00","","13,00","","6,40","","98,56","","","","","","Pluie,Brouillard"
"1981-02-02 08:00","1981","02","02","08:00"," ","1,70","","1,00","","95,00","","24,00","","24,00","","8,00","","98,56","","","","","","Pluie,Brouillard"
"1981-02-02 09:00","1981","02","02","09:00"," ","0,50","","0,00","","96,00","","24,00","","20,00","","2,00","","98,56","","","","","","Neige,Brouillard"
"1981-02-02 10:00","1981","02","02","10:00"," ","0,20","","0,20","","100,00","","23,00","","22,00","","1,20","","98,56","","","","","","Neige,Brouillard"
"1981-02-02 11:00","1981","02","02","11:00"," ","0,20","","0,00","","98,00","","25,00","","20,00","","4,00","","98,53","","","","","","Neige,Brouillard"
"1981-02-02 12:00","1981","02","02","12:00"," ","0,40","","-0,30","","95,00","","25,00","","20,00","","8,00","","98,50","","","","","","Brouillard"
"1981-02-02 13:00","1981","02","02","13:00"," ","0,20","","-1,30","","90,00","","25,00","","28,00","","8,00","","98,43","","","","","","Brouillard"
"1981-02-02 14:00","1981","02","02","14:00"," ","0,20","","-1,30","","90,00","","25,00","","37,00","","4,80","","98,46","","","","","","Neige,Poudrerie élevée"
"1981-02-02 15:00","1981","02","02","15:00"," ","-1,80","","-4,50","","82,00","","24,00","","37,00","","4,80","","98,56","","","","-10,00","","Neige,Poudrerie élevée"
