"Nom de la Station","EDMUNDSTON"
"Province","NEW BRUNSWICK"
"Latitude","47,42"
"Longitude","-68,32"
"Altitude","154,20"
"Identification Climat","8101303"
"Identification OMM","71590"
"Identification TC","ERM"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-12-01 00:00","2009","12","01","00:00"," ","-3,00","","-5,10","","85,00","","32,00","","4,00","","","","98,41","","","","-5,00","","ND"
"2009-12-01 01:00","2009","12","01","01:00"," ","-3,20","","-5,40","","85,00","","31,00","","6,00","","","","98,43","","","","-6,00","","ND"
"2009-12-01 02:00","2009","12","01","02:00"," ","-3,70","","-6,10","","83,00","","32,00","","4,00","","","","98,51","","","","-5,00","","ND"
"2009-12-01 03:00","2009","12","01","03:00"," ","-6,30","","-7,80","","89,00","","33,00","","4,00","","","","98,52","","","","-8,00","","ND"
"2009-12-01 04:00","2009","12","01","04:00"," ","-8,40","","-9,70","","90,00","","4,00","","2,00","","","","98,60","","","","-9,00","","ND"
"2009-12-01 05:00","2009","12","01","05:00"," ","-9,00","","-10,00","","92,00","","32,00","","4,00","","","","98,61","","","","-11,00","","ND"
"2009-12-01 06:00","2009","12","01","06:00"," ","-9,80","","-10,90","","92,00","","34,00","","2,00","","","","98,64","","","","-11,00","","ND"
"2009-12-01 07:00","2009","12","01","07:00"," ","-8,60","","-9,50","","93,00","","30,00","","4,00","","","","98,65","","","","-11,00","","ND"
"2009-12-01 08:00","2009","12","01","08:00"," ","-8,10","","-9,40","","90,00","","1,00","","2,00","","","","98,68","","","","-9,00","","ND"
"2009-12-01 09:00","2009","12","01","09:00"," ","-7,00","","-8,40","","90,00","","0,00","","0,00","","","","98,76","","","","","","ND"
"2009-12-01 10:00","2009","12","01","10:00"," ","-5,10","","-7,40","","84,00","","0,00","","0,00","","","","98,81","","","","","","ND"
"2009-12-01 11:00","2009","12","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-12-01 12:00","2009","12","01","12:00"," ","-3,20","","-7,80","","70,00","","31,00","","9,00","","","","98,84","","","","-7,00","","ND"
"2009-12-01 13:00","2009","12","01","13:00"," ","-2,80","","-8,30","","66,00","","31,00","","9,00","","","","98,82","","","","-6,00","","ND"
"2009-12-01 14:00","2009","12","01","14:00"," ","-1,80","","-8,40","","61,00","","32,00","","11,00","","","","98,79","","","","-6,00","","ND"
"2009-12-01 15:00","2009","12","01","15:00"," ","-1,60","","-7,90","","62,00","","31,00","","7,00","","","","98,79","","","","-4,00","","ND"
"2009-12-01 16:00","2009","12","01","16:00"," ","-1,90","","-8,10","","63,00","","31,00","","6,00","","","","98,83","","","","-4,00","","ND"
"2009-12-01 17:00","2009","12","01","17:00"," ","-5,40","","-7,60","","84,00","","0,00","","0,00","","","","98,88","","","","","","ND"
"2009-12-01 18:00","2009","12","01","18:00"," ","-6,80","","-7,90","","92,00","","0,00","","0,00","","","","98,90","","","","","","ND"
"2009-12-01 19:00","2009","12","01","19:00"," ","-6,80","","-7,80","","93,00","","0,00","","0,00","","","","98,96","","","","","","ND"
"2009-12-01 20:00","2009","12","01","20:00"," ","-5,30","","-6,90","","88,00","","33,00","","2,00","","","","99,00","","","","-6,00","","ND"
"2009-12-01 21:00","2009","12","01","21:00"," ","-5,00","","-6,50","","89,00","","0,00","","0,00","","","","99,03","","","","","","ND"
"2009-12-01 22:00","2009","12","01","22:00"," ","-5,00","","-6,60","","89,00","","0,00","","0,00","","","","99,05","","","","","","ND"
"2009-12-01 23:00","2009","12","01","23:00"," ","-7,10","","-8,30","","91,00","","0,00","","0,00","","","","99,08","","","","","","ND"
"2009-12-02 00:00","2009","12","02","00:00"," ","-7,50","","-8,30","","94,00","","27,00","","2,00","","","","99,15","","","","-9,00","","ND"
"2009-12-02 01:00","2009","12","02","01:00"," ","-7,50","","-8,50","","93,00","","0,00","","0,00","","","","99,14","","","","","","ND"
"2009-12-02 02:00","2009","12","02","02:00"," ","-9,20","","-10,40","","91,00","","0,00","","0,00","","","","99,21","","","","","","ND"
"2009-12-02 03:00","2009","12","02","03:00"," ","-8,10","","-8,90","","94,00","","23,00","","2,00","","","","99,27","","","","-9,00","","ND"
"2009-12-02 04:00","2009","12","02","04:00"," ","-8,20","","-9,30","","92,00","","0,00","","0,00","","","","99,29","","","","","","ND"
"2009-12-02 05:00","2009","12","02","05:00"," ","-8,90","","-10,00","","92,00","","27,00","","2,00","","","","99,33","","","","-10,00","","ND"
"2009-12-02 06:00","2009","12","02","06:00"," ","-6,80","","-7,70","","93,00","","34,00","","2,00","","","","99,41","","","","-8,00","","ND"
"2009-12-02 07:00","2009","12","02","07:00"," ","-5,50","","-6,40","","93,00","","8,00","","2,00","","","","99,47","","","","-6,00","","ND"
"2009-12-02 08:00","2009","12","02","08:00"," ","-5,50","","-6,50","","93,00","","0,00","","0,00","","","","99,50","","","","","","ND"
"2009-12-02 09:00","2009","12","02","09:00"," ","-6,10","","-7,40","","90,00","","35,00","","2,00","","","","99,65","","","","-7,00","","ND"
"2009-12-02 10:00","2009","12","02","10:00"," ","-3,50","","-4,80","","91,00","","0,00","","0,00","","","","99,72","","","","","","ND"
"2009-12-02 11:00","2009","12","02","11:00"," ","-1,10","","-4,40","","78,00","","30,00","","7,00","","","","99,73","","","","-4,00","","ND"
"2009-12-02 12:00","2009","12","02","12:00"," ","-0,50","","-4,60","","74,00","","30,00","","6,00","","","","99,74","","","","-3,00","","ND"
"2009-12-02 13:00","2009","12","02","13:00"," ","0,10","","-4,60","","71,00","","30,00","","4,00","","","","99,72","","","","","","ND"
"2009-12-02 14:00","2009","12","02","14:00"," ","1,50","","-5,60","","59,00","","31,00","","7,00","","","","99,66","","","","","","ND"
"2009-12-02 15:00","2009","12","02","15:00"," ","2,00","","-5,80","","56,00","","31,00","","4,00","","","","99,61","","","","","","ND"
"2009-12-02 16:00","2009","12","02","16:00"," ","0,70","","-4,00","","71,00","","26,00","","2,00","","","","99,68","","","","","","ND"
"2009-12-02 17:00","2009","12","02","17:00"," ","-0,90","","-3,00","","86,00","","34,00","","2,00","","","","99,73","","","","-2,00","","ND"
"2009-12-02 18:00","2009","12","02","18:00"," ","-2,20","","-3,70","","89,00","","35,00","","2,00","","","","99,72","","","","-3,00","","ND"
"2009-12-02 19:00","2009","12","02","19:00"," ","-4,00","","-5,00","","93,00","","6,00","","2,00","","","","99,72","","","","-5,00","","ND"
"2009-12-02 20:00","2009","12","02","20:00"," ","-2,60","","-3,80","","91,00","","36,00","","4,00","","","","99,67","","","","-4,00","","ND"
"2009-12-02 21:00","2009","12","02","21:00"," ","-2,10","","-3,30","","91,00","","0,00","","0,00","","","","99,62","","","","","","ND"
"2009-12-02 22:00","2009","12","02","22:00"," ","-1,50","","-2,90","","90,00","","0,00","","0,00","","","","99,59","","","","","","ND"
"2009-12-02 23:00","2009","12","02","23:00"," ","-1,00","","-2,40","","90,00","","11,00","","4,00","","","","99,51","","","","-2,00","","ND"
"2009-12-03 00:00","2009","12","03","00:00"," ","-1,60","","-3,30","","88,00","","11,00","","2,00","","","","99,48","","","","-2,00","","ND"
"2009-12-03 01:00","2009","12","03","01:00"," ","-3,60","","-4,50","","93,00","","5,00","","2,00","","","","99,42","","","","-4,00","","ND"
"2009-12-03 02:00","2009","12","03","02:00"," ","-3,00","","-3,80","","94,00","","11,00","","4,00","","","","99,39","","","","-5,00","","ND"
"2009-12-03 03:00","2009","12","03","03:00"," ","-3,30","","-4,20","","93,00","","25,00","","2,00","","","","99,32","","","","-4,00","","ND"
"2009-12-03 04:00","2009","12","03","04:00"," ","-2,20","","-3,10","","94,00","","9,00","","2,00","","","","99,21","","","","-3,00","","ND"
"2009-12-03 05:00","2009","12","03","05:00"," ","-1,80","","-3,00","","91,00","","9,00","","4,00","","","","99,12","","","","-3,00","","ND"
