"Nom de la Station","OTTAWA MACDONALD-CARTIER INT'L  A"
"Province","ONTARIO"
"Latitude","45,32"
"Longitude","-75,67"
"Altitude","114,00"
"Identification Climat","6106000"
"Identification OMM","71628"
"Identification TC","YOW"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1989-06-01 00:00","1989","06","01","00:00"," ","16,90","","16,50","","98,00","","16,00","","4,00","","1,00","","99,87","","","","","","Brouillard"
"1989-06-01 01:00","1989","06","01","01:00"," ","16,70","","16,60","","99,00","","19,00","","2,00","","0,20","","99,87","","","","","","Brouillard"
"1989-06-01 02:00","1989","06","01","02:00"," ","17,00","","16,80","","99,00","","15,00","","4,00","","1,00","","99,80","","","","","","Brouillard"
"1989-06-01 03:00","1989","06","01","03:00"," ","17,10","","16,80","","98,00","","0,00","","0,00","","1,00","","99,74","","","","","","Brouillard"
"1989-06-01 04:00","1989","06","01","04:00"," ","17,10","","16,80","","98,00","","0,00","","0,00","","1,00","","99,70","","","","","","Brouillard"
"1989-06-01 05:00","1989","06","01","05:00"," ","17,10","","16,90","","99,00","","20,00","","4,00","","0,80","","99,70","","","","","","Brouillard"
"1989-06-01 06:00","1989","06","01","06:00"," ","17,60","","17,10","","97,00","","18,00","","4,00","","1,60","","99,70","","","","","","Brouillard"
"1989-06-01 07:00","1989","06","01","07:00"," ","18,60","","18,10","","97,00","","24,00","","7,00","","3,20","","99,74","","","","","","Brouillard"
"1989-06-01 08:00","1989","06","01","08:00"," ","20,00","","18,80","","93,00","","24,00","","7,00","","4,00","","99,80","","27,00","","","","Brouillard"
"1989-06-01 09:00","1989","06","01","09:00"," ","21,50","","19,40","","88,00","","27,00","","4,00","","8,00","","99,74","","29,00","","","","Brume sèche"
