"Nom de la Station","ST. STEPHEN"
"Province","NEW BRUNSWICK"
"Latitude","45,21"
"Longitude","-67,25"
"Altitude","26,10"
"Identification Climat","8104935"
"Identification OMM","71607"
"Identification TC","WSS"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2013-01-01 00:00","2013","01","01","00:00"," ","-9,70","","-10,90","","91,00","","0,00","","0,00","","","","100,13","","","","","","ND"
"2013-01-01 01:00","2013","01","01","01:00"," ","-9,30","","-10,60","","90,00","","0,00","","0,00","","","","100,00","","","","","","ND"
"2013-01-01 02:00","2013","01","01","02:00"," ","-11,00","","-12,20","","91,00","","3,00","","2,00","","","","99,85","","","","-12,00","","ND"
"2013-01-01 03:00","2013","01","01","03:00"," ","-11,20","","-12,10","","93,00","","0,00","","0,00","","","","99,80","","","","","","ND"
"2013-01-01 04:00","2013","01","01","04:00"," ","-10,20","","-11,20","","92,00","","0,00","","0,00","","","","99,72","","","","","","ND"
"2013-01-01 05:00","2013","01","01","05:00"," ","-9,50","","-10,60","","92,00","","0,00","","0,00","","","","99,65","","","","","","ND"
"2013-01-01 06:00","2013","01","01","06:00"," ","-10,40","","-11,50","","92,00","","2,00","","2,00","","","","99,57","","","","-12,00","","ND"
"2013-01-01 07:00","2013","01","01","07:00"," ","-12,80","","-13,60","","94,00","","25,00","","2,00","","","","99,59","","","","-14,00","","ND"
"2013-01-01 08:00","2013","01","01","08:00"," ","-4,70","","-5,60","","93,00","","25,00","","15,00","","","","99,62","","","","-10,00","","ND"
"2013-01-01 09:00","2013","01","01","09:00"," ","-3,50","","-5,60","","85,00","","26,00","","15,00","","","","99,69","","","","-9,00","","ND"
"2013-01-01 10:00","2013","01","01","10:00"," ","-2,40","","-5,70","","78,00","","25,00","","15,00","","","","99,72","","","","-7,00","","ND"
"2013-01-01 11:00","2013","01","01","11:00"," ","-1,80","","-6,90","","68,00","","27,00","","17,00","","","","99,74","","","","-7,00","","ND"
"2013-01-01 12:00","2013","01","01","12:00"," ","-1,70","","-10,90","","49,00","","27,00","","24,00","","","","99,74","","","","-8,00","","ND"
"2013-01-01 13:00","2013","01","01","13:00"," ","-2,60","","-11,30","","51,00","","27,00","","20,00","","","","99,71","","","","-9,00","","ND"
"2013-01-01 14:00","2013","01","01","14:00"," ","-4,20","","-11,60","","56,00","","29,00","","19,00","","","","99,75","","","","-10,00","","ND"
"2013-01-01 15:00","2013","01","01","15:00"," ","-3,90","","-12,90","","50,00","","28,00","","20,00","","","","99,79","","","","-10,00","","ND"
"2013-01-01 16:00","2013","01","01","16:00"," ","-5,70","","-14,50","","50,00","","28,00","","15,00","","","","99,81","","","","-11,00","","ND"
"2013-01-01 17:00","2013","01","01","17:00"," ","-8,30","","-14,80","","59,00","","29,00","","15,00","","","","99,92","","","","-15,00","","ND"
"2013-01-01 18:00","2013","01","01","18:00"," ","-9,40","","-15,80","","60,00","","29,00","","13,00","","","","99,97","","","","-15,00","","ND"
"2013-01-01 19:00","2013","01","01","19:00"," ","-10,60","","-16,30","","63,00","","29,00","","17,00","","","","100,03","","","","-18,00","","ND"
"2013-01-01 20:00","2013","01","01","20:00"," ","-12,20","","-18,10","","61,00","","28,00","","17,00","","","","100,11","","","","-20,00","","ND"
"2013-01-01 21:00","2013","01","01","21:00"," ","-13,20","","-18,20","","66,00","","27,00","","15,00","","","","100,20","","","","-21,00","","ND"
"2013-01-01 22:00","2013","01","01","22:00"," ","-14,00","","-18,40","","69,00","","28,00","","9,00","","","","100,22","","","","-20,00","","ND"
"2013-01-01 23:00","2013","01","01","23:00"," ","-14,50","","-18,90","","69,00","","27,00","","11,00","","","","100,24","","","","-21,00","","ND"
"2013-01-02 00:00","2013","01","02","00:00"," ","-14,70","","-19,00","","70,00","","29,00","","11,00","","","","100,25","","","","-21,00","","ND"
"2013-01-02 01:00","2013","01","02","01:00"," ","-14,80","","-19,30","","69,00","","28,00","","11,00","","","","100,26","","","","-21,00","","ND"
"2013-01-02 02:00","2013","01","02","02:00"," ","-15,30","","-19,50","","70,00","","27,00","","11,00","","","","100,28","","","","-22,00","","ND"
"2013-01-02 03:00","2013","01","02","03:00"," ","-15,40","","-20,00","","68,00","","29,00","","13,00","","","","100,34","","","","-23,00","","ND"
