"Nom de la Station","TERRACE A"
"Province","BRITISH COLUMBIA"
"Latitude","54,47"
"Longitude","-128,58"
"Altitude","217,30"
"Identification Climat","1068130"
"Identification OMM","71951"
"Identification TC","YXT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2004-11-01 00:00","2004","11","01","00:00"," ","2,00","","1,90","","99,00","","10,00","","7,00","","4,80","","98,57","","","","","","Pluie,Brouillard"
"2004-11-01 01:00","2004","11","01","01:00"," ","2,40","","2,40","","100,00","","13,00","","9,00","","4,80","","98,46","","","","","","Pluie,Brouillard"
"2004-11-01 02:00","2004","11","01","02:00"," ","2,50","","2,30","","99,00","","13,00","","13,00","","4,80","","98,34","","","","","","Pluie,Brouillard"
"2004-11-01 03:00","2004","11","01","03:00"," ","2,20","","2,20","","100,00","","13,00","","9,00","","4,80","","98,26","","","","","","Pluie,Brouillard"
"2004-11-01 04:00","2004","11","01","04:00"," ","2,00","","1,90","","99,00","","15,00","","15,00","","4,80","","98,20","","","","","","Pluie,Brouillard"
"2004-11-01 05:00","2004","11","01","05:00"," ","2,20","","1,80","","97,00","","16,00","","32,00","","4,80","","98,17","","","","","","Pluie,Brouillard"
"2004-11-01 06:00","2004","11","01","06:00"," ","1,80","","1,40","","97,00","","15,00","","32,00","","6,40","","98,12","","","","","","Pluie,Brouillard"
"2004-11-01 07:00","2004","11","01","07:00"," ","1,30","","1,20","","99,00","","16,00","","19,00","","4,80","","98,12","","","","","","Pluie,Brouillard"
"2004-11-01 08:00","2004","11","01","08:00"," ","2,50","","2,10","","97,00","","17,00","","20,00","","6,40","","98,06","","","","","","Pluie,Brouillard"
"2004-11-01 09:00","2004","11","01","09:00"," ","1,70","","1,60","","99,00","","16,00","","19,00","","6,40","","98,04","","","","","","Pluie,Brouillard"
"2004-11-01 10:00","2004","11","01","10:00"," ","1,50","","1,50","","100,00","","14,00","","19,00","","6,40","","98,01","","","","","","Pluie,Brouillard"
"2004-11-01 11:00","2004","11","01","11:00"," ","1,50","","1,50","","100,00","","15,00","","22,00","","6,40","","98,04","","","","","","Pluie,Brouillard"
"2004-11-01 12:00","2004","11","01","12:00"," ","2,60","","2,20","","97,00","","17,00","","24,00","","6,40","","97,98","","","","","","Pluie,Brouillard"
"2004-11-01 13:00","2004","11","01","13:00"," ","2,40","","2,10","","98,00","","16,00","","28,00","","8,00","","97,90","","","","","","Pluie,Brouillard"
"2004-11-01 14:00","2004","11","01","14:00"," ","2,90","","2,50","","97,00","","20,00","","15,00","","9,70","","97,98","","","","","","Averses de pluie,Brouillard"
"2004-11-01 15:00","2004","11","01","15:00"," ","2,80","","2,50","","98,00","","17,00","","11,00","","11,30","","97,98","","","","","","Averses de pluie"
"2004-11-01 16:00","2004","11","01","16:00"," ","3,30","","2,70","","96,00","","18,00","","6,00","","19,30","","97,92","","","","","","Averses de pluie"
"2004-11-01 17:00","2004","11","01","17:00"," ","3,40","","2,70","","95,00","","15,00","","24,00","","12,90","","97,92","","","","","","Généralement nuageux"
"2004-11-01 18:00","2004","11","01","18:00"," ","3,80","","3,10","","95,00","","17,00","","26,00","","9,70","","97,90","","","","","","Averses de pluie,Brouillard"
"2004-11-01 19:00","2004","11","01","19:00"," ","3,60","","3,00","","96,00","","17,00","","19,00","","12,90","","97,92","","","","","","Averses de pluie"
"2004-11-01 20:00","2004","11","01","20:00"," ","3,70","","3,10","","96,00","","18,00","","22,00","","8,00","","97,94","","","","","","Averses de pluie,Brouillard"
"2004-11-01 21:00","2004","11","01","21:00"," ","3,50","","2,80","","95,00","","17,00","","20,00","","8,00","","97,96","","","","","","Averses de pluie,Brouillard"
"2004-11-01 22:00","2004","11","01","22:00"," ","3,60","","3,10","","97,00","","18,00","","20,00","","9,70","","98,00","","","","","","Averses de pluie,Brouillard"
"2004-11-01 23:00","2004","11","01","23:00"," ","3,60","","2,90","","95,00","","19,00","","24,00","","12,90","","98,02","","","","","","Averses de pluie"
"2004-11-02 00:00","2004","11","02","00:00"," ","3,50","","2,80","","95,00","","19,00","","24,00","","12,90","","98,07","","","","","","Averses de pluie"
"2004-11-02 01:00","2004","11","02","01:00"," ","3,70","","3,20","","97,00","","17,00","","32,00","","12,90","","98,10","","","","","","Averses de pluie modérées"
