"Nom de la Station","YORKTON"
"Province","SASKATCHEWAN"
"Latitude","51,26"
"Longitude","-102,46"
"Altitude","498,30"
"Identification Climat","4019085"
"Identification OMM","71138"
"Identification TC","YQV"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2011-01-01 00:00","2011","01","01","00:00"," ","-22,30","","-27,70","","61,00","","32,00","","17,00","","15,00","","95,69","","","","-33,00","",""
"2011-01-01 01:00","2011","01","01","01:00"," ","-22,90","","-28,20","","62,00","","32,00","","11,00","","15,00","","95,61","","","","-31,00","",""
"2011-01-01 02:00","2011","01","01","02:00"," ","-23,50","","-29,00","","61,00","","31,00","","9,00","","15,00","","95,55","","","","-31,00","",""
"2011-01-01 03:00","2011","01","01","03:00"," ","-23,50","","-29,40","","58,00","","32,00","","9,00","","15,00","","95,56","","","","-31,00","",""
"2011-01-01 04:00","2011","01","01","04:00"," ","-23,50","","-29,10","","60,00","","33,00","","11,00","","15,00","","95,54","","","","-32,00","",""
"2011-01-01 05:00","2011","01","01","05:00"," ","-20,90","","-26,00","","64,00","","32,00","","17,00","","15,00","","95,49","","","","-31,00","",""
"2011-01-01 06:00","2011","01","01","06:00"," ","-21,60","","-26,30","","66,00","","33,00","","15,00","","15,00","","95,42","","","","-31,00","",""
"2011-01-01 07:00","2011","01","01","07:00"," ","-21,90","","-26,10","","69,00","","32,00","","9,00","","15,00","","95,39","","","","-29,00","",""
"2011-01-01 08:00","2011","01","01","08:00"," ","-22,50","","-26,00","","73,00","","32,00","","9,00","","15,00","","95,37","","","","-30,00","",""
"2011-01-01 09:00","2011","01","01","09:00"," ","-22,40","","-25,70","","74,00","","30,00","","13,00","","15,00","","95,36","","","","-31,00","",""
