"Nom de la Station","NORTH BATTLEFORD RCS"
"Province","SASKATCHEWAN"
"Latitude","52,77"
"Longitude","-108,26"
"Altitude","548,00"
"Identification Climat","4045607"
"Identification OMM","71754"
"Identification TC","PQW"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2013-01-01 00:00","2013","01","01","00:00"," ","-12,50","","-14,90","","82,00","","18,00","","6,00","","","","94,91","","","","-16,00","","ND"
"2013-01-01 01:00","2013","01","01","01:00"," ","-11,70","","-14,10","","82,00","","16,00","","7,00","","","","94,84","","","","-16,00","","ND"
"2013-01-01 02:00","2013","01","01","02:00"," ","-10,80","","-13,10","","83,00","","19,00","","6,00","","","","94,78","","","","-14,00","","ND"
"2013-01-01 03:00","2013","01","01","03:00"," ","-8,90","","-11,00","","85,00","","26,00","","4,00","","","","94,74","","","","-11,00","","ND"
"2013-01-01 04:00","2013","01","01","04:00"," ","-6,30","","-9,10","","80,00","","28,00","","9,00","","","","94,75","","","","-11,00","","ND"
"2013-01-01 05:00","2013","01","01","05:00"," ","-3,60","","-7,20","","76,00","","27,00","","17,00","","","","94,71","","","","-9,00","","ND"
"2013-01-01 06:00","2013","01","01","06:00"," ","-1,40","","-5,50","","74,00","","29,00","","19,00","","","","94,68","","","","-7,00","","ND"
"2013-01-01 07:00","2013","01","01","07:00"," ","-0,60","","-4,90","","73,00","","29,00","","20,00","","","","94,64","","","","-6,00","","ND"
"2013-01-01 08:00","2013","01","01","08:00"," ","-0,20","","-5,00","","70,00","","29,00","","26,00","","","","94,63","","","","-6,00","","ND"
"2013-01-01 09:00","2013","01","01","09:00"," ","-0,50","","-4,60","","74,00","","30,00","","32,00","","","","94,64","","","","-7,00","","ND"
"2013-01-01 10:00","2013","01","01","10:00"," ","-1,00","","-4,70","","76,00","","30,00","","28,00","","","","94,69","","","","-8,00","","ND"
"2013-01-01 11:00","2013","01","01","11:00"," ","-0,40","","-4,10","","76,00","","30,00","","30,00","","","","94,73","","","","-7,00","","ND"
"2013-01-01 12:00","2013","01","01","12:00"," ","-0,70","","-4,40","","76,00","","30,00","","35,00","","","","94,73","","","","-8,00","","ND"
"2013-01-01 13:00","2013","01","01","13:00"," ","-0,70","","-4,50","","75,00","","30,00","","32,00","","","","94,75","","","","-8,00","","ND"
"2013-01-01 14:00","2013","01","01","14:00"," ","-0,80","","-4,20","","78,00","","30,00","","32,00","","","","94,72","","","","-8,00","","ND"
"2013-01-01 15:00","2013","01","01","15:00"," ","-0,60","","-3,90","","78,00","","31,00","","32,00","","","","94,76","","","","-7,00","","ND"
"2013-01-01 16:00","2013","01","01","16:00"," ","-0,80","","-4,10","","78,00","","30,00","","26,00","","","","94,85","","","","-7,00","","ND"
"2013-01-01 17:00","2013","01","01","17:00"," ","-0,70","","-4,40","","76,00","","31,00","","28,00","","","","94,95","","","","-7,00","","ND"
"2013-01-01 18:00","2013","01","01","18:00"," ","-2,20","","-5,50","","78,00","","30,00","","32,00","","","","95,01","","","","-10,00","","ND"
"2013-01-01 19:00","2013","01","01","19:00"," ","-1,40","","-4,80","","78,00","","30,00","","30,00","","","","95,08","","","","-8,00","","ND"
"2013-01-01 20:00","2013","01","01","20:00"," ","-1,70","","-5,20","","77,00","","30,00","","28,00","","","","95,07","","","","-8,00","","ND"
"2013-01-01 21:00","2013","01","01","21:00"," ","-1,60","","-5,40","","75,00","","29,00","","22,00","","","","95,08","","","","-8,00","","ND"
"2013-01-01 22:00","2013","01","01","22:00"," ","-2,20","","-6,20","","74,00","","31,00","","32,00","","","","95,07","","","","-10,00","","ND"
"2013-01-01 23:00","2013","01","01","23:00"," ","-2,60","","-6,70","","73,00","","30,00","","33,00","","","","95,08","","","","-10,00","","ND"
"2013-01-02 00:00","2013","01","02","00:00"," ","-2,80","","-6,70","","74,00","","30,00","","30,00","","","","95,09","","","","-10,00","","ND"
"2013-01-02 01:00","2013","01","02","01:00"," ","-3,50","","-7,40","","74,00","","30,00","","30,00","","","","95,10","","","","-11,00","","ND"
"2013-01-02 02:00","2013","01","02","02:00"," ","-2,90","","-6,60","","76,00","","30,00","","32,00","","","","95,19","","","","-10,00","","ND"
"2013-01-02 03:00","2013","01","02","03:00"," ","-2,30","","-5,90","","76,00","","31,00","","32,00","","","","95,29","","","","-10,00","","ND"
"2013-01-02 04:00","2013","01","02","04:00"," ","-2,60","","-6,70","","73,00","","35,00","","32,00","","","","95,38","","","","-10,00","","ND"
"2013-01-02 05:00","2013","01","02","05:00"," ","-3,90","","-8,00","","73,00","","34,00","","30,00","","","","95,43","","","","-12,00","","ND"
"2013-01-02 06:00","2013","01","02","06:00"," ","-5,40","","-9,20","","75,00","","34,00","","32,00","","","","95,53","","","","-14,00","","ND"
"2013-01-02 07:00","2013","01","02","07:00"," ","-6,60","","-10,40","","74,00","","34,00","","22,00","","","","95,65","","","","-14,00","","ND"
"2013-01-02 08:00","2013","01","02","08:00"," ","-8,10","","-11,30","","78,00","","34,00","","15,00","","","","95,73","","","","-14,00","","ND"
"2013-01-02 09:00","2013","01","02","09:00"," ","-9,70","","-12,70","","79,00","","35,00","","15,00","","","","95,81","","","","-16,00","","ND"
"2013-01-02 10:00","2013","01","02","10:00"," ","-12,10","","-14,60","","82,00","","34,00","","7,00","","","","95,85","","","","-16,00","","ND"
"2013-01-02 11:00","2013","01","02","11:00"," ","-9,60","","-12,50","","79,00","","32,00","","6,00","","","","95,90","","","","-13,00","","ND"
"2013-01-02 12:00","2013","01","02","12:00"," ","-8,40","","-12,40","","73,00","","24,00","","6,00","","","","95,93","","","","-12,00","","ND"
"2013-01-02 13:00","2013","01","02","13:00"," ","-10,50","","-13,50","","79,00","","14,00","","6,00","","","","95,88","","","","-14,00","","ND"
"2013-01-02 14:00","2013","01","02","14:00"," ","-7,20","","-10,50","","77,00","","26,00","","9,00","","","","95,84","","","","-12,00","","ND"
"2013-01-02 15:00","2013","01","02","15:00"," ","-7,70","","-11,10","","77,00","","24,00","","9,00","","","","95,81","","","","-12,00","","ND"
"2013-01-02 16:00","2013","01","02","16:00"," ","-7,20","","-10,50","","77,00","","24,00","","13,00","","","","95,75","","","","-13,00","","ND"
"2013-01-02 17:00","2013","01","02","17:00"," ","-8,40","","-11,00","","81,00","","21,00","","9,00","","","","95,71","","","","-13,00","","ND"
"2013-01-02 18:00","2013","01","02","18:00"," ","-9,10","","-12,30","","78,00","","23,00","","15,00","","","","95,68","","","","-16,00","","ND"
"2013-01-02 19:00","2013","01","02","19:00"," ","-9,50","","-12,20","","81,00","","21,00","","9,00","","","","95,62","","","","-14,00","","ND"
"2013-01-02 20:00","2013","01","02","20:00"," ","-9,60","","-12,30","","81,00","","21,00","","6,00","","","","95,50","","","","-13,00","","ND"
"2013-01-02 21:00","2013","01","02","21:00"," ","-9,40","","-13,40","","73,00","","24,00","","7,00","","","","95,40","","","","-13,00","","ND"
"2013-01-02 22:00","2013","01","02","22:00"," ","-7,50","","-13,20","","64,00","","24,00","","20,00","","","","95,35","","","","-15,00","","ND"
"2013-01-02 23:00","2013","01","02","23:00"," ","-8,30","","-13,90","","64,00","","23,00","","11,00","","","","95,26","","","","-14,00","","ND"
"2013-01-03 00:00","2013","01","03","00:00"," ","-7,40","","-13,80","","60,00","","26,00","","11,00","","","","95,19","","","","-12,00","","ND"
"2013-01-03 01:00","2013","01","03","01:00"," ","-6,90","","-13,20","","61,00","","16,00","","6,00","","","","95,10","","","","-10,00","","ND"
"2013-01-03 02:00","2013","01","03","02:00"," ","-9,70","","-15,00","","65,00","","13,00","","7,00","","","","94,94","","","","-14,00","","ND"
"2013-01-03 03:00","2013","01","03","03:00"," ","-6,70","","-12,70","","62,00","","27,00","","15,00","","","","94,90","","","","-13,00","","ND"
"2013-01-03 04:00","2013","01","03","04:00"," ","-7,50","","-12,70","","66,00","","24,00","","19,00","","","","94,86","","","","-15,00","","ND"
"2013-01-03 05:00","2013","01","03","05:00"," ","-8,10","","-12,90","","68,00","","23,00","","11,00","","","","94,82","","","","-13,00","","ND"
"2013-01-03 06:00","2013","01","03","06:00"," ","-10,70","","-15,40","","68,00","","22,00","","7,00","","","","94,80","","","","-15,00","","ND"
"2013-01-03 07:00","2013","01","03","07:00"," ","-10,40","","-14,80","","70,00","","25,00","","13,00","","","","94,79","","","","-17,00","","ND"
"2013-01-03 08:00","2013","01","03","08:00"," ","-8,50","","-12,90","","70,00","","24,00","","7,00","","","","94,76","","","","-12,00","","ND"
"2013-01-03 09:00","2013","01","03","09:00"," ","-9,90","","-13,20","","77,00","","24,00","","11,00","","","","94,73","","","","-15,00","","ND"
"2013-01-03 10:00","2013","01","03","10:00"," ","-10,10","","-14,60","","70,00","","24,00","","6,00","","","","94,78","","","","-14,00","","ND"
"2013-01-03 11:00","2013","01","03","11:00"," ","-9,90","","-14,20","","71,00","","22,00","","6,00","","","","94,82","","","","-13,00","","ND"
"2013-01-03 12:00","2013","01","03","12:00"," ","-6,20","","-12,10","","63,00","","25,00","","6,00","","","","94,82","","","","-9,00","","ND"
"2013-01-03 13:00","2013","01","03","13:00"," ","-2,90","","-11,10","","53,00","","28,00","","11,00","","","","94,80","","","","-7,00","","ND"
"2013-01-03 14:00","2013","01","03","14:00"," ","0,40","","-10,00","","46,00","","29,00","","17,00","","","","94,78","","","","","","ND"
"2013-01-03 15:00","2013","01","03","15:00"," ","-0,40","","-9,00","","52,00","","31,00","","15,00","","","","94,83","","","","-5,00","","ND"
"2013-01-03 16:00","2013","01","03","16:00"," ","-0,30","","-8,20","","55,00","","27,00","","17,00","","","","94,89","","","","-5,00","","ND"
"2013-01-03 17:00","2013","01","03","17:00"," ","-2,20","","-8,80","","61,00","","27,00","","13,00","","","","94,98","","","","-7,00","","ND"
"2013-01-03 18:00","2013","01","03","18:00"," ","-3,40","","-9,00","","65,00","","27,00","","11,00","","","","95,08","","","","-8,00","","ND"
"2013-01-03 19:00","2013","01","03","19:00"," ","-4,00","","-9,50","","66,00","","28,00","","11,00","","","","95,12","","","","-8,00","","ND"
"2013-01-03 20:00","2013","01","03","20:00"," ","-7,20","","-11,20","","73,00","","31,00","","6,00","","","","95,11","","","","-10,00","","ND"
"2013-01-03 21:00","2013","01","03","21:00"," ","-7,70","","-11,20","","76,00","","33,00","","9,00","","","","95,14","","","","-12,00","","ND"
"2013-01-03 22:00","2013","01","03","22:00"," ","-7,70","","-11,60","","74,00","","30,00","","9,00","","","","95,13","","","","-12,00","","ND"
"2013-01-03 23:00","2013","01","03","23:00"," ","-6,60","","-9,50","","80,00","","31,00","","9,00","","","","95,14","","","","-11,00","","ND"
