"Nom de la Station","MEDICINE HAT AWOS"
"Province","ALBERTA"
"Latitude","50,02"
"Longitude","-110,72"
"Altitude","716,90"
"Identification Climat","3034483"
"Identification OMM",""
"Identification TC",""
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-08-01 00:00","2007","08","01","00:00"," ","16,30","","7,80","","57,00","","2,00","","11,00","","15,00","","93,61","","","","","",""
"2007-08-01 01:00","2007","08","01","01:00"," ","15,40","","7,20","","58,00","","0,00","","0,00","","15,00","","93,67","","","","","",""
"2007-08-01 02:00","2007","08","01","02:00"," ","13,50","","6,30","","62,00","","3,00","","6,00","","15,00","","93,76","","","","","",""
"2007-08-01 03:00","2007","08","01","03:00"," ","12,50","","5,80","","64,00","","0,00","","0,00","","15,00","","93,82","","","","","",""
"2007-08-01 04:00","2007","08","01","04:00"," ","12,20","","5,70","","64,00","","0,00","","0,00","","15,00","","93,87","","","","","",""
"2007-08-01 05:00","2007","08","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 06:00","2007","08","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 07:00","2007","08","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 08:00","2007","08","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 09:00","2007","08","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 10:00","2007","08","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 11:00","2007","08","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 12:00","2007","08","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 13:00","2007","08","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 14:00","2007","08","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 15:00","2007","08","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 16:00","2007","08","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 17:00","2007","08","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 18:00","2007","08","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 19:00","2007","08","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-01 20:00","2007","08","01","20:00"," ","22,80","","4,20","","30,00","","0,00","","0,00","","15,00","","93,60","","","","","",""
"2007-08-01 21:00","2007","08","01","21:00"," ","21,40","","5,00","","34,00","","8,00","","6,00","","15,00","","93,64","","","","","",""
"2007-08-01 22:00","2007","08","01","22:00"," ","19,10","","4,80","","39,00","","12,00","","6,00","","15,00","","93,65","","","","","",""
"2007-08-01 23:00","2007","08","01","23:00"," ","17,50","","4,40","","42,00","","14,00","","6,00","","15,00","","93,65","","","","","",""
"2007-08-02 00:00","2007","08","02","00:00"," ","15,60","","4,30","","47,00","","14,00","","4,00","","15,00","","93,68","","","","","",""
"2007-08-02 01:00","2007","08","02","01:00"," ","14,10","","4,30","","52,00","","9,00","","7,00","","15,00","","93,66","","","","","",""
"2007-08-02 02:00","2007","08","02","02:00"," ","13,20","","5,00","","57,00","","5,00","","6,00","","15,00","","93,65","","","","","",""
"2007-08-02 03:00","2007","08","02","03:00"," ","12,80","","5,10","","59,00","","9,00","","4,00","","15,00","","93,64","","","","","",""
"2007-08-02 04:00","2007","08","02","04:00"," ","12,10","","4,40","","59,00","","9,00","","6,00","","15,00","","93,63","","","","","",""
"2007-08-02 05:00","2007","08","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 06:00","2007","08","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 07:00","2007","08","02","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 08:00","2007","08","02","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 09:00","2007","08","02","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 10:00","2007","08","02","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 11:00","2007","08","02","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 12:00","2007","08","02","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 13:00","2007","08","02","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 14:00","2007","08","02","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 15:00","2007","08","02","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 16:00","2007","08","02","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 17:00","2007","08","02","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 18:00","2007","08","02","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 19:00","2007","08","02","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-02 20:00","2007","08","02","20:00"," ","28,20","","6,50","","25,00","","12,00","","15,00","","15,00","","92,93","","28,00","","","",""
"2007-08-02 21:00","2007","08","02","21:00"," ","25,30","","7,20","","31,00","","12,00","","15,00","","15,00","","92,94","","25,00","","","",""
"2007-08-02 22:00","2007","08","02","22:00"," ","23,40","","6,80","","34,00","","11,00","","13,00","","15,00","","92,90","","","","","",""
"2007-08-02 23:00","2007","08","02","23:00"," ","21,90","","7,40","","39,00","","7,00","","6,00","","15,00","","92,88","","","","","",""
"2007-08-03 00:00","2007","08","03","00:00"," ","24,30","","6,30","","31,00","","4,00","","6,00","","15,00","","92,85","","","","","",""
"2007-08-03 01:00","2007","08","03","01:00"," ","25,90","","5,70","","27,00","","16,00","","28,00","","15,00","","92,79","","25,00","","","",""
"2007-08-03 02:00","2007","08","03","02:00"," ","25,80","","5,40","","27,00","","16,00","","35,00","","15,00","","92,74","","25,00","","","",""
"2007-08-03 03:00","2007","08","03","03:00"," ","25,10","","5,60","","29,00","","16,00","","33,00","","15,00","","92,69","","25,00","","","",""
"2007-08-03 04:00","2007","08","03","04:00"," ","24,60","","6,10","","30,00","","16,00","","28,00","","15,00","","92,65","","","","","",""
"2007-08-03 05:00","2007","08","03","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 06:00","2007","08","03","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 07:00","2007","08","03","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 08:00","2007","08","03","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 09:00","2007","08","03","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 10:00","2007","08","03","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 11:00","2007","08","03","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 12:00","2007","08","03","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 13:00","2007","08","03","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 14:00","2007","08","03","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 15:00","2007","08","03","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 16:00","2007","08","03","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 17:00","2007","08","03","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 18:00","2007","08","03","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 19:00","2007","08","03","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-03 20:00","2007","08","03","20:00"," ","25,70","","7,80","","32,00","","22,00","","9,00","","15,00","","92,27","","26,00","","","",""
"2007-08-03 21:00","2007","08","03","21:00"," ","22,10","","5,90","","35,00","","22,00","","11,00","","15,00","","92,35","","","","","",""
"2007-08-03 22:00","2007","08","03","22:00"," ","19,80","","6,30","","41,00","","18,00","","13,00","","15,00","","92,41","","","","","",""
"2007-08-03 23:00","2007","08","03","23:00"," ","18,10","","4,20","","40,00","","24,00","","7,00","","15,00","","92,48","","","","","",""
"2007-08-04 00:00","2007","08","04","00:00"," ","20,50","","11,90","","58,00","","32,00","","24,00","","15,00","","92,58","","","","","",""
"2007-08-04 01:00","2007","08","04","01:00"," ","19,40","","12,10","","63,00","","34,00","","19,00","","15,00","","92,64","","","","","",""
"2007-08-04 02:00","2007","08","04","02:00"," ","18,10","","11,70","","66,00","","30,00","","9,00","","15,00","","92,69","","","","","",""
"2007-08-04 03:00","2007","08","04","03:00"," ","16,60","","11,10","","70,00","","27,00","","11,00","","15,00","","92,77","","","","","",""
"2007-08-04 04:00","2007","08","04","04:00"," ","15,50","","8,90","","65,00","","30,00","","17,00","","15,00","","92,86","","","","","",""
"2007-08-04 05:00","2007","08","04","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 06:00","2007","08","04","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 07:00","2007","08","04","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 08:00","2007","08","04","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 09:00","2007","08","04","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 10:00","2007","08","04","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 11:00","2007","08","04","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 12:00","2007","08","04","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 13:00","2007","08","04","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 14:00","2007","08","04","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 15:00","2007","08","04","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 16:00","2007","08","04","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 17:00","2007","08","04","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 18:00","2007","08","04","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 19:00","2007","08","04","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-04 20:00","2007","08","04","20:00"," ","22,60","","4,20","","30,00","","1,00","","17,00","","15,00","","92,81","","","","","",""
"2007-08-04 21:00","2007","08","04","21:00"," ","20,30","","6,10","","40,00","","1,00","","13,00","","15,00","","92,92","","","","","",""
"2007-08-04 22:00","2007","08","04","22:00"," ","19,00","","6,40","","44,00","","2,00","","9,00","","15,00","","92,98","","","","","",""
"2007-08-04 23:00","2007","08","04","23:00"," ","18,00","","7,50","","50,00","","34,00","","13,00","","15,00","","93,05","","","","","",""
"2007-08-05 00:00","2007","08","05","00:00"," ","16,30","","8,00","","58,00","","34,00","","11,00","","15,00","","93,10","","","","","",""
"2007-08-05 01:00","2007","08","05","01:00"," ","14,70","","7,90","","64,00","","33,00","","15,00","","15,00","","93,15","","","","","",""
"2007-08-05 02:00","2007","08","05","02:00"," ","14,10","","8,80","","70,00","","32,00","","11,00","","15,00","","93,22","","","","","",""
"2007-08-05 03:00","2007","08","05","03:00"," ","13,50","","8,90","","74,00","","32,00","","11,00","","15,00","","93,23","","","","","",""
"2007-08-05 04:00","2007","08","05","04:00"," ","12,70","","8,70","","77,00","","32,00","","7,00","","15,00","","93,24","","","","","",""
"2007-08-05 05:00","2007","08","05","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 06:00","2007","08","05","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 07:00","2007","08","05","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 08:00","2007","08","05","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 09:00","2007","08","05","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 10:00","2007","08","05","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 11:00","2007","08","05","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 12:00","2007","08","05","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 13:00","2007","08","05","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 14:00","2007","08","05","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 15:00","2007","08","05","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 16:00","2007","08","05","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 17:00","2007","08","05","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 18:00","2007","08","05","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 19:00","2007","08","05","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-08-05 20:00","2007","08","05","20:00"," ","23,20","","6,30","","34,00","","35,00","","4,00","","15,00","","92,74","","","","","",""
"2007-08-05 21:00","2007","08","05","21:00"," ","22,00","","6,50","","37,00","","0,00","","0,00","","15,00","","92,75","","","","","",""
"2007-08-05 22:00","2007","08","05","22:00"," ","20,00","","7,50","","44,00","","11,00","","4,00","","15,00","","92,72","","","","","",""
"2007-08-05 23:00","2007","08","05","23:00"," ","18,10","","7,40","","50,00","","3,00","","4,00","","15,00","","92,71","","","","","",""
"2007-08-06 00:00","2007","08","06","00:00"," ","19,60","","7,90","","47,00","","30,00","","19,00","","15,00","","92,73","","","","","",""
"2007-08-06 01:00","2007","08","06","01:00"," ","20,70","","6,40","","39,00","","34,00","","13,00","","15,00","","92,60","","","","","",""
"2007-08-06 02:00","2007","08","06","02:00"," ","20,00","","8,50","","47,00","","32,00","","7,00","","15,00","","92,58","","","","","",""
"2007-08-06 03:00","2007","08","06","03:00"," ","18,00","","9,30","","57,00","","0,00","","0,00","","15,00","","92,61","","","","","",""
