"Nom de la Station","GIMLI CLIMATE"
"Province","MANITOBA"
"Latitude","50,63"
"Longitude","-97,05"
"Altitude","230,10"
"Identification Climat","5031042"
"Identification OMM","71748"
"Identification TC","PGH"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-11-01 00:00","2007","11","01","00:00"," ","-6,70","","-8,10","","90,00","","20,00","","7,00","","","","99,03","","","","-10,00","","ND"
"2007-11-01 01:00","2007","11","01","01:00"," ","-3,70","","-5,10","","90,00","","19,00","","9,00","","","","98,98","","","","-7,00","","ND"
"2007-11-01 02:00","2007","11","01","02:00"," ","-2,60","","-4,50","","87,00","","19,00","","13,00","","","","98,94","","","","-7,00","","ND"
"2007-11-01 03:00","2007","11","01","03:00"," ","-1,90","","-4,30","","84,00","","17,00","","7,00","","","","98,85","","","","-5,00","","ND"
"2007-11-01 04:00","2007","11","01","04:00"," ","-2,70","","-5,10","","84,00","","18,00","","11,00","","","","98,80","","","","-7,00","","ND"
"2007-11-01 05:00","2007","11","01","05:00"," ","-2,90","","-5,20","","84,00","","16,00","","11,00","","","","98,76","","","","-7,00","","ND"
"2007-11-01 06:00","2007","11","01","06:00"," ","-3,50","","-5,30","","87,00","","16,00","","7,00","","","","98,68","","","","-6,00","","ND"
"2007-11-01 07:00","2007","11","01","07:00"," ","-3,10","","-4,90","","87,00","","15,00","","9,00","","","","98,63","","","","-7,00","","ND"
"2007-11-01 08:00","2007","11","01","08:00"," ","-1,60","","-4,30","","82,00","","15,00","","11,00","","","","98,51","","","","-5,00","","ND"
"2007-11-01 09:00","2007","11","01","09:00"," ","0,70","","-3,40","","74,00","","16,00","","13,00","","","","98,44","","","","","","ND"
"2007-11-01 10:00","2007","11","01","10:00"," ","3,80","","-3,80","","58,00","","17,00","","17,00","","","","98,35","","","","","","ND"
"2007-11-01 11:00","2007","11","01","11:00"," ","4,90","","-2,30","","60,00","","14,00","","15,00","","","","98,22","","","","","","ND"
"2007-11-01 12:00","2007","11","01","12:00"," ","6,30","","-1,80","","56,00","","14,00","","15,00","","","","98,06","","","","","","ND"
"2007-11-01 13:00","2007","11","01","13:00"," ","7,10","","-3,40","","47,00","","16,00","","22,00","","","","97,94","","","","","","ND"
"2007-11-01 14:00","2007","11","01","14:00"," ","6,50","","-3,10","","50,00","","16,00","","24,00","","","","97,84","","","","","","ND"
"2007-11-01 15:00","2007","11","01","15:00"," ","6,40","","-2,30","","54,00","","17,00","","19,00","","","","97,75","","","","","","ND"
