"Nom de la Station","WINDSOR A"
"Province","ONTARIO"
"Latitude","42,28"
"Longitude","-82,96"
"Altitude","189,60"
"Identification Climat","6139525"
"Identification OMM","71538"
"Identification TC","YQG"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1975-06-01 00:00","1975","06","01","00:00"," ","16,10","","14,40","","92,00","","29,00","","11,00","","6,40","","98,44","","","","","","Pluie,Brouillard"
"1975-06-01 01:00","1975","06","01","01:00"," ","15,60","","15,00","","96,00","","0,00","","0,00","","4,80","","98,41","","","","","","Brouillard"
"1975-06-01 02:00","1975","06","01","02:00"," ","15,60","","15,00","","94,00","","27,00","","10,00","","4,80","","98,44","","","","","","Brouillard"
"1975-06-01 03:00","1975","06","01","03:00"," ","15,60","","12,80","","84,00","","29,00","","8,00","","16,10","","98,48","","","","","","Nuageux"
"1975-06-01 04:00","1975","06","01","04:00"," ","15,00","","12,20","","83,00","","29,00","","10,00","","24,10","","98,54","","","","","","Nuageux"
"1975-06-01 05:00","1975","06","01","05:00"," ","14,40","","11,70","","82,00","","30,00","","11,00","","25,00","","98,58","","","","","","Généralement dégagé"
"1975-06-01 06:00","1975","06","01","06:00"," ","13,90","","10,60","","82,00","","29,00","","11,00","","25,00","","98,64","","","","","","Généralement dégagé"
"1975-06-01 07:00","1975","06","01","07:00"," ","15,60","","11,10","","75,00","","30,00","","13,00","","25,00","","98,72","","","","","","Généralement dégagé"
"1975-06-01 08:00","1975","06","01","08:00"," ","16,70","","10,60","","69,00","","34,00","","16,00","","25,00","","98,80","","","","","","Généralement dégagé"
"1975-06-01 09:00","1975","06","01","09:00"," ","17,20","","10,60","","64,00","","35,00","","19,00","","25,00","","98,82","","","","","","Généralement dégagé"
"1975-06-01 10:00","1975","06","01","10:00"," ","18,90","","10,00","","57,00","","35,00","","10,00","","25,00","","98,85","","","","","","Généralement dégagé"
"1975-06-01 11:00","1975","06","01","11:00"," ","19,40","","8,30","","50,00","","32,00","","13,00","","25,00","","98,91","","","","","","Généralement nuageux"
"1975-06-01 12:00","1975","06","01","12:00"," ","20,60","","8,30","","45,00","","28,00","","10,00","","25,00","","98,92","","","","","","Généralement nuageux"
"1975-06-01 13:00","1975","06","01","13:00"," ","20,60","","7,80","","43,00","","30,00","","14,00","","25,00","","98,94","","","","","","Généralement nuageux"
"1975-06-01 14:00","1975","06","01","14:00"," ","21,10","","7,80","","43,00","","27,00","","8,00","","25,00","","98,96","","","","","","Généralement nuageux"
"1975-06-01 15:00","1975","06","01","15:00"," ","21,70","","6,10","","35,00","","29,00","","16,00","","25,00","","98,95","","","","","","Nuageux"
"1975-06-01 16:00","1975","06","01","16:00"," ","21,70","","6,10","","37,00","","28,00","","8,00","","25,00","","98,96","","","","","","Nuageux"
"1975-06-01 17:00","1975","06","01","17:00"," ","20,00","","9,40","","50,00","","24,00","","21,00","","25,00","","98,99","","","","","","Nuageux"
"1975-06-01 18:00","1975","06","01","18:00"," ","17,20","","11,10","","68,00","","26,00","","26,00","","25,00","","99,15","","","","","","Nuageux"
"1975-06-01 19:00","1975","06","01","19:00"," ","15,60","","10,60","","72,00","","24,00","","26,00","","25,00","","99,19","","","","","","Nuageux"
"1975-06-01 20:00","1975","06","01","20:00"," ","14,40","","12,20","","87,00","","24,00","","11,00","","25,00","","99,22","","","","","","Nuageux"
