"Nom de la Station","CLYDE AWOS"
"Province","NUNAVUT"
"Latitude","70,49"
"Longitude","-68,52"
"Altitude","26,50"
"Identification Climat","2400801"
"Identification OMM","71090"
"Identification TC","YCY"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2010-03-01 00:00","2010","03","01","00:00"," ","-20,80","","-24,40","","73,00","","32,00","","82,00","","0,00","","100,07","","","","-40,00","","Neige"
"2010-03-01 01:00","2010","03","01","01:00"," ","-20,70","","-24,50","","72,00","","32,00","","78,00","","0,00","","100,18","","","","-39,00","","Neige"
"2010-03-01 02:00","2010","03","01","02:00"," ","-20,80","","-24,40","","73,00","","32,00","","80,00","","0,00","","100,25","","","","-39,00","","Neige"
"2010-03-01 03:00","2010","03","01","03:00"," ","-20,80","","-24,20","","74,00","","32,00","","78,00","","0,00","","100,30","","","","-39,00","","Neige"
"2010-03-01 04:00","2010","03","01","04:00"," ","-20,90","","-24,50","","73,00","","32,00","","74,00","","0,00","","100,38","","","","-39,00","","Neige"
"2010-03-01 05:00","2010","03","01","05:00"," ","-20,90","","-24,50","","73,00","","32,00","","69,00","","0,00","","100,47","","","","-39,00","","Neige"
"2010-03-01 06:00","2010","03","01","06:00"," ","-21,10","","-24,70","","73,00","","32,00","","69,00","","0,00","","100,49","","","","-39,00","",""
"2010-03-01 07:00","2010","03","01","07:00"," ","-21,30","","-24,90","","73,00","","32,00","","63,00","","0,00","","100,54","","","","-39,00","","Neige"
"2010-03-01 08:00","2010","03","01","08:00"," ","-21,40","","-25,10","","72,00","","32,00","","61,00","","0,00","","100,57","","","","-39,00","","Neige"
"2010-03-01 09:00","2010","03","01","09:00"," ","-21,60","","-25,60","","70,00","","32,00","","54,00","","0,00","","100,65","","","","-38,00","","Neige"
"2010-03-01 10:00","2010","03","01","10:00"," ","-21,70","","-25,50","","71,00","","32,00","","57,00","","0,00","","100,66","","","","-39,00","","Neige"
"2010-03-01 11:00","2010","03","01","11:00"," ","-21,70","","-25,50","","71,00","","32,00","","65,00","","0,00","","100,61","","","","-39,00","","Neige"
