"Nom de la Station","IQALUIT AWOS"
"Province","NUNAVUT"
"Latitude","63,75"
"Longitude","-68,55"
"Altitude","33,50"
"Identification Climat","2402591"
"Identification OMM","71909"
"Identification TC","YFB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2010-06-01 00:00","2010","06","01","00:00"," ","-0,20","","-0,40","","99,00","","14,00","","7,00","","15,00","","100,64","","","","-3,00","",""
"2010-06-01 00:04","2010","06","01","00:04"," ","-0,20","","-0,40","","99,00","","15,00","","6,00","","15,00","","100,64","","","","-2,00","",""
"2010-06-01 00:09","2010","06","01","00:09"," ","-0,20","","-0,40","","99,00","","14,00","","6,00","","15,00","","100,64","","","","-2,00","",""
"2010-06-01 00:11","2010","06","01","00:11"," ","-0,10","","-0,40","","98,00","","14,00","","6,00","","15,00","","100,63","","","","-2,00","",""
"2010-06-01 00:15","2010","06","01","00:15"," ","-0,20","","-0,40","","99,00","","15,00","","6,00","","15,00","","100,63","","","","-2,00","",""
"2010-06-01 00:23","2010","06","01","00:23"," ","-0,20","","-0,40","","99,00","","15,00","","6,00","","15,00","","100,63","","","","-2,00","",""
"2010-06-01 00:25","2010","06","01","00:25"," ","-0,20","","-0,40","","99,00","","16,00","","6,00","","15,00","","100,63","","","","-2,00","",""
"2010-06-01 00:58","2010","06","01","00:58"," ","-0,20","","-0,40","","99,00","","15,00","","6,00","","15,00","","100,64","","","","-2,00","",""
"2010-06-01 01:00","2010","06","01","01:00"," ","-0,20","","-0,40","","99,00","","15,00","","4,00","","15,00","","100,64","","","","-1,00","",""
"2010-06-01 01:17","2010","06","01","01:17"," ","-0,20","","-0,30","","99,00","","15,00","","4,00","","15,00","","100,63","","","","-1,00","",""
"2010-06-01 01:20","2010","06","01","01:20"," ","-0,20","","-0,40","","99,00","","16,00","","4,00","","15,00","","100,63","","","","-1,00","",""
"2010-06-01 01:35","2010","06","01","01:35"," ","-0,20","","-0,40","","99,00","","0,00","","0,00","","15,00","","100,63","","","","","",""
"2010-06-01 01:40","2010","06","01","01:40"," ","-0,20","","-0,40","","99,00","","0,00","","0,00","","15,00","","100,63","","","","","",""
"2010-06-01 01:45","2010","06","01","01:45"," ","-0,10","","-0,30","","99,00","","0,00","","0,00","","15,00","","100,63","","","","","",""
"2010-06-01 01:52","2010","06","01","01:52"," ","-0,20","","-0,30","","99,00","","0,00","","0,00","","15,00","","100,63","","","","","",""
"2010-06-01 02:00","2010","06","01","02:00"," ","-0,10","","-0,30","","99,00","","0,00","","0,00","","15,00","","100,63","","","","","",""
"2010-06-01 02:04","2010","06","01","02:04"," ","-0,10","","-0,20","","99,00","","21,00","","4,00","","15,00","","100,64","","","","-1,00","",""
"2010-06-01 02:58","2010","06","01","02:58"," ","0,00","","-0,10","","99,00","","23,00","","4,00","","15,00","","100,63","","","","-1,00","",""
"2010-06-01 03:00","2010","06","01","03:00"," ","0,00","","-0,10","","99,00","","23,00","","4,00","","15,00","","100,63","","","","-1,00","",""
"2010-06-01 03:08","2010","06","01","03:08"," ","0,10","","-0,10","","99,00","","22,00","","4,00","","15,00","","100,63","","","","","",""
"2010-06-01 04:00","2010","06","01","04:00"," ","0,10","","-0,10","","99,00","","15,00","","4,00","","15,00","","100,65","","","","","",""
"2010-06-01 04:08","2010","06","01","04:08"," ","0,20","","-0,10","","98,00","","0,00","","0,00","","15,00","","100,65","","","","","",""
"2010-06-01 04:51","2010","06","01","04:51"," ","0,50","","0,10","","97,00","","0,00","","0,00","","15,00","","100,65","","","","","",""
"2010-06-01 04:55","2010","06","01","04:55"," ","0,60","","0,10","","96,00","","0,00","","0,00","","15,00","","100,65","","","","","",""
"2010-06-01 04:57","2010","06","01","04:57"," ","0,60","","0,20","","97,00","","0,00","","0,00","","15,00","","100,65","","","","","",""
"2010-06-01 05:00","2010","06","01","05:00"," ","0,80","","0,20","","96,00","","0,00","","0,00","","15,00","","100,65","","","","","",""
"2010-06-01 05:24","2010","06","01","05:24"," ","1,10","","0,30","","94,00","","0,00","","0,00","","15,00","","100,66","","","","","",""
"2010-06-01 05:57","2010","06","01","05:57"," ","1,20","","0,30","","94,00","","0,00","","0,00","","15,00","","100,67","","","","","",""
"2010-06-01 06:00","2010","06","01","06:00"," ","1,20","","0,30","","94,00","","15,00","","4,00","","15,00","","100,67","","","","","",""
"2010-06-01 06:15","2010","06","01","06:15"," ","1,10","","0,20","","94,00","","14,00","","4,00","","15,00","","100,66","","","","","",""
"2010-06-01 06:28","2010","06","01","06:28"," ","1,10","","0,20","","94,00","","16,00","","6,00","","15,00","","100,66","","","","","",""
"2010-06-01 06:32","2010","06","01","06:32"," ","1,10","","0,20","","94,00","","16,00","","4,00","","15,00","","100,66","","","","","",""
"2010-06-01 06:58","2010","06","01","06:58"," ","1,00","","0,20","","94,00","","15,00","","6,00","","15,00","","100,67","","","","","",""
"2010-06-01 07:00","2010","06","01","07:00"," ","1,10","","0,30","","94,00","","14,00","","4,00","","15,00","","100,67","","","","","",""
"2010-06-01 07:14","2010","06","01","07:14"," ","1,10","","0,20","","94,00","","16,00","","6,00","","15,00","","100,67","","","","","",""
"2010-06-01 08:00","2010","06","01","08:00"," ","1,20","","0,50","","95,00","","15,00","","6,00","","15,00","","100,68","","","","","",""
"2010-06-01 08:12","2010","06","01","08:12"," ","1,30","","0,40","","94,00","","20,00","","7,00","","15,00","","100,68","","","","","",""
"2010-06-01 08:13","2010","06","01","08:13"," ","1,30","","0,50","","94,00","","21,00","","6,00","","15,00","","100,68","","","","","",""
"2010-06-01 08:31","2010","06","01","08:31"," ","1,30","","0,50","","94,00","","0,00","","0,00","","15,00","","100,67","","","","","",""
"2010-06-01 08:37","2010","06","01","08:37"," ","1,30","","0,50","","94,00","","0,00","","0,00","","15,00","","100,68","","","","","",""
"2010-06-01 09:00","2010","06","01","09:00"," ","1,40","","0,70","","95,00","","14,00","","4,00","","15,00","","100,67","","","","","",""
"2010-06-01 10:00","2010","06","01","10:00"," ","1,60","","0,60","","93,00","","13,00","","6,00","","15,00","","100,66","","","","","",""
"2010-06-01 11:00","2010","06","01","11:00"," ","1,60","","0,50","","92,00","","15,00","","7,00","","15,00","","100,66","","","","","",""
"2010-06-01 11:25","2010","06","01","11:25"," ","2,30","","0,50","","88,00","","14,00","","7,00","","15,00","","100,66","","","","","",""
"2010-06-01 11:58","2010","06","01","11:58"," ","2,10","","0,60","","90,00","","15,00","","9,00","","15,00","","100,66","","","","","",""
"2010-06-01 12:00","2010","06","01","12:00"," ","1,90","","0,50","","90,00","","14,00","","9,00","","15,00","","100,66","","","","","",""
"2010-06-01 12:39","2010","06","01","12:39"," ","2,40","","0,70","","89,00","","15,00","","13,00","","15,00","","100,66","","","","","",""
"2010-06-01 13:00","2010","06","01","13:00"," ","2,50","","0,90","","89,00","","15,00","","13,00","","15,00","","100,67","","","","","",""
"2010-06-01 13:09","2010","06","01","13:09"," ","2,40","","0,80","","89,00","","15,00","","11,00","","12,90","","100,67","","","","","",""
"2010-06-01 13:12","2010","06","01","13:12"," ","2,00","","0,90","","92,00","","15,00","","11,00","","12,90","","100,67","","","","","",""
"2010-06-01 13:14","2010","06","01","13:14"," ","2,30","","0,50","","88,00","","15,00","","11,00","","12,90","","100,67","","","","","",""
"2010-06-01 14:00","2010","06","01","14:00"," ","2,90","","1,20","","89,00","","14,00","","7,00","","15,00","","100,68","","","","","",""
"2010-06-01 14:03","2010","06","01","14:03"," ","2,80","","0,80","","87,00","","15,00","","9,00","","15,00","","100,69","","","","","",""
"2010-06-01 14:06","2010","06","01","14:06"," ","3,30","","1,20","","86,00","","14,00","","9,00","","15,00","","100,69","","","","","",""
"2010-06-01 14:48","2010","06","01","14:48"," ","2,30","","0,80","","90,00","","14,00","","9,00","","15,00","","100,70","","","","","",""
"2010-06-01 15:00","2010","06","01","15:00"," ","2,20","","0,60","","89,00","","14,00","","7,00","","15,00","","100,70","","","","","",""
"2010-06-01 16:00","2010","06","01","16:00"," ","2,50","","0,90","","89,00","","14,00","","9,00","","12,90","","100,69","","","","","",""
"2010-06-01 17:00","2010","06","01","17:00"," ","1,90","","0,70","","92,00","","14,00","","9,00","","15,00","","100,70","","","","","",""
"2010-06-01 18:00","2010","06","01","18:00"," ","1,50","","0,50","","93,00","","15,00","","11,00","","15,00","","100,72","","","","","",""
"2010-06-01 19:00","2010","06","01","19:00"," ","1,70","","0,10","","89,00","","14,00","","7,00","","15,00","","100,74","","","","","",""
"2010-06-01 20:00","2010","06","01","20:00"," ","1,30","","-0,40","","88,00","","13,00","","9,00","","15,00","","100,73","","","","","",""
"2010-06-01 21:00","2010","06","01","21:00"," ","0,90","","-0,30","","92,00","","12,00","","6,00","","15,00","","100,73","","","","","",""
"2010-06-01 22:00","2010","06","01","22:00"," ","1,00","","0,00","","93,00","","13,00","","7,00","","15,00","","100,70","","","","","",""
"2010-06-01 22:25","2010","06","01","22:25"," ","1,30","","-0,10","","90,00","","13,00","","7,00","","15,00","","100,70","","","","","",""
"2010-06-01 22:46","2010","06","01","22:46"," ","1,10","","-0,10","","92,00","","15,00","","7,00","","15,00","","100,70","","","","","",""
"2010-06-01 23:00","2010","06","01","23:00"," ","1,00","","0,20","","94,00","","13,00","","17,00","","9,70","","100,70","","","","","",""
"2010-06-02 00:00","2010","06","02","00:00"," ","1,10","","0,40","","95,00","","12,00","","7,00","","15,00","","100,72","","","","","",""
"2010-06-02 00:07","2010","06","02","00:07"," ","1,00","","0,30","","95,00","","12,00","","7,00","","15,00","","100,72","","","","","",""
"2010-06-02 00:08","2010","06","02","00:08"," ","1,00","","0,40","","96,00","","12,00","","7,00","","15,00","","100,72","","","","","",""
"2010-06-02 00:17","2010","06","02","00:17"," ","1,10","","0,30","","94,00","","12,00","","7,00","","15,00","","100,72","","","","","",""
"2010-06-02 00:20","2010","06","02","00:20"," ","1,20","","0,40","","94,00","","12,00","","7,00","","15,00","","100,72","","","","","",""
"2010-06-02 00:21","2010","06","02","00:21"," ","1,10","","0,40","","95,00","","13,00","","7,00","","15,00","","100,72","","","","","",""
"2010-06-02 01:00","2010","06","02","01:00"," ","1,10","","0,20","","94,00","","12,00","","7,00","","15,00","","100,73","","","","","",""
"2010-06-02 01:14","2010","06","02","01:14"," ","1,00","","0,00","","93,00","","13,00","","9,00","","15,00","","100,72","","","","","",""
"2010-06-02 01:23","2010","06","02","01:23"," ","0,90","","-0,10","","93,00","","13,00","","9,00","","15,00","","100,72","","","","","",""
"2010-06-02 01:37","2010","06","02","01:37"," ","0,80","","-0,30","","92,00","","14,00","","9,00","","15,00","","100,72","","","","","",""
"2010-06-02 02:00","2010","06","02","02:00"," ","0,50","","-0,30","","94,00","","14,00","","7,00","","15,00","","100,72","","","","","",""
"2010-06-02 02:59","2010","06","02","02:59"," ","0,30","","-0,20","","96,00","","16,00","","4,00","","15,00","","100,73","","","","","",""
"2010-06-02 03:00","2010","06","02","03:00"," ","0,30","","-0,10","","97,00","","16,00","","4,00","","15,00","","100,73","","","","","",""
"2010-06-02 03:21","2010","06","02","03:21"," ","0,40","","0,00","","97,00","","17,00","","6,00","","15,00","","100,73","","","","","",""
"2010-06-02 03:36","2010","06","02","03:36"," ","0,30","","-0,10","","97,00","","16,00","","4,00","","11,30","","100,72","","","","","",""
"2010-06-02 03:37","2010","06","02","03:37"," ","0,20","","-0,10","","98,00","","16,00","","4,00","","9,70","","100,72","","","","","",""
"2010-06-02 03:41","2010","06","02","03:41"," ","0,20","","0,00","","99,00","","0,00","","0,00","","3,90","","100,72","","","","","",""
"2010-06-02 03:46","2010","06","02","03:46"," ","0,20","","0,00","","99,00","","0,00","","0,00","","2,10","","100,72","","","","","",""
"2010-06-02 04:00","2010","06","02","04:00"," ","0,30","","0,10","","99,00","","0,00","","0,00","","2,60","","100,71","","","","","",""
"2010-06-02 04:15","2010","06","02","04:15"," ","0,50","","0,30","","99,00","","13,00","","4,00","","4,00","","100,71","","","","","",""
"2010-06-02 04:24","2010","06","02","04:24"," ","0,80","","0,50","","98,00","","13,00","","6,00","","9,70","","100,71","","","","","",""
"2010-06-02 05:00","2010","06","02","05:00"," ","0,90","","0,40","","96,00","","14,00","","11,00","","15,00","","100,71","","","","","",""
"2010-06-02 05:12","2010","06","02","05:12"," ","0,60","","0,20","","97,00","","14,00","","11,00","","15,00","","100,71","","","","","",""
"2010-06-02 05:33","2010","06","02","05:33"," ","0,40","","0,00","","97,00","","15,00","","13,00","","14,50","","100,72","","","","","",""
"2010-06-02 05:36","2010","06","02","05:36"," ","0,30","","-0,10","","97,00","","14,00","","15,00","","12,90","","100,72","","","","","",""
"2010-06-02 05:42","2010","06","02","05:42"," ","0,20","","-0,10","","98,00","","15,00","","17,00","","15,00","","100,73","","","","","",""
"2010-06-02 05:58","2010","06","02","05:58"," ","0,20","","-0,10","","98,00","","15,00","","17,00","","5,60","","100,73","","","","","",""
"2010-06-02 06:00","2010","06","02","06:00"," ","0,10","","0,00","","99,00","","15,00","","19,00","","4,00","","100,73","","","","","",""
"2010-06-02 06:07","2010","06","02","06:07"," ","0,10","","0,00","","99,00","","14,00","","15,00","","2,40","","100,73","","","","","",""
"2010-06-02 06:09","2010","06","02","06:09"," ","0,20","","0,00","","99,00","","14,00","","15,00","","2,30","","100,73","","","","","",""
"2010-06-02 06:31","2010","06","02","06:31"," ","0,20","","0,10","","99,00","","15,00","","17,00","","4,00","","100,73","","","","","",""
"2010-06-02 06:34","2010","06","02","06:34"," ","0,30","","0,20","","99,00","","15,00","","17,00","","4,00","","100,73","","","","","",""
"2010-06-02 06:42","2010","06","02","06:42"," ","0,30","","0,30","","100,00","","15,00","","15,00","","2,90","","100,74","","","","","",""
"2010-06-02 06:57","2010","06","02","06:57"," ","0,20","","0,20","","100,00","","16,00","","17,00","","4,00","","100,74","","","","","",""
"2010-06-02 07:00","2010","06","02","07:00"," ","0,20","","0,20","","100,00","","16,00","","17,00","","8,00","","100,74","","","","","",""
"2010-06-02 07:07","2010","06","02","07:07"," ","0,30","","0,10","","99,00","","16,00","","20,00","","15,00","","100,74","","","","","",""
"2010-06-02 07:14","2010","06","02","07:14"," ","0,30","","0,30","","100,00","","16,00","","22,00","","15,00","","100,74","","","","","",""
"2010-06-02 07:31","2010","06","02","07:31"," ","0,60","","0,50","","99,00","","15,00","","19,00","","15,00","","100,76","","","","","",""
"2010-06-02 07:42","2010","06","02","07:42"," ","0,70","","0,70","","100,00","","14,00","","17,00","","15,00","","100,76","","","","","",""
"2010-06-02 07:45","2010","06","02","07:45"," ","0,70","","0,60","","99,00","","14,00","","15,00","","15,00","","100,76","","","","","",""
"2010-06-02 08:00","2010","06","02","08:00"," ","0,90","","0,50","","97,00","","14,00","","15,00","","15,00","","100,75","","","","","",""
"2010-06-02 09:00","2010","06","02","09:00"," ","1,40","","0,50","","94,00","","15,00","","15,00","","15,00","","100,73","","","","","",""
"2010-06-02 09:18","2010","06","02","09:18"," ","1,40","","0,30","","92,00","","15,00","","17,00","","15,00","","100,72","","","","","",""
"2010-06-02 09:38","2010","06","02","09:38"," ","1,40","","0,00","","90,00","","15,00","","15,00","","15,00","","100,72","","","","","",""
"2010-06-02 10:00","2010","06","02","10:00"," ","2,20","","0,60","","89,00","","15,00","","19,00","","15,00","","100,71","","","","","",""
"2010-06-02 10:16","2010","06","02","10:16"," ","2,00","","0,20","","88,00","","15,00","","15,00","","15,00","","100,71","","","","","",""
"2010-06-02 11:00","2010","06","02","11:00"," ","1,60","","-0,10","","88,00","","15,00","","11,00","","15,00","","100,70","","","","","",""
"2010-06-02 12:00","2010","06","02","12:00"," ","2,30","","0,10","","85,00","","15,00","","9,00","","15,00","","100,68","","","","","",""
"2010-06-02 13:00","2010","06","02","13:00"," ","2,30","","0,20","","86,00","","15,00","","7,00","","15,00","","100,68","","","","","",""
"2010-06-02 14:00","2010","06","02","14:00"," ","2,40","","0,30","","86,00","","16,00","","11,00","","15,00","","100,67","","","","","",""
"2010-06-02 15:00","2010","06","02","15:00"," ","2,30","","0,20","","86,00","","15,00","","13,00","","15,00","","100,66","","","","","",""
"2010-06-02 16:00","2010","06","02","16:00"," ","2,30","","0,50","","88,00","","16,00","","19,00","","15,00","","100,65","","","","","",""
"2010-06-02 16:22","2010","06","02","16:22"," ","2,10","","0,20","","87,00","","16,00","","19,00","","15,00","","100,65","","","","","","Pluie"
"2010-06-02 16:37","2010","06","02","16:37"," ","1,90","","0,20","","88,00","","15,00","","15,00","","15,00","","100,66","","","","","",""
"2010-06-02 16:57","2010","06","02","16:57"," ","1,90","","0,30","","89,00","","15,00","","13,00","","15,00","","100,66","","","","","",""
"2010-06-02 17:00","2010","06","02","17:00"," ","1,80","","0,30","","90,00","","15,00","","17,00","","15,00","","100,66","","","","","",""
"2010-06-02 17:14","2010","06","02","17:14"," ","2,10","","0,40","","88,00","","15,00","","9,00","","15,00","","100,66","","","","","",""
"2010-06-02 17:30","2010","06","02","17:30"," ","1,60","","0,30","","91,00","","15,00","","19,00","","15,00","","100,67","","","","","",""
"2010-06-02 17:35","2010","06","02","17:35"," ","1,60","","0,10","","90,00","","16,00","","17,00","","15,00","","100,67","","","","","",""
"2010-06-02 17:44","2010","06","02","17:44"," ","1,70","","0,10","","89,00","","15,00","","13,00","","15,00","","100,68","","","","","",""
"2010-06-02 18:00","2010","06","02","18:00"," ","1,60","","0,20","","90,00","","14,00","","15,00","","15,00","","100,68","","","","","",""
"2010-06-02 18:09","2010","06","02","18:09"," ","1,60","","0,20","","90,00","","15,00","","15,00","","15,00","","100,68","","","","","",""
"2010-06-02 19:00","2010","06","02","19:00"," ","1,40","","0,20","","92,00","","14,00","","17,00","","15,00","","100,69","","","","","",""
"2010-06-02 19:17","2010","06","02","19:17"," ","1,20","","0,20","","93,00","","16,00","","13,00","","15,00","","100,69","","","","","",""
"2010-06-02 19:35","2010","06","02","19:35"," ","1,10","","0,20","","94,00","","15,00","","11,00","","15,00","","100,69","","","","","",""
"2010-06-02 20:00","2010","06","02","20:00"," ","1,10","","0,20","","94,00","","13,00","","7,00","","15,00","","100,70","","","","","",""
"2010-06-02 20:12","2010","06","02","20:12"," ","1,10","","0,10","","93,00","","9,00","","6,00","","15,00","","100,69","","","","","",""
"2010-06-02 20:24","2010","06","02","20:24"," ","1,10","","0,10","","93,00","","10,00","","4,00","","15,00","","100,70","","","","","",""
"2010-06-02 20:50","2010","06","02","20:50"," ","1,10","","0,00","","92,00","","0,00","","0,00","","15,00","","100,71","","","","","",""
"2010-06-02 21:00","2010","06","02","21:00"," ","1,30","","0,00","","91,00","","0,00","","0,00","","15,00","","100,71","","","","","",""
"2010-06-02 21:30","2010","06","02","21:30"," ","1,20","","0,00","","92,00","","0,00","","0,00","","15,00","","100,71","","","","","",""
"2010-06-02 22:00","2010","06","02","22:00"," ","1,40","","0,10","","91,00","","0,00","","0,00","","15,00","","100,71","","","","","",""
"2010-06-02 23:00","2010","06","02","23:00"," ","1,80","","0,10","","88,00","","12,00","","7,00","","15,00","","100,70","","","","","",""
"2010-06-03 00:00","2010","06","03","00:00"," ","2,00","","-0,10","","86,00","","21,00","","4,00","","15,00","","100,70","","","","","",""
"2010-06-03 01:00","2010","06","03","01:00"," ","1,90","","0,10","","88,00","","31,00","","4,00","","15,00","","100,70","","","","","",""
"2010-06-03 02:00","2010","06","03","02:00"," ","2,00","","0,10","","87,00","","0,00","","0,00","","15,00","","100,73","","","","","",""
"2010-06-03 03:00","2010","06","03","03:00"," ","1,90","","-0,10","","87,00","","27,00","","6,00","","15,00","","100,74","","","","","",""
"2010-06-03 03:26","2010","06","03","03:26"," ","2,20","","-0,40","","83,00","","0,00","","0,00","","15,00","","100,76","","","","","",""
"2010-06-03 04:00","2010","06","03","04:00"," ","2,50","","-0,20","","82,00","","33,00","","7,00","","15,00","","100,74","","","","","",""
"2010-06-03 05:00","2010","06","03","05:00"," ","3,40","","-0,10","","78,00","","33,00","","9,00","","15,00","","100,73","","","","","",""
"2010-06-03 06:00","2010","06","03","06:00"," ","5,40","","-0,80","","64,00","","5,00","","15,00","","15,00","","100,70","","","","","",""
"2010-06-03 07:00","2010","06","03","07:00"," ","6,20","","-0,40","","63,00","","6,00","","17,00","","15,00","","100,67","","","","","",""
"2010-06-03 08:00","2010","06","03","08:00"," ","4,80","","-0,80","","67,00","","15,00","","11,00","","15,00","","100,69","","","","","",""
"2010-06-03 09:00","2010","06","03","09:00"," ","5,70","","-0,80","","63,00","","15,00","","7,00","","15,00","","100,68","","","","","",""
"2010-06-03 10:00","2010","06","03","10:00"," ","5,60","","-0,90","","63,00","","21,00","","7,00","","15,00","","100,70","","","","","",""
