"Nom de la Station","WINNIPEG RICHARDSON AWOS"
"Province","MANITOBA"
"Latitude","49,92"
"Longitude","-97,23"
"Altitude","238,70"
"Identification Climat","5023226"
"Identification OMM","71852"
"Identification TC","YWG"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2012-09-01 00:00","2012","09","01","00:00"," ","16,30","","7,80","","57,00","","18,00","","11,00","","15,00","","99,08","","","","","",""
"2012-09-01 01:00","2012","09","01","01:00"," ","17,00","","7,80","","55,00","","18,00","","15,00","","15,00","","99,09","","","","","",""
"2012-09-01 02:00","2012","09","01","02:00"," ","16,30","","7,90","","57,00","","19,00","","13,00","","15,00","","99,10","","","","","",""
"2012-09-01 03:00","2012","09","01","03:00"," ","14,90","","8,00","","63,00","","19,00","","9,00","","15,00","","99,12","","","","","",""
"2012-09-01 04:00","2012","09","01","04:00"," ","14,20","","8,50","","69,00","","17,00","","11,00","","15,00","","99,14","","","","","",""
"2012-09-01 05:00","2012","09","01","05:00"," ","13,80","","8,90","","72,00","","15,00","","9,00","","15,00","","99,15","","","","","",""
"2012-09-01 06:00","2012","09","01","06:00"," ","14,80","","9,30","","70,00","","14,00","","11,00","","15,00","","99,08","","","","","",""
"2012-09-01 07:00","2012","09","01","07:00"," ","17,30","","9,70","","61,00","","15,00","","15,00","","15,00","","99,06","","","","","",""
"2012-09-01 08:00","2012","09","01","08:00"," ","19,60","","9,70","","53,00","","16,00","","15,00","","15,00","","99,02","","","","","",""
"2012-09-01 09:00","2012","09","01","09:00"," ","20,50","","9,90","","51,00","","15,00","","17,00","","15,00","","98,97","","","","","",""
"2012-09-01 09:51","2012","09","01","09:51"," ","20,80","","10,00","","50,00","","14,00","","13,00","","15,00","","98,94","","","","","","Pluie"
"2012-09-01 10:00","2012","09","01","10:00"," ","20,60","","10,60","","53,00","","15,00","","13,00","","15,00","","98,94","","","","","","Pluie"
"2012-09-01 10:10","2012","09","01","10:10"," ","21,00","","10,70","","52,00","","13,00","","19,00","","15,00","","98,92","","","","","","Pluie"
"2012-09-01 11:00","2012","09","01","11:00"," ","22,40","","10,50","","47,00","","14,00","","19,00","","15,00","","98,90","","","","","",""
"2012-09-01 12:00","2012","09","01","12:00"," ","23,50","","11,00","","45,00","","13,00","","19,00","","15,00","","98,82","","25,00","","","",""
"2012-09-01 13:00","2012","09","01","13:00"," ","23,60","","11,20","","46,00","","12,00","","19,00","","15,00","","98,71","","25,00","","","",""
"2012-09-01 14:00","2012","09","01","14:00"," ","24,70","","11,00","","42,00","","13,00","","24,00","","15,00","","98,69","","26,00","","","",""
"2012-09-01 15:00","2012","09","01","15:00"," ","24,90","","10,40","","40,00","","12,00","","30,00","","15,00","","98,55","","26,00","","","",""
"2012-09-01 16:00","2012","09","01","16:00"," ","23,30","","12,00","","49,00","","9,00","","30,00","","15,00","","98,40","","26,00","","","",""
"2012-09-01 17:00","2012","09","01","17:00"," ","23,30","","12,10","","49,00","","10,00","","32,00","","15,00","","98,29","","26,00","","","",""
"2012-09-01 18:00","2012","09","01","18:00"," ","24,10","","11,00","","44,00","","12,00","","33,00","","15,00","","98,16","","26,00","","","",""
"2012-09-01 19:00","2012","09","01","19:00"," ","24,00","","10,40","","42,00","","13,00","","32,00","","15,00","","98,17","","25,00","","","",""
