"Nom de la Station","CHURCHILL AWOS"
"Province","MANITOBA"
"Latitude","58,74"
"Longitude","-94,06"
"Altitude","28,70"
"Identification Climat","5060601"
"Identification OMM",""
"Identification TC",""
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2010-09-01 00:00","2010","09","01","00:00"," ","6,50","","6,20","","98,00","","2,00","","48,00","","6,40","","99,50","","","","","","Pluie modérée"
"2010-09-01 00:01","2010","09","01","00:01"," ","6,50","","6,50","","100,00","","2,00","","52,00","","6,40","","99,50","","","","","","Pluie modérée"
"2010-09-01 00:02","2010","09","01","00:02"," ","6,50","","6,50","","100,00","","2,00","","52,00","","6,40","","99,49","","","","","","Pluie modérée"
"2010-09-01 00:04","2010","09","01","00:04"," ","6,50","","6,20","","98,00","","2,00","","48,00","","6,40","","99,49","","","","","","Pluie modérée"
"2010-09-01 00:08","2010","09","01","00:08"," ","6,60","","6,60","","100,00","","2,00","","44,00","","6,40","","99,51","","","","","","Pluie modérée"
"2010-09-01 00:28","2010","09","01","00:28"," ","6,10","","5,60","","97,00","","2,00","","57,00","","8,00","","99,48","","","","","","Pluie"
"2010-09-01 01:00","2010","09","01","01:00"," ","6,50","","6,00","","97,00","","2,00","","54,00","","11,30","","99,48","","","","","","Pluie"
"2010-09-01 01:24","2010","09","01","01:24"," ","7,10","","6,70","","97,00","","1,00","","44,00","","9,70","","99,46","","","","","","Pluie"
"2010-09-01 01:53","2010","09","01","01:53"," ","7,20","","7,20","","100,00","","1,00","","44,00","","4,80","","99,47","","","","","","Pluie modérée"
"2010-09-01 02:00","2010","09","01","02:00"," ","6,90","","6,90","","100,00","","1,00","","44,00","","4,80","","99,46","","","","","","Pluie modérée"
"2010-09-01 02:07","2010","09","01","02:07"," ","6,90","","6,90","","100,00","","1,00","","43,00","","4,80","","99,46","","","","","","Pluie"
"2010-09-01 03:00","2010","09","01","03:00"," ","6,90","","6,90","","100,00","","36,00","","46,00","","9,70","","99,48","","","","","","Pluie"
"2010-09-01 03:24","2010","09","01","03:24"," ","6,80","","6,80","","100,00","","36,00","","48,00","","4,00","","99,47","","","","","","Pluie"
"2010-09-01 03:33","2010","09","01","03:33"," ","6,90","","6,90","","100,00","","36,00","","54,00","","3,50","","99,47","","","","","","Pluie"
"2010-09-01 03:42","2010","09","01","03:42"," ","6,90","","6,90","","100,00","","36,00","","54,00","","3,90","","99,49","","","","","","Pluie"
"2010-09-01 03:48","2010","09","01","03:48"," ","6,90","","6,90","","100,00","","36,00","","48,00","","3,50","","99,48","","","","","","Bruine modérée"
"2010-09-01 03:50","2010","09","01","03:50"," ","6,90","","6,90","","100,00","","36,00","","50,00","","3,50","","99,48","","","","","","Bruine modérée"
"2010-09-01 04:00","2010","09","01","04:00"," ","6,80","","6,80","","100,00","","1,00","","56,00","","4,00","","99,49","","","","","","Bruine modérée"
"2010-09-01 04:03","2010","09","01","04:03"," ","6,80","","6,80","","100,00","","36,00","","46,00","","4,00","","99,50","","","","","","Pluie"
"2010-09-01 04:09","2010","09","01","04:09"," ","6,80","","6,80","","100,00","","36,00","","46,00","","3,50","","99,51","","","","","","Pluie"
"2010-09-01 04:15","2010","09","01","04:15"," ","6,80","","6,80","","100,00","","1,00","","48,00","","3,70","","99,50","","","","","","Pluie"
"2010-09-01 04:20","2010","09","01","04:20"," ","6,70","","6,70","","100,00","","36,00","","50,00","","4,00","","99,50","","","","","",""
"2010-09-01 04:28","2010","09","01","04:28"," ","6,80","","6,80","","100,00","","36,00","","46,00","","4,80","","99,50","","","","","",""
"2010-09-01 04:36","2010","09","01","04:36"," ","6,70","","6,70","","100,00","","36,00","","54,00","","4,80","","99,50","","","","","","Pluie"
"2010-09-01 04:51","2010","09","01","04:51"," ","6,70","","6,70","","100,00","","36,00","","44,00","","4,80","","99,52","","","","","",""
"2010-09-01 05:00","2010","09","01","05:00"," ","6,70","","6,70","","100,00","","35,00","","46,00","","6,40","","99,53","","","","","",""
"2010-09-01 05:11","2010","09","01","05:11"," ","6,60","","6,60","","100,00","","35,00","","46,00","","11,30","","99,54","","","","","",""
"2010-09-01 05:12","2010","09","01","05:12"," ","6,60","","6,60","","100,00","","35,00","","46,00","","11,30","","99,54","","","","","",""
"2010-09-01 05:22","2010","09","01","05:22"," ","6,70","","6,70","","100,00","","35,00","","44,00","","11,30","","99,54","","","","","",""
"2010-09-01 05:38","2010","09","01","05:38"," ","6,70","","6,70","","100,00","","35,00","","46,00","","11,30","","99,54","","","","","","Pluie"
"2010-09-01 05:42","2010","09","01","05:42"," ","6,70","","6,50","","99,00","","35,00","","54,00","","12,90","","99,54","","","","","","Pluie"
"2010-09-01 06:00","2010","09","01","06:00"," ","6,60","","6,60","","100,00","","36,00","","48,00","","9,70","","99,58","","","","","","Pluie"
"2010-09-01 06:34","2010","09","01","06:34"," ","6,80","","6,80","","100,00","","35,00","","44,00","","11,30","","99,61","","","","","","Pluie"
"2010-09-01 06:35","2010","09","01","06:35"," ","6,70","","6,70","","100,00","","36,00","","50,00","","11,30","","99,60","","","","","","Pluie"
"2010-09-01 06:52","2010","09","01","06:52"," ","6,80","","6,80","","100,00","","36,00","","48,00","","15,00","","99,62","","","","","",""
"2010-09-01 07:00","2010","09","01","07:00"," ","6,80","","6,60","","99,00","","36,00","","46,00","","15,00","","99,63","","","","","",""
"2010-09-01 08:00","2010","09","01","08:00"," ","7,30","","7,00","","98,00","","36,00","","46,00","","14,50","","99,69","","","","","","Bruine"
"2010-09-01 08:47","2010","09","01","08:47"," ","7,40","","6,80","","96,00","","36,00","","41,00","","15,00","","99,74","","","","","","Bruine"
"2010-09-01 08:48","2010","09","01","08:48"," ","7,40","","6,70","","95,00","","36,00","","41,00","","15,00","","99,74","","","","","","Bruine"
"2010-09-01 09:00","2010","09","01","09:00"," ","7,40","","7,00","","97,00","","36,00","","37,00","","15,00","","99,75","","","","","",""
"2010-09-01 09:23","2010","09","01","09:23"," ","7,40","","6,90","","97,00","","36,00","","43,00","","15,00","","99,77","","","","","","Bruine"
"2010-09-01 09:27","2010","09","01","09:27"," ","7,40","","6,70","","95,00","","36,00","","43,00","","15,00","","99,78","","","","","","Bruine"
"2010-09-01 09:45","2010","09","01","09:45"," ","7,50","","6,70","","95,00","","36,00","","37,00","","15,00","","99,80","","","","","","Pluie"
"2010-09-01 09:46","2010","09","01","09:46"," ","7,50","","6,80","","95,00","","36,00","","33,00","","15,00","","99,80","","","","","","Pluie"
"2010-09-01 10:00","2010","09","01","10:00"," ","7,60","","6,70","","94,00","","36,00","","37,00","","15,00","","99,81","","","","","","Pluie"
"2010-09-01 10:02","2010","09","01","10:02"," ","7,60","","6,70","","94,00","","35,00","","39,00","","15,00","","99,82","","","","","","Pluie"
"2010-09-01 10:06","2010","09","01","10:06"," ","7,60","","6,70","","94,00","","35,00","","37,00","","15,00","","99,82","","","","","","Pluie"
"2010-09-01 10:12","2010","09","01","10:12"," ","7,60","","6,70","","94,00","","35,00","","41,00","","15,00","","99,84","","","","","","Pluie"
"2010-09-01 10:16","2010","09","01","10:16"," ","7,60","","6,90","","95,00","","35,00","","30,00","","15,00","","99,84","","","","","","Pluie"
"2010-09-01 10:17","2010","09","01","10:17"," ","7,60","","6,90","","95,00","","35,00","","33,00","","15,00","","99,84","","","","","","Pluie"
"2010-09-01 10:18","2010","09","01","10:18"," ","7,60","","6,80","","95,00","","35,00","","37,00","","15,00","","99,84","","","","","","Pluie"
"2010-09-01 11:00","2010","09","01","11:00"," ","7,60","","6,60","","93,00","","35,00","","39,00","","15,00","","99,89","","","","","","Pluie"
"2010-09-01 11:16","2010","09","01","11:16"," ","7,70","","6,80","","94,00","","35,00","","35,00","","15,00","","99,92","","","","","","Pluie"
"2010-09-01 11:25","2010","09","01","11:25"," ","7,70","","6,40","","91,00","","35,00","","41,00","","15,00","","99,94","","","","","","Pluie"
