"Nom de la Station","ARVIAT AWOS"
"Province","NUNAVUT"
"Latitude","61,10"
"Longitude","-94,07"
"Altitude","10,40"
"Identification Climat","2300426"
"Identification OMM",""
"Identification TC","YEK"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2012-04-01 00:00","2012","04","01","00:00"," ","-12,30","","-14,90","","81,00","","12,00","","43,00","","15,00","","101,45","","","","-24,00","",""
"2012-04-01 01:00","2012","04","01","01:00"," ","-12,50","","-15,50","","78,00","","12,00","","37,00","","15,00","","101,48","","","","-24,00","",""
"2012-04-01 02:00","2012","04","01","02:00"," ","-13,10","","-15,90","","79,00","","12,00","","35,00","","15,00","","101,50","","","","-24,00","",""
"2012-04-01 03:00","2012","04","01","03:00"," ","-13,10","","-16,50","","76,00","","12,00","","39,00","","15,00","","101,49","","","","-25,00","",""
"2012-04-01 04:00","2012","04","01","04:00"," ","-13,30","","-16,90","","74,00","","12,00","","37,00","","15,00","","101,49","","","","-25,00","",""
"2012-04-01 05:00","2012","04","01","05:00"," ","-13,80","","-17,40","","74,00","","12,00","","32,00","","15,00","","101,57","","","","-25,00","",""
"2012-04-01 06:00","2012","04","01","06:00"," ","-14,60","","-17,60","","78,00","","12,00","","30,00","","15,00","","101,61","","","","-26,00","",""
"2012-04-01 07:00","2012","04","01","07:00"," ","-13,60","","-17,20","","74,00","","12,00","","30,00","","15,00","","101,65","","","","-24,00","",""
"2012-04-01 08:00","2012","04","01","08:00"," ","-12,90","","-16,50","","74,00","","11,00","","32,00","","15,00","","101,62","","","","-24,00","",""
"2012-04-01 09:00","2012","04","01","09:00"," ","-12,10","","-15,60","","75,00","","12,00","","28,00","","15,00","","101,62","","","","-22,00","",""
"2012-04-01 10:00","2012","04","01","10:00"," ","-11,10","","-14,50","","76,00","","12,00","","30,00","","15,00","","101,62","","","","-21,00","",""
"2012-04-01 11:00","2012","04","01","11:00"," ","-10,00","","-13,70","","74,00","","11,00","","30,00","","15,00","","101,64","","","","-20,00","",""
"2012-04-01 12:00","2012","04","01","12:00"," ","-9,00","","-12,80","","74,00","","11,00","","32,00","","15,00","","101,65","","","","-18,00","",""
"2012-04-01 13:00","2012","04","01","13:00"," ","-9,00","","-12,50","","76,00","","12,00","","32,00","","15,00","","101,66","","","","-18,00","",""
"2012-04-01 14:00","2012","04","01","14:00"," ","-8,60","","-12,00","","76,00","","11,00","","26,00","","15,00","","101,64","","","","-17,00","",""
"2012-04-01 15:00","2012","04","01","15:00"," ","-8,20","","-12,20","","73,00","","12,00","","28,00","","15,00","","101,67","","","","-17,00","",""
"2012-04-01 16:00","2012","04","01","16:00"," ","-8,30","","-11,70","","76,00","","11,00","","26,00","","15,00","","101,71","","","","-17,00","",""
"2012-04-01 17:00","2012","04","01","17:00"," ","-8,10","","-12,00","","73,00","","12,00","","28,00","","15,00","","101,72","","","","-17,00","",""
"2012-04-01 18:00","2012","04","01","18:00"," ","-8,50","","-12,00","","76,00","","11,00","","26,00","","15,00","","101,74","","","","-17,00","",""
"2012-04-01 19:00","2012","04","01","19:00"," ","-10,00","","-12,60","","81,00","","11,00","","20,00","","15,00","","101,79","","","","-18,00","",""
"2012-04-01 20:00","2012","04","01","20:00"," ","-11,10","","-13,40","","83,00","","10,00","","24,00","","15,00","","101,79","","","","-20,00","",""
"2012-04-01 21:00","2012","04","01","21:00"," ","-11,80","","-14,10","","83,00","","11,00","","22,00","","15,00","","101,82","","","","-21,00","",""
"2012-04-01 22:00","2012","04","01","22:00"," ","-12,90","","-14,60","","87,00","","11,00","","22,00","","15,00","","101,84","","","","-22,00","",""
"2012-04-01 23:00","2012","04","01","23:00"," ","-13,30","","-15,10","","86,00","","12,00","","22,00","","15,00","","101,87","","","","-22,00","",""
"2012-04-02 00:00","2012","04","02","00:00"," ","-13,80","","-15,60","","86,00","","11,00","","20,00","","15,00","","101,88","","","","-23,00","",""
"2012-04-02 01:00","2012","04","02","01:00"," ","-14,90","","-16,40","","88,00","","10,00","","15,00","","15,00","","101,90","","","","-23,00","",""
"2012-04-02 02:00","2012","04","02","02:00"," ","-15,30","","-16,90","","88,00","","10,00","","15,00","","15,00","","101,92","","","","-23,00","",""
"2012-04-02 03:00","2012","04","02","03:00"," ","-14,60","","-16,90","","83,00","","10,00","","22,00","","15,00","","101,87","","","","-24,00","",""
"2012-04-02 04:00","2012","04","02","04:00"," ","-14,60","","-16,80","","83,00","","10,00","","24,00","","15,00","","101,84","","","","-24,00","",""
"2012-04-02 05:00","2012","04","02","05:00"," ","-15,10","","-17,10","","85,00","","9,00","","24,00","","15,00","","101,85","","","","-25,00","",""
"2012-04-02 06:00","2012","04","02","06:00"," ","-13,60","","-16,30","","80,00","","10,00","","28,00","","15,00","","101,81","","","","-24,00","",""
"2012-04-02 07:00","2012","04","02","07:00"," ","-12,60","","-15,70","","78,00","","10,00","","28,00","","15,00","","101,76","","","","-23,00","",""
"2012-04-02 08:00","2012","04","02","08:00"," ","-11,90","","-15,00","","78,00","","10,00","","26,00","","15,00","","101,83","","","","-21,00","",""
"2012-04-02 09:00","2012","04","02","09:00"," ","-11,20","","-14,30","","78,00","","10,00","","28,00","","15,00","","101,81","","","","-21,00","",""
"2012-04-02 10:00","2012","04","02","10:00"," ","-10,80","","-13,90","","78,00","","10,00","","30,00","","15,00","","101,69","","","","-21,00","",""
"2012-04-02 11:00","2012","04","02","11:00"," ","-10,40","","-13,60","","77,00","","10,00","","39,00","","15,00","","101,60","","","","-21,00","",""
"2012-04-02 12:00","2012","04","02","12:00"," ","-10,30","","-13,40","","78,00","","10,00","","39,00","","15,00","","101,53","","","","-21,00","",""
