"Nom de la Station","CAPE DORSET AWOS"
"Province","NUNAVUT"
"Latitude","64,23"
"Longitude","-76,53"
"Altitude","48,20"
"Identification Climat","2400634"
"Identification OMM","71910"
"Identification TC","YTE"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-07-01 00:00","2009","07","01","00:00"," ","6,80","","2,30","","73,00","","27,00","","13,00","","15,00","","102,17","","","","","",""
"2009-07-01 01:00","2009","07","01","01:00"," ","5,60","","1,60","","75,00","","26,00","","17,00","","15,00","","102,17","","","","","",""
"2009-07-01 02:00","2009","07","01","02:00"," ","5,50","","1,80","","77,00","","28,00","","11,00","","15,00","","102,18","","","","","",""
"2009-07-01 03:00","2009","07","01","03:00"," ","4,90","","1,90","","81,00","","28,00","","13,00","","15,00","","102,19","","","","","",""
"2009-07-01 04:00","2009","07","01","04:00"," ","5,50","","2,00","","78,00","","28,00","","20,00","","15,00","","102,18","","","","","",""
"2009-07-01 05:00","2009","07","01","05:00"," ","5,20","","1,80","","79,00","","28,00","","19,00","","15,00","","102,19","","","","","",""
"2009-07-01 06:00","2009","07","01","06:00"," ","6,40","","2,30","","75,00","","29,00","","15,00","","15,00","","102,18","","","","","",""
"2009-07-01 07:00","2009","07","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-07-01 08:00","2009","07","01","08:00"," ","9,20","","2,80","","64,00","","30,00","","11,00","","15,00","","102,18","","","","","",""
"2009-07-01 09:00","2009","07","01","09:00"," ","11,30","","3,10","","57,00","","28,00","","20,00","","15,00","","102,19","","","","","",""
"2009-07-01 10:00","2009","07","01","10:00"," ","12,20","","3,40","","55,00","","28,00","","15,00","","15,00","","102,19","","","","","",""
"2009-07-01 11:00","2009","07","01","11:00"," ","12,70","","2,80","","51,00","","28,00","","17,00","","15,00","","102,15","","","","","",""
"2009-07-01 12:00","2009","07","01","12:00"," ","12,90","","2,00","","47,00","","29,00","","17,00","","15,00","","102,15","","","","","",""
"2009-07-01 13:00","2009","07","01","13:00"," ","14,10","","2,60","","46,00","","31,00","","19,00","","15,00","","102,15","","","","","",""
"2009-07-01 14:00","2009","07","01","14:00"," ","14,90","","1,80","","41,00","","31,00","","22,00","","15,00","","102,14","","","","","",""
"2009-07-01 15:00","2009","07","01","15:00"," ","14,60","","2,10","","43,00","","29,00","","17,00","","15,00","","102,13","","","","","",""
"2009-07-01 16:00","2009","07","01","16:00"," ","14,60","","2,70","","45,00","","28,00","","20,00","","15,00","","102,11","","","","","",""
"2009-07-01 17:00","2009","07","01","17:00"," ","14,10","","1,70","","43,00","","31,00","","26,00","","15,00","","102,10","","","","","",""
"2009-07-01 18:00","2009","07","01","18:00"," ","13,20","","2,70","","49,00","","31,00","","17,00","","15,00","","102,11","","","","","",""
"2009-07-01 19:00","2009","07","01","19:00"," ","12,70","","2,90","","51,00","","31,00","","13,00","","15,00","","102,08","","","","","",""
"2009-07-01 20:00","2009","07","01","20:00"," ","12,40","","2,00","","49,00","","32,00","","9,00","","15,00","","102,06","","","","","",""
"2009-07-01 21:00","2009","07","01","21:00"," ","11,80","","2,00","","51,00","","31,00","","9,00","","15,00","","102,04","","","","","",""
"2009-07-01 22:00","2009","07","01","22:00"," ","10,50","","3,40","","61,00","","27,00","","7,00","","15,00","","102,03","","","","","",""
"2009-07-01 23:00","2009","07","01","23:00"," ","8,60","","2,50","","65,00","","28,00","","11,00","","15,00","","102,01","","","","","",""
"2009-07-02 00:00","2009","07","02","00:00"," ","8,50","","2,80","","67,00","","28,00","","11,00","","15,00","","101,98","","","","","",""
"2009-07-02 01:00","2009","07","02","01:00"," ","7,70","","3,30","","74,00","","28,00","","11,00","","15,00","","101,94","","","","","",""
"2009-07-02 02:00","2009","07","02","02:00"," ","7,30","","3,10","","75,00","","27,00","","11,00","","15,00","","101,92","","","","","",""
"2009-07-02 03:00","2009","07","02","03:00"," ","7,20","","2,70","","73,00","","27,00","","11,00","","15,00","","101,90","","","","","",""
"2009-07-02 04:00","2009","07","02","04:00"," ","7,40","","2,40","","71,00","","26,00","","13,00","","15,00","","101,87","","","","","",""
"2009-07-02 05:00","2009","07","02","05:00"," ","7,50","","2,40","","70,00","","28,00","","11,00","","15,00","","101,85","","","","","",""
"2009-07-02 06:00","2009","07","02","06:00"," ","8,60","","2,10","","64,00","","28,00","","19,00","","15,00","","101,79","","","","","",""
"2009-07-02 07:00","2009","07","02","07:00"," ","10,20","","2,30","","58,00","","28,00","","17,00","","15,00","","101,75","","","","","",""
"2009-07-02 08:00","2009","07","02","08:00"," ","11,00","","2,90","","57,00","","27,00","","13,00","","15,00","","101,71","","","","","",""
"2009-07-02 09:00","2009","07","02","09:00"," ","11,90","","3,60","","57,00","","28,00","","17,00","","15,00","","101,67","","","","","",""
"2009-07-02 10:00","2009","07","02","10:00"," ","13,10","","3,60","","52,00","","29,00","","11,00","","15,00","","101,64","","","","","",""
"2009-07-02 11:00","2009","07","02","11:00"," ","14,00","","3,20","","48,00","","28,00","","15,00","","15,00","","101,62","","","","","",""
"2009-07-02 12:00","2009","07","02","12:00"," ","13,90","","2,60","","46,00","","28,00","","13,00","","15,00","","101,60","","","","","",""
"2009-07-02 13:00","2009","07","02","13:00"," ","14,80","","2,80","","44,00","","30,00","","13,00","","15,00","","101,60","","","","","",""
"2009-07-02 14:00","2009","07","02","14:00"," ","15,40","","2,30","","41,00","","32,00","","17,00","","15,00","","101,59","","","","","",""
"2009-07-02 15:00","2009","07","02","15:00"," ","14,80","","0,70","","38,00","","32,00","","19,00","","15,00","","101,59","","","","","",""
"2009-07-02 16:00","2009","07","02","16:00"," ","14,50","","0,30","","38,00","","33,00","","15,00","","15,00","","101,60","","","","","",""
"2009-07-02 17:00","2009","07","02","17:00"," ","14,10","","1,00","","41,00","","33,00","","13,00","","15,00","","101,60","","","","","",""
"2009-07-02 18:00","2009","07","02","18:00"," ","13,20","","2,30","","48,00","","33,00","","13,00","","15,00","","101,62","","","","","",""
"2009-07-02 19:00","2009","07","02","19:00"," ","13,00","","1,20","","45,00","","36,00","","11,00","","15,00","","101,61","","","","","",""
"2009-07-02 20:00","2009","07","02","20:00"," ","12,00","","2,10","","51,00","","36,00","","7,00","","15,00","","101,59","","","","","",""
"2009-07-02 21:00","2009","07","02","21:00"," ","11,20","","1,90","","53,00","","36,00","","9,00","","15,00","","101,60","","","","","",""
"2009-07-02 22:00","2009","07","02","22:00"," ","10,30","","2,30","","58,00","","30,00","","7,00","","15,00","","101,59","","","","","",""
"2009-07-02 23:00","2009","07","02","23:00"," ","10,30","","2,60","","59,00","","27,00","","9,00","","15,00","","101,59","","","","","",""
"2009-07-03 00:00","2009","07","03","00:00"," ","9,40","","2,40","","62,00","","27,00","","6,00","","15,00","","101,58","","","","","",""
"2009-07-03 01:00","2009","07","03","01:00"," ","8,90","","2,10","","62,00","","26,00","","6,00","","15,00","","101,58","","","","","",""
"2009-07-03 02:00","2009","07","03","02:00"," ","8,00","","1,90","","65,00","","29,00","","7,00","","15,00","","101,56","","","","","",""
"2009-07-03 03:00","2009","07","03","03:00"," ","7,90","","2,10","","67,00","","28,00","","4,00","","15,00","","101,56","","","","","",""
"2009-07-03 04:00","2009","07","03","04:00"," ","7,10","","1,90","","69,00","","28,00","","4,00","","15,00","","101,55","","","","","",""
"2009-07-03 05:00","2009","07","03","05:00"," ","7,60","","2,00","","68,00","","29,00","","6,00","","15,00","","101,54","","","","","",""
"2009-07-03 06:00","2009","07","03","06:00"," ","8,70","","2,90","","67,00","","27,00","","11,00","","15,00","","101,52","","","","","",""
"2009-07-03 07:00","2009","07","03","07:00"," ","8,10","","3,00","","70,00","","10,00","","7,00","","15,00","","101,53","","","","","",""
"2009-07-03 08:00","2009","07","03","08:00"," ","9,50","","3,30","","65,00","","30,00","","7,00","","15,00","","101,53","","","","","",""
"2009-07-03 09:00","2009","07","03","09:00"," ","11,20","","3,30","","58,00","","34,00","","4,00","","15,00","","101,53","","","","","",""
"2009-07-03 10:00","2009","07","03","10:00"," ","10,20","","3,30","","62,00","","9,00","","13,00","","15,00","","101,56","","","","","",""
"2009-07-03 11:00","2009","07","03","11:00"," ","9,80","","4,30","","69,00","","12,00","","17,00","","15,00","","101,56","","","","","",""
"2009-07-03 12:00","2009","07","03","12:00"," ","9,50","","4,80","","72,00","","13,00","","22,00","","15,00","","101,59","","","","","",""
"2009-07-03 13:00","2009","07","03","13:00"," ","9,80","","3,70","","66,00","","13,00","","22,00","","15,00","","101,61","","","","","",""
"2009-07-03 14:00","2009","07","03","14:00"," ","9,70","","2,50","","61,00","","12,00","","22,00","","15,00","","101,64","","","","","",""
"2009-07-03 15:00","2009","07","03","15:00"," ","10,60","","2,80","","58,00","","11,00","","20,00","","15,00","","101,65","","","","","",""
"2009-07-03 16:00","2009","07","03","16:00"," ","10,50","","2,60","","58,00","","12,00","","17,00","","15,00","","101,66","","","","","",""
"2009-07-03 17:00","2009","07","03","17:00"," ","10,20","","2,90","","60,00","","19,00","","15,00","","15,00","","101,69","","","","","",""
"2009-07-03 18:00","2009","07","03","18:00"," ","9,90","","2,50","","60,00","","21,00","","17,00","","15,00","","101,70","","","","","",""
"2009-07-03 19:00","2009","07","03","19:00"," ","10,20","","2,30","","58,00","","21,00","","9,00","","15,00","","101,71","","","","","",""
"2009-07-03 20:00","2009","07","03","20:00"," ","9,80","","2,60","","61,00","","22,00","","9,00","","15,00","","101,72","","","","","",""
"2009-07-03 21:00","2009","07","03","21:00"," ","9,10","","2,20","","62,00","","20,00","","13,00","","15,00","","101,73","","","","","",""
"2009-07-03 22:00","2009","07","03","22:00"," ","8,70","","2,30","","64,00","","0,00","","0,00","","15,00","","101,72","","","","","",""
"2009-07-03 23:00","2009","07","03","23:00"," ","8,70","","1,50","","61,00","","20,00","","4,00","","15,00","","101,74","","","","","",""
"2009-07-04 00:00","2009","07","04","00:00"," ","7,40","","2,50","","71,00","","0,00","","0,00","","15,00","","101,76","","","","","",""
"2009-07-04 01:00","2009","07","04","01:00"," ","5,80","","2,00","","77,00","","14,00","","11,00","","15,00","","101,80","","","","","",""
"2009-07-04 02:00","2009","07","04","02:00"," ","6,10","","2,40","","77,00","","12,00","","9,00","","15,00","","101,81","","","","","",""
"2009-07-04 03:00","2009","07","04","03:00"," ","5,60","","2,30","","79,00","","13,00","","11,00","","15,00","","101,82","","","","","",""
"2009-07-04 04:00","2009","07","04","04:00"," ","5,70","","2,40","","79,00","","7,00","","6,00","","15,00","","101,84","","","","","",""
"2009-07-04 05:00","2009","07","04","05:00"," ","6,30","","2,90","","79,00","","11,00","","7,00","","15,00","","101,84","","","","","",""
"2009-07-04 06:00","2009","07","04","06:00"," ","6,10","","2,90","","80,00","","10,00","","9,00","","15,00","","101,86","","","","","",""
"2009-07-04 07:00","2009","07","04","07:00"," ","6,90","","2,70","","75,00","","10,00","","9,00","","15,00","","101,88","","","","","",""
"2009-07-04 08:00","2009","07","04","08:00"," ","6,60","","2,40","","75,00","","11,00","","13,00","","15,00","","101,91","","","","","",""
"2009-07-04 09:00","2009","07","04","09:00"," ","7,00","","2,40","","72,00","","13,00","","15,00","","15,00","","101,92","","","","","",""
"2009-07-04 10:00","2009","07","04","10:00"," ","8,10","","2,50","","68,00","","12,00","","15,00","","15,00","","101,91","","","","","",""
"2009-07-04 11:00","2009","07","04","11:00"," ","7,50","","1,80","","67,00","","12,00","","17,00","","15,00","","101,90","","","","","",""
"2009-07-04 12:00","2009","07","04","12:00"," ","7,90","","2,20","","67,00","","12,00","","15,00","","15,00","","101,91","","","","","",""
